Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,195.52,198.73,189.02,189.64,539698.0,0.0,1.0,195.52,198.73,189.02,189.64,539698.0
2018-03-26,198.08,201.435,191.02,193.78,986537.0,0.0,1.0,198.08,201.435,191.02,193.78,986537.0
2018-03-23,202.08,204.5224,191.61,192.04,715937.0,0.0,1.0,202.08,204.5224,191.61,192.04,715937.0
2018-03-22,211.16,212.275,201.86,202.0,624710.0,0.0,1.0,211.16,212.275,201.86,202.0,624710.0
2018-03-21,212.71,218.6999,212.71,214.15,294767.0,0.0,1.0,212.71,218.6999,212.71,214.15,294767.0
2018-03-20,211.62,217.085,210.795,213.59,394302.0,0.0,1.0,211.62,217.085,210.795,213.59,394302.0
2018-03-19,216.34,216.34,204.31,210.97,701985.0,0.0,1.0,216.34,216.34,204.31,210.97,701985.0
2018-03-16,219.93,223.48,216.605,221.66,553788.0,0.0,1.0,219.93,223.48,216.605,221.66,553788.0
2018-03-15,221.95,223.67,217.1995,219.02,338852.0,0.0,1.0,221.95,223.67,217.1995,219.02,338852.0
2018-03-14,223.55,226.05,219.17,220.55,336978.0,0.0,1.0,223.55,226.05,219.17,220.55,336978.0
2018-03-13,230.41,233.9258,222.4269,223.06,681711.0,0.0,1.0,230.41,233.9258,222.4269,223.06,681711.0
2018-03-12,223.5,229.315,223.5,229.15,643301.0,0.0,1.0,223.5,229.315,223.5,229.15,643301.0
2018-03-09,215.34,222.87,214.95,222.57,508637.0,0.0,1.0,215.34,222.87,214.95,222.57,508637.0
2018-03-08,211.93,215.79,211.93,214.67,423118.0,0.0,1.0,211.93,215.79,211.93,214.67,423118.0
2018-03-07,205.0,212.42,203.31,211.7,459779.0,0.0,1.0,205.0,212.42,203.31,211.7,459779.0
2018-03-06,207.93,209.495,205.13,206.41,420394.0,0.0,1.0,207.93,209.495,205.13,206.41,420394.0
2018-03-05,207.16,208.51,205.02,206.24,428044.0,0.0,1.0,207.16,208.51,205.02,206.24,428044.0
2018-03-02,206.84,211.51,205.6,208.81,332835.0,0.0,1.0,206.84,211.51,205.6,208.81,332835.0
2018-03-01,209.08,213.055,206.18,209.38,538000.0,0.0,1.0,209.08,213.055,206.18,209.38,538000.0
2018-02-28,208.31,213.96,205.27,209.16,443979.0,0.0,1.0,208.31,213.96,205.27,209.16,443979.0
2018-02-27,214.0,214.8,206.23,206.69,696111.0,0.0,1.0,214.0,214.8,206.23,206.69,696111.0
2018-02-26,212.34,215.035,210.8,212.95,554062.0,0.0,1.0,212.34,215.035,210.8,212.95,554062.0
