Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,32.74,33.2,31.98,32.75,613630.0,0.0,1.0,32.74,33.2,31.98,32.75,613630.0
2018-03-26,32.03,32.27,31.785,32.22,413904.0,0.0,1.0,32.03,32.27,31.785,32.22,413904.0
2018-03-23,32.6,32.6,31.69,31.78,284559.0,0.0,1.0,32.6,32.6,31.69,31.78,284559.0
2018-03-22,32.39,32.95,32.39,32.52,375415.0,0.0,1.0,32.39,32.95,32.39,32.52,375415.0
2018-03-21,32.86,32.95,32.36,32.46,272601.0,0.0,1.0,32.86,32.95,32.36,32.46,272601.0
2018-03-20,33.24,33.58,32.675,32.89,193440.0,0.0,1.0,33.24,33.58,32.675,32.89,193440.0
2018-03-19,33.23,33.26,32.87,33.21,285997.0,0.0,1.0,33.23,33.26,32.87,33.21,285997.0
2018-03-16,32.93,33.3,32.89,33.22,1062998.0,0.0,1.0,32.93,33.3,32.89,33.22,1062998.0
2018-03-15,33.21,33.2298,32.76,32.9,372698.0,0.0,1.0,33.21,33.2298,32.76,32.9,372698.0
2018-03-14,32.99,33.1875,32.88,33.06,613535.0,0.0,1.0,32.99,33.1875,32.88,33.06,613535.0
2018-03-13,32.85,33.36,32.85,33.14,834894.0,0.0,1.0,32.85,33.36,32.85,33.14,834894.0
2018-03-12,32.39,32.805,32.28,32.68,855448.0,0.0,1.0,32.39,32.805,32.28,32.68,855448.0
2018-03-09,32.34,32.45,31.82,32.14,278024.0,0.0,1.0,32.34,32.45,31.82,32.14,278024.0
2018-03-08,32.41,32.43,32.16,32.36,323752.0,0.0,1.0,32.41,32.43,32.16,32.36,323752.0
2018-03-07,32.15,32.46,32.04,32.32,364529.0,0.0,1.0,32.15,32.46,32.04,32.32,364529.0
2018-03-06,32.1,32.35,31.83,32.26,308534.0,0.0,1.0,32.1,32.35,31.83,32.26,308534.0
2018-03-05,31.71,32.4,31.71,32.1,332179.0,0.0,1.0,31.71,32.4,31.71,32.1,332179.0
