Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,608.17,610.325,589.3071,590.81,71516.0,0.0,1.0,608.17,610.325,589.3071,590.81,71516.0
2018-03-26,580.1,607.8,580.1,605.94,96364.0,0.0,1.0,580.1,607.8,580.1,605.94,96364.0
2018-03-23,593.2,595.63,575.01,576.26,92865.0,0.0,1.0,593.2,595.63,575.01,576.26,92865.0
2018-03-22,606.43,610.16,592.51,592.53,105275.0,0.0,1.0,606.43,610.16,592.51,592.53,105275.0
2018-03-21,613.9,619.01,609.41,612.09,78402.0,0.0,1.0,613.9,619.01,609.41,612.09,78402.0
2018-03-20,627.8,627.8,614.3,614.35,81211.0,0.0,1.0,627.8,627.8,614.3,614.35,81211.0
2018-03-19,627.72,631.43,623.4,627.45,58181.0,0.0,1.0,627.72,631.43,623.4,627.45,58181.0
2018-03-16,624.18,633.61,624.18,628.2,87202.0,0.0,1.0,624.18,633.61,624.18,628.2,87202.0
2018-03-15,629.01,629.01,618.89,623.08,40903.0,0.0,1.0,629.01,629.01,618.89,623.08,40903.0
2018-03-14,630.69,631.115,626.55,627.31,43069.0,0.0,1.0,630.69,631.115,626.55,627.31,43069.0
2018-03-13,631.98,633.309,624.92,628.77,27952.0,0.0,1.0,631.98,633.309,624.92,628.77,27952.0
2018-03-12,634.26,635.7,625.15,628.49,78819.0,0.0,1.0,634.26,635.7,625.15,628.49,78819.0
2018-03-09,621.98,634.59,616.0,632.56,57402.0,0.0,1.0,621.98,634.59,616.0,632.56,57402.0
2018-03-08,631.5,633.25,613.885,618.07,72086.0,0.0,1.0,631.5,633.25,613.885,618.07,72086.0
2018-03-07,627.95,635.55,621.15,628.58,87685.0,0.0,1.0,627.95,635.55,621.15,628.58,87685.0
2018-03-06,617.55,636.56,611.16,633.8,100457.0,0.0,1.0,617.55,636.56,611.16,633.8,100457.0
2018-03-05,591.2,618.455,587.6401,616.86,60719.0,0.0,1.0,591.2,618.455,587.6401,616.86,60719.0
2018-03-02,582.62,597.7292,580.22,593.99,64717.0,0.0,1.0,582.62,597.7292,580.22,593.99,64717.0
2018-03-01,609.8,609.8,592.65,593.86,55694.0,0.0,1.0,609.8,609.8,592.65,593.86,55694.0
2018-02-28,612.45,622.98,605.01,606.15,79914.0,0.0,1.0,612.45,622.98,605.01,606.15,79914.0
2018-02-27,610.38,615.88,606.35,609.84,43651.0,0.0,1.0,610.38,615.88,606.35,609.84,43651.0
2018-02-26,609.14,612.28,601.665,611.12,37788.0,0.0,1.0,609.14,612.28,601.665,611.12,37788.0
2018-02-23,607.15,611.38,599.22,605.66,60612.0,0.0,1.0,607.15,611.38,599.22,605.66,60612.0
2018-02-22,599.9,618.58,594.15,606.46,87295.0,0.0,1.0,599.9,618.58,594.15,606.46,87295.0
2018-02-21,590.54,602.75,588.62,591.74,35075.0,0.0,1.0,590.54,602.75,588.62,591.74,35075.0
2018-02-20,592.26,594.22,581.46,589.09,53861.0,0.0,1.0,592.26,594.22,581.46,589.09,53861.0
2018-02-16,587.68,601.0,585.86,595.88,31630.0,0.0,1.0,587.68,601.0,585.86,595.88,31630.0
2018-02-15,591.68,593.94,587.3501,589.58,42234.0,0.0,1.0,591.68,593.94,587.3501,589.58,42234.0
2018-02-14,574.57,589.0,574.225,588.09,46212.0,0.0,1.0,574.57,589.0,574.225,588.09,46212.0
2018-02-13,572.07,577.36,568.51,576.06,26673.0,0.0,1.0,572.07,577.36,568.51,576.06,26673.0
2018-02-12,575.07,578.0824,565.865,574.55,48349.0,0.0,1.0,575.07,578.0824,565.865,574.55,48349.0
2018-02-09,568.28,575.4,560.09,571.75,75319.0,0.0,1.0,568.28,575.4,560.09,571.75,75319.0
2018-02-08,585.24,586.97,562.43,562.45,80909.0,0.0,1.0,585.24,586.97,562.43,562.45,80909.0
2018-02-07,593.54,599.27,581.305,583.78,117918.0,0.0,1.0,593.54,599.27,581.305,583.78,117918.0
2018-02-06,586.47,597.5,579.2001,595.57,67741.0,0.0,1.0,586.47,597.5,579.2001,595.57,67741.0
2018-02-05,612.69,615.58,593.69,594.8,66545.0,0.0,1.0,612.69,615.58,593.69,594.8,66545.0
2018-02-02,626.75,630.58,617.0,617.96,51709.0,0.0,1.0,626.75,630.58,617.0,617.96,51709.0
2018-02-01,625.66,639.42,624.3,630.38,89453.0,0.0,1.0,625.66,639.42,624.3,630.38,89453.0
2018-01-31,622.0,629.31,617.99,627.7,100634.0,0.0,1.0,622.0,629.31,617.99,627.7,100634.0
2018-01-30,618.76,626.2,618.76,620.22,85989.0,0.0,1.0,618.76,626.2,618.76,620.22,85989.0
2018-01-29,622.5,626.57,617.0,622.66,80801.0,0.0,1.0,622.5,626.57,617.0,622.66,80801.0
2018-01-26,629.72,629.72,622.7,623.88,55844.0,0.0,1.0,629.72,629.72,622.7,623.88,55844.0
2018-01-25,621.56,629.5,617.1694,629.5,112978.0,0.0,1.0,621.56,629.5,617.1694,629.5,112978.0
2018-01-24,616.3,621.03,614.11,619.78,111785.0,0.0,1.0,616.3,621.03,614.11,619.78,111785.0
2018-01-23,604.08,617.53,601.45,615.79,103529.0,0.0,1.0,604.08,617.53,601.45,615.79,103529.0
2018-01-22,591.18,606.58,591.18,603.33,122083.0,0.0,1.0,591.18,606.58,591.18,603.33,122083.0
2018-01-19,590.9,593.64,588.535,591.76,50754.0,0.0,1.0,590.9,593.64,588.535,591.76,50754.0
2018-01-18,593.51,596.29,587.865,589.73,118754.0,0.0,1.0,593.51,596.29,587.865,589.73,118754.0
2018-01-17,586.72,596.11,586.72,593.64,67780.0,0.0,1.0,586.72,596.11,586.72,593.64,67780.0
2018-01-16,586.68,590.49,580.01,584.33,62383.0,0.0,1.0,586.68,590.49,580.01,584.33,62383.0
2018-01-12,585.95,588.0,581.785,584.92,89323.0,0.0,1.0,585.95,588.0,581.785,584.92,89323.0
2018-01-11,576.75,586.495,575.015,585.85,80416.0,0.0,1.0,576.75,586.495,575.015,585.85,80416.0
2018-01-10,579.49,581.29,575.0,577.21,55819.0,0.0,1.0,579.49,581.29,575.0,577.21,55819.0
2018-01-09,585.39,592.24,579.325,580.73,58464.0,0.0,1.0,585.39,592.24,579.325,580.73,58464.0
2018-01-08,586.65,591.76,584.5,585.36,99727.0,0.0,1.0,586.65,591.76,584.5,585.36,99727.0
2018-01-05,594.92,594.92,585.1,588.86,57549.0,0.0,1.0,594.92,594.92,585.1,588.86,57549.0
2018-01-04,587.0,596.62,587.0,593.07,96966.0,0.0,1.0,587.0,596.62,587.0,593.07,96966.0
2018-01-03,581.32,588.39,579.8,585.03,58325.0,0.0,1.0,581.32,588.39,579.8,585.03,58325.0
2018-01-02,597.98,598.0095,580.4901,582.72,90609.0,0.0,1.0,597.98,598.0095,580.4901,582.72,90609.0
2017-12-29,597.78,600.48,590.15,596.09,93034.0,0.0,1.0,597.78,600.48,590.15,596.09,93034.0
2017-12-28,592.57,597.78,590.857,596.6,72212.0,0.0,1.0,592.57,597.78,590.857,596.6,72212.0
2017-12-27,590.5,593.43,589.465,592.08,80000.0,0.0,1.0,590.5,593.43,589.465,592.08,80000.0
2017-12-26,587.48,594.27,587.48,590.51,56330.0,0.0,1.0,587.48,594.27,587.48,590.51,56330.0
2017-12-22,586.44,591.21,582.75,589.86,61420.0,0.0,1.0,586.44,591.21,582.75,589.86,61420.0
2017-12-21,587.39,589.96,579.76,586.33,55517.0,0.0,1.0,587.39,589.96,579.76,586.33,55517.0
2017-12-20,580.23,586.56,577.7,583.75,87488.0,0.0,1.0,580.23,586.56,577.7,583.75,87488.0
2017-12-19,575.0,578.43,569.77,577.5,75916.0,0.0,1.0,575.0,578.43,569.77,577.5,75916.0
2017-12-18,579.93,590.165,573.905,576.23,45569.0,0.0,1.0,579.93,590.165,573.905,576.23,45569.0
2017-12-15,573.01,579.36,564.27,577.24,105943.0,0.0,1.0,573.01,579.36,564.27,577.24,105943.0
2017-12-14,564.85,572.12,559.82,562.64,57883.0,0.0,1.0,564.85,572.12,559.82,562.64,57883.0
2017-12-13,584.05,585.45,570.55,571.4,74591.0,0.0,1.0,584.05,585.45,570.55,571.4,74591.0
2017-12-12,586.21,589.52,582.26,582.96,92067.0,0.0,1.0,586.21,589.52,582.26,582.96,92067.0
2017-12-11,584.93,585.92,578.085,585.5,98301.0,0.0,1.0,584.93,585.92,578.085,585.5,98301.0
2017-12-08,586.34,589.0,582.76,585.72,172024.0,0.0,1.0,586.34,589.0,582.76,585.72,172024.0
2017-12-07,576.42,587.015,576.42,584.41,178189.0,0.0,1.0,576.42,587.015,576.42,584.41,178189.0
2017-12-06,577.32,579.08,569.31,576.88,141181.0,0.0,1.0,577.32,579.08,569.31,576.88,141181.0
2017-12-05,585.21,585.21,575.93,578.36,81782.0,0.0,1.0,585.21,585.21,575.93,578.36,81782.0
2017-12-04,586.06,591.265,583.57,585.0,45902.0,0.0,1.0,586.06,591.265,583.57,585.0,45902.0
2017-12-01,585.91,587.755,575.15,581.02,94293.0,0.0,1.0,585.91,587.755,575.15,581.02,94293.0
2017-11-30,585.91,591.0,580.85,584.8,100589.0,0.0,1.0,585.91,591.0,580.85,584.8,100589.0
2017-11-29,573.96,587.98,573.855,584.24,60926.0,0.0,1.0,573.96,587.98,573.855,584.24,60926.0
2017-11-28,564.74,575.07,564.74,572.48,70655.0,0.0,1.0,564.74,575.07,564.74,572.48,70655.0
2017-11-27,556.19,564.04,551.66,563.19,71123.0,0.0,1.0,556.19,564.04,551.66,563.19,71123.0
2017-11-24,553.9,556.45,549.0,556.02,27716.0,0.0,1.0,553.9,556.45,549.0,556.02,27716.0
2017-11-22,558.98,559.27,552.41,553.0,84112.0,0.0,1.0,558.98,559.27,552.41,553.0,84112.0
2017-11-21,563.58,563.58,554.58,557.78,84840.0,0.0,1.0,563.58,563.58,554.58,557.78,84840.0
2017-11-20,567.8,567.8,557.35,560.42,72825.0,0.0,1.0,567.8,567.8,557.35,560.42,72825.0
2017-11-17,572.85,577.31,565.78,566.6,48212.0,0.0,1.0,572.85,577.31,565.78,566.6,48212.0
2017-11-16,583.01,583.01,574.01,574.75,63402.0,0.0,1.0,583.01,583.01,574.01,574.75,63402.0
2017-11-15,575.65,589.15,572.35,581.28,64963.0,0.0,1.0,575.65,589.15,572.35,581.28,64963.0
2017-11-14,575.79,583.73,574.5,577.03,67053.0,0.0,1.0,575.79,583.73,574.5,577.03,67053.0
2017-11-13,578.2,579.41,574.75,576.37,75381.0,0.0,1.0,578.2,579.41,574.75,576.37,75381.0
2017-11-10,585.8,585.8,579.08,579.61,44751.0,0.0,1.0,585.8,585.8,579.08,579.61,44751.0
2017-11-09,579.6,587.7055,576.16,585.54,56527.0,0.0,1.0,579.6,587.7055,576.16,585.54,56527.0
2017-11-07,579.15,586.88,578.05,582.76,105532.0,0.0,1.0,579.15,586.88,578.05,582.76,105532.0
2017-11-06,583.15,587.295,576.69,580.51,131857.0,0.0,1.0,583.15,587.295,576.69,580.51,131857.0
2017-11-03,565.94,591.25,565.94,583.68,126296.0,0.0,1.0,565.94,591.25,565.94,583.68,126296.0
2017-11-02,564.5,570.6,564.5,567.0,58112.0,0.0,1.0,564.5,570.6,564.5,567.0,58112.0
2017-11-01,567.63,569.06,564.5,564.57,66126.0,0.0,1.0,567.63,569.06,564.5,564.57,66126.0
2017-10-31,565.82,568.77,563.155,566.22,54186.0,0.0,1.0,565.82,568.77,563.155,566.22,54186.0
2017-10-30,566.06,569.6,564.5,564.96,35574.0,0.0,1.0,566.06,569.6,564.5,564.96,35574.0
2017-10-27,571.71,571.71,565.42,567.27,49716.0,0.0,1.0,571.71,571.71,565.42,567.27,49716.0
2017-10-26,565.22,573.19,565.22,571.44,42794.0,0.0,1.0,565.22,573.19,565.22,571.44,42794.0
2017-10-25,563.02,566.78,558.77,566.48,41564.0,0.0,1.0,563.02,566.78,558.77,566.48,41564.0
2017-10-24,564.21,567.68,559.48,563.32,60884.0,0.0,1.0,564.21,567.68,559.48,563.32,60884.0
2017-10-23,564.28,567.67,560.205,565.04,58412.0,0.0,1.0,564.28,567.67,560.205,565.04,58412.0
2017-10-20,561.9,565.49,561.9,564.65,58561.0,0.0,1.0,561.9,565.49,561.9,564.65,58561.0
2017-10-19,561.0,562.71,553.84,560.92,63674.0,0.0,1.0,561.0,562.71,553.84,560.92,63674.0
2017-10-18,557.58,564.34,556.6,560.43,119435.0,0.0,1.0,557.58,564.34,556.6,560.43,119435.0
2017-10-17,552.66,558.63,551.0,556.27,63661.0,0.0,1.0,552.66,558.63,551.0,556.27,63661.0
2017-10-16,549.25,554.01,547.4501,551.61,80537.0,0.0,1.0,549.25,554.01,547.4501,551.61,80537.0
2017-10-13,547.06,553.23,546.22,547.72,99903.0,0.0,1.0,547.06,553.23,546.22,547.72,99903.0
2017-10-12,546.0,547.85,545.43,546.0,50182.0,0.0,1.0,546.0,547.85,545.43,546.0,50182.0
2017-10-11,543.81,546.02,539.705,545.48,43092.0,0.0,1.0,543.81,546.02,539.705,545.48,43092.0
2017-10-10,532.08,545.17,529.81,543.74,86552.0,0.0,1.0,532.08,545.17,529.81,543.74,86552.0
2017-10-09,548.24,548.24,535.93,538.1,114414.0,0.0,1.0,548.24,548.24,535.93,538.1,114414.0
2017-10-06,551.44,551.44,547.12,548.25,83251.0,0.0,1.0,551.44,551.44,547.12,548.25,83251.0
2017-10-05,555.89,556.7325,550.06,551.75,42935.0,0.0,1.0,555.89,556.7325,550.06,551.75,42935.0
2017-10-04,555.75,557.48,552.5,555.89,43586.0,0.0,1.0,555.75,557.48,552.5,555.89,43586.0
2017-10-03,557.57,559.35,552.71,556.74,29106.0,0.0,1.0,557.57,559.35,552.71,556.74,29106.0
2017-10-02,554.8,557.31,550.38,557.23,31189.0,0.0,1.0,554.8,557.31,550.38,557.23,31189.0
2017-09-29,548.01,556.55,545.99,554.01,90536.0,0.0,1.0,548.01,556.55,545.99,554.01,90536.0
2017-09-28,548.01,552.27,547.1461,549.27,40954.0,0.0,1.0,548.01,552.27,547.1461,549.27,40954.0
2017-09-27,557.54,557.54,547.05,549.49,61208.0,0.0,1.0,557.54,557.54,547.05,549.49,61208.0
2017-09-26,561.07,561.07,549.155,556.15,95689.0,0.0,1.0,561.07,561.07,549.155,556.15,95689.0
2017-09-25,561.62,565.56,560.275,562.0,57440.0,0.0,1.0,561.62,565.56,560.275,562.0,57440.0
2017-09-22,563.26,566.61,561.78,564.48,33486.0,0.0,1.0,563.26,566.61,561.78,564.48,33486.0
2017-09-21,565.4,567.905,562.47,564.24,46971.0,0.0,1.0,565.4,567.905,562.47,564.24,46971.0
2017-09-20,566.21,570.24,561.31,565.48,28256.0,0.0,1.0,566.21,570.24,561.31,565.48,28256.0
2017-09-19,567.88,570.53,563.735,564.51,47088.0,0.0,1.0,567.88,570.53,563.735,564.51,47088.0
2017-09-18,567.43,571.0,566.315,568.32,33346.0,0.0,1.0,567.43,571.0,566.315,568.32,33346.0
2017-09-15,567.03,569.86,564.27,567.11,91389.0,0.0,1.0,567.03,569.86,564.27,567.11,91389.0
2017-09-14,568.62,569.55,565.001,567.11,54239.0,0.0,1.0,568.62,569.55,565.001,567.11,54239.0
2017-09-13,564.7,571.8,563.25,569.61,55127.0,0.0,1.0,564.7,571.8,563.25,569.61,55127.0
2017-09-12,564.51,567.15,560.1075,566.78,60092.0,0.0,1.0,564.51,567.15,560.1075,566.78,60092.0
2017-09-11,556.83,564.45,551.08,561.73,116431.0,0.0,1.0,556.83,564.45,551.08,561.73,116431.0
2017-09-08,523.77,547.96,523.43,540.73,179009.0,0.0,1.0,523.77,547.96,523.43,540.73,179009.0
2017-09-07,543.4,543.4,521.07,523.19,102158.0,0.0,1.0,543.4,543.4,521.07,523.19,102158.0
2017-09-06,545.03,548.19,542.65,544.06,74551.0,0.0,1.0,545.03,548.19,542.65,544.06,74551.0
2017-09-05,562.29,562.29,542.17,543.61,69053.0,0.0,1.0,562.29,562.29,542.17,543.61,69053.0
2017-09-01,565.6,569.0,561.34,563.18,34286.0,0.0,1.0,565.6,569.0,561.34,563.18,34286.0
2017-08-31,561.5,566.48,561.495,562.77,58418.0,0.0,1.0,561.5,566.48,561.495,562.77,58418.0
2017-08-30,558.6,561.255,557.47,560.12,46632.0,0.0,1.0,558.6,561.255,557.47,560.12,46632.0
2017-08-29,562.0,563.64,557.6,559.89,56244.0,0.0,1.0,562.0,563.64,557.6,559.89,56244.0
2017-08-28,570.22,570.22,562.45,563.49,66883.0,0.0,1.0,570.22,570.22,562.45,563.49,66883.0
2017-08-25,572.75,574.835,570.01,570.23,47711.0,0.0,1.0,572.75,574.835,570.01,570.23,47711.0
2017-08-24,575.31,577.825,570.2,571.33,55832.0,0.0,1.0,575.31,577.825,570.2,571.33,55832.0
2017-08-23,575.6,581.9462,574.66,575.05,45231.0,0.0,1.0,575.6,581.9462,574.66,575.05,45231.0
2017-08-22,575.2,582.06,575.2,578.73,39491.0,0.0,1.0,575.2,582.06,575.2,578.73,39491.0
2017-08-21,577.81,577.81,574.51,574.82,21103.0,0.0,1.0,577.81,577.81,574.51,574.82,21103.0
2017-08-18,579.2,582.51,575.0001,578.98,62469.0,0.0,1.0,579.2,582.51,575.0001,578.98,62469.0
2017-08-17,588.64,589.15,579.3,579.42,50029.0,0.0,1.0,588.64,589.15,579.3,579.42,50029.0
2017-08-16,587.23,592.3,587.0005,590.43,45085.0,0.0,1.0,587.23,592.3,587.0005,590.43,45085.0
2017-08-15,592.53,593.94,585.91,585.99,24845.0,0.0,1.0,592.53,593.94,585.91,585.99,24845.0
2017-08-14,596.15,600.04,591.85,592.44,24331.0,0.0,1.0,596.15,600.04,591.85,592.44,24331.0
2017-08-11,591.12,595.8323,590.85,593.61,34955.0,0.0,1.0,591.12,595.8323,590.85,593.61,34955.0
2017-08-10,594.2,600.05,591.15,593.15,50086.0,0.0,1.0,594.2,600.05,591.15,593.15,50086.0
2017-08-09,595.2,597.89,588.12,597.86,48843.0,0.0,1.0,595.2,597.89,588.12,597.86,48843.0
2017-08-08,600.5,604.5,596.41,597.69,27957.0,0.0,1.0,600.5,604.5,596.41,597.69,27957.0
2017-08-07,607.35,607.83,597.23,600.41,33391.0,0.0,1.0,607.35,607.83,597.23,600.41,33391.0
2017-08-04,619.02,619.02,606.41,607.15,31289.0,0.0,1.0,619.02,619.02,606.41,607.15,31289.0
2017-08-03,619.64,619.64,613.57,617.27,32760.0,0.0,1.0,619.64,619.64,613.57,617.27,32760.0
2017-08-02,621.47,621.56,617.7,620.83,44698.0,0.0,1.0,621.47,621.56,617.7,620.83,44698.0
2017-08-01,614.84,623.31,614.84,623.13,63184.0,0.0,1.0,614.84,623.31,614.84,623.13,63184.0
2017-07-31,613.01,618.7695,608.655,613.34,63179.0,0.0,1.0,613.01,618.7695,608.655,613.34,63179.0
2017-07-28,602.31,615.78,602.31,614.0,24808.0,0.0,1.0,602.31,615.78,602.31,614.0,24808.0
2017-07-27,613.65,614.3,602.93,605.98,65749.0,0.0,1.0,613.65,614.3,602.93,605.98,65749.0
2017-07-26,628.3,628.3,614.0,614.65,49913.0,0.0,1.0,628.3,628.3,614.0,614.65,49913.0
2017-07-25,619.1,630.48,616.795,626.98,86859.0,0.0,1.0,619.1,630.48,616.795,626.98,86859.0
2017-07-24,616.0,618.78,612.57,615.55,29832.0,0.0,1.0,616.0,618.78,612.57,615.55,29832.0
2017-07-21,612.4,616.65,608.325,614.54,33804.0,0.0,1.0,612.4,616.65,608.325,614.54,33804.0
2017-07-20,610.0,613.62,608.8,611.97,28321.0,0.0,1.0,610.0,613.62,608.8,611.97,28321.0
2017-07-19,608.98,610.85,605.26,608.0,35393.0,0.0,1.0,608.98,610.85,605.26,608.0,35393.0
