Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,79.04,79.58,76.65,77.05,517312.0,0.0,1.0,79.04,79.58,76.65,77.05,517312.0
2018-03-26,77.25,78.97,76.12,78.68,946633.0,0.0,1.0,77.25,78.97,76.12,78.68,946633.0
2018-03-23,77.36,78.49,75.96,75.99,956307.0,0.0,1.0,77.36,78.49,75.96,75.99,956307.0
2018-03-22,78.68,79.285,76.91,76.98,846477.0,0.0,1.0,78.68,79.285,76.91,76.98,846477.0
2018-03-21,79.13,80.51,78.7,79.6,688218.0,0.0,1.0,79.13,80.51,78.7,79.6,688218.0
2018-03-20,79.12,81.23,78.6912,79.55,670380.0,0.0,1.0,79.12,81.23,78.6912,79.55,670380.0
2018-03-19,80.12,80.52,78.01,78.91,1276697.0,0.0,1.0,80.12,80.52,78.01,78.91,1276697.0
2018-03-16,78.12,79.7,77.69,79.32,764431.0,0.0,1.0,78.12,79.7,77.69,79.32,764431.0
2018-03-15,78.6,79.33,77.94800000000001,78.09,347639.0,0.0,1.0,78.6,79.33,77.94800000000001,78.09,347639.0
2018-03-14,79.85,79.92,78.12,78.58,405688.0,0.0,1.0,79.85,79.92,78.12,78.58,405688.0
2018-03-13,80.33,80.85,79.07,79.37,361113.0,0.0,1.0,80.33,80.85,79.07,79.37,361113.0
2018-03-12,81.47,82.06,79.82,79.83,780368.0,0.0,1.0,81.47,82.06,79.82,79.83,780368.0
2018-03-09,79.46,81.35,79.09,81.25,450973.0,0.0,1.0,79.46,81.35,79.09,81.25,450973.0
2018-03-08,78.43,79.74,77.39,78.92,613403.0,0.0,1.0,78.43,79.74,77.39,78.92,613403.0
2018-03-07,78.01,78.91,77.13,78.12,1021409.0,0.0,1.0,78.01,78.91,77.13,78.12,1021409.0
2018-03-06,78.7,79.75,78.35,79.3,807792.0,0.0,1.0,78.7,79.75,78.35,79.3,807792.0
2018-03-05,76.95,78.68,76.58,78.21,866488.0,0.0,1.0,76.95,78.68,76.58,78.21,866488.0
2018-03-02,76.05,77.79,75.25,77.33,1521563.0,0.0,1.0,76.05,77.79,75.25,77.33,1521563.0
2018-03-01,79.02,80.74,77.0,78.34,1159129.0,0.0,1.0,79.02,80.74,77.0,78.34,1159129.0
2018-02-28,82.77,83.19,78.81,78.93,1587301.0,0.0,1.0,82.77,83.19,78.81,78.93,1587301.0
2018-02-27,82.47,84.86,82.26,82.55,1662496.0,0.0,1.0,82.47,84.86,82.26,82.55,1662496.0
2018-02-26,83.92,84.0,81.56,82.16,1524378.0,0.0,1.0,83.92,84.0,81.56,82.16,1524378.0
2018-02-23,84.15,84.99,81.83,83.47,1094639.0,0.0,1.0,84.15,84.99,81.83,83.47,1094639.0
2018-02-22,85.17,86.91,83.52,83.8,1377037.0,0.0,1.0,85.17,86.91,83.52,83.8,1377037.0
2018-02-21,84.24,86.38,84.24,84.99,730174.0,0.0,1.0,84.24,86.38,84.24,84.99,730174.0
2018-02-20,84.44,85.65,83.85,84.43,1045358.0,0.0,1.0,84.44,85.65,83.85,84.43,1045358.0
2018-02-16,87.04,87.72,84.01,84.99,755571.0,0.0,1.0,87.04,87.72,84.01,84.99,755571.0
2018-02-15,87.4,87.88,86.08,87.04,766561.0,0.0,1.0,87.4,87.88,86.08,87.04,766561.0
2018-02-14,84.9,86.88,84.58,86.62,789590.0,0.0,1.0,84.9,86.88,84.58,86.62,789590.0
2018-02-13,85.55,86.385,84.81,85.37,640866.0,0.0,1.0,85.55,86.385,84.81,85.37,640866.0
2018-02-12,86.96,87.87,85.66,86.15,793473.0,0.0,1.0,86.96,87.87,85.66,86.15,793473.0
2018-02-09,85.1,87.45,83.62,86.52,1259373.0,0.0,1.0,85.1,87.45,83.62,86.52,1259373.0
2018-02-08,85.36,87.5499,83.25,83.29,1537567.0,0.0,1.0,85.36,87.5499,83.25,83.29,1537567.0
2018-02-07,84.79,86.31,84.79,85.12,737588.0,0.0,1.0,84.79,86.31,84.79,85.12,737588.0
2018-02-06,81.97,85.66,80.78,85.14,1581376.0,0.0,1.0,81.97,85.66,80.78,85.14,1581376.0
2018-02-05,85.68,86.62,83.94,84.25,1439646.0,0.0,1.0,85.68,86.62,83.94,84.25,1439646.0
2018-02-02,91.34,91.34,87.31,87.45,936473.0,0.0,1.0,91.34,91.34,87.31,87.45,936473.0
2018-02-01,90.13,93.2,90.04,92.28,837270.0,0.0,1.0,90.13,93.2,90.04,92.28,837270.0
2018-01-31,92.96,93.86,90.54,90.72,709240.0,0.0,1.0,92.96,93.86,90.54,90.72,709240.0
2018-01-30,91.6,92.68,90.57,92.15,835402.0,0.0,1.0,91.6,92.68,90.57,92.15,835402.0
2018-01-29,95.04,95.96,92.36,92.68,991939.0,0.0,1.0,95.04,95.96,92.36,92.68,991939.0
2018-01-26,95.74,96.65,94.11,96.24,1013570.0,0.0,1.0,95.74,96.65,94.11,96.24,1013570.0
2018-01-25,98.71,100.26,92.895,95.33,1909395.0,0.0,1.0,98.71,100.26,92.895,95.33,1909395.0
2018-01-24,94.9,94.9,92.21,93.04,795955.0,0.0,1.0,94.9,94.9,92.21,93.04,795955.0
2018-01-23,94.36,94.66,93.01,94.09,656511.0,0.0,1.0,94.36,94.66,93.01,94.09,656511.0
2018-01-22,94.88,94.88,92.12,93.98,748570.0,0.0,1.0,94.88,94.88,92.12,93.98,748570.0
2018-01-19,91.82,94.93,91.46,94.85,1244336.0,0.0,1.0,91.82,94.93,91.46,94.85,1244336.0
2018-01-18,90.72,91.53,90.18,91.15,710331.0,0.0,1.0,90.72,91.53,90.18,91.15,710331.0
2018-01-17,91.25,91.645,89.91,90.74,608831.0,0.0,1.0,91.25,91.645,89.91,90.74,608831.0
2018-01-16,92.96,93.28,90.77,91.02,511999.0,0.0,1.0,92.96,93.28,90.77,91.02,511999.0
2018-01-12,91.36,93.23,90.9301,92.29,542812.0,0.0,1.0,91.36,93.23,90.9301,92.29,542812.0
2018-01-11,90.52,91.18,90.0,91.15,630352.0,0.0,1.0,90.52,91.18,90.0,91.15,630352.0
2018-01-10,91.08,91.695,89.94,90.16,589780.0,0.0,1.0,91.08,91.695,89.94,90.16,589780.0
2018-01-09,90.98,91.54,90.29,90.94,279367.0,0.0,1.0,90.98,91.54,90.29,90.94,279367.0
2018-01-08,89.97,91.2,89.55,90.66,353608.0,0.0,1.0,89.97,91.2,89.55,90.66,353608.0
2018-01-05,91.37,91.62,89.04,89.97,602033.0,0.0,1.0,91.37,91.62,89.04,89.97,602033.0
2018-01-04,92.75,93.279,91.14,91.28,724392.0,0.0,1.0,92.75,93.279,91.14,91.28,724392.0
2018-01-03,92.29,92.82,90.8104,92.03,546925.0,0.0,1.0,92.29,92.82,90.8104,92.03,546925.0
2018-01-02,91.25,92.48,91.23,92.17,575217.0,0.0,1.0,91.25,92.48,91.23,92.17,575217.0
2017-12-29,91.39,92.0,90.53,90.89,353652.0,0.0,1.0,91.39,92.0,90.53,90.89,353652.0
2017-12-28,91.26,91.535,90.61,90.97,361122.0,0.0,1.0,91.26,91.535,90.61,90.97,361122.0
2017-12-27,91.52,92.06,90.85,91.17,459550.0,0.0,1.0,91.52,92.06,90.85,91.17,459550.0
2017-12-26,91.47,91.93,90.87,91.34,320609.0,0.0,1.0,91.47,91.93,90.87,91.34,320609.0
2017-12-22,90.87,91.66,89.71,91.4,362828.0,0.0,1.0,90.87,91.66,89.71,91.4,362828.0
2017-12-21,90.52,91.29,90.22,91.11,334852.0,0.0,1.0,90.52,91.29,90.22,91.11,334852.0
2017-12-20,90.28,91.11,89.15,90.18,534994.0,0.0,1.0,90.28,91.11,89.15,90.18,534994.0
2017-12-19,89.94,90.65,88.98,89.71,444941.0,0.0,1.0,89.94,90.65,88.98,89.71,444941.0
2017-12-18,89.58,90.93,88.61,90.31,469532.0,0.0,1.0,89.58,90.93,88.61,90.31,469532.0
2017-12-15,88.54,89.41,87.93,88.57,959542.0,0.0,1.0,88.54,89.41,87.93,88.57,959542.0
2017-12-14,89.48,90.11,87.66,87.72,578317.0,0.0,1.0,89.48,90.11,87.66,87.72,578317.0
2017-12-13,88.18,90.32,88.14,89.1,1015058.0,0.0,1.0,88.18,90.32,88.14,89.1,1015058.0
2017-12-12,88.93,89.11,88.19,88.38,611179.0,0.0,1.0,88.93,89.11,88.19,88.38,611179.0
2017-12-11,88.99,89.18,88.4,88.46,471693.0,0.0,1.0,88.99,89.18,88.4,88.46,471693.0
2017-12-08,88.64,89.16,86.961,88.78,639276.0,0.0,1.0,88.64,89.16,86.961,88.78,639276.0
2017-12-07,87.72,88.59,87.17,88.0,1098345.0,0.0,1.0,87.72,88.59,87.17,88.0,1098345.0
2017-12-06,89.14,89.2,87.67,87.91,708920.0,0.0,1.0,89.14,89.2,87.67,87.91,708920.0
2017-12-05,91.91,91.91,89.55,89.57,687958.0,0.0,1.0,91.91,91.91,89.55,89.57,687958.0
2017-12-04,90.6,93.1,90.495,92.1,1102914.0,0.0,1.0,90.6,93.1,90.495,92.1,1102914.0
2017-12-01,90.0,90.26,86.45,88.89,696262.0,0.0,1.0,90.0,90.26,86.45,88.89,696262.0
2017-11-30,89.02,91.44,88.905,90.04,947740.0,0.0,1.0,89.02,91.44,88.905,90.04,947740.0
2017-11-29,87.5,89.11,87.17,88.88,792835.0,0.0,1.0,87.5,89.11,87.17,88.88,792835.0
2017-11-28,85.73,87.49,85.43,87.49,578023.0,0.0,1.0,85.73,87.49,85.43,87.49,578023.0
2017-11-27,86.45,87.12,85.4,85.76,459628.0,0.0,1.0,86.45,87.12,85.4,85.76,459628.0
2017-11-24,86.49,86.85,86.01,86.35,215021.0,0.0,1.0,86.49,86.85,86.01,86.35,215021.0
2017-11-22,86.61,86.91,85.31,85.9,565992.0,0.0,1.0,86.61,86.91,85.31,85.9,565992.0
2017-11-21,86.83,87.4,85.86,86.23,607941.0,0.0,1.0,86.83,87.4,85.86,86.23,607941.0
2017-11-20,85.09,86.85,84.91,86.59,532384.0,0.0,1.0,85.09,86.85,84.91,86.59,532384.0
2017-11-17,84.15,85.64,83.941,85.27,605561.0,0.0,1.0,84.15,85.64,83.941,85.27,605561.0
2017-11-16,84.39,85.8124,84.32,84.6,565977.0,0.0,1.0,84.39,85.8124,84.32,84.6,565977.0
2017-11-15,84.53,85.33,83.5,84.06,749554.0,0.24,1.0,84.53,85.33,83.5,84.06,749554.0
2017-11-14,84.93,86.46,84.93,85.81,836060.0,0.0,1.0,84.688206405694,86.213850533808,84.688206405694,85.56570106761599,836060.0
2017-11-13,84.38,85.65,84.14,85.51,599338.0,0.0,1.0,84.139772241993,85.40615658363001,83.900455516014,85.266555160142,599338.0
2017-11-10,83.41,85.12,83.4,84.9,519950.0,0.0,1.0,83.172533807829,84.877665480427,83.16256227758001,84.658291814947,519950.0
2017-11-09,84.55,84.63,83.28,83.86,650526.0,0.0,1.0,84.309288256228,84.389060498221,83.042903914591,83.621252669039,650526.0
2017-11-07,88.56,88.92,86.76,87.29,703394.0,0.0,1.0,88.307871886121,88.666846975089,86.51299644128099,87.041487544484,703394.0
2017-11-06,87.27,88.27,87.105,88.12,582837.0,0.0,1.0,87.02154448398599,88.018697508897,86.857014234875,87.86912455515998,582837.0
2017-11-03,87.0,87.22,86.04,86.64,552720.0,0.0,1.0,86.75231316726,86.97168683274,85.795046263345,86.393338078292,552720.0
2017-11-02,87.86,88.68,87.0,87.03,752178.0,0.0,1.0,87.609864768683,88.42753024910999,86.75231316726,86.782227758007,752178.0
2017-11-01,92.8,93.3,86.49,87.66,1473206.0,0.0,1.0,92.535800711744,93.034377224199,86.243765124555,87.410434163701,1473206.0
2017-10-31,92.0,94.16,90.36,91.56,1336559.0,0.0,1.0,91.738078291815,93.891928825623,90.102747330961,91.299330960854,1336559.0
2017-10-30,90.94,90.94,89.5,89.57,990836.0,0.0,1.0,90.681096085409,90.681096085409,89.24519572953699,89.314996441281,990836.0
2017-10-27,90.22,91.18,90.03,91.02,609479.0,0.0,1.0,89.96314590747299,90.92041281138799,89.77368683274,90.760868327402,609479.0
2017-10-26,89.23,90.91,88.76,90.61,612249.0,0.0,1.0,88.975964412811,90.651181494662,88.507302491103,90.35203558718901,612249.0
2017-10-25,89.01,89.75,88.33,89.2,722956.0,0.0,1.0,88.756590747331,89.494483985765,88.078526690391,88.946049822064,722956.0
2017-10-24,87.9,89.98,87.89,89.68,866562.0,0.0,1.0,87.64975088968,89.723829181495,87.639779359431,89.42468327402099,866562.0
2017-10-23,87.3,87.645,86.815,87.09,466524.0,0.0,1.0,87.051459074733,87.39547686832701,86.56783985765101,86.84205693950199,466524.0
2017-10-20,87.28,87.4,86.6,87.13,421591.0,0.0,1.0,87.031516014235,87.15117437722401,86.353451957295,86.881943060498,421591.0
2017-10-19,86.51,87.18,85.5,87.03,658886.0,0.0,1.0,86.263708185053,86.931800711744,85.256583629893,86.782227758007,658886.0
2017-10-18,87.05,87.24,86.76,86.87,471975.0,0.0,1.0,86.802170818505,86.99162989323798,86.51299644128099,86.622683274021,471975.0
2017-10-17,87.55,87.67,86.755,86.9,486521.0,0.0,1.0,87.300747330961,87.42040569395,86.508010676157,86.652597864769,486521.0
2017-10-16,87.79,88.2,87.41,87.83,362605.0,0.0,1.0,87.54006405694,87.948896797153,87.16114590747299,87.579950177936,362605.0
2017-10-13,87.94,88.2,86.95,87.05,344195.0,0.0,1.0,87.68963701067601,87.948896797153,86.702455516014,86.802170818505,344195.0
2017-10-12,85.57,87.61,85.57,87.3,549267.0,0.0,1.0,85.326384341637,87.36057651245599,85.326384341637,87.051459074733,549267.0
2017-10-11,84.73,85.68,84.55,85.55,643653.0,0.0,1.0,84.488775800712,85.436071174377,84.309288256228,85.306441281139,643653.0
2017-10-10,84.8,84.82,83.99,84.59,552780.0,0.0,1.0,84.558576512456,84.578519572954,83.75088256227801,84.349174377224,552780.0
2017-10-09,84.71,84.71,83.49,84.09,369477.0,0.0,1.0,84.468832740214,84.468832740214,83.252306049822,83.850597864769,369477.0
2017-10-06,84.31,84.44,83.48,84.24,371236.0,0.0,1.0,84.069971530249,84.19960142348799,83.242334519573,84.000170818505,371236.0
2017-10-05,83.66,84.97,83.4,84.49,771183.0,0.0,1.0,83.421822064057,84.72809252669,83.16256227758001,84.249459074733,771183.0
2017-10-04,83.38,83.86,83.03,83.23,347311.0,0.0,1.0,83.142619217082,83.621252669039,82.793615658363,82.99304626334501,347311.0
2017-10-03,84.14,84.3099,82.93,83.4,351291.0,0.0,1.0,83.900455516014,84.069871814947,82.693900355872,83.16256227758001,351291.0
2017-10-02,83.12,84.25,82.65,84.07,593175.0,0.0,1.0,82.883359430605,84.010142348754,82.41469750889699,83.83065480427,593175.0
2017-09-29,82.34,83.49,82.07,82.54,442839.0,0.0,1.0,82.105580071174,83.252306049822,81.83634875444801,82.305010676157,442839.0
2017-09-28,82.04,82.77,81.12,82.68,325387.0,0.0,1.0,81.806434163701,82.53435587188599,80.88905338078301,82.444612099644,325387.0
2017-09-27,81.45,82.46,81.26,82.18,404924.0,0.0,1.0,81.21811387900401,82.225238434164,81.02865480426999,81.946035587189,404924.0
2017-09-26,80.7,81.29,80.25,80.85,367034.0,0.0,1.0,80.47024911032,81.058569395018,80.02153024910999,80.619822064057,367034.0
2017-09-25,79.7,80.78,79.61,80.58,341131.0,0.0,1.0,79.473096085409,80.55002135231301,79.383352313167,80.350590747331,341131.0
2017-09-22,79.4,80.0,79.035,79.72,386373.0,0.0,1.0,79.173950177936,79.772241992883,78.809989323843,79.493039145907,386373.0
