Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,137.81,137.81,134.015,134.65,185608.0,0.0,1.0,137.81,137.81,134.015,134.65,185608.0
2018-03-26,136.11,138.135,134.8,137.45,128168.0,0.0,1.0,136.11,138.135,134.8,137.45,128168.0
2018-03-23,135.41,137.0,133.81,133.95,210790.0,0.0,1.0,135.41,137.0,133.81,133.95,210790.0
2018-03-22,139.61,139.61,135.16,135.27,212982.0,0.0,1.0,139.61,139.61,135.16,135.27,212982.0
2018-03-21,141.64,142.28,140.6,140.78,172233.0,0.0,1.0,141.64,142.28,140.6,140.78,172233.0
2018-03-20,139.71,142.5,139.71,141.89,191901.0,0.0,1.0,139.71,142.5,139.71,141.89,191901.0
2018-03-19,139.0,139.74,137.51,139.52,197321.0,0.0,1.0,139.0,139.74,137.51,139.52,197321.0
2018-03-16,139.09,140.29,137.95,139.27,345980.0,0.0,1.0,139.09,140.29,137.95,139.27,345980.0
2018-03-15,139.65,140.86,137.62,139.02,150443.0,0.0,1.0,139.65,140.86,137.62,139.02,150443.0
2018-03-14,140.51,141.28,138.7,139.22,163556.0,0.0,1.0,140.51,141.28,138.7,139.22,163556.0
2018-03-13,140.44,141.22,139.51,140.1,150622.0,0.0,1.0,140.44,141.22,139.51,140.1,150622.0
2018-03-12,140.11,140.83,138.75,139.69,156107.0,0.0,1.0,140.11,140.83,138.75,139.69,156107.0
2018-03-09,138.18,140.1,136.97,139.98,176828.0,0.0,1.0,138.18,140.1,136.97,139.98,176828.0
2018-03-08,138.44,138.455,135.6701,137.7,171086.0,0.0,1.0,138.44,138.455,135.6701,137.7,171086.0
2018-03-07,135.28,138.125,135.28,137.66,275310.0,0.0,1.0,135.28,138.125,135.28,137.66,275310.0
2018-03-06,136.76,137.49,136.01,136.54,167751.0,0.0,1.0,136.76,137.49,136.01,136.54,167751.0
2018-03-05,134.22,136.46,133.0,135.94,176153.0,0.0,1.0,134.22,136.46,133.0,135.94,176153.0
2018-03-02,132.34,135.1,131.55,134.8,191104.0,0.0,1.0,132.34,135.1,131.55,134.8,191104.0
2018-03-01,134.08,137.715,132.26,133.9,254220.0,0.0,1.0,134.08,137.715,132.26,133.9,254220.0
2018-02-28,138.44,138.81,134.02,134.07,280170.0,0.0,1.0,138.44,138.81,134.02,134.07,280170.0
2018-02-27,138.81,138.89,136.85,137.54,246700.0,0.0,1.0,138.81,138.89,136.85,137.54,246700.0
2018-02-26,136.78,138.85,134.88,138.55,290392.0,0.0,1.0,136.78,138.85,134.88,138.55,290392.0
2018-02-23,136.95,140.99,132.36,136.55,742368.0,0.0,1.0,136.95,140.99,132.36,136.55,742368.0
2018-02-22,140.77,142.52,135.7324,141.41,340613.0,0.0,1.0,140.77,142.52,135.7324,141.41,340613.0
2018-02-21,138.36,141.9631,137.315,139.33,243838.0,0.0,1.0,138.36,141.9631,137.315,139.33,243838.0
2018-02-20,138.7,140.92,137.91,138.57,220962.0,0.0,1.0,138.7,140.92,137.91,138.57,220962.0
2018-02-16,138.95,140.66,137.87,138.89,220867.0,0.0,1.0,138.95,140.66,137.87,138.89,220867.0
2018-02-15,140.17,140.25,136.94,139.0,195629.0,0.0,1.0,140.17,140.25,136.94,139.0,195629.0
2018-02-14,136.29,140.36,136.1,139.63,174502.0,0.0,1.0,136.29,140.36,136.1,139.63,174502.0
2018-02-13,135.55,137.61,135.3,137.27,142876.0,0.0,1.0,135.55,137.61,135.3,137.27,142876.0
2018-02-12,136.98,138.29,135.44,136.91,272707.0,0.0,1.0,136.98,138.29,135.44,136.91,272707.0
2018-02-09,135.29,137.59,131.68,136.2,255554.0,0.0,1.0,135.29,137.59,131.68,136.2,255554.0
2018-02-08,137.53,137.57,133.57,133.57,269614.0,0.0,1.0,137.53,137.57,133.57,133.57,269614.0
2018-02-07,138.87,139.88,135.9915,137.63,243838.0,0.0,1.0,138.87,139.88,135.9915,137.63,243838.0
2018-02-06,132.52,139.93,131.63,139.09,400147.0,0.0,1.0,132.52,139.93,131.63,139.09,400147.0
2018-02-05,140.5,143.71,135.22,135.43,206268.0,0.0,1.0,140.5,143.71,135.22,135.43,206268.0
2018-02-02,143.54,143.55,140.34,141.72,191345.0,0.0,1.0,143.54,143.55,140.34,141.72,191345.0
2018-02-01,143.09,145.11,143.09,144.22,196931.0,0.0,1.0,143.09,145.11,143.09,144.22,196931.0
2018-01-31,145.48,146.32,142.52,143.72,475093.0,0.0,1.0,145.48,146.32,142.52,143.72,475093.0
2018-01-30,143.67,145.78,143.05,144.73,206922.0,0.0,1.0,143.67,145.78,143.05,144.73,206922.0
2018-01-29,149.21,150.215,146.1,146.61,183465.0,0.0,1.0,149.21,150.215,146.1,146.61,183465.0
2018-01-26,148.63,150.2,146.81,150.1,202842.0,0.0,1.0,148.63,150.2,146.81,150.1,202842.0
2018-01-25,148.52,148.92,146.07,148.29,282913.0,0.0,1.0,148.52,148.92,146.07,148.29,282913.0
2018-01-24,150.35,150.39,146.54,147.59,178116.0,0.0,1.0,150.35,150.39,146.54,147.59,178116.0
2018-01-23,149.77,151.48,149.46,149.87,242888.0,0.0,1.0,149.77,151.48,149.46,149.87,242888.0
2018-01-22,150.76,151.09,148.39,149.99,239915.0,0.0,1.0,150.76,151.09,148.39,149.99,239915.0
2018-01-19,149.92,151.49,149.4,151.14,225301.0,0.0,1.0,149.92,151.49,149.4,151.14,225301.0
2018-01-18,147.73,150.27,147.73,149.2,237489.0,0.0,1.0,147.73,150.27,147.73,149.2,237489.0
2018-01-17,147.34,149.76,146.69,148.18,287639.0,0.0,1.0,147.34,149.76,146.69,148.18,287639.0
