Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,48.25,48.62,47.18,47.47,1507080.0,0.0,1.0,48.25,48.62,47.18,47.47,1507080.0
2018-03-26,47.86,48.32,47.105,48.24,1897456.0,0.0,1.0,47.86,48.32,47.105,48.24,1897456.0
2018-03-23,48.8,48.93,46.87,46.98,1351896.0,0.0,1.0,48.8,48.93,46.87,46.98,1351896.0
2018-03-22,49.94,50.15,48.52,48.62,941561.0,0.0,1.0,49.94,50.15,48.52,48.62,941561.0
2018-03-21,50.44,51.17,50.14,50.63,1099577.0,0.0,1.0,50.44,51.17,50.14,50.63,1099577.0
2018-03-20,50.21,50.51,50.05,50.27,846658.0,0.0,1.0,50.21,50.51,50.05,50.27,846658.0
2018-03-19,50.31,50.5,49.34,49.87,895422.0,0.0,1.0,50.31,50.5,49.34,49.87,895422.0
2018-03-16,50.0,50.785,49.81,50.28,2379665.0,0.0,1.0,50.0,50.785,49.81,50.28,2379665.0
2018-03-15,49.8,50.24,49.485,49.81,1053597.0,0.0,1.0,49.8,50.24,49.485,49.81,1053597.0
2018-03-14,50.6,50.75,49.38,49.51,1108153.0,0.0,1.0,50.6,50.75,49.38,49.51,1108153.0
2018-03-13,51.12,51.2,50.21,50.32,1077645.0,0.0,1.0,51.12,51.2,50.21,50.32,1077645.0
2018-03-12,51.15,51.33,50.64,50.69,1416687.0,0.0,1.0,51.15,51.33,50.64,50.69,1416687.0
2018-03-09,50.18,51.23,49.81,51.19,1383369.0,0.0,1.0,50.18,51.23,49.81,51.19,1383369.0
2018-03-08,50.06,50.06,49.09,49.63,1219724.0,0.0,1.0,50.06,50.06,49.09,49.63,1219724.0
2018-03-07,49.32,50.07,49.21,49.94,1267308.0,0.0,1.0,49.32,50.07,49.21,49.94,1267308.0
2018-03-06,50.18,50.24,49.28,49.96,1303884.0,0.0,1.0,50.18,50.24,49.28,49.96,1303884.0
2018-03-05,48.71,50.33,48.52,49.96,1431433.0,0.0,1.0,48.71,50.33,48.52,49.96,1431433.0
2018-03-02,48.93,49.26,47.79,49.15,1940069.0,0.0,1.0,48.93,49.26,47.79,49.15,1940069.0
2018-03-01,50.9,51.15,49.11,49.31,2398822.0,0.0,1.0,50.9,51.15,49.11,49.31,2398822.0
2018-02-28,52.22,52.45,50.95,50.96,1939918.0,0.0,1.0,52.22,52.45,50.95,50.96,1939918.0
2018-02-27,52.35,53.06,51.94,51.94,1339262.0,0.0,1.0,52.35,53.06,51.94,51.94,1339262.0
2018-02-26,51.96,52.5,51.77,52.41,990253.0,0.0,1.0,51.96,52.5,51.77,52.41,990253.0
2018-02-23,51.41,51.77,51.23,51.73,1077448.0,0.0,1.0,51.41,51.77,51.23,51.73,1077448.0
2018-02-22,52.11,52.23,51.16,51.26,1928862.0,0.0,1.0,52.11,52.23,51.16,51.26,1928862.0
2018-02-21,52.39,52.86,51.96,51.98,1343555.0,0.0,1.0,52.39,52.86,51.96,51.98,1343555.0
2018-02-20,52.27,52.68,52.06,52.34,1334450.0,0.0,1.0,52.27,52.68,52.06,52.34,1334450.0
2018-02-16,51.84,52.81,51.06,52.45,1484323.0,0.0,1.0,51.84,52.81,51.06,52.45,1484323.0
2018-02-15,52.8,53.1,51.81,52.15,1407357.0,0.0,1.0,52.8,53.1,51.81,52.15,1407357.0
2018-02-14,50.46,52.6,50.41,52.45,1586455.0,0.0,1.0,50.46,52.6,50.41,52.45,1586455.0
2018-02-13,50.65,51.16,50.18,50.82,2312524.0,0.0,1.0,50.65,51.16,50.18,50.82,2312524.0
2018-02-12,49.59,50.93,49.27,50.48,3565636.0,0.0,1.0,49.59,50.93,49.27,50.48,3565636.0
2018-02-09,48.44,49.63,47.53,49.21,2074272.0,0.0,1.0,48.44,49.63,47.53,49.21,2074272.0
2018-02-08,50.64,50.64,47.84,47.87,2450121.0,0.0,1.0,50.64,50.64,47.84,47.87,2450121.0
2018-02-07,50.37,51.23,50.21,50.58,2809683.0,0.0,1.0,50.37,51.23,50.21,50.58,2809683.0
