Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,63.45,64.15,62.8,63.37,419225.0,0.0,1.0,63.45,64.15,62.8,63.37,419225.0
2018-03-26,62.67,63.41,62.44,63.32,757405.0,0.0,1.0,62.67,63.41,62.44,63.32,757405.0
2018-03-23,63.33,63.7778,62.26,62.37,518309.0,0.0,1.0,63.33,63.7778,62.26,62.37,518309.0
2018-03-22,63.44,64.29,62.94,63.1,410065.0,0.0,1.0,63.44,64.29,62.94,63.1,410065.0
2018-03-21,63.25,63.94,63.245,63.48,253827.0,0.0,1.0,63.25,63.94,63.245,63.48,253827.0
2018-03-20,63.85,64.26,63.03,63.19,308486.0,0.0,1.0,63.85,64.26,63.03,63.19,308486.0
2018-03-19,63.91,64.29,63.41,63.81,488078.0,0.0,1.0,63.91,64.29,63.41,63.81,488078.0
2018-03-16,63.61,64.5,63.44,64.32,1718059.0,0.0,1.0,63.61,64.5,63.44,64.32,1718059.0
2018-03-15,62.86,63.74,62.82,63.4,824461.0,0.0,1.0,62.86,63.74,62.82,63.4,824461.0
2018-03-14,61.48,63.5,61.48,62.95,663073.0,0.0,1.0,61.48,63.5,61.48,62.95,663073.0
2018-03-13,61.14,61.65,60.78,60.97,792431.0,0.0,1.0,61.14,61.65,60.78,60.97,792431.0
2018-03-12,60.81,61.18,60.32,60.85,282949.0,0.0,1.0,60.81,61.18,60.32,60.85,282949.0
2018-03-09,61.01,61.03,60.16,60.71,407962.0,0.0,1.0,61.01,61.03,60.16,60.71,407962.0
2018-03-08,61.21,61.33,60.7,60.85,299329.0,0.0,1.0,61.21,61.33,60.7,60.85,299329.0
2018-03-07,61.17,61.34,60.3,60.93,409423.0,0.0,1.0,61.17,61.34,60.3,60.93,409423.0
2018-03-06,61.28,61.69,60.27,61.44,485535.0,0.0,1.0,61.28,61.69,60.27,61.44,485535.0
2018-03-05,60.37,61.44,60.1307,61.3,357391.0,0.0,1.0,60.37,61.44,60.1307,61.3,357391.0
2018-03-02,60.36,61.26,59.5,60.4,404433.0,0.0,1.0,60.36,61.26,59.5,60.4,404433.0
2018-03-01,60.4,61.225,60.37,60.57,411166.0,0.0,1.0,60.4,61.225,60.37,60.57,411166.0
2018-02-28,61.05,61.28,60.24,60.25,399619.0,0.0,1.0,61.05,61.28,60.24,60.25,399619.0
2018-02-27,62.17,62.46,60.95,60.98,421463.0,0.0,1.0,62.17,62.46,60.95,60.98,421463.0
2018-02-26,63.23,63.41,62.0,62.08,279160.0,0.0,1.0,63.23,63.41,62.0,62.08,279160.0
2018-02-23,61.97,63.38,61.87,63.07,525040.0,0.0,1.0,61.97,63.38,61.87,63.07,525040.0
2018-02-22,61.77,62.43,61.13,61.68,393881.0,0.0,1.0,61.77,62.43,61.13,61.68,393881.0
2018-02-21,62.58,62.65,61.46,61.46,585266.0,0.0,1.0,62.58,62.65,61.46,61.46,585266.0
2018-02-20,62.62,62.88,62.08,62.57,433790.0,0.0,1.0,62.62,62.88,62.08,62.57,433790.0
2018-02-16,62.52,63.3,62.0622,62.97,414108.0,0.0,1.0,62.52,63.3,62.0622,62.97,414108.0
2018-02-15,61.91,62.65,61.76,62.6,342692.0,0.0,1.0,61.91,62.65,61.76,62.6,342692.0
