Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,108.0,108.25,104.65,105.3,1237497.0,0.0,1.0,108.0,108.25,104.65,105.3,1237497.0
2018-03-26,107.65,110.1,106.08,107.35,1472255.0,0.0,1.0,107.65,110.1,106.08,107.35,1472255.0
2018-03-23,110.2,111.15,105.1,105.25,1330348.0,0.0,1.0,110.2,111.15,105.1,105.25,1330348.0
2018-03-22,113.35,113.65,109.8,110.2,1188056.0,0.0,1.0,113.35,113.65,109.8,110.2,1188056.0
2018-03-21,116.9,119.3,114.35,114.95,1422090.0,0.0,1.0,116.9,119.3,114.35,114.95,1422090.0
2018-03-20,112.95,117.45,111.55,115.975,2554849.0,0.0,1.0,112.95,117.45,111.55,115.975,2554849.0
2018-03-19,114.0,114.05,104.15,109.0,5430421.0,0.0,1.0,114.0,114.05,104.15,109.0,5430421.0
2018-03-16,123.5,124.825,123.0,124.0,783601.0,0.0,1.0,123.5,124.825,123.0,124.0,783601.0
2018-03-15,125.55,126.6,122.05,123.55,905978.0,0.0,1.0,125.55,126.6,122.05,123.55,905978.0
2018-03-14,126.25,127.4,125.15,125.8,658652.0,0.0,1.0,126.25,127.4,125.15,125.8,658652.0
2018-03-13,129.4,129.6,125.05,126.25,952427.0,0.0,1.0,129.4,129.6,125.05,126.25,952427.0
2018-03-12,133.9,134.55,128.1494,128.4,1336011.0,0.0,1.0,133.9,134.55,128.1494,128.4,1336011.0
2018-03-09,126.4,132.75,126.4,132.05,1592252.0,0.0,1.0,126.4,132.75,126.4,132.05,1592252.0
2018-03-08,125.85,127.1,123.6171,124.85,836834.0,0.0,1.0,125.85,127.1,123.6171,124.85,836834.0
2018-03-07,120.7,125.0,120.7,124.6,1015800.0,0.0,1.0,120.7,125.0,120.7,124.6,1015800.0
2018-03-06,120.9,123.95,119.6,122.15,1350218.0,0.0,1.0,120.9,123.95,119.6,122.15,1350218.0
2018-03-05,121.1,122.42,119.2,120.45,1915128.0,0.0,1.0,121.1,122.42,119.2,120.45,1915128.0
2018-03-02,122.45,125.8044,120.15,123.55,1876639.0,0.0,1.0,122.45,125.8044,120.15,123.55,1876639.0
2018-03-01,129.05,129.65,125.01,125.55,1808203.0,0.0,1.0,129.05,129.65,125.01,125.55,1808203.0
2018-02-28,130.65,132.1,128.4,129.8,1108189.0,0.0,1.0,130.65,132.1,128.4,129.8,1108189.0
2018-02-27,131.45,132.95,129.45,130.05,1262895.0,0.0,1.0,131.45,132.95,129.45,130.05,1262895.0
2018-02-26,130.65,133.0,127.5,131.575,2576828.0,0.0,1.0,130.65,133.0,127.5,131.575,2576828.0
2018-02-23,132.5,137.5015,128.75,130.4,7652290.0,0.0,1.0,132.5,137.5015,128.75,130.4,7652290.0
2018-02-22,157.45,157.5,151.9,154.9,2018379.0,0.0,1.0,157.45,157.5,151.9,154.9,2018379.0
2018-02-21,164.95,165.85,155.5,155.6,1813495.0,0.0,1.0,164.95,165.85,155.5,155.6,1813495.0
2018-02-20,154.95,162.9,154.6,161.1,1814589.0,0.0,1.0,154.95,162.9,154.6,161.1,1814589.0
2018-02-16,160.05,161.45,154.15,154.95,1516492.0,0.0,1.0,160.05,161.45,154.15,154.95,1516492.0
2018-02-15,164.15,164.75,158.6,162.0,1876326.0,0.0,1.0,164.15,164.75,158.6,162.0,1876326.0
2018-02-14,159.25,167.7,156.6,159.15,3740061.0,0.0,1.0,159.25,167.7,156.6,159.15,3740061.0
2018-02-13,147.0,147.35,144.21,146.1,797433.0,0.0,1.0,147.0,147.35,144.21,146.1,797433.0
2018-02-12,146.1,151.0,145.3,147.95,1446232.0,0.0,1.0,146.1,151.0,145.3,147.95,1446232.0
2018-02-09,141.2,146.4,137.1,143.0,1899040.0,0.0,1.0,141.2,146.4,137.1,143.0,1899040.0
2018-02-08,149.95,151.0,139.6,139.8,1896883.0,0.0,1.0,149.95,151.0,139.6,139.8,1896883.0
2018-02-07,155.4,156.7,147.75,150.05,1310448.0,0.0,1.0,155.4,156.7,147.75,150.05,1310448.0
2018-02-06,141.0,156.75,140.0,155.45,1953163.0,0.0,1.0,141.0,156.75,140.0,155.45,1953163.0
2018-02-05,152.05,155.75,146.0,147.3,1786761.0,0.0,1.0,152.05,155.75,146.0,147.3,1786761.0
2018-02-02,157.65,161.0,152.505,155.85,1939008.0,0.0,1.0,157.65,161.0,152.505,155.85,1939008.0
2018-02-01,157.6,157.99,152.105,155.0,1827282.0,0.0,1.0,157.6,157.99,152.105,155.0,1827282.0
2018-01-31,165.15,166.895,157.5,159.4,1551084.0,0.0,1.0,165.15,166.895,157.5,159.4,1551084.0
2018-01-30,158.25,165.1,154.105,164.2,1720560.0,0.0,1.0,158.25,165.1,154.105,164.2,1720560.0
2018-01-29,170.0,170.45,158.25,162.8,3010299.0,0.0,1.0,170.0,170.45,158.25,162.8,3010299.0
2018-01-26,165.0,170.75,158.25,170.45,3619858.0,0.0,1.0,165.0,170.75,158.25,170.45,3619858.0
2018-01-25,181.6,181.6,167.2,168.25,2803061.0,0.0,1.0,181.6,181.6,167.2,168.25,2803061.0
2018-01-24,191.0,191.99,173.6,178.5,3500504.0,0.0,1.0,191.0,191.99,173.6,178.5,3500504.0
2018-01-23,200.0,200.097,188.25,189.35,2119282.0,0.0,1.0,200.0,200.097,188.25,189.35,2119282.0
2018-01-22,204.0,204.6762,194.0,199.0,1573163.0,0.0,1.0,204.0,204.6762,194.0,199.0,1573163.0
2018-01-19,206.5,209.0,202.505,203.65,796219.0,0.0,1.0,206.5,209.0,202.505,203.65,796219.0
2018-01-18,204.2,208.2,203.055,205.6,941740.0,0.0,1.0,204.2,208.2,203.055,205.6,941740.0
2018-01-17,199.05,205.0,199.05,203.45,1009400.0,0.0,1.0,199.05,205.0,199.05,203.45,1009400.0
2018-01-16,200.0,201.5,196.61,198.4,950192.0,0.0,1.0,200.0,201.5,196.61,198.4,950192.0
2018-01-12,199.35,203.3,196.4,196.6,918723.0,0.0,1.0,199.35,203.3,196.4,196.6,918723.0
2018-01-11,194.85,198.0,193.05,197.8,572314.0,0.0,1.0,194.85,198.0,193.05,197.8,572314.0
2018-01-10,190.9,193.85,189.2,192.6,711610.0,0.0,1.0,190.9,193.85,189.2,192.6,711610.0
2018-01-09,195.95,198.3,190.55,194.85,1219719.0,0.0,1.0,195.95,198.3,190.55,194.85,1219719.0
2018-01-08,179.8,197.25,177.1,194.85,1999451.0,0.0,1.0,179.8,197.25,177.1,194.85,1999451.0
2018-01-05,178.45,181.65,177.8081,179.3,556275.0,0.0,1.0,178.45,181.65,177.8081,179.3,556275.0
2018-01-04,181.8,184.0,175.05,176.5,705638.0,0.0,1.0,181.8,184.0,175.05,176.5,705638.0
2018-01-03,174.4,182.49,174.15,180.4,898353.0,0.0,1.0,174.4,182.49,174.15,180.4,898353.0
2018-01-02,173.65,176.35,172.05,173.75,559201.0,0.0,1.0,173.65,176.35,172.05,173.75,559201.0
2017-12-29,174.95,177.99,171.1,172.65,425738.0,0.0,1.0,174.95,177.99,171.1,172.65,425738.0
2017-12-28,177.15,178.45,174.1,174.8,447913.0,0.0,1.0,177.15,178.45,174.1,174.8,447913.0
2017-12-27,170.5,176.95,170.15,176.35,752643.0,0.0,1.0,170.5,176.95,170.15,176.35,752643.0
2017-12-26,172.3,172.94,165.2,170.6,1086336.0,0.0,1.0,172.3,172.94,165.2,170.6,1086336.0
2017-12-22,176.6,177.75,174.13400000000001,175.55,475100.0,0.0,1.0,176.6,177.75,174.13400000000001,175.55,475100.0
2017-12-21,180.65,182.15,176.6,176.9,405062.0,0.0,1.0,180.65,182.15,176.6,176.9,405062.0
