Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,7.01,7.04,6.77,6.8,52750.0,0.0,1.0,7.01,7.04,6.77,6.8,52750.0
2018-03-26,6.72,7.0,6.72,7.0,77093.0,0.0,1.0,6.72,7.0,6.72,7.0,77093.0
2018-03-23,6.65,6.73,6.5567,6.6,68602.0,0.0,1.0,6.65,6.73,6.5567,6.6,68602.0
2018-03-22,6.75,6.899,6.63,6.63,48732.0,0.0,1.0,6.75,6.899,6.63,6.63,48732.0
2018-03-21,6.72,6.93,6.72,6.84,93512.0,0.0,1.0,6.72,6.93,6.72,6.84,93512.0
2018-03-20,6.63,6.78,6.57,6.71,83513.0,0.0,1.0,6.63,6.78,6.57,6.71,83513.0
2018-03-19,6.6,6.65,6.42,6.6,114797.0,0.0,1.0,6.6,6.65,6.42,6.6,114797.0
2018-03-16,6.5,6.7151,6.42,6.61,160404.0,0.0,1.0,6.5,6.7151,6.42,6.61,160404.0
2018-03-15,6.05,6.75,6.05,6.41,82745.0,0.0,1.0,6.05,6.75,6.05,6.41,82745.0
2018-03-14,6.37,6.61,6.05,6.1,122628.0,0.0,1.0,6.37,6.61,6.05,6.1,122628.0
2018-03-13,6.71,6.779,6.2,6.33,176556.0,0.0,1.0,6.71,6.779,6.2,6.33,176556.0
2018-03-12,6.55,6.79,6.531000000000001,6.71,50094.0,0.0,1.0,6.55,6.79,6.531000000000001,6.71,50094.0
2018-03-09,6.37,6.59,6.37,6.53,63657.0,0.0,1.0,6.37,6.59,6.37,6.53,63657.0
2018-03-08,6.69,6.69,6.38,6.44,40865.0,0.0,1.0,6.69,6.69,6.38,6.44,40865.0
2018-03-07,6.41,6.67,6.41,6.65,43862.0,0.0,1.0,6.41,6.67,6.41,6.65,43862.0
2018-03-06,6.39,6.56,6.38,6.48,61491.0,0.0,1.0,6.39,6.56,6.38,6.48,61491.0
