Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,209.0,209.73,203.48,204.52,439462.0,0.0,1.0,209.0,209.73,203.48,204.52,439462.0
2018-03-26,204.58,208.81,203.72,208.53,661156.0,0.0,1.0,204.58,208.81,203.72,208.53,661156.0
2018-03-23,200.52,207.09,200.47,201.7,524509.0,0.0,1.0,200.52,207.09,200.47,201.7,524509.0
2018-03-22,204.95,205.615,199.7,200.35,766063.0,0.0,1.0,204.95,205.615,199.7,200.35,766063.0
2018-03-21,206.72,208.29,205.31,206.35,313034.0,0.0,1.0,206.72,208.29,205.31,206.35,313034.0
2018-03-20,206.87,208.1,205.92,206.79,417080.0,0.0,1.0,206.87,208.1,205.92,206.79,417080.0
2018-03-19,205.17,206.98,203.05,206.6,560914.0,0.0,1.0,205.17,206.98,203.05,206.6,560914.0
2018-03-16,203.88,206.33,203.49,205.36,763416.0,0.0,1.0,203.88,206.33,203.49,205.36,763416.0
2018-03-15,204.66,204.83,203.14,203.75,306343.0,0.0,1.0,204.66,204.83,203.14,203.75,306343.0
2018-03-14,207.11,207.12,202.87,203.87,394462.0,0.0,1.0,207.11,207.12,202.87,203.87,394462.0
2018-03-13,204.81,207.94,204.81,206.52,378984.0,0.0,1.0,204.81,207.94,204.81,206.52,378984.0
2018-03-12,210.07,210.39,203.725,204.77,614007.0,0.0,1.0,210.07,210.39,203.725,204.77,614007.0
2018-03-09,208.2,210.54,206.96,210.4,385938.0,0.0,1.0,208.2,210.54,206.96,210.4,385938.0
2018-03-08,206.56,207.55,205.08,207.28,322969.0,0.0,1.0,206.56,207.55,205.08,207.28,322969.0
2018-03-07,203.86,206.23,202.0,205.37,538019.0,0.0,1.0,203.86,206.23,202.0,205.37,538019.0
2018-03-06,206.97,206.97,203.61,205.22,377193.0,0.0,1.0,206.97,206.97,203.61,205.22,377193.0
2018-03-05,203.73,206.6525,202.1159,206.23,421201.0,0.0,1.0,203.73,206.6525,202.1159,206.23,421201.0
2018-03-02,202.31,206.17,201.96,205.25,929485.0,0.0,1.0,202.31,206.17,201.96,205.25,929485.0
2018-03-01,208.06,208.3,201.89,203.78,779148.0,0.0,1.0,208.06,208.3,201.89,203.78,779148.0
2018-02-28,212.93,213.035,207.52,207.55,521257.0,0.0,1.0,212.93,213.035,207.52,207.55,521257.0
2018-02-27,215.15,216.27,212.84,212.84,408427.0,0.0,1.0,215.15,216.27,212.84,212.84,408427.0
2018-02-26,214.72,215.385,212.215,214.95,410855.0,0.0,1.0,214.72,215.385,212.215,214.95,410855.0
2018-02-23,212.68,213.645,210.74,213.41,324684.0,0.0,1.0,212.68,213.645,210.74,213.41,324684.0
2018-02-22,211.3,213.69,210.07,212.02,533943.0,0.0,1.0,211.3,213.69,210.07,212.02,533943.0
2018-02-21,210.99,214.0,210.25,210.66,566904.0,0.0,1.0,210.99,214.0,210.25,210.66,566904.0
2018-02-20,210.76,214.305,210.0,210.98,635396.0,0.0,1.0,210.76,214.305,210.0,210.98,635396.0
2018-02-16,212.51,215.43,211.18,212.89,1106597.0,0.0,1.0,212.51,215.43,211.18,212.89,1106597.0
2018-02-15,210.45,213.45,209.23,213.35,561329.0,0.0,1.0,210.45,213.45,209.23,213.35,561329.0
2018-02-14,205.45,209.36,205.0,209.0,522418.0,0.0,1.0,205.45,209.36,205.0,209.0,522418.0
2018-02-13,204.05,207.25,203.74,206.61,866131.0,0.0,1.0,204.05,207.25,203.74,206.61,866131.0
2018-02-12,203.49,206.07,201.33,204.44,580436.0,0.0,1.0,203.49,206.07,201.33,204.44,580436.0
2018-02-09,200.83,205.33,198.81,202.51,886604.0,0.0,1.0,200.83,205.33,198.81,202.51,886604.0
2018-02-08,207.42,208.54,198.5,198.79,811251.0,0.0,1.0,207.42,208.54,198.5,198.79,811251.0
2018-02-07,201.76,209.96,201.235,207.69,1017009.0,0.0,1.0,201.76,209.96,201.235,207.69,1017009.0
2018-02-06,195.14,203.43,192.84099999999998,202.31,1010297.0,0.0,1.0,195.14,203.43,192.84099999999998,202.31,1010297.0
2018-02-05,209.2,210.53,197.31,199.39,960698.0,0.0,1.0,209.2,210.53,197.31,199.39,960698.0
2018-02-02,212.82,213.56,209.46,210.5,592505.0,0.0,1.0,212.82,213.56,209.46,210.5,592505.0
2018-02-01,211.84,216.38,211.17,214.08,577965.0,0.0,1.0,211.84,216.38,211.17,214.08,577965.0
2018-01-31,215.57,216.25,212.33,212.46,615290.0,0.0,1.0,215.57,216.25,212.33,212.46,615290.0
2018-01-30,215.81,216.45,212.88,214.37,572540.0,0.0,1.0,215.81,216.45,212.88,214.37,572540.0
2018-01-29,217.73,218.705,216.03,217.46,667174.0,0.0,1.0,217.73,218.705,216.03,217.46,667174.0
2018-01-26,211.11,217.47,209.51,217.01,1358488.0,0.0,1.0,211.11,217.47,209.51,217.01,1358488.0
2018-01-25,211.89,212.47,203.32,209.2,1136032.0,0.0,1.0,211.89,212.47,203.32,209.2,1136032.0
2018-01-24,208.96,211.45,208.82,209.79,905079.0,0.0,1.0,208.96,211.45,208.82,209.79,905079.0
2018-01-23,209.92,210.75,209.14,209.2,337572.0,0.0,1.0,209.92,210.75,209.14,209.2,337572.0
2018-01-22,210.75,210.87,208.28,209.8,592171.0,0.0,1.0,210.75,210.87,208.28,209.8,592171.0
2018-01-19,210.59,211.06,209.17,210.73,352781.0,0.0,1.0,210.59,211.06,209.17,210.73,352781.0
2018-01-18,212.97,213.575,209.79,209.99,486196.0,0.0,1.0,212.97,213.575,209.79,209.99,486196.0
2018-01-17,213.52,213.85,209.6,212.61,787063.0,0.0,1.0,213.52,213.85,209.6,212.61,787063.0
2018-01-16,210.09,210.79,207.16,207.39,1121309.0,0.0,1.0,210.09,210.79,207.16,207.39,1121309.0
2018-01-12,207.07,209.98,206.47,209.46,585889.0,0.0,1.0,207.07,209.98,206.47,209.46,585889.0
2018-01-11,206.13,207.22,205.405,206.47,940327.0,0.0,1.0,206.13,207.22,205.405,206.47,940327.0
2018-01-10,204.27,206.525,203.5,205.73,709154.0,0.0,1.0,204.27,206.525,203.5,205.73,709154.0
2018-01-09,203.73,206.83,202.54,204.99,851737.0,0.0,1.0,203.73,206.83,202.54,204.99,851737.0
2018-01-08,201.51,203.97,200.9,203.26,633555.0,0.0,1.0,201.51,203.97,200.9,203.26,633555.0
2018-01-05,198.99,202.01,198.71,201.58,792653.0,0.0,1.0,198.99,202.01,198.71,201.58,792653.0
2018-01-04,199.34,199.73,197.98,198.27,459927.0,0.0,1.0,199.34,199.73,197.98,198.27,459927.0
2018-01-03,198.08,199.37,197.25,199.24,416335.0,0.0,1.0,198.08,199.37,197.25,199.24,416335.0
2018-01-02,198.47,198.495,195.81,198.27,470345.0,0.0,1.0,198.47,198.495,195.81,198.27,470345.0
2017-12-29,199.24,199.51,197.79,197.85,283815.0,0.0,1.0,199.24,199.51,197.79,197.85,283815.0
2017-12-28,198.06,199.68,197.5,199.05,316574.0,0.0,1.0,198.06,199.68,197.5,199.05,316574.0
2017-12-27,197.22,198.2,196.6801,198.17,245792.0,0.0,1.0,197.22,198.2,196.6801,198.17,245792.0
2017-12-26,197.36,198.47,196.94,197.33,260730.0,0.0,1.0,197.36,198.47,196.94,197.33,260730.0
2017-12-22,195.92,199.04,195.23,197.7,514121.0,0.0,1.0,195.92,199.04,195.23,197.7,514121.0
2017-12-21,194.55,195.8,194.19,195.28,610448.0,0.0,1.0,194.55,195.8,194.19,195.28,610448.0
2017-12-20,194.74,195.43,193.84,194.1,320262.0,0.0,1.0,194.74,195.43,193.84,194.1,320262.0
2017-12-19,195.2,195.26,192.84,192.94,322178.0,0.0,1.0,195.2,195.26,192.84,192.94,322178.0
2017-12-18,194.64,195.705,192.97,194.2,491348.0,0.0,1.0,194.64,195.705,192.97,194.2,491348.0
2017-12-15,194.53,195.88,193.12,195.05,545870.0,0.0,1.0,194.53,195.88,193.12,195.05,545870.0
2017-12-14,194.56,195.1758,191.74,192.41,536040.0,0.0,1.0,194.56,195.1758,191.74,192.41,536040.0
