Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,104.45,104.99,100.79,101.58,1146111.0,0.0,1.0,104.45,104.99,100.79,101.58,1146111.0
2018-03-26,101.3,104.01,100.7,103.8,1100320.0,0.0,1.0,101.3,104.01,100.7,103.8,1100320.0
2018-03-23,102.41,103.18,99.39,99.45,1786341.0,0.0,1.0,102.41,103.18,99.39,99.45,1786341.0
2018-03-22,105.88,106.315,102.41,102.51,1360004.0,0.0,1.0,105.88,106.315,102.41,102.51,1360004.0
2018-03-21,106.43,107.88,105.61,106.95,1085299.0,0.0,1.0,106.43,107.88,105.61,106.95,1085299.0
2018-03-20,107.11,107.78,106.25,106.35,553785.0,0.0,1.0,107.11,107.78,106.25,106.35,553785.0
2018-03-19,107.31,107.61,105.08,106.72,793408.0,0.0,1.0,107.31,107.61,105.08,106.72,793408.0
2018-03-16,106.28,108.12,106.28,107.21,1247226.0,0.0,1.0,106.28,108.12,106.28,107.21,1247226.0
2018-03-15,106.81,106.81,105.53,106.1,650829.0,0.0,1.0,106.81,106.81,105.53,106.1,650829.0
2018-03-14,109.2,109.2,106.15,106.49,1009589.0,0.0,1.0,109.2,109.2,106.15,106.49,1009589.0
2018-03-13,110.19,110.19,108.03,108.55,768064.0,0.0,1.0,110.19,110.19,108.03,108.55,768064.0
2018-03-12,110.64,110.81,109.15,109.51,1169619.0,0.0,1.0,110.64,110.81,109.15,109.51,1169619.0
2018-03-09,108.56,110.79,108.1301,110.7,1208936.0,0.0,1.0,108.56,110.79,108.1301,110.7,1208936.0
2018-03-08,107.6,107.935,106.16,107.77,1252304.0,0.0,1.0,107.6,107.935,106.16,107.77,1252304.0
2018-03-07,105.68,108.14,105.68,107.62,1278239.0,0.0,1.0,105.26974396899999,107.720194103,105.26974396899999,107.202212774,1278239.0
2018-03-06,106.74,106.88,105.27,106.72,877703.0,0.0,1.0,106.325628986,106.465085498,104.861335613,106.305706627,877703.0
2018-03-05,103.57,106.81,103.3233,106.36,1125998.0,0.0,1.0,103.167935114,106.395357242,102.922192818,105.947104169,1125998.0
2018-03-02,102.95,105.0,101.18,104.71,1327959.0,0.0,1.0,102.55034199100001,104.592383769,100.787213236,104.303509567,1327959.0
2018-03-01,106.05,106.64,103.31,103.67,1161251.0,0.0,1.0,105.638307607,106.22601719200001,102.90894445,103.26754690799999,1161251.0
2018-02-28,108.15,108.59,105.85,105.87,1275352.0,0.0,1.0,108.15,108.59,105.85,105.87,1275352.0
2018-02-27,108.53,109.89,107.58,107.59,1387986.0,0.0,1.0,108.53,109.89,107.58,107.59,1387986.0
2018-02-26,107.15,108.87,106.45,108.84,951854.0,0.0,1.0,107.15,108.87,106.45,108.84,951854.0
2018-02-23,104.8,106.58,104.39,106.56,846091.0,0.0,1.0,104.8,106.58,104.39,106.56,846091.0
2018-02-22,105.75,106.825,103.87,104.12,1238940.0,0.0,1.0,105.75,106.825,103.87,104.12,1238940.0
2018-02-21,105.2,106.91,104.7,105.38,821768.0,0.0,1.0,105.2,106.91,104.7,105.38,821768.0
2018-02-20,104.47,105.82,104.47,104.75,1159692.0,0.0,1.0,104.47,105.82,104.47,104.75,1159692.0
2018-02-16,103.64,105.6,103.64,104.86,1454242.0,0.0,1.0,103.64,105.6,103.64,104.86,1454242.0
2018-02-15,103.72,104.82,103.21,103.87,1236248.0,0.0,1.0,103.72,104.82,103.21,103.87,1236248.0
2018-02-14,98.94,102.91,98.33,102.69,1133947.0,0.0,1.0,98.94,102.91,98.33,102.69,1133947.0
2018-02-13,98.37,99.6,97.82,99.35,971206.0,0.0,1.0,98.37,99.6,97.82,99.35,971206.0
2018-02-12,98.11,100.15,97.61,99.36,1338049.0,0.0,1.0,98.11,100.15,97.61,99.36,1338049.0
2018-02-09,97.49,98.135,94.39,97.34,1442907.0,0.0,1.0,97.49,98.135,94.39,97.34,1442907.0
2018-02-08,100.76,100.77,96.18,96.19,1584075.0,0.0,1.0,100.76,100.77,96.18,96.19,1584075.0
2018-02-07,100.66,103.21,100.65,100.73,1452988.0,0.0,1.0,100.66,103.21,100.65,100.73,1452988.0
2018-02-06,97.32,101.37,95.84,101.36,2720238.0,0.0,1.0,97.32,101.37,95.84,101.36,2720238.0
2018-02-05,103.58,105.24,99.72,100.33,1690473.0,0.0,1.0,103.58,105.24,99.72,100.33,1690473.0
