Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,127.11,129.1,126.39,127.21,7663114.0,0.0,1.0,127.11,129.1,126.39,127.21,7663114.0
2018-03-26,126.41,127.54,125.21,127.39,8282774.0,0.0,1.0,126.41,127.54,125.21,127.39,8282774.0
2018-03-23,127.63,127.87,124.9,125.1,8286607.0,0.0,1.0,127.63,127.87,124.9,125.1,8286607.0
2018-03-22,130.47,130.68,127.1,127.38,7532800.0,0.0,1.0,130.47,130.68,127.1,127.38,7532800.0
2018-03-21,131.4,132.78,130.66,131.19,5128176.0,0.0,1.0,131.4,132.78,130.66,131.19,5128176.0
2018-03-20,130.78,131.78,129.38,131.21,5858987.0,0.0,1.0,130.78,131.78,129.38,131.21,5858987.0
2018-03-19,133.35,133.47,129.36,130.24,5826044.0,0.0,1.0,133.35,133.47,129.36,130.24,5826044.0
2018-03-16,133.16,134.4,132.1,133.68,13809970.0,0.0,1.0,133.16,134.4,132.1,133.68,13809970.0
2018-03-15,132.55,134.24,132.47,133.06,4940860.0,0.0,1.0,132.55,134.24,132.47,133.06,4940860.0
2018-03-14,135.24,135.7,131.9,132.32,6309618.0,0.0,1.0,135.24,135.7,131.9,132.32,6309618.0
2018-03-13,133.8,135.39,133.45,134.35,9093637.0,0.0,1.0,133.8,135.39,133.45,134.35,9093637.0
2018-03-12,133.8,134.23,132.32,132.63,4885880.0,0.0,1.0,133.8,134.23,132.32,132.63,4885880.0
2018-03-09,132.51,133.82,131.56,133.8,6899702.0,0.0,1.0,132.51,133.82,131.56,133.8,6899702.0
2018-03-08,129.33,132.3,129.33,132.06,6293127.0,0.0,1.0,129.33,132.3,129.33,132.06,6293127.0
2018-03-07,127.48,129.33,127.27,129.04,6391661.0,0.0,1.0,127.48,129.33,127.27,129.04,6391661.0
2018-03-06,130.0,130.2,127.92,128.22,5543015.0,0.0,1.0,130.0,130.2,127.92,128.22,5543015.0
2018-03-05,128.63,130.3,128.18,129.79,5799799.0,0.0,1.0,128.63,130.3,128.18,129.79,5799799.0
2018-03-02,126.91,129.11,126.91,128.82,6910426.0,0.0,1.0,126.91,129.11,126.91,128.82,6910426.0
2018-03-01,129.11,130.12,126.52,127.28,9424007.0,0.0,1.0,129.11,130.12,126.52,127.28,9424007.0
2018-02-28,131.95,132.33,129.87,129.88,7898371.0,0.0,1.0,131.95,132.33,129.87,129.88,7898371.0
2018-02-27,132.21,133.09,131.6,131.67,7072577.0,0.0,1.0,132.21,133.09,131.6,131.67,7072577.0
2018-02-26,131.71,133.4055,131.0,132.07,6648513.0,0.0,1.0,131.71,133.4055,131.0,132.07,6648513.0
2018-02-23,130.09,132.08,130.02,132.02,4995038.0,0.0,1.0,130.09,132.08,130.02,132.02,4995038.0
2018-02-22,130.1,131.02,129.48,129.91,5719462.0,0.0,1.0,130.1,131.02,129.48,129.91,5719462.0
2018-02-21,130.8,132.4348,129.86,129.91,6254076.0,0.0,1.0,130.8,132.4348,129.86,129.91,6254076.0
2018-02-20,132.87,133.45,130.66,130.87,6508157.0,0.0,1.0,132.87,133.45,130.66,130.87,6508157.0
2018-02-16,130.96,134.45,130.84,133.15,7917284.0,0.0,1.0,130.96,134.45,130.84,133.15,7917284.0
2018-02-15,130.1,131.28,129.4,131.23,5591782.0,0.0,1.0,130.1,131.28,129.4,131.23,5591782.0
2018-02-14,129.44,130.015,128.39,129.67,6237364.0,0.0,1.0,129.44,130.015,128.39,129.67,6237364.0
2018-02-13,129.21,130.6,128.7,129.96,6329022.0,0.0,1.0,129.21,130.6,128.7,129.96,6329022.0
2018-02-12,130.0,131.32,127.6755,130.27,9874716.0,0.0,1.0,130.0,131.32,127.6755,130.27,9874716.0
2018-02-09,127.52,130.92,125.44,129.53,14917886.0,0.0,1.0,127.52,130.92,125.44,129.53,14917886.0
2018-02-08,130.91,131.25,126.11,126.36,11617736.0,0.0,1.0,130.91,131.25,126.11,126.36,11617736.0
2018-02-07,131.89,133.43,131.35,131.42,10436291.0,0.0,1.0,131.89,133.43,131.35,131.42,10436291.0
2018-02-06,130.01,132.99,128.0,131.83,19102631.0,0.0,1.0,130.01,132.99,128.0,131.83,19102631.0
2018-02-05,136.58,137.0,122.15,130.39,19475494.0,0.0,1.0,136.58,137.0,122.15,130.39,19475494.0
2018-02-02,139.02,140.36,137.38,137.68,9197500.0,0.0,1.0,139.02,140.36,137.38,137.68,9197500.0
2018-02-01,137.53,140.67,137.0,140.02,9372485.0,0.0,1.0,137.53,140.67,137.0,140.02,9372485.0
2018-01-31,142.57,142.57,138.1,138.19,13022358.0,0.0,1.0,142.57,142.57,138.1,138.19,13022358.0
2018-01-30,143.4,143.82,142.43,142.43,8178194.0,0.0,1.0,143.4,143.82,142.43,142.43,8178194.0
2018-01-29,144.85,144.94,143.53,143.68,7766129.0,0.0,1.0,144.85,144.94,143.53,143.68,7766129.0
2018-01-26,144.5,145.6,144.13,145.33,6979094.0,0.0,1.0,144.5,145.6,144.13,145.33,6979094.0
2018-01-25,142.31,144.66,142.2105,144.4,7542612.0,0.0,1.0,142.31,144.66,142.2105,144.4,7542612.0
2018-01-24,143.5,143.56,141.8,142.07,12373680.0,0.0,1.0,143.5,143.56,141.8,142.07,12373680.0
2018-01-23,146.96,147.44,141.62,141.83,16897226.0,0.0,1.0,146.96,147.44,141.62,141.83,16897226.0
