Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,192.76,193.66,189.28,190.45,334673.0,0.0,1.0,192.76,193.66,189.28,190.45,334673.0
2018-03-26,189.7,192.1,189.0,191.8,325615.0,0.0,1.0,189.7,192.1,189.0,191.8,325615.0
2018-03-23,191.02,192.64,188.33,188.41,234212.0,0.0,1.0,191.02,192.64,188.33,188.41,234212.0
2018-03-22,197.05,197.05,190.35,190.45,384875.0,0.0,1.0,197.05,197.05,190.35,190.45,384875.0
2018-03-21,197.0,200.82,194.6,197.94,615562.0,0.0,1.0,197.0,200.82,194.6,197.94,615562.0
2018-03-20,192.84,193.73,192.01,192.55,307965.0,0.0,1.0,192.84,193.73,192.01,192.55,307965.0
2018-03-19,194.58,195.26,191.45,192.62,187203.0,0.0,1.0,194.58,195.26,191.45,192.62,187203.0
2018-03-16,199.28,201.53,194.55,194.75,634830.0,0.0,1.0,199.28,201.53,194.55,194.75,634830.0
2018-03-15,194.88,196.485,193.49,193.57,176422.0,0.0,1.0,194.88,196.485,193.49,193.57,176422.0
2018-03-14,194.87,196.29,193.52,194.27,330150.0,0.0,1.0,194.87,196.29,193.52,194.27,330150.0
2018-03-13,193.72,195.77,192.79,194.31,303143.0,0.0,1.0,193.72,195.77,192.79,194.31,303143.0
2018-03-12,195.39,195.66,193.16,193.72,265085.0,0.0,1.0,195.39,195.66,193.16,193.72,265085.0
2018-03-09,193.04,195.8,191.17,195.23,338910.0,0.0,1.0,193.04,195.8,191.17,195.23,338910.0
2018-03-08,192.88,194.25,190.87,191.85,238616.0,0.0,1.0,192.88,194.25,190.87,191.85,238616.0
2018-03-07,194.52,195.86,193.36,194.47,265990.0,0.0,1.0,194.52,195.86,193.36,194.47,265990.0
2018-03-06,195.13,196.98,192.0,195.59,439531.0,0.0,1.0,195.13,196.98,192.0,195.59,439531.0
2018-03-05,192.84,195.51,191.73,195.13,234038.0,0.0,1.0,192.84,195.51,191.73,195.13,234038.0
2018-03-02,192.99,194.31,190.93,193.95,192888.0,0.0,1.0,192.99,194.31,190.93,193.95,192888.0
2018-03-01,193.67,196.25,191.3,193.51,295966.0,0.0,1.0,193.67,196.25,191.3,193.51,295966.0
2018-02-28,195.42,195.84,193.05,193.91,390900.0,0.0,1.0,195.42,195.84,193.05,193.91,390900.0
2018-02-27,195.03,198.275,194.94,194.94,217729.0,0.0,1.0,195.03,198.275,194.94,194.94,217729.0
