Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,51.88,52.95,51.5,52.23,532415.0,0.0,1.0,51.88,52.95,51.5,52.23,532415.0
2018-03-26,52.56,52.85,51.1,51.43,453457.0,0.0,1.0,52.56,52.85,51.1,51.43,453457.0
2018-03-23,52.24,52.54,51.85,51.89,380778.0,0.0,1.0,52.24,52.54,51.85,51.89,380778.0
2018-03-22,52.26,53.23,52.08,52.1,416259.0,0.0,1.0,52.26,53.23,52.08,52.1,416259.0
2018-03-21,52.71,52.99,52.25,52.54,278171.0,0.0,1.0,52.71,52.99,52.25,52.54,278171.0
2018-03-20,53.06,53.31,52.295,52.62,372650.0,0.0,1.0,53.06,53.31,52.295,52.62,372650.0
2018-03-19,52.51,53.19,52.41,53.02,605095.0,0.0,1.0,52.51,53.19,52.41,53.02,605095.0
2018-03-16,51.88,52.82,51.85,52.54,756582.0,0.0,1.0,51.88,52.82,51.85,52.54,756582.0
2018-03-15,54.03,54.03,51.69,51.97,741681.0,0.0,1.0,54.03,54.03,51.69,51.97,741681.0
2018-03-14,56.04,56.21,53.95,54.08,718683.0,0.0,1.0,56.04,56.21,53.95,54.08,718683.0
2018-03-13,55.57,56.23,55.45,55.77,504845.0,0.0,1.0,55.57,56.23,55.45,55.77,504845.0
2018-03-12,54.5,55.56,54.375,55.3,424634.0,0.0,1.0,54.5,55.56,54.375,55.3,424634.0
2018-03-09,53.81,54.83,53.51,54.49,362902.0,0.0,1.0,53.81,54.83,53.51,54.49,362902.0
2018-03-08,54.64,54.73,53.5,53.7,516653.0,0.0,1.0,54.64,54.73,53.5,53.7,516653.0
2018-03-07,54.34,54.97,53.9,54.53,583221.0,0.0,1.0,54.34,54.97,53.9,54.53,583221.0
2018-03-06,56.0,56.065,53.52,54.7,844369.0,0.0,1.0,56.0,56.065,53.52,54.7,844369.0
2018-03-05,55.45,56.81,55.22,56.68,489249.0,0.0,1.0,55.45,56.81,55.22,56.68,489249.0
2018-03-02,52.93,55.61,52.68,55.49,534575.0,0.0,1.0,52.93,55.61,52.68,55.49,534575.0
2018-03-01,54.83,54.83,52.98,53.35,443640.0,0.0,1.0,54.83,54.83,52.98,53.35,443640.0
2018-02-28,55.08,55.47,54.0,54.48,731254.0,0.0,1.0,55.08,55.47,54.0,54.48,731254.0
2018-02-27,55.58,55.65,54.6,55.0,458365.0,0.0,1.0,55.58,55.65,54.6,55.0,458365.0
2018-02-26,55.57,56.01,54.76,55.37,489318.0,0.0,1.0,55.57,56.01,54.76,55.37,489318.0
2018-02-23,54.38,55.35,53.87,54.99,427746.0,0.0,1.0,54.38,55.35,53.87,54.99,427746.0
2018-02-22,53.49,54.912,53.49,54.17,497164.0,0.0,1.0,53.49,54.912,53.49,54.17,497164.0
2018-02-21,53.38,54.215,53.21,53.38,778662.0,0.0,1.0,53.38,54.215,53.21,53.38,778662.0
2018-02-20,53.53,53.89,52.67,53.35,621805.0,0.0,1.0,53.53,53.89,52.67,53.35,621805.0
2018-02-16,53.73,54.54,53.3,53.85,589334.0,0.0,1.0,53.73,54.54,53.3,53.85,589334.0
2018-02-15,54.61,54.61,53.45,54.01,519256.0,0.0,1.0,54.61,54.61,53.45,54.01,519256.0
2018-02-14,53.14,54.68,52.98,54.25,594521.0,0.0,1.0,53.14,54.68,52.98,54.25,594521.0
2018-02-13,53.25,53.41,52.58,53.17,760554.0,0.0,1.0,53.25,53.41,52.58,53.17,760554.0
2018-02-12,53.58,54.12,52.9,53.6,1072543.0,0.0,1.0,53.58,54.12,52.9,53.6,1072543.0
2018-02-09,53.25,53.84,51.79,53.42,1002464.0,0.0,1.0,53.25,53.84,51.79,53.42,1002464.0
2018-02-08,54.52,54.81,52.92,52.92,1056953.0,0.0,1.0,54.52,54.81,52.92,52.92,1056953.0
2018-02-07,55.75,56.15,53.73,54.45,1091026.0,0.0,1.0,55.75,56.15,53.73,54.45,1091026.0
2018-02-06,54.43,56.28,54.31,56.02,1475945.0,0.0,1.0,54.43,56.28,54.31,56.02,1475945.0
2018-02-05,55.48,57.43,55.29,55.38,1027504.0,0.0,1.0,55.48,57.43,55.29,55.38,1027504.0
2018-02-02,57.72,58.27,55.72,55.91,828722.0,0.0,1.0,57.72,58.27,55.72,55.91,828722.0
2018-02-01,58.38,59.16,57.74,57.95,1496170.0,0.0,1.0,58.38,59.16,57.74,57.95,1496170.0
2018-01-31,57.55,58.34,54.51,58.22,2448514.0,0.0,1.0,57.55,58.34,54.51,58.22,2448514.0
2018-01-30,53.98,54.355,52.81,53.03,1003392.0,0.0,1.0,53.98,54.355,52.81,53.03,1003392.0
2018-01-29,54.93,55.29,53.9,54.28,586394.0,0.0,1.0,54.93,55.29,53.9,54.28,586394.0
2018-01-26,54.95,55.5,54.36,55.12,722314.0,0.0,1.0,54.95,55.5,54.36,55.12,722314.0
2018-01-25,54.92,55.1209,54.25,54.63,647153.0,0.0,1.0,54.92,55.1209,54.25,54.63,647153.0
2018-01-24,54.92,55.36,54.53,54.88,918420.0,0.0,1.0,54.92,55.36,54.53,54.88,918420.0
2018-01-23,55.01,55.32,53.96,54.87,881296.0,0.0,1.0,55.01,55.32,53.96,54.87,881296.0
2018-01-22,54.19,55.42,54.03,55.1,936609.0,0.0,1.0,54.19,55.42,54.03,55.1,936609.0
2018-01-19,54.9,54.9,53.52,54.33,875165.0,0.0,1.0,54.9,54.9,53.52,54.33,875165.0
2018-01-18,57.17,57.2,54.57,54.82,1366569.0,0.0,1.0,57.17,57.2,54.57,54.82,1366569.0
2018-01-17,58.88,58.9,56.34,57.06,2468785.0,0.0,1.0,58.88,58.9,56.34,57.06,2468785.0
2018-01-16,58.4,62.86,57.28,59.11,6034477.0,0.0,1.0,58.4,62.86,57.28,59.11,6034477.0
2018-01-12,51.67,51.97,51.285,51.62,974958.0,0.0,1.0,51.67,51.97,51.285,51.62,974958.0
2018-01-11,51.47,52.04,51.34,51.47,640456.0,0.0,1.0,51.47,52.04,51.34,51.47,640456.0
2018-01-10,51.18,51.43,50.19,51.33,636414.0,0.0,1.0,51.18,51.43,50.19,51.33,636414.0
2018-01-09,51.44,51.85,50.79,51.49,760738.0,0.0,1.0,51.44,51.85,50.79,51.49,760738.0
2018-01-08,51.5,52.08,51.19,51.42,804012.0,0.0,1.0,51.5,52.08,51.19,51.42,804012.0
2018-01-05,51.29,51.73,50.76,51.59,846024.0,0.0,1.0,51.29,51.73,50.76,51.59,846024.0
2018-01-04,49.89,51.84,49.57,51.05,1900198.0,0.0,1.0,49.89,51.84,49.57,51.05,1900198.0
2018-01-03,48.06,48.58,47.61,48.4,953921.0,0.0,1.0,48.06,48.58,47.61,48.4,953921.0
2018-01-02,48.15,48.68,47.61,47.88,631211.0,0.0,1.0,48.15,48.68,47.61,47.88,631211.0
2017-12-29,47.7,48.26,47.3,47.98,475498.0,0.0,1.0,47.7,48.26,47.3,47.98,475498.0
2017-12-28,48.65,48.74,47.53,47.67,381264.0,0.0,1.0,48.65,48.74,47.53,47.67,381264.0
2017-12-27,49.47,49.65,48.55,48.64,395234.0,0.0,1.0,49.47,49.65,48.55,48.64,395234.0
2017-12-26,49.0,49.6,48.81,49.45,279973.0,0.0,1.0,49.0,49.6,48.81,49.45,279973.0
2017-12-22,49.05,49.33,48.9,49.11,345073.0,0.0,1.0,49.05,49.33,48.9,49.11,345073.0
2017-12-21,48.05,49.07,48.02,48.87,386009.0,0.0,1.0,48.05,49.07,48.02,48.87,386009.0
2017-12-20,48.1,48.38,47.93,48.05,418532.0,0.0,1.0,48.1,48.38,47.93,48.05,418532.0
2017-12-19,48.74,48.9,47.97,47.98,516302.0,0.0,1.0,48.74,48.9,47.97,47.98,516302.0
2017-12-18,48.81,49.1,48.26,48.38,418736.0,0.0,1.0,48.81,49.1,48.26,48.38,418736.0
2017-12-15,48.08,48.32,47.65,47.95,1000821.0,0.0,1.0,48.08,48.32,47.65,47.95,1000821.0
2017-12-14,48.09,48.3,47.41,47.53,774436.0,0.0,1.0,48.09,48.3,47.41,47.53,774436.0
2017-12-13,48.42,48.7,48.06,48.14,624286.0,0.0,1.0,48.42,48.7,48.06,48.14,624286.0
2017-12-12,48.04,48.77,47.86,48.33,718450.0,0.0,1.0,48.04,48.77,47.86,48.33,718450.0
2017-12-11,47.95,48.55,47.655,48.35,454959.0,0.0,1.0,47.95,48.55,47.655,48.35,454959.0
2017-12-08,47.71,48.18,47.39,48.04,493246.0,0.0,1.0,47.71,48.18,47.39,48.04,493246.0
2017-12-07,47.4,47.97,47.16,47.64,703735.0,0.0,1.0,47.4,47.97,47.16,47.64,703735.0
2017-12-06,47.42,47.7,47.09,47.55,495878.0,0.0,1.0,47.42,47.7,47.09,47.55,495878.0
2017-12-05,47.42,48.205,47.26,47.48,609505.0,0.0,1.0,47.42,48.205,47.26,47.48,609505.0
2017-12-04,46.27,47.38,46.14,47.28,532995.0,0.0,1.0,46.27,47.38,46.14,47.28,532995.0
2017-12-01,45.84,46.27,45.0,45.95,428010.0,0.0,1.0,45.84,46.27,45.0,45.95,428010.0
2017-11-30,45.98,46.77,45.77,45.93,728173.0,0.0,1.0,45.98,46.77,45.77,45.93,728173.0
2017-11-29,44.69,46.0,44.15,45.89,802762.0,0.0,1.0,44.69,46.0,44.15,45.89,802762.0
