Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,53.42,54.63,52.81,53.06,1897302.0,0.0,1.0,53.42,54.63,52.81,53.06,1897302.0
2018-03-26,52.5,52.75,51.54,52.5,1997328.0,0.0,1.0,52.5,52.75,51.54,52.5,1997328.0
2018-03-23,52.48,53.04,51.8,52.01,1420939.0,0.0,1.0,52.48,53.04,51.8,52.01,1420939.0
2018-03-22,53.57,53.94,51.55,52.02,1974696.0,0.0,1.0,53.57,53.94,51.55,52.02,1974696.0
2018-03-21,53.01,54.605,52.88,54.14,2071527.0,0.0,1.0,53.01,54.605,52.88,54.14,2071527.0
2018-03-20,52.64,53.71,52.49,52.98,1256091.0,0.0,1.0,52.64,53.71,52.49,52.98,1256091.0
2018-03-19,53.66,53.8,52.3847,52.49,1186972.0,0.0,1.0,53.66,53.8,52.3847,52.49,1186972.0
2018-03-16,54.23,54.58,53.39,54.32,2575550.0,0.0,1.0,54.23,54.58,53.39,54.32,2575550.0
2018-03-15,54.03,54.276,51.7,53.64,3266344.0,0.0,1.0,54.03,54.276,51.7,53.64,3266344.0
2018-03-14,54.23,54.23,53.32,53.66,1150361.0,0.0,1.0,54.23,54.23,53.32,53.66,1150361.0
2018-03-13,53.67,53.95,53.11,53.9,3246117.0,0.0,1.0,53.67,53.95,53.11,53.9,3246117.0
2018-03-12,54.39,54.39,53.29,53.63,1983643.0,0.0,1.0,54.39,54.39,53.29,53.63,1983643.0
2018-03-09,54.04,54.9,53.74,54.04,1424981.0,0.0,1.0,54.04,54.9,53.74,54.04,1424981.0
2018-03-08,54.56,54.56,52.821000000000005,53.96,1275397.0,0.0,1.0,54.56,54.56,52.821000000000005,53.96,1275397.0
2018-03-07,54.09,54.66,53.52,54.05,1955709.0,0.0,1.0,54.09,54.66,53.52,54.05,1955709.0
2018-03-06,54.0,55.05,53.76,54.7,1912263.0,0.0,1.0,54.0,55.05,53.76,54.7,1912263.0
2018-03-05,51.95,53.47,51.84,53.29,3136375.0,0.0,1.0,51.95,53.47,51.84,53.29,3136375.0
2018-03-02,51.23,52.195,50.08,52.18,2545586.0,0.0,1.0,51.23,52.195,50.08,52.18,2545586.0
2018-03-01,52.77,52.92,51.16,51.88,3313040.0,0.0,1.0,52.77,52.92,51.16,51.88,3313040.0
2018-02-28,54.41,54.96,52.52,52.52,2531233.0,0.0,1.0,54.41,54.96,52.52,52.52,2531233.0
2018-02-27,56.27,56.48,54.31,54.67,2915087.0,0.0,1.0,56.27,56.48,54.31,54.67,2915087.0
2018-02-26,56.2,56.4,55.0791,56.27,1558711.0,0.0,1.0,56.2,56.4,55.0791,56.27,1558711.0
2018-02-23,56.67,56.67,55.305,55.71,1730185.0,0.0,1.0,56.67,56.67,55.305,55.71,1730185.0
2018-02-22,56.57,57.6,56.09,56.24,1894398.0,0.0,1.0,56.57,57.6,56.09,56.24,1894398.0
2018-02-21,57.75,58.89,56.4,56.73,2741027.0,0.0,1.0,57.75,58.89,56.4,56.73,2741027.0
2018-02-20,57.48,58.23,57.28,58.03,2422473.0,0.0,1.0,57.48,58.23,57.28,58.03,2422473.0
