Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,49.8,49.91,48.27,48.63,712033.0,0.0,1.0,49.8,49.91,48.27,48.63,712033.0
2018-03-26,49.19,49.8,48.59,49.7,626554.0,0.0,1.0,49.19,49.8,48.59,49.7,626554.0
2018-03-23,50.06,50.18,48.06,48.15,700242.0,0.0,1.0,50.06,50.18,48.06,48.15,700242.0
2018-03-22,51.05,51.5,49.73,49.87,659670.0,0.0,1.0,51.05,51.5,49.73,49.87,659670.0
2018-03-21,51.82,52.235,51.29,51.7,496277.0,0.0,1.0,51.82,52.235,51.29,51.7,496277.0
2018-03-20,52.09,52.48,51.54,51.68,868014.0,0.0,1.0,52.09,52.48,51.54,51.68,868014.0
2018-03-19,52.58,52.72,51.53,52.03,683612.0,0.0,1.0,52.58,52.72,51.53,52.03,683612.0
2018-03-16,52.24,52.98,52.18,52.74,2265544.0,0.0,1.0,52.24,52.98,52.18,52.74,2265544.0
2018-03-15,51.93,52.31,51.49,52.14,994558.0,0.0,1.0,51.93,52.31,51.49,52.14,994558.0
2018-03-14,52.73,52.9,51.43,51.7,836499.0,0.0,1.0,52.73,52.9,51.43,51.7,836499.0
2018-03-13,53.1,53.12,52.38,52.61,618709.0,0.0,1.0,53.1,53.12,52.38,52.61,618709.0
2018-03-12,52.86,53.14,52.56,52.88,574069.0,0.0,1.0,52.86,53.14,52.56,52.88,574069.0
2018-03-09,52.31,52.82,52.075,52.76,399638.0,0.0,1.0,52.31,52.82,52.075,52.76,399638.0
2018-03-08,52.49,52.52,51.14,51.91,532576.0,0.0,1.0,52.49,52.52,51.14,51.91,532576.0
2018-03-07,51.61,52.81,51.385,52.27,1115123.0,0.0,1.0,51.61,52.81,51.385,52.27,1115123.0
2018-03-06,50.91,51.75,50.54,51.67,609062.0,0.0,1.0,50.91,51.75,50.54,51.67,609062.0
2018-03-05,49.79,51.01,49.25,50.7,563050.0,0.0,1.0,49.79,51.01,49.25,50.7,563050.0
2018-03-02,49.0,50.37,48.41,50.25,555257.0,0.0,1.0,49.0,50.37,48.41,50.25,555257.0
2018-03-01,49.4,49.94,49.04,49.26,531782.0,0.0,1.0,49.4,49.94,49.04,49.26,531782.0
2018-02-28,50.4,50.68,49.29,49.3,751294.0,0.0,1.0,50.4,50.68,49.29,49.3,751294.0
2018-02-27,51.15,51.54,50.11,50.12,852025.0,0.0,1.0,51.15,51.54,50.11,50.12,852025.0
2018-02-26,50.98,51.12,50.4,51.07,530580.0,0.0,1.0,50.98,51.12,50.4,51.07,530580.0
2018-02-23,49.88,50.62,49.76,50.6,503876.0,0.0,1.0,49.88,50.62,49.76,50.6,503876.0
2018-02-22,51.23,51.25,49.61,49.65,542207.0,0.0,1.0,51.23,51.25,49.61,49.65,542207.0
2018-02-21,50.52,51.7,50.52,50.89,503839.0,0.0,1.0,50.52,51.7,50.52,50.89,503839.0
2018-02-20,50.65,51.13,50.2,50.5,557218.0,0.0,1.0,50.65,51.13,50.2,50.5,557218.0
2018-02-16,50.29,51.12,50.29,50.93,552089.0,0.0,1.0,50.29,51.12,50.29,50.93,552089.0
2018-02-15,50.44,50.6399,50.01,50.5,558698.0,0.0,1.0,50.44,50.6399,50.01,50.5,558698.0
2018-02-14,48.61,50.28,48.42,50.25,760792.0,0.0,1.0,48.61,50.28,48.42,50.25,760792.0
2018-02-13,48.34,49.06,48.28,48.93,470826.0,0.0,1.0,48.34,49.06,48.28,48.93,470826.0
2018-02-12,48.52,49.14,47.99,48.68,731882.0,0.0,1.0,48.52,49.14,47.99,48.68,731882.0
2018-02-09,48.02,48.4,46.3,48.11,1082652.0,0.0,1.0,48.02,48.4,46.3,48.11,1082652.0
2018-02-08,49.73,49.75,47.23,47.23,1041271.0,0.0,1.0,49.73,49.75,47.23,47.23,1041271.0
2018-02-07,49.04,50.05,48.8,49.69,672019.0,0.0,1.0,49.04,50.05,48.8,49.69,672019.0
2018-02-06,47.52,49.6,46.95,49.23,1140529.0,0.0,1.0,47.52,49.6,46.95,49.23,1140529.0
2018-02-05,49.87,50.81,48.53,48.68,963525.0,0.0,1.0,49.87,50.81,48.53,48.68,963525.0
2018-02-02,51.18,51.82,50.52,50.6,788181.0,0.0,1.0,51.18,51.82,50.52,50.6,788181.0
2018-02-01,50.13,51.37,49.91,51.31,1080224.0,0.0,1.0,50.13,51.37,49.91,51.31,1080224.0
2018-01-31,50.68,50.96,50.22,50.39,772639.0,0.0,1.0,50.68,50.96,50.22,50.39,772639.0
2018-01-30,50.69,51.24,50.43,50.51,653909.0,0.0,1.0,50.69,51.24,50.43,50.51,653909.0
2018-01-29,51.05,51.8,50.72,51.19,659975.0,0.0,1.0,51.05,51.8,50.72,51.19,659975.0
2018-01-26,51.37,51.37,50.71,51.15,1001928.0,0.0,1.0,51.37,51.37,50.71,51.15,1001928.0
2018-01-25,51.91,51.91,51.035,51.21,936468.0,0.0,1.0,51.91,51.91,51.035,51.21,936468.0
2018-01-24,52.08,52.08,51.38,51.67,1137407.0,0.0,1.0,52.08,52.08,51.38,51.67,1137407.0
2018-01-23,51.58,51.62,50.11,51.08,2472534.0,0.0,1.0,51.58,51.62,50.11,51.08,2472534.0
2018-01-22,50.42,50.79,49.975,50.78,1105795.0,0.0,1.0,50.42,50.79,49.975,50.78,1105795.0
2018-01-19,49.89,50.53,49.8306,50.5,1101521.0,0.0,1.0,49.89,50.53,49.8306,50.5,1101521.0
