Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,56.59,56.59,54.72,54.93,284685.0,0.0,1.0,56.59,56.59,54.72,54.93,284685.0
2018-03-26,56.41,56.63,55.58,56.53,335899.0,0.0,1.0,56.41,56.63,55.58,56.53,335899.0
2018-03-23,57.08,57.33,55.5104,55.6,423775.0,0.0,1.0,57.08,57.33,55.5104,55.6,423775.0
2018-03-22,58.27,58.67,56.93,57.0,528732.0,0.0,1.0,58.27,58.67,56.93,57.0,528732.0
2018-03-21,58.46,59.56,58.13,58.94,393495.0,0.0,1.0,58.46,59.56,58.13,58.94,393495.0
2018-03-20,58.99,59.11,58.2,58.48,378300.0,0.0,1.0,58.99,59.11,58.2,58.48,378300.0
2018-03-19,59.6,60.02,58.67,59.17,326911.0,0.0,1.0,59.6,60.02,58.67,59.17,326911.0
2018-03-16,60.33,61.27,59.7,59.75,616680.0,0.0,1.0,60.33,61.27,59.7,59.75,616680.0
2018-03-15,61.24,61.3799,60.27,60.31,322112.0,0.0,1.0,61.24,61.3799,60.27,60.31,322112.0
2018-03-14,62.18,62.25,60.99,61.12,358042.0,0.0,1.0,62.18,62.25,60.99,61.12,358042.0
2018-03-13,62.58,62.95,61.67,61.85,926175.0,0.0,1.0,62.58,62.95,61.67,61.85,926175.0
2018-03-12,62.18,62.67,61.9,62.15,361796.0,0.0,1.0,62.18,62.67,61.9,62.15,361796.0
2018-03-09,60.76,62.11,60.76,62.03,300138.0,0.0,1.0,60.76,62.11,60.76,62.03,300138.0
2018-03-08,61.09,61.09,60.02,60.5,309106.0,0.0,1.0,61.09,61.09,60.02,60.5,309106.0
2018-03-07,60.53,61.47,60.1,60.74,594339.0,0.0,1.0,60.53,61.47,60.1,60.74,594339.0
2018-03-06,60.77,61.29,59.83,60.78,500075.0,0.0,1.0,60.77,61.29,59.83,60.78,500075.0
2018-03-05,59.73,60.96,59.49,60.43,634793.0,0.0,1.0,59.73,60.96,59.49,60.43,634793.0
2018-03-02,59.61,60.25,58.84,60.12,382742.0,0.0,1.0,59.61,60.25,58.84,60.12,382742.0
2018-03-01,60.2,60.75,59.57,60.2,427611.0,0.0,1.0,60.2,60.75,59.57,60.2,427611.0
2018-02-28,62.9,62.9,60.18,60.18,984458.0,0.0,1.0,62.9,62.9,60.18,60.18,984458.0
2018-02-27,64.53,64.53,62.71,62.74,404033.0,0.0,1.0,64.53,64.53,62.71,62.74,404033.0
2018-02-26,64.93,64.93,63.83,64.53,311677.0,0.0,1.0,64.93,64.93,63.83,64.53,311677.0
2018-02-23,64.37,64.82,63.91,64.58,304863.0,0.0,1.0,64.37,64.82,63.91,64.58,304863.0
