Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,177.92,179.4799,174.52,175.46,279735.0,0.0,1.0,177.92,179.4799,174.52,175.46,279735.0
2018-03-26,174.75,177.94,173.29,177.78,215554.0,0.0,1.0,174.75,177.94,173.29,177.78,215554.0
2018-03-23,174.23,175.2399,172.93,172.95,272080.0,0.0,1.0,174.23,175.2399,172.93,172.95,272080.0
2018-03-22,176.22,177.72,173.78,173.85,230024.0,0.0,1.0,176.22,177.72,173.78,173.85,230024.0
2018-03-21,176.56,179.37,176.56,177.67,216724.0,0.0,1.0,176.56,179.37,176.56,177.67,216724.0
2018-03-20,178.13,180.55,176.46,177.06,203280.0,0.0,1.0,178.13,180.55,176.46,177.06,203280.0
2018-03-19,180.02,180.27,176.56,177.78,319510.0,0.0,1.0,180.02,180.27,176.56,177.78,319510.0
2018-03-16,181.65,183.29,179.25,180.25,1348206.0,0.0,1.0,181.65,183.29,179.25,180.25,1348206.0
2018-03-15,182.07,183.47,180.31,181.38,290034.0,0.0,1.0,182.07,183.47,180.31,181.38,290034.0
2018-03-14,181.67,183.84,179.67,182.14,348854.0,0.0,1.0,181.67,183.84,179.67,182.14,348854.0
2018-03-13,181.94,182.7,179.845,181.27,401357.0,0.0,1.0,181.94,182.7,179.845,181.27,401357.0
2018-03-12,177.13,182.4,175.92,181.71,540630.0,0.0,1.0,177.13,182.4,175.92,181.71,540630.0
2018-03-09,174.61,176.97,172.89,176.19,156741.0,0.0,1.0,174.61,176.97,172.89,176.19,156741.0
2018-03-08,173.35,174.57,171.46,173.97,214743.0,0.0,1.0,173.35,174.57,171.46,173.97,214743.0
2018-03-07,169.41,173.43,169.41,172.72,318850.0,0.0,1.0,169.41,173.43,169.41,172.72,318850.0
2018-03-06,170.02,171.18,167.135,171.08,192927.0,0.0,1.0,170.02,171.18,167.135,171.08,192927.0
2018-03-05,167.78,170.91,167.14,169.43,285398.0,0.0,1.0,167.78,170.91,167.14,169.43,285398.0
2018-03-02,164.47,168.79,163.18,168.33,317887.0,0.0,1.0,164.47,168.79,163.18,168.33,317887.0
2018-03-01,165.52,167.21,163.39,165.53,238068.0,0.0,1.0,165.52,167.21,163.39,165.53,238068.0
2018-02-28,167.54,168.585,165.37,165.37,167549.0,0.0,1.0,167.54,168.585,165.37,165.37,167549.0
2018-02-27,168.12,169.98,167.06,167.07,196027.0,0.0,1.0,168.12,169.98,167.06,167.07,196027.0
2018-02-26,169.09,170.22,166.68,168.21,183340.0,0.0,1.0,169.09,170.22,166.68,168.21,183340.0
2018-02-23,168.0,170.29,167.0001,168.49,212313.0,0.0,1.0,168.0,170.29,167.0001,168.49,212313.0
2018-02-22,167.87,169.12,166.53,167.19,155986.0,0.0,1.0,167.87,169.12,166.53,167.19,155986.0
2018-02-21,167.46,170.18,167.11,167.32,153264.0,0.0,1.0,167.46,170.18,167.11,167.32,153264.0
2018-02-20,169.14,169.915,166.74,167.44,219051.0,0.0,1.0,169.14,169.915,166.74,167.44,219051.0
2018-02-16,169.05,171.29,168.24,169.29,165148.0,0.0,1.0,169.05,171.29,168.24,169.29,165148.0
2018-02-15,166.91,170.38,165.82,169.73,354192.0,0.0,1.0,166.91,170.38,165.82,169.73,354192.0
2018-02-14,164.38,167.3,163.461,166.6,217929.0,0.0,1.0,164.38,167.3,163.461,166.6,217929.0
2018-02-13,163.25,166.0,162.21,164.93,210539.0,0.0,1.0,163.25,166.0,162.21,164.93,210539.0
2018-02-12,165.54,165.9,163.02,164.25,329205.0,0.0,1.0,165.54,165.9,163.02,164.25,329205.0
2018-02-09,166.41,167.71,160.08,164.98,585171.0,0.0,1.0,166.41,167.71,160.08,164.98,585171.0
2018-02-08,176.0,177.48,163.028,165.26,518401.0,0.0,1.0,176.0,177.48,163.028,165.26,518401.0
2018-02-07,169.64,173.21,168.51,171.45,351452.0,0.0,1.0,169.64,173.21,168.51,171.45,351452.0
2018-02-06,168.11,172.04,165.141,169.7,343074.0,0.0,1.0,168.11,172.04,165.141,169.7,343074.0
2018-02-05,174.55,176.74,170.32,171.6,284095.0,0.0,1.0,174.55,176.74,170.32,171.6,284095.0
2018-02-02,178.75,178.75,176.17,176.43,156661.0,0.0,1.0,178.75,178.75,176.17,176.43,156661.0
2018-02-01,179.06,179.91,177.45,179.85,140670.0,0.0,1.0,179.06,179.91,177.45,179.85,140670.0
2018-01-31,179.91,181.08,179.3801,179.79,248444.0,0.0,1.0,179.91,181.08,179.3801,179.79,248444.0
2018-01-30,178.8,180.41,177.35,179.58,101480.0,0.0,1.0,178.8,180.41,177.35,179.58,101480.0
2018-01-29,181.51,182.79,179.395,179.8,149685.0,0.0,1.0,181.51,182.79,179.395,179.8,149685.0
2018-01-26,180.81,181.61,178.4207,181.54,97969.0,0.0,1.0,180.81,181.61,178.4207,181.54,97969.0
2018-01-25,177.72,180.64,176.78,180.15,173016.0,0.0,1.0,177.72,180.64,176.78,180.15,173016.0
2018-01-24,176.73,178.71,175.815,177.1,115854.0,0.0,1.0,176.73,178.71,175.815,177.1,115854.0
2018-01-23,175.02,176.33,173.981,176.16,159829.0,0.0,1.0,175.02,176.33,173.981,176.16,159829.0
2018-01-22,175.27,176.5,173.955,174.94,132026.0,0.0,1.0,175.27,176.5,173.955,174.94,132026.0
2018-01-19,174.41,175.99,174.33,175.87,98743.0,0.0,1.0,174.41,175.99,174.33,175.87,98743.0
2018-01-18,174.15,174.919,172.66,173.68,107905.0,0.0,1.0,174.15,174.919,172.66,173.68,107905.0
2018-01-17,173.3,174.505,172.74,173.66,167129.0,0.0,1.0,173.3,174.505,172.74,173.66,167129.0
2018-01-16,174.83,176.575,172.31,173.35,188671.0,0.0,1.0,174.83,176.575,172.31,173.35,188671.0
2018-01-12,174.23,174.9,171.44,174.24,136406.0,0.0,1.0,174.23,174.9,171.44,174.24,136406.0
2018-01-11,171.95,175.16,171.69,175.07,230787.0,0.0,1.0,171.95,175.16,171.69,175.07,230787.0
2018-01-10,173.5,173.5,171.655,171.69,180718.0,0.0,1.0,173.5,173.5,171.655,171.69,180718.0
2018-01-09,174.06,174.84,172.76,173.06,243677.0,0.0,1.0,174.06,174.84,172.76,173.06,243677.0
2018-01-08,171.19,173.74,170.26,173.45,217887.0,0.0,1.0,171.19,173.74,170.26,173.45,217887.0
2018-01-05,170.87,171.72,170.3,171.34,133795.0,0.0,1.0,170.87,171.72,170.3,171.34,133795.0
2018-01-04,170.69,171.75,170.02,170.31,174211.0,0.0,1.0,170.69,171.75,170.02,170.31,174211.0
2018-01-03,170.18,170.82,169.3736,170.29,104050.0,0.0,1.0,170.18,170.82,169.3736,170.29,104050.0
2018-01-02,170.28,171.48,168.64,169.87,176837.0,0.0,1.0,170.28,171.48,168.64,169.87,176837.0
2017-12-29,171.55,172.0,169.905,170.04,101246.0,0.0,1.0,171.55,172.0,169.905,170.04,101246.0
2017-12-28,171.0,171.44,169.455,171.38,120360.0,0.0,1.0,171.0,171.44,169.455,171.38,120360.0
2017-12-27,169.66,170.56,168.53,170.48,111310.0,0.0,1.0,169.66,170.56,168.53,170.48,111310.0
2017-12-26,168.1,169.885,167.37,169.34,98204.0,0.0,1.0,168.1,169.885,167.37,169.34,98204.0
2017-12-22,167.62,168.84,167.62,168.29,111078.0,0.0,1.0,167.62,168.84,167.62,168.29,111078.0
2017-12-21,168.0,169.2664,166.92,168.77,118186.0,0.0,1.0,168.0,169.2664,166.92,168.77,118186.0
2017-12-20,168.44,169.46,167.765,168.68,191839.0,0.0,1.0,168.44,169.46,167.765,168.68,191839.0
2017-12-19,167.9,169.74,166.74,167.63,120323.0,0.0,1.0,167.9,169.74,166.74,167.63,120323.0
2017-12-18,167.62,168.0,165.97,167.61,169210.0,0.0,1.0,167.62,168.0,165.97,167.61,169210.0
2017-12-15,165.66,166.6738,165.04,165.27,431907.0,0.0,1.0,165.66,166.6738,165.04,165.27,431907.0
2017-12-14,167.85,169.06,165.43,165.54,119372.0,0.0,1.0,167.85,169.06,165.43,165.54,119372.0
2017-12-13,168.85,170.48,167.83,168.35,173602.0,0.0,1.0,168.85,170.48,167.83,168.35,173602.0
2017-12-12,168.71,169.4,167.76,168.82,266154.0,0.0,1.0,168.71,169.4,167.76,168.82,266154.0
2017-12-11,169.5,169.61,168.01,168.23,131856.0,0.0,1.0,169.5,169.61,168.01,168.23,131856.0
2017-12-08,169.03,170.175,168.03,169.48,169673.0,0.0,1.0,169.03,170.175,168.03,169.48,169673.0
2017-12-07,166.9,169.05,166.86,168.45,415318.0,0.0,1.0,166.9,169.05,166.86,168.45,415318.0
2017-12-06,167.67,168.03,166.45,166.92,187169.0,0.0,1.0,167.67,168.03,166.45,166.92,187169.0
2017-12-05,169.15,169.66,166.74,167.48,202420.0,0.0,1.0,169.15,169.66,166.74,167.48,202420.0
2017-12-04,166.31,171.15,166.095,168.51,449386.0,0.0,1.0,166.31,171.15,166.095,168.51,449386.0
2017-12-01,167.83,167.83,164.53,165.99,290354.0,0.0,1.0,167.83,167.83,164.53,165.99,290354.0
2017-11-30,167.0,168.7,166.21,167.5,444223.0,0.0,1.0,167.0,168.7,166.21,167.5,444223.0
2017-11-29,165.67,167.31,165.5434,166.5,313419.0,0.0,1.0,165.67,167.31,165.5434,166.5,313419.0
2017-11-28,164.57,166.16,164.41,165.67,294240.0,0.0,1.0,164.57,166.16,164.41,165.67,294240.0
2017-11-27,164.48,165.49,164.19,164.48,173675.0,0.0,1.0,164.48,165.49,164.19,164.48,173675.0
2017-11-24,165.14,165.76,164.09,164.48,47150.0,0.0,1.0,165.14,165.76,164.09,164.48,47150.0
2017-11-22,164.48,165.29,163.685,164.1,117176.0,0.0,1.0,164.48,165.29,163.685,164.1,117176.0
2017-11-21,165.28,165.49,163.91,164.41,141165.0,0.0,1.0,165.28,165.49,163.91,164.41,141165.0
2017-11-20,165.29,166.005,163.87,164.7,146738.0,0.0,1.0,165.29,166.005,163.87,164.7,146738.0
2017-11-17,165.7,166.14,164.57,164.87,157963.0,0.0,1.0,165.7,166.14,164.57,164.87,157963.0
2017-11-16,164.39,166.39,164.0,165.95,125132.0,0.0,1.0,164.39,166.39,164.0,165.95,125132.0
2017-11-15,164.15,165.13,163.3,164.19,265551.0,0.0,1.0,164.15,165.13,163.3,164.19,265551.0
2017-11-14,163.79,165.12,163.55,164.19,171040.0,0.0,1.0,163.79,165.12,163.55,164.19,171040.0
2017-11-13,164.2,165.35,164.12,164.38,154173.0,0.0,1.0,164.2,165.35,164.12,164.38,154173.0
2017-11-10,163.9,165.48,163.83,165.05,120412.0,0.0,1.0,163.9,165.48,163.83,165.05,120412.0
2017-11-09,165.1,165.215,163.16,164.6,123886.0,0.0,1.0,165.1,165.215,163.16,164.6,123886.0
2017-11-07,166.34,167.71,165.45,167.61,120872.0,0.0,1.0,166.34,167.71,165.45,167.61,120872.0
2017-11-06,165.78,166.59,164.39,166.16,160692.0,0.0,1.0,165.78,166.59,164.39,166.16,160692.0
2017-11-03,166.01,167.16,165.595,165.7,113668.0,0.0,1.0,166.01,167.16,165.595,165.7,113668.0
2017-11-02,165.55,166.655,165.08,166.05,141718.0,0.0,1.0,165.55,166.655,165.08,166.05,141718.0
2017-11-01,167.22,167.22,164.62,165.43,157378.0,0.0,1.0,167.22,167.22,164.62,165.43,157378.0
2017-10-31,165.22,167.3,165.22,166.57,133376.0,0.0,1.0,165.22,167.3,165.22,166.57,133376.0
2017-10-30,165.83,167.355,164.27,165.23,192608.0,0.0,1.0,165.83,167.355,164.27,165.23,192608.0
2017-10-27,166.18,166.46,164.48,165.81,228860.0,0.0,1.0,166.18,166.46,164.48,165.81,228860.0
2017-10-26,166.09,167.0199,164.25,165.85,481261.0,0.0,1.0,166.09,167.0199,164.25,165.85,481261.0
2017-10-25,158.04,165.96,155.5701,165.18,496907.0,0.0,1.0,158.04,165.96,155.5701,165.18,496907.0
2017-10-24,162.96,164.38,159.57,163.14,724201.0,0.0,1.0,162.96,164.38,159.57,163.14,724201.0
2017-10-23,161.17,162.5,160.0,161.71,292604.0,0.0,1.0,161.17,162.5,160.0,161.71,292604.0
2017-10-20,159.5,161.8,158.76,160.29,339386.0,0.0,1.0,159.5,161.8,158.76,160.29,339386.0
2017-10-19,159.98,159.98,158.35,159.3,194664.0,0.0,1.0,159.98,159.98,158.35,159.3,194664.0
2017-10-18,160.11,160.86,159.68,160.33,140482.0,0.0,1.0,160.11,160.86,159.68,160.33,140482.0
2017-10-17,159.5,160.79,159.19,159.84,187568.0,0.0,1.0,159.5,160.79,159.19,159.84,187568.0
2017-10-16,159.84,160.185,158.5,159.46,185739.0,0.0,1.0,159.84,160.185,158.5,159.46,185739.0
2017-10-13,160.02,160.35,159.26,159.56,154642.0,1.25,1.0,160.02,160.35,159.26,159.56,154642.0
2017-10-12,159.63,161.129,159.63,160.79,138072.0,0.0,1.0,158.38917231515,159.87652036565,158.38917231515,159.54015546296998,138072.0
2017-10-11,159.6,160.03,158.18,159.96,205995.0,0.0,1.0,158.35940550961,158.78606305578,156.95044338039,158.71660717617,205995.0
2017-10-10,162.86,163.31,159.76,160.07,169645.0,0.0,1.0,161.59406504571,162.04056712891,158.51816180586002,158.82575212984,169645.0
2017-10-09,162.57,163.13,162.03,162.45,86903.0,0.0,1.0,161.30631925875,161.86196629563,160.77051675891002,161.18725203656,86903.0
2017-10-06,162.27,163.81,162.035,162.55,123053.0,0.0,1.0,161.00865120328,162.53668055469,160.77547789317,161.28647472172,123053.0
2017-10-05,163.57,163.73,161.98,162.59,171741.0,0.0,1.0,162.29854611032,162.45730240657,160.72090541633003,161.32616379578002,171741.0
2017-10-04,163.59,163.945,161.495,163.32,243491.0,0.0,1.0,162.31839064735001,162.67063117965,160.23967539332,162.05048939743,243491.0
2017-10-03,163.77,163.91,161.54,163.69,185639.0,0.0,1.0,162.49699148063,162.63590323985,160.28432560164,162.4176133325,185639.0
2017-10-02,161.24,163.57,161.039,163.23,334816.0,0.0,1.0,159.98665754617,162.29854611032,159.78721994901002,161.96118898078,334816.0
2017-09-29,160.48,161.8599,159.99,161.07,152870.0,0.0,1.0,159.23256513898,160.60173897146,158.74637398171998,159.81797898141,152870.0
2017-09-28,159.49,161.47,158.87,160.48,166469.0,0.0,1.0,158.25026055594,160.21486972203002,157.63507990796998,159.23256513898,166469.0
2017-09-27,159.35,160.06,157.13,159.57,168823.0,0.0,1.0,158.11134879672,158.81582986133,155.90860518623998,158.32963870406,168823.0
2017-09-26,159.64,159.86,158.68,159.13,188443.0,0.0,1.0,158.39909458366998,158.61738449101003,157.44655680616998,157.89305888937,188443.0
2017-09-25,158.72,159.44,157.53,158.88,171201.0,0.0,1.0,157.48624588023,158.20064921336,156.30549592687,157.64500217648,171201.0
2017-09-22,157.68,158.97,157.48,158.55,252453.0,0.0,1.0,156.45432995459998,157.73430259312,156.25588458429,157.31756731547,252453.0
