Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,49.7,50.5,48.61,48.98,1549085.0,0.0,1.0,49.7,50.5,48.61,48.98,1549085.0
2018-03-26,48.59,49.44,47.99,49.36,1638880.0,0.0,1.0,48.59,49.44,47.99,49.36,1638880.0
2018-03-23,48.43,49.15,47.73,47.81,1506574.0,0.0,1.0,48.43,49.15,47.73,47.81,1506574.0
2018-03-22,48.47,49.2,48.1,48.18,1714837.0,0.0,1.0,48.47,49.2,48.1,48.18,1714837.0
2018-03-21,48.16,49.74,47.96,49.03,2147290.0,0.0,1.0,48.16,49.74,47.96,49.03,2147290.0
2018-03-20,46.7,48.66,46.6,48.01,2344052.0,0.0,1.0,46.7,48.66,46.6,48.01,2344052.0
2018-03-19,46.46,46.73,45.8,46.26,1766561.0,0.0,1.0,46.46,46.73,45.8,46.26,1766561.0
2018-03-16,45.82,46.59,45.695,46.51,3474987.0,0.0,1.0,45.82,46.59,45.695,46.51,3474987.0
2018-03-15,46.23,46.55,44.7,45.59,2341573.0,0.0,1.0,46.23,46.55,44.7,45.59,2341573.0
2018-03-14,46.22,46.86,46.01,46.27,1514947.0,0.0,1.0,46.22,46.86,46.01,46.27,1514947.0
2018-03-13,46.35,47.0,45.95,46.14,1517222.0,0.0,1.0,46.35,47.0,45.95,46.14,1517222.0
2018-03-12,46.7,47.0,45.88,45.99,1794447.0,0.0,1.0,46.7,47.0,45.88,45.99,1794447.0
2018-03-09,45.79,46.58,45.68,46.52,2291117.0,0.0,1.0,45.79,46.58,45.68,46.52,2291117.0
2018-03-08,45.03,45.37,44.355,45.29,1942397.0,0.0,1.0,45.03,45.37,44.355,45.29,1942397.0
2018-03-07,44.76,46.33,44.725,44.95,2214598.0,0.0,1.0,44.76,46.33,44.725,44.95,2214598.0
2018-03-06,44.66,45.59,44.38,45.23,2441910.0,0.0,1.0,44.66,45.59,44.38,45.23,2441910.0
2018-03-05,43.83,44.67,43.44,44.42,1620093.0,0.0,1.0,43.83,44.67,43.44,44.42,1620093.0
2018-03-02,43.03,45.3547,42.74,44.08,2130601.0,0.0,1.0,43.03,45.3547,42.74,44.08,2130601.0
2018-03-01,42.82,43.7,42.42,43.45,3178563.0,0.0,1.0,42.82,43.7,42.42,43.45,3178563.0
2018-02-28,44.55,44.81,42.79,42.83,2609404.0,0.0,1.0,44.55,44.81,42.79,42.83,2609404.0
2018-02-27,44.75,46.06,44.37,44.4,1979816.0,0.0,1.0,44.75,46.06,44.37,44.4,1979816.0
2018-02-26,45.13,45.32,44.83,45.06,2208889.0,0.0,1.0,45.13,45.32,44.83,45.06,2208889.0
2018-02-23,44.46,45.105,44.21,45.0,2702572.0,0.0,1.0,44.46,45.105,44.21,45.0,2702572.0
2018-02-22,44.63,45.13,43.88,44.09,3029435.0,0.0,1.0,44.63,45.13,43.88,44.09,3029435.0
2018-02-21,44.5,45.25,43.68,44.41,4349838.0,0.0,1.0,44.5,45.25,43.68,44.41,4349838.0
2018-02-20,46.21,46.56,45.62,45.98,3908050.0,0.0,1.0,46.21,46.56,45.62,45.98,3908050.0
2018-02-16,46.58,46.9,45.9,46.4,1424899.0,0.0,1.0,46.58,46.9,45.9,46.4,1424899.0
2018-02-15,46.89,47.88,46.12,46.81,1952050.0,0.0,1.0,46.89,47.88,46.12,46.81,1952050.0
2018-02-14,44.8,46.87,44.74,46.78,1866161.0,0.0,1.0,44.8,46.87,44.74,46.78,1866161.0
2018-02-13,44.63,45.36,44.485,45.26,2096862.0,0.0,1.0,44.63,45.36,44.485,45.26,2096862.0
2018-02-12,44.93,45.94,44.4787,44.73,2388359.0,0.0,1.0,44.93,45.94,44.4787,44.73,2388359.0
2018-02-09,44.715,45.24,42.88,44.5,2806873.0,0.0,1.0,44.715,45.24,42.88,44.5,2806873.0
2018-02-08,45.65,46.11,44.35,44.36,2515811.0,0.0,1.0,45.65,46.11,44.35,44.36,2515811.0
2018-02-07,46.55,47.13,45.67,45.79,2299774.0,0.0,1.0,46.55,47.13,45.67,45.79,2299774.0
