Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,24.78,25.29,24.61,24.86,1381891.0,0.0,1.0,24.78,25.29,24.61,24.86,1381891.0
2018-03-26,23.94,24.84,23.94,24.79,1067031.0,0.0,1.0,23.94,24.84,23.94,24.79,1067031.0
2018-03-23,24.22,24.61,23.69,23.74,887481.0,0.0,1.0,24.22,24.61,23.69,23.74,887481.0
2018-03-22,24.82,24.96,24.08,24.1,1657560.0,0.0,1.0,24.82,24.96,24.08,24.1,1657560.0
2018-03-21,25.09,25.19,24.645,24.89,924539.0,0.0,1.0,25.09,25.19,24.645,24.89,924539.0
2018-03-20,25.88,25.9,24.93,25.17,1092578.0,0.0,1.0,25.88,25.9,24.93,25.17,1092578.0
2018-03-19,25.48,25.98,25.38,25.93,1312864.0,0.0,1.0,25.48,25.98,25.38,25.93,1312864.0
2018-03-16,24.77,25.56,24.77,25.43,1466680.0,0.0,1.0,24.77,25.56,24.77,25.43,1466680.0
2018-03-15,25.79,25.96,24.82,24.85,2179773.0,0.0,1.0,25.79,25.96,24.82,24.85,2179773.0
2018-03-14,25.16,25.89,25.07,25.77,1454271.0,0.0,1.0,25.16,25.89,25.07,25.77,1454271.0
2018-03-13,24.22,24.62,24.16,24.51,980806.0,0.0,1.0,24.22,24.62,24.16,24.51,980806.0
2018-03-12,24.83,25.3833,24.08,24.1,788741.0,0.0,1.0,24.83,25.3833,24.08,24.1,788741.0
2018-03-09,24.41,24.84,24.17,24.75,992920.0,0.0,1.0,24.41,24.84,24.17,24.75,992920.0
2018-03-08,24.43,24.63,24.18,24.22,750317.0,0.0,1.0,24.43,24.63,24.18,24.22,750317.0
2018-03-07,23.99,24.44,23.67,24.3,814690.0,0.0,1.0,23.99,24.44,23.67,24.3,814690.0
2018-03-06,24.28,24.28,23.54,24.11,1814831.0,0.0,1.0,24.28,24.28,23.54,24.11,1814831.0
2018-03-05,24.97,24.97,24.29,24.3,1318345.0,0.0,1.0,24.97,24.97,24.29,24.3,1318345.0
2018-03-02,24.8,25.12,24.75,25.11,818078.0,0.0,1.0,24.8,25.12,24.75,25.11,818078.0
2018-03-01,25.22,25.3,24.71,24.93,1158413.0,0.0,1.0,25.22,25.3,24.71,24.93,1158413.0
2018-02-28,25.37,25.77,25.18,25.2,1046720.0,0.0,1.0,25.37,25.77,25.18,25.2,1046720.0
2018-02-27,25.42,25.8725,25.2,25.2,1190792.0,0.0,1.0,25.42,25.8725,25.2,25.2,1190792.0
2018-02-26,25.09,25.47,24.9,25.42,746460.0,0.0,1.0,25.09,25.47,24.9,25.42,746460.0
2018-02-23,25.0,25.25,24.44,25.01,1027118.0,0.0,1.0,25.0,25.25,24.44,25.01,1027118.0
2018-02-22,24.85,25.16,24.32,24.93,1403981.0,0.0,1.0,24.85,25.16,24.32,24.93,1403981.0
2018-02-21,26.49,26.8678,24.83,24.86,1953061.0,0.0,1.0,26.49,26.8678,24.83,24.86,1953061.0
2018-02-20,26.6,26.95,26.15,26.38,1374639.0,0.0,1.0,26.6,26.95,26.15,26.38,1374639.0
2018-02-16,26.36,27.21,25.66,27.0,1749790.0,0.0,1.0,26.36,27.21,25.66,27.0,1749790.0
