Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,57.14,57.6,56.03,56.41,1129273.0,0.0,1.0,57.14,57.6,56.03,56.41,1129273.0
2018-03-26,56.51,56.93,55.69,56.88,2046886.0,0.0,1.0,56.51,56.93,55.69,56.88,2046886.0
2018-03-23,58.04,58.48,55.66,55.76,1401980.0,0.0,1.0,58.04,58.48,55.66,55.76,1401980.0
2018-03-22,59.17,59.55,58.01,58.06,1170751.0,0.0,1.0,59.17,59.55,58.01,58.06,1170751.0
2018-03-21,59.67,60.27,59.64,59.66,568046.0,0.0,1.0,59.67,60.27,59.64,59.66,568046.0
2018-03-20,59.5,60.05,59.5,59.63,752191.0,0.0,1.0,59.5,60.05,59.5,59.63,752191.0
2018-03-19,59.44,59.77,58.89,59.42,694553.0,0.0,1.0,59.44,59.77,58.89,59.42,694553.0
2018-03-16,58.76,59.8,58.605,59.44,2059500.0,0.0,1.0,58.76,59.8,58.605,59.44,2059500.0
2018-03-15,58.5,59.16,58.39,58.72,781507.0,0.0,1.0,58.5,59.16,58.39,58.72,781507.0
2018-03-14,59.43,59.58,58.17,58.45,998781.0,0.0,1.0,59.43,59.58,58.17,58.45,998781.0
2018-03-13,59.44,59.74,58.935,59.13,916272.0,0.0,1.0,59.44,59.74,58.935,59.13,916272.0
2018-03-12,60.46,60.46,59.05,59.34,1022812.0,0.0,1.0,60.46,60.46,59.05,59.34,1022812.0
2018-03-09,60.27,60.54,59.49,60.51,1226554.0,0.0,1.0,60.27,60.54,59.49,60.51,1226554.0
2018-03-08,60.04,60.17,58.98,59.66,1042217.0,0.0,1.0,60.04,60.17,58.98,59.66,1042217.0
2018-03-07,58.85,59.92,58.805,59.87,977100.0,0.0,1.0,58.85,59.92,58.805,59.87,977100.0
2018-03-06,58.91,59.6,58.59,59.55,745911.0,0.0,1.0,58.91,59.6,58.59,59.55,745911.0
