Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,72.75,72.75,70.83,71.09,418475.0,0.0,1.0,72.75,72.75,70.83,71.09,418475.0
2018-03-26,72.19,72.75,70.98,72.51,329728.0,0.0,1.0,72.19,72.75,70.98,72.51,329728.0
2018-03-23,72.19,72.85,71.1,71.17,273185.0,0.0,1.0,72.19,72.85,71.1,71.17,273185.0
2018-03-22,73.31,74.145,71.89,71.98,326691.0,0.0,1.0,73.31,74.145,71.89,71.98,326691.0
2018-03-21,73.22,75.02,73.22,74.18,319373.0,0.0,1.0,73.22,75.02,73.22,74.18,319373.0
2018-03-20,74.0,74.36,73.14,73.33,257232.0,0.0,1.0,74.0,74.36,73.14,73.33,257232.0
2018-03-19,73.43,73.88,72.72,73.77,411744.0,0.0,1.0,73.43,73.88,72.72,73.77,411744.0
2018-03-16,73.15,73.885,72.9,73.65,595803.0,0.0,1.0,73.15,73.885,72.9,73.65,595803.0
2018-03-15,72.99,74.15,72.48,72.85,275855.0,0.0,1.0,72.99,74.15,72.48,72.85,275855.0
2018-03-14,74.48,74.63,72.5,72.8,347089.0,0.0,1.0,74.48,74.63,72.5,72.8,347089.0
2018-03-13,74.44,75.58,73.86,73.99,475056.0,0.0,1.0,74.44,75.58,73.86,73.99,475056.0
2018-03-12,73.42,74.8,73.42,74.07,827074.0,0.0,1.0,73.42,74.8,73.42,74.07,827074.0
2018-03-09,72.72,73.82,72.1,73.3,883940.0,0.0,1.0,72.72,73.82,72.1,73.3,883940.0
2018-03-08,71.65,72.027,70.825,71.69,553108.0,0.0,1.0,71.65,72.027,70.825,71.69,553108.0
2018-03-07,70.18,71.92,70.05,71.32,802696.0,0.0,1.0,70.18,71.92,70.05,71.32,802696.0
2018-03-06,70.54,71.5407,70.24,71.07,731637.0,0.0,1.0,70.54,71.5407,70.24,71.07,731637.0
2018-03-05,69.37,70.32,69.06,70.11,643630.0,0.0,1.0,69.37,70.32,69.06,70.11,643630.0
2018-03-02,69.07,70.2,68.0701,69.96,415357.0,0.0,1.0,69.07,70.2,68.0701,69.96,415357.0
2018-03-01,70.06,71.38,69.04,69.78,412015.0,0.0,1.0,70.06,71.38,69.04,69.78,412015.0
2018-02-28,71.34,71.34,69.51,69.53,419295.0,0.0,1.0,71.34,71.34,69.51,69.53,419295.0
2018-02-27,72.99,73.52,71.02,71.09,385755.0,0.0,1.0,72.99,73.52,71.02,71.09,385755.0
2018-02-26,72.19,73.43,72.05,72.92,462613.0,0.0,1.0,72.19,73.43,72.05,72.92,462613.0
2018-02-23,71.61,72.02,71.28,71.6,443128.0,0.0,1.0,71.61,72.02,71.28,71.6,443128.0
2018-02-22,71.28,72.23,70.96,71.29,405200.0,0.0,1.0,71.28,72.23,70.96,71.29,405200.0
2018-02-21,72.58,73.2,70.84,70.85,605816.0,0.0,1.0,72.58,73.2,70.84,70.85,605816.0
2018-02-20,72.81,73.3,71.95,72.45,558503.0,0.0,1.0,72.81,73.3,71.95,72.45,558503.0
2018-02-16,72.0,73.6,71.51,73.35,536167.0,0.0,1.0,72.0,73.6,71.51,73.35,536167.0
2018-02-15,72.16,72.23,70.86,72.03,420703.0,0.0,1.0,72.16,72.23,70.86,72.03,420703.0
2018-02-14,69.71,71.95,68.13,71.86,467218.0,0.0,1.0,69.71,71.95,68.13,71.86,467218.0
2018-02-13,69.66,70.45,68.95,70.41,540377.0,0.0,1.0,69.66,70.45,68.95,70.41,540377.0
2018-02-12,70.18,70.62,68.62,70.04,577509.0,0.0,1.0,70.18,70.62,68.62,70.04,577509.0
2018-02-09,69.64,70.21,67.61,69.59,830113.0,0.0,1.0,69.64,70.21,67.61,69.59,830113.0
2018-02-08,72.6,72.66,68.54,68.99,917911.0,0.0,1.0,72.6,72.66,68.54,68.99,917911.0
2018-02-07,73.64,74.99,73.06,73.39,405659.0,0.0,1.0,73.64,74.99,73.06,73.39,405659.0
2018-02-06,71.38,74.45,70.75,74.16,648168.0,0.0,1.0,71.38,74.45,70.75,74.16,648168.0
2018-02-05,75.65,76.84,72.74,72.87,707646.0,0.0,1.0,75.65,76.84,72.74,72.87,707646.0
2018-02-02,78.99,78.99,76.51,76.58,353904.0,0.0,1.0,78.99,78.99,76.51,76.58,353904.0
2018-02-01,79.42,80.22,79.16,79.68,199382.0,0.0,1.0,79.42,80.22,79.16,79.68,199382.0
2018-01-31,80.19,81.21,79.07,79.85,269369.0,0.0,1.0,80.19,81.21,79.07,79.85,269369.0
2018-01-30,79.44,80.31,79.14,79.8,357151.0,0.0,1.0,79.44,80.31,79.14,79.8,357151.0
2018-01-29,80.63,81.43,79.97,80.08,300531.0,0.0,1.0,80.63,81.43,79.97,80.08,300531.0
2018-01-26,80.71,80.95,80.11,80.8,262179.0,0.0,1.0,80.71,80.95,80.11,80.8,262179.0
2018-01-25,81.35,81.82,80.12,80.43,286235.0,0.0,1.0,81.35,81.82,80.12,80.43,286235.0
2018-01-24,81.76,82.67,80.52,81.39,220593.0,0.0,1.0,81.76,82.67,80.52,81.39,220593.0
2018-01-23,81.48,81.97,80.62,81.58,302551.0,0.0,1.0,81.48,81.97,80.62,81.58,302551.0
2018-01-22,81.39,82.24,80.415,81.58,231229.0,0.0,1.0,81.39,82.24,80.415,81.58,231229.0
2018-01-19,81.6,82.1,80.9,81.83,304683.0,0.0,1.0,81.6,82.1,80.9,81.83,304683.0
2018-01-18,81.68,82.03,81.12,81.57,318854.0,0.0,1.0,81.68,82.03,81.12,81.57,318854.0
2018-01-17,82.5,83.57,81.29,81.39,291091.0,0.0,1.0,82.5,83.57,81.29,81.39,291091.0
2018-01-16,83.5,83.7999,81.78,82.26,634190.0,0.0,1.0,83.5,83.7999,81.78,82.26,634190.0
2018-01-12,83.78,84.24,82.9,83.13,343507.0,0.0,1.0,83.78,84.24,82.9,83.13,343507.0
2018-01-11,82.67,83.575,82.6,83.53,401591.0,0.0,1.0,82.67,83.575,82.6,83.53,401591.0
2018-01-10,83.2,84.24,82.24,82.38,207820.0,0.0,1.0,83.2,84.24,82.24,82.38,207820.0
2018-01-09,83.15,84.4,82.885,83.39,270911.0,0.0,1.0,83.15,84.4,82.885,83.39,270911.0
2018-01-08,81.71,82.79,81.44,82.61,303711.0,0.0,1.0,81.71,82.79,81.44,82.61,303711.0
2018-01-05,82.41,83.2,81.07,81.64,389641.0,0.0,1.0,82.41,83.2,81.07,81.64,389641.0
2018-01-04,80.7,82.305,80.7,81.87,545305.0,0.0,1.0,80.7,82.305,80.7,81.87,545305.0
2018-01-03,80.44,81.22,80.06,80.41,322866.0,0.0,1.0,80.44,81.22,80.06,80.41,322866.0
2018-01-02,79.03,80.565,78.75,80.39,317806.0,0.0,1.0,79.03,80.565,78.75,80.39,317806.0
2017-12-29,78.79,79.57,78.55,78.73,211605.0,0.0,1.0,78.79,79.57,78.55,78.73,211605.0
2017-12-28,79.38,79.38,78.18,78.72,198607.0,0.0,1.0,79.38,79.38,78.18,78.72,198607.0
2017-12-27,78.33,79.37,78.15,79.13,163607.0,0.0,1.0,78.33,79.37,78.15,79.13,163607.0
2017-12-26,78.25,78.93,78.07,78.34,90285.0,0.0,1.0,78.25,78.93,78.07,78.34,90285.0
2017-12-22,77.97,78.32,77.72,78.15,130372.0,0.0,1.0,77.97,78.32,77.72,78.15,130372.0
2017-12-21,78.31,78.89,77.465,78.04,259033.0,0.0,1.0,78.31,78.89,77.465,78.04,259033.0
2017-12-20,78.91,79.29,78.32,78.71,169694.0,0.0,1.0,78.91,79.29,78.32,78.71,169694.0
2017-12-19,78.27,79.08,77.82,78.56,251784.0,0.0,1.0,78.27,79.08,77.82,78.56,251784.0
2017-12-18,78.4,78.78,78.05,78.41,296764.0,0.0,1.0,78.4,78.78,78.05,78.41,296764.0
2017-12-15,77.39,77.995,76.67,77.42,618227.0,0.0,1.0,77.39,77.995,76.67,77.42,618227.0
2017-12-14,78.41,78.62,76.43,76.45,347019.0,0.0,1.0,78.41,78.62,76.43,76.45,347019.0
2017-12-13,77.36,78.74,77.24,78.31,287204.0,0.0,1.0,77.36,78.74,77.24,78.31,287204.0
2017-12-12,77.13,77.45,76.56,77.22,266805.0,0.0,1.0,77.13,77.45,76.56,77.22,266805.0
2017-12-11,78.6,78.82,76.77,76.98,357207.0,0.0,1.0,78.6,78.82,76.77,76.98,357207.0
2017-12-08,79.2,79.56,78.35,78.57,292117.0,0.0,1.0,79.2,79.56,78.35,78.57,292117.0
2017-12-07,77.16,78.76,76.64,78.48,333908.0,0.0,1.0,77.16,78.76,76.64,78.48,333908.0
2017-12-06,76.9,77.8,75.49,77.37,238562.0,0.0,1.0,76.9,77.8,75.49,77.37,238562.0
2017-12-05,79.4,79.4,77.17,77.28,520678.0,0.0,1.0,79.4,79.4,77.17,77.28,520678.0
2017-12-04,79.29,81.73,77.8,79.48,470528.0,0.0,1.0,79.29,81.73,77.8,79.48,470528.0
2017-12-01,78.76,79.0,76.52,78.3,528454.0,0.0,1.0,78.76,79.0,76.52,78.3,528454.0
2017-11-30,77.24,79.3,77.03,78.82,382846.0,0.0,1.0,77.24,79.3,77.03,78.82,382846.0
2017-11-29,75.12,77.15,74.94,76.93,440365.0,0.0,1.0,75.12,77.15,74.94,76.93,440365.0
2017-11-28,74.53,75.24,73.96,75.12,530074.0,0.0,1.0,74.53,75.24,73.96,75.12,530074.0
2017-11-27,73.98,74.425,73.44,74.34,295020.0,0.0,1.0,73.98,74.425,73.44,74.34,295020.0
2017-11-24,74.38,74.58,73.915,74.27,76693.0,0.0,1.0,74.38,74.58,73.915,74.27,76693.0
2017-11-22,73.72,74.36,73.14,73.98,237690.0,0.0,1.0,73.72,74.36,73.14,73.98,237690.0
2017-11-21,72.94,73.88,72.86,73.43,239517.0,0.0,1.0,72.94,73.88,72.86,73.43,239517.0
2017-11-20,72.67,72.89,71.39,72.76,244653.0,0.0,1.0,72.67,72.89,71.39,72.76,244653.0
2017-11-17,72.48,72.79,71.93,72.66,291454.0,0.0,1.0,72.48,72.79,71.93,72.66,291454.0
2017-11-16,71.69,72.67,71.34,72.5,409707.0,0.0,1.0,71.69,72.67,71.34,72.5,409707.0
2017-11-15,71.52,71.67,70.68,71.39,437024.0,0.0,1.0,71.52,71.67,70.68,71.39,437024.0
2017-11-14,72.53,72.69,71.985,72.14,355091.0,0.0,1.0,72.53,72.69,71.985,72.14,355091.0
2017-11-13,73.76,73.76,70.935,72.85,418713.0,0.0,1.0,73.76,73.76,70.935,72.85,418713.0
