Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,88.06,88.375,84.9568,85.59,1073106.0,0.0,1.0,88.06,88.375,84.9568,85.59,1073106.0
2018-03-26,86.71,87.68,85.88,87.61,1338277.0,0.0,1.0,86.71,87.68,85.88,87.61,1338277.0
2018-03-23,87.3,87.93,85.26,85.38,821245.0,0.0,1.0,87.3,87.93,85.26,85.38,821245.0
2018-03-22,88.47,88.9,87.16,87.22,1145279.0,0.0,1.0,88.47,88.9,87.16,87.22,1145279.0
2018-03-21,90.02,90.285,89.15,89.17,732355.0,0.0,1.0,90.02,90.285,89.15,89.17,732355.0
2018-03-20,89.35,90.155,89.27,89.93,928311.0,0.0,1.0,89.35,90.155,89.27,89.93,928311.0
2018-03-19,89.71,89.965,88.42,89.18,801165.0,0.0,1.0,89.71,89.965,88.42,89.18,801165.0
2018-03-16,90.0,90.61,89.51,89.97,1576314.0,0.0,1.0,90.0,90.61,89.51,89.97,1576314.0
2018-03-15,90.03,90.08,89.25,89.76,946251.0,0.0,1.0,90.03,90.08,89.25,89.76,946251.0
2018-03-14,90.15,90.15,88.6,89.86,1605213.0,0.0,1.0,90.15,90.15,88.6,89.86,1605213.0
2018-03-13,90.48,90.64,89.32,89.51,996063.0,0.0,1.0,90.48,90.64,89.32,89.51,996063.0
2018-03-12,90.69,90.74,89.78,89.95,1173552.0,0.0,1.0,90.69,90.74,89.78,89.95,1173552.0
2018-03-09,89.78,90.74,89.7,90.74,1158038.0,0.0,1.0,89.78,90.74,89.7,90.74,1158038.0
2018-03-08,89.56,89.85,88.51,89.22,809322.0,0.0,1.0,89.56,89.85,88.51,89.22,809322.0
2018-03-07,88.02,89.49,88.02,89.39,916365.0,0.0,1.0,88.02,89.49,88.02,89.39,916365.0
2018-03-06,89.03,89.72,88.28,88.91,1133327.0,0.0,1.0,89.03,89.72,88.28,88.91,1133327.0
2018-03-05,87.23,88.7012,86.94,88.47,1239195.0,0.0,1.0,87.23,88.7012,86.94,88.47,1239195.0
2018-03-02,86.37,87.77,86.11,87.57,1202712.0,0.0,1.0,86.37,87.77,86.11,87.57,1202712.0
2018-03-01,87.77,88.53,86.54700000000001,87.22,1057700.0,0.0,1.0,87.77,88.53,86.54700000000001,87.22,1057700.0
2018-02-28,88.18,89.62,87.95,87.95,1247036.0,0.0,1.0,88.18,89.62,87.95,87.95,1247036.0
2018-02-27,88.71,89.14,87.78,87.99,1225167.0,0.0,1.0,88.71,89.14,87.78,87.99,1225167.0
