Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,227.72,228.28,222.21,222.83,319680.0,0.0,1.0,227.72,228.28,222.21,222.83,319680.0
2018-03-26,224.19,227.92,222.9,226.9,379286.0,0.0,1.0,224.19,227.92,222.9,226.9,379286.0
2018-03-23,227.75,228.35,222.481,223.63,562655.0,0.0,1.0,227.75,228.35,222.481,223.63,562655.0
2018-03-22,229.01,234.4326,227.53,227.95,511535.0,0.0,1.0,229.01,234.4326,227.53,227.95,511535.0
2018-03-21,230.78,232.6,229.08,229.7,427595.0,0.0,1.0,230.78,232.6,229.08,229.7,427595.0
2018-03-20,228.3,232.28,227.97,230.5,369447.0,0.0,1.0,228.3,232.28,227.97,230.5,369447.0
2018-03-19,226.82,228.64,225.01,227.7,281738.0,0.0,1.0,226.82,228.64,225.01,227.7,281738.0
2018-03-16,226.36,227.95,225.44,226.9,323203.0,0.0,1.0,226.36,227.95,225.44,226.9,323203.0
2018-03-15,223.74,226.08,223.27,225.57,376024.0,0.0,1.0,223.74,226.08,223.27,225.57,376024.0
2018-03-14,221.8,223.83,220.27,223.06,381091.0,0.0,1.0,221.8,223.83,220.27,223.06,381091.0
2018-03-13,224.59,226.82,220.41,221.37,364567.0,0.0,1.0,224.59,226.82,220.41,221.37,364567.0
2018-03-12,227.72,228.25,222.01,223.42,610562.0,0.0,1.0,227.72,228.25,222.01,223.42,610562.0
2018-03-09,228.5,232.57,225.98,226.99,615731.0,0.0,1.0,228.5,232.57,225.98,226.99,615731.0
2018-03-08,219.64,231.79,219.64,228.53,1249865.0,0.0,1.0,219.64,231.79,219.64,228.53,1249865.0
2018-03-07,212.01,217.63,212.01,216.81,621964.0,0.0,1.0,212.01,217.63,212.01,216.81,621964.0
2018-03-06,211.7,214.65,211.35,213.58,659768.0,0.0,1.0,211.7,214.65,211.35,213.58,659768.0
2018-03-05,207.09,212.05,206.9,211.65,360214.0,0.0,1.0,207.09,212.05,206.9,211.65,360214.0
2018-03-02,205.77,209.975,203.18,208.66,460583.0,0.0,1.0,205.77,209.975,203.18,208.66,460583.0
2018-03-01,205.65,207.88,204.02,207.47,323347.0,0.0,1.0,205.65,207.88,204.02,207.47,323347.0
2018-02-28,211.07,211.61,205.25,205.87,464647.0,0.0,1.0,211.07,211.61,205.25,205.87,464647.0
2018-02-27,212.16,212.9,209.27,209.36,304952.0,0.0,1.0,212.16,212.9,209.27,209.36,304952.0
2018-02-26,210.86,213.58,209.6,212.04,416445.0,0.0,1.0,210.86,213.58,209.6,212.04,416445.0
2018-02-23,212.16,212.625,207.19,210.72,502814.0,0.0,1.0,212.16,212.625,207.19,210.72,502814.0
2018-02-22,216.97,218.58,211.09,211.7,702927.0,0.0,1.0,216.97,218.58,211.09,211.7,702927.0
2018-02-21,215.91,218.32,215.495,216.11,311648.0,0.0,1.0,215.91,218.32,215.495,216.11,311648.0
2018-02-20,214.73,216.98,213.17,216.0,347574.0,0.0,1.0,214.73,216.98,213.17,216.0,347574.0
2018-02-16,213.69,217.755,213.41,216.04,357740.0,0.0,1.0,213.69,217.755,213.41,216.04,357740.0
2018-02-15,213.75,214.49,210.75,214.2,332813.0,0.0,1.0,213.75,214.49,210.75,214.2,332813.0
2018-02-14,211.12,214.26,210.82,212.29,337460.0,0.0,1.0,211.12,214.26,210.82,212.29,337460.0
2018-02-13,209.88,212.73,209.45,212.51,284825.0,0.0,1.0,209.88,212.73,209.45,212.51,284825.0
2018-02-12,207.43,211.08,207.27,210.75,443650.0,0.0,1.0,207.43,211.08,207.27,210.75,443650.0
2018-02-09,207.47,209.49,200.68,205.97,468159.0,0.0,1.0,207.47,209.49,200.68,205.97,468159.0
2018-02-08,213.95,214.73,206.0,206.07,412791.0,0.0,1.0,213.95,214.73,206.0,206.07,412791.0
2018-02-07,212.11,215.69,211.8442,214.25,321172.0,0.0,1.0,212.11,215.69,211.8442,214.25,321172.0
2018-02-06,208.21,215.04,208.0,211.94,593215.0,0.0,1.0,208.21,215.04,208.0,211.94,593215.0
2018-02-05,216.07,218.32,211.325,212.62,397914.0,0.0,1.0,216.07,218.32,211.325,212.62,397914.0
2018-02-02,223.28,224.46,217.67,217.98,278123.0,0.0,1.0,223.28,224.46,217.67,217.98,278123.0
2018-02-01,219.1,225.2,218.5499,224.54,548271.0,0.0,1.0,219.1,225.2,218.5499,224.54,548271.0
2018-01-31,223.09,223.09,217.28,218.56,524035.0,0.0,1.0,223.09,223.09,217.28,218.56,524035.0
2018-01-30,223.5,224.24,220.29,221.77,459744.0,0.0,1.0,223.5,224.24,220.29,221.77,459744.0
2018-01-29,228.74,229.66,223.59,225.06,522527.0,0.0,1.0,228.74,229.66,223.59,225.06,522527.0
2018-01-26,234.47,234.665,228.9,229.88,523721.0,0.0,1.0,234.47,234.665,228.9,229.88,523721.0
2018-01-25,234.0,235.99,233.01,233.62,481569.0,0.0,1.0,234.0,235.99,233.01,233.62,481569.0
2018-01-24,233.95,234.44,230.56,232.65,343366.0,0.0,1.0,233.95,234.44,230.56,232.65,343366.0
2018-01-23,231.07,234.9,230.96200000000002,233.12,425863.0,0.0,1.0,231.07,234.9,230.96200000000002,233.12,425863.0
2018-01-22,231.84,234.28,230.59,231.74,651086.0,0.0,1.0,231.84,234.28,230.59,231.74,651086.0
2018-01-19,225.61,231.67,224.79,231.46,560098.0,0.0,1.0,225.61,231.67,224.79,231.46,560098.0
2018-01-18,223.68,224.85,223.16,224.81,608597.0,0.0,1.0,223.68,224.85,223.16,224.81,608597.0
2018-01-17,222.84,225.2,222.3,225.1,750657.0,0.0,1.0,222.84,225.2,222.3,225.1,750657.0
2018-01-16,222.72,226.07,220.45,222.16,1035010.0,0.0,1.0,222.72,226.07,220.45,222.16,1035010.0
2018-01-12,214.5,223.17,214.14,222.31,1436363.0,0.0,1.0,214.5,223.17,214.14,222.31,1436363.0
2018-01-11,214.05,220.0,213.62,218.94,1003396.0,0.0,1.0,214.05,220.0,213.62,218.94,1003396.0
2018-01-10,212.36,214.1,210.25,213.51,787822.0,0.0,1.0,212.36,214.1,210.25,213.51,787822.0
2018-01-09,205.63,214.48,205.06,213.32,953842.0,0.0,1.0,205.63,214.48,205.06,213.32,953842.0
2018-01-08,206.97,207.17,204.86,205.66,551058.0,0.0,1.0,206.97,207.17,204.86,205.66,551058.0
2018-01-05,208.64,209.03,205.38,207.27,553763.0,0.0,1.0,208.64,209.03,205.38,207.27,553763.0
2018-01-04,213.89,213.89,207.89,209.03,634752.0,0.0,1.0,213.89,213.89,207.89,209.03,634752.0
2018-01-03,212.23,212.59,209.0,212.59,1024583.0,0.0,1.0,212.23,212.59,209.0,212.59,1024583.0
2018-01-02,213.41,213.57,206.583,210.45,1059454.0,0.0,1.0,213.41,213.57,206.583,210.45,1059454.0
2017-12-29,215.28,215.28,212.29,212.47,343962.0,0.0,1.0,215.28,215.28,212.29,212.47,343962.0
2017-12-28,214.28,215.03,212.0,214.76,609742.0,0.0,1.0,214.28,215.03,212.0,214.76,609742.0
2017-12-27,215.03,215.78,210.8,213.83,625013.0,0.0,1.0,215.03,215.78,210.8,213.83,625013.0
2017-12-26,213.87,216.36,213.87,215.0,406817.0,0.0,1.0,213.87,216.36,213.87,215.0,406817.0
2017-12-22,215.91,217.3212,214.72,215.17,647928.0,0.0,1.0,215.91,217.3212,214.72,215.17,647928.0
2017-12-21,217.23,217.71900000000002,213.155,215.63,906969.0,0.0,1.0,217.23,217.71900000000002,213.155,215.63,906969.0
2017-12-20,217.97,219.2542,216.9,216.99,379925.0,0.0,1.0,217.97,219.2542,216.9,216.99,379925.0
2017-12-19,223.21,224.01,218.97,219.26,436662.0,0.0,1.0,223.21,224.01,218.97,219.26,436662.0
2017-12-18,220.8,222.25,218.54,221.99,557983.0,0.0,1.0,220.8,222.25,218.54,221.99,557983.0
2017-12-15,219.27,220.8225,217.395,219.84,548697.0,0.0,1.0,219.27,220.8225,217.395,219.84,548697.0
2017-12-14,221.86,221.9,218.32,218.61,331279.0,0.0,1.0,221.86,221.9,218.32,218.61,331279.0
2017-12-13,219.5,221.46,217.35,220.78,385856.0,0.0,1.0,219.5,221.46,217.35,220.78,385856.0
2017-12-12,224.69,224.9,218.2,218.43,376196.0,0.0,1.0,224.69,224.9,218.2,218.43,376196.0
2017-12-11,225.01,226.59,220.4,224.62,521921.0,0.0,1.0,225.01,226.59,220.4,224.62,521921.0
2017-12-08,227.5,227.57,221.33,225.49,750581.0,0.0,1.0,227.5,227.57,221.33,225.49,750581.0
2017-12-07,220.0,234.08,219.45,225.5,893026.0,0.0,1.0,220.0,234.08,219.45,225.5,893026.0
2017-12-06,222.96,223.56,220.4,221.18,582658.0,0.0,1.0,222.96,223.56,220.4,221.18,582658.0
2017-12-05,220.9,224.13,220.87099999999998,223.43,359083.0,0.0,1.0,220.9,224.13,220.87099999999998,223.43,359083.0
2017-12-04,225.06,225.71,220.6896,220.86,410554.0,0.0,1.0,225.06,225.71,220.6896,220.86,410554.0
2017-12-01,225.36,227.075,221.06,223.71,357173.0,0.0,1.0,225.36,227.075,221.06,223.71,357173.0
2017-11-30,224.98,226.96,222.12,225.16,629976.0,0.0,1.0,224.98,226.96,222.12,225.16,629976.0
2017-11-29,225.94,227.34,223.6,223.83,361106.0,0.0,1.0,225.94,227.34,223.6,223.83,361106.0
2017-11-28,228.43,228.93,224.74,226.04,367274.0,0.0,1.0,228.43,228.93,224.74,226.04,367274.0
2017-11-27,230.98,231.73,227.13,227.3,272867.0,0.0,1.0,230.98,231.73,227.13,227.3,272867.0
2017-11-24,230.5,232.11,230.07,232.04,107598.0,0.0,1.0,230.5,232.11,230.07,232.04,107598.0
