Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,135.59,135.98,133.42,133.97,212848.0,0.0,1.0,135.59,135.98,133.42,133.97,212848.0
2018-03-26,135.39,135.6,133.63,135.3,170222.0,0.0,1.0,135.39,135.6,133.63,135.3,170222.0
2018-03-23,136.68,137.14,133.96,134.11,181025.0,0.0,1.0,136.68,137.14,133.96,134.11,181025.0
2018-03-22,137.83,138.635,136.32,136.44,275180.0,0.0,1.0,137.83,138.635,136.32,136.44,275180.0
2018-03-21,138.2,139.74,137.972,138.79,304662.0,0.0,1.0,138.2,139.74,137.972,138.79,304662.0
2018-03-20,138.68,138.68,137.595,138.03,158674.0,0.0,1.0,138.68,138.68,137.595,138.03,158674.0
2018-03-19,137.64,138.65,136.89,138.2,209838.0,0.0,1.0,137.64,138.65,136.89,138.2,209838.0
2018-03-16,135.99,138.16,135.9,137.41,417780.0,0.0,1.0,135.99,138.16,135.9,137.41,417780.0
2018-03-15,136.0,136.52,134.97,135.97,213327.0,0.0,1.0,136.0,136.52,134.97,135.97,213327.0
2018-03-14,137.29,137.29,135.44,136.02,278439.0,0.0,1.0,137.29,137.29,135.44,136.02,278439.0
2018-03-13,136.76,137.575,135.87,137.13,414240.0,0.0,1.0,136.76,137.575,135.87,137.13,414240.0
2018-03-12,137.35,137.9,136.01,136.54,169409.0,0.0,1.0,137.35,137.9,136.01,136.54,169409.0
2018-03-09,136.01,137.27,134.13,137.05,258157.0,0.0,1.0,136.01,137.27,134.13,137.05,258157.0
2018-03-08,136.57,136.775,134.55,135.3,234509.0,0.0,1.0,136.57,136.775,134.55,135.3,234509.0
2018-03-07,136.38,136.8,135.3,136.14,250806.0,0.0,1.0,136.38,136.8,135.3,136.14,250806.0
2018-03-06,136.37,137.77,135.01,137.03,400531.0,0.0,1.0,136.37,137.77,135.01,137.03,400531.0
2018-03-05,128.94,136.86,128.94,135.75,601993.0,0.0,1.0,128.94,136.86,128.94,135.75,601993.0
2018-03-02,126.33,127.51,126.14,126.29,231050.0,0.0,1.0,126.33,127.51,126.14,126.29,231050.0
2018-03-01,128.63,128.915,126.24,127.29,282616.0,0.0,1.0,128.63,128.915,126.24,127.29,282616.0
2018-02-28,129.48,130.795,128.28,128.28,201454.0,0.0,1.0,129.48,130.795,128.28,128.28,201454.0
2018-02-27,130.36,131.35,128.72,129.16,246089.0,0.0,1.0,130.36,131.35,128.72,129.16,246089.0
2018-02-26,129.81,130.84,129.54,130.42,178944.0,0.0,1.0,129.81,130.84,129.54,130.42,178944.0
2018-02-23,128.96,129.96,128.35,129.85,161457.0,0.0,1.0,128.96,129.96,128.35,129.85,161457.0
2018-02-22,129.82,130.83,128.0,128.29,254110.0,0.0,1.0,129.82,130.83,128.0,128.29,254110.0
2018-02-21,131.13,132.895,129.47,129.54,261675.0,0.0,1.0,131.13,132.895,129.47,129.54,261675.0
2018-02-20,130.79,131.055,128.5,130.89,404134.0,0.0,1.0,130.79,131.055,128.5,130.89,404134.0
2018-02-16,129.8,131.61,129.39,131.29,425000.0,0.0,1.0,129.8,131.61,129.39,131.29,425000.0
2018-02-15,130.43,130.74,129.24,129.98,215355.0,0.0,1.0,130.43,130.74,129.24,129.98,215355.0
2018-02-14,128.4,130.485,128.4,129.59,351941.0,0.0,1.0,128.4,130.485,128.4,129.59,351941.0
2018-02-13,128.67,128.93,127.72,128.34,322343.0,0.0,1.0,128.67,128.93,127.72,128.34,322343.0
2018-02-12,130.23,131.1,127.77,129.11,355079.0,0.0,1.0,130.23,131.1,127.77,129.11,355079.0
2018-02-09,128.66,130.51,128.475,129.61,549286.0,0.0,1.0,128.66,130.51,128.475,129.61,549286.0
2018-02-08,132.41,133.13,127.77,127.85,500112.0,0.0,1.0,132.41,133.13,127.77,127.85,500112.0
2018-02-07,128.95,133.22,127.94,131.92,821874.0,0.0,1.0,128.95,133.22,127.94,131.92,821874.0
2018-02-06,127.1,129.56,126.15,129.39,627909.0,0.0,1.0,127.1,129.56,126.15,129.39,627909.0
2018-02-05,129.51,130.61,127.585,128.47,450333.0,0.0,1.0,129.51,130.61,127.585,128.47,450333.0
2018-02-02,130.06,131.15,129.34,129.9,384747.0,0.0,1.0,130.06,131.15,129.34,129.9,384747.0
2018-02-01,130.83,133.67,128.67,130.7,540707.0,0.0,1.0,130.83,133.67,128.67,130.7,540707.0
2018-01-31,128.16,128.505,125.81,127.14,750547.0,0.0,1.0,128.16,128.505,125.81,127.14,750547.0
2018-01-30,128.25,129.05,127.62,127.78,613897.0,0.0,1.0,128.25,129.05,127.62,127.78,613897.0
2018-01-29,128.96,129.27,128.48,128.93,359794.0,0.0,1.0,128.96,129.27,128.48,128.93,359794.0
2018-01-26,131.34,131.34,128.81,129.31,490685.0,0.0,1.0,131.34,131.34,128.81,129.31,490685.0
2018-01-25,130.06,131.45,129.52,131.08,452471.0,0.0,1.0,130.06,131.45,129.52,131.08,452471.0
2018-01-24,130.64,130.72,128.83,129.81,522297.0,0.0,1.0,130.64,130.72,128.83,129.81,522297.0
2018-01-23,128.05,130.21,127.34,130.16,561940.0,0.0,1.0,128.05,130.21,127.34,130.16,561940.0
2018-01-22,125.3,132.76,125.3,128.2,788998.0,0.0,1.0,125.3,132.76,125.3,128.2,788998.0
2018-01-19,121.7,122.99,121.37,122.85,273885.0,0.0,1.0,121.7,122.99,121.37,122.85,273885.0
2018-01-18,122.77,122.77,120.6,121.26,333316.0,0.0,1.0,122.77,122.77,120.6,121.26,333316.0
2018-01-17,122.49,123.49,121.7,122.92,451211.0,0.0,1.0,122.49,123.49,121.7,122.92,451211.0
2018-01-16,120.96,122.91,120.65,121.93,571035.0,0.0,1.0,120.96,122.91,120.65,121.93,571035.0
2018-01-12,119.4,120.92,118.41,120.51,397532.0,0.0,1.0,119.4,120.92,118.41,120.51,397532.0
2018-01-11,116.99,118.86,116.9,118.77,273982.0,0.0,1.0,116.99,118.86,116.9,118.77,273982.0
2018-01-10,118.58,118.76,116.5,116.61,364913.0,0.0,1.0,118.58,118.76,116.5,116.61,364913.0
2018-01-09,120.79,121.48,117.97,118.11,804912.0,0.0,1.0,120.79,121.48,117.97,118.11,804912.0
2018-01-08,123.49,123.49,121.06,121.16,497678.0,0.0,1.0,123.49,123.49,121.06,121.16,497678.0
2018-01-05,124.95,125.0,123.25,123.98,254066.0,0.0,1.0,124.95,125.0,123.25,123.98,254066.0
2018-01-04,122.13,124.87,122.13,124.39,528687.0,0.0,1.0,122.13,124.87,122.13,124.39,528687.0
2018-01-03,121.16,121.69,120.23,121.46,479209.0,0.0,1.0,121.16,121.69,120.23,121.46,479209.0
2018-01-02,126.62,126.62,121.19,121.65,403264.0,0.0,1.0,126.62,126.62,121.19,121.65,403264.0
2017-12-29,126.58,126.58,125.33,125.59,242364.0,0.0,1.0,126.58,126.58,125.33,125.59,242364.0
2017-12-28,126.4,126.85,125.725,126.47,267397.0,0.0,1.0,126.4,126.85,125.725,126.47,267397.0
2017-12-27,126.67,127.175,125.65,126.26,237515.0,0.0,1.0,126.67,127.175,125.65,126.26,237515.0
2017-12-26,126.11,127.28,126.05,126.63,145931.0,0.0,1.0,126.11,127.28,126.05,126.63,145931.0
2017-12-22,124.69,126.33,124.435,125.83,301633.0,0.0,1.0,124.69,126.33,124.435,125.83,301633.0
2017-12-21,127.04,127.2,124.27,125.56,447311.0,0.0,1.0,127.04,127.2,124.27,125.56,447311.0
2017-12-20,127.05,127.75,126.4,127.0,361584.0,0.0,1.0,127.05,127.75,126.4,127.0,361584.0
2017-12-19,127.05,127.7,126.46,127.03,479719.0,0.0,1.0,127.05,127.7,126.46,127.03,479719.0
2017-12-18,127.72,128.53,126.345,127.34,576071.0,0.0,1.0,127.72,128.53,126.345,127.34,576071.0
2017-12-15,125.19,127.78,124.53,127.6,493199.0,0.0,1.0,125.19,127.78,124.53,127.6,493199.0
2017-12-14,124.79,126.01,123.86,124.42,550737.0,0.0,1.0,124.79,126.01,123.86,124.42,550737.0
2017-12-13,127.9,128.28,125.0,125.44,469444.0,0.0,1.0,127.9,128.28,125.0,125.44,469444.0
2017-12-12,126.72,128.55,126.005,128.0,505507.0,0.0,1.0,126.72,128.55,126.005,128.0,505507.0
2017-12-11,126.34,126.83,125.66,126.71,362725.0,0.0,1.0,126.34,126.83,125.66,126.71,362725.0
2017-12-08,125.53,126.95,124.91,126.72,309567.0,0.0,1.0,125.53,126.95,124.91,126.72,309567.0
2017-12-07,127.65,128.59,125.66,125.69,558378.0,0.0,1.0,127.65,128.59,125.66,125.69,558378.0
2017-12-06,129.27,130.23,127.76,128.15,399431.0,0.0,1.0,129.27,130.23,127.76,128.15,399431.0
2017-12-05,132.14,132.64,128.41,129.34,551666.0,0.0,1.0,132.14,132.64,128.41,129.34,551666.0
2017-12-04,132.32,133.08,131.56,131.86,492887.0,0.0,1.0,132.32,133.08,131.56,131.86,492887.0
2017-12-01,133.08,133.25,129.555,131.35,496423.0,0.0,1.0,133.08,133.25,129.555,131.35,496423.0
2017-11-30,136.64,137.08,131.815,132.65,854425.0,0.0,1.0,136.64,137.08,131.815,132.65,854425.0
2017-11-29,135.92,137.185,135.59,136.44,383690.0,0.0,1.0,135.92,137.185,135.59,136.44,383690.0
2017-11-28,135.62,136.41,134.915,135.92,291297.0,0.0,1.0,135.62,136.41,134.915,135.92,291297.0
2017-11-27,133.59,136.73,133.325,135.34,308955.0,0.0,1.0,133.59,136.73,133.325,135.34,308955.0
2017-11-24,133.58,134.34,132.96,133.74,130966.0,0.0,1.0,133.58,134.34,132.96,133.74,130966.0
2017-11-22,134.29,134.73,133.1,133.11,311341.0,0.0,1.0,134.29,134.73,133.1,133.11,311341.0
2017-11-21,135.6,136.31,133.77,134.5,475514.0,0.0,1.0,135.6,136.31,133.77,134.5,475514.0
2017-11-20,136.14,136.6,135.3,135.67,346572.0,0.0,1.0,136.14,136.6,135.3,135.67,346572.0
2017-11-17,135.69,136.68,135.08,136.24,235584.0,0.0,1.0,135.69,136.68,135.08,136.24,235584.0
2017-11-16,138.63,138.995,135.66,135.76,473885.0,0.0,1.0,138.63,138.995,135.66,135.76,473885.0
2017-11-15,138.0,139.47,137.33,138.59,264148.0,0.0,1.0,138.0,139.47,137.33,138.59,264148.0
