Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,30.88,31.13,30.59,30.87,1301013.0,0.0,1.0,30.88,31.13,30.59,30.87,1301013.0
2018-03-26,30.86,30.89,30.13,30.65,1220156.0,0.0,1.0,30.86,30.89,30.13,30.65,1220156.0
2018-03-23,31.41,31.68,30.27,30.27,1403780.0,0.0,1.0,31.41,31.68,30.27,30.27,1403780.0
2018-03-22,32.64,33.05,31.45,31.45,1234621.0,0.0,1.0,32.64,33.05,31.45,31.45,1234621.0
2018-03-21,32.84,33.66,32.82,33.23,510148.0,0.0,1.0,32.84,33.66,32.82,33.23,510148.0
2018-03-20,33.49,33.81,32.73,32.98,800721.0,0.0,1.0,33.49,33.81,32.73,32.98,800721.0
2018-03-19,34.57,34.57,33.34,33.48,839213.0,0.0,1.0,34.57,34.57,33.34,33.48,839213.0
2018-03-16,34.74,35.2,34.7,34.8,974602.0,0.0,1.0,34.74,35.2,34.7,34.8,974602.0
2018-03-15,35.0,35.06,34.37,34.63,604408.0,0.0,1.0,35.0,35.06,34.37,34.63,604408.0
2018-03-14,35.57,35.6,34.79,34.97,450559.0,0.0,1.0,35.57,35.6,34.79,34.97,450559.0
2018-03-13,35.87,35.96,35.24,35.42,827797.0,0.0,1.0,35.87,35.96,35.24,35.42,827797.0
2018-03-12,35.58,35.91,35.29,35.7,749957.0,0.0,1.0,35.58,35.91,35.29,35.7,749957.0
2018-03-09,35.2,35.57,35.02,35.51,714398.0,0.0,1.0,35.2,35.57,35.02,35.51,714398.0
2018-03-08,34.96,35.09,34.65,34.99,547739.0,0.0,1.0,34.96,35.09,34.65,34.99,547739.0
2018-03-07,34.65,35.25,34.55,34.82,1082108.0,0.0,1.0,34.65,35.25,34.55,34.82,1082108.0
2018-03-06,34.69,34.97,34.6201,34.95,980828.0,0.0,1.0,34.69,34.97,34.6201,34.95,980828.0
2018-03-05,33.4,34.815,33.285,34.6,993798.0,0.0,1.0,33.4,34.815,33.285,34.6,993798.0
2018-03-02,32.64,33.88,32.47,33.67,725603.0,0.0,1.0,32.64,33.88,32.47,33.67,725603.0
2018-03-01,32.96,33.46,32.79,32.97,1014937.0,0.0,1.0,32.96,33.46,32.79,32.97,1014937.0
2018-02-28,33.2,33.44,32.835,33.0,1367745.0,0.0,1.0,33.2,33.44,32.835,33.0,1367745.0
2018-02-27,32.96,33.41,32.79,33.12,1024653.0,0.0,1.0,32.96,33.41,32.79,33.12,1024653.0
2018-02-26,32.58,33.15,32.17,33.04,1165364.0,0.0,1.0,32.58,33.15,32.17,33.04,1165364.0
2018-02-23,32.14,32.59,32.14,32.57,565362.0,0.0,1.0,32.14,32.59,32.14,32.57,565362.0
2018-02-22,32.34,32.8,31.86,31.89,873140.0,0.0,1.0,32.34,32.8,31.86,31.89,873140.0
2018-02-21,32.72,32.93,32.26,32.27,1164128.0,0.0,1.0,32.72,32.93,32.26,32.27,1164128.0
2018-02-20,32.43,33.13,32.43,32.77,835812.0,0.0,1.0,32.43,33.13,32.43,32.77,835812.0
2018-02-16,33.01,33.34,32.5,32.63,837141.0,0.0,1.0,33.01,33.34,32.5,32.63,837141.0
2018-02-15,33.02,33.35,32.44,33.1,1011441.0,0.0,1.0,33.02,33.35,32.44,33.1,1011441.0
2018-02-14,31.1,33.03,31.1,32.85,1274024.0,0.0,1.0,31.1,33.03,31.1,32.85,1274024.0
2018-02-13,31.39,31.83,30.88,31.46,2068917.0,0.0,1.0,31.39,31.83,30.88,31.46,2068917.0
2018-02-12,31.11,32.41,30.96,31.72,2284622.0,0.0,1.0,31.11,32.41,30.96,31.72,2284622.0
2018-02-09,32.0,32.74,29.6,30.56,4864771.0,0.0,1.0,32.0,32.74,29.6,30.56,4864771.0
2018-02-08,34.64,34.75,33.38,33.51,2292584.0,0.0,1.0,34.64,34.75,33.38,33.51,2292584.0
2018-02-07,34.91,35.42,34.41,34.41,1573482.0,0.0,1.0,34.91,35.42,34.41,34.41,1573482.0
2018-02-06,33.43,35.58,33.12,35.15,1532592.0,0.0,1.0,33.43,35.58,33.12,35.15,1532592.0
2018-02-05,35.74,36.06,34.23,34.25,1398554.0,0.0,1.0,35.74,36.06,34.23,34.25,1398554.0
2018-02-02,37.4,37.425,35.9,35.98,1012063.0,0.0,1.0,37.4,37.425,35.9,35.98,1012063.0
2018-02-01,37.39,38.19,37.15,37.72,1046428.0,0.0,1.0,37.39,38.19,37.15,37.72,1046428.0
2018-01-31,37.65,37.755,37.1,37.51,1202046.0,0.0,1.0,37.65,37.755,37.1,37.51,1202046.0
2018-01-30,37.55,37.98,37.08,37.34,1852966.0,0.0,1.0,37.55,37.98,37.08,37.34,1852966.0
2018-01-29,37.8,38.68,37.73,38.07,1416117.0,0.0,1.0,37.8,38.68,37.73,38.07,1416117.0
2018-01-26,37.31,37.91,37.24,37.89,655956.0,0.0,1.0,37.31,37.91,37.24,37.89,655956.0
2018-01-25,37.79,38.04,37.25,37.29,826015.0,0.0,1.0,37.79,38.04,37.25,37.29,826015.0
2018-01-24,38.0,38.44,37.35,37.71,1095482.0,0.0,1.0,38.0,38.44,37.35,37.71,1095482.0
2018-01-23,37.14,37.87,36.75,37.64,1365578.0,0.0,1.0,37.14,37.87,36.75,37.64,1365578.0
2018-01-22,36.5,36.91,36.5,36.57,1010226.0,0.0,1.0,36.5,36.91,36.5,36.57,1010226.0
2018-01-19,35.98,36.7,35.89,36.69,1224278.0,0.0,1.0,35.98,36.7,35.89,36.69,1224278.0
2018-01-18,36.05,36.35,35.81,35.87,1798028.0,0.0,1.0,36.05,36.35,35.81,35.87,1798028.0
2018-01-17,36.22,36.5,36.04,36.09,774220.0,0.0,1.0,36.22,36.5,36.04,36.09,774220.0
2018-01-16,35.99,36.5,35.99,36.07,875045.0,0.0,1.0,35.99,36.5,35.99,36.07,875045.0
2018-01-12,35.97,36.24,35.74,35.85,1301141.0,0.0,1.0,35.97,36.24,35.74,35.85,1301141.0
2018-01-11,35.22,36.23,35.22,35.94,1423249.0,0.0,1.0,35.22,36.23,35.22,35.94,1423249.0
2018-01-10,34.76,35.2,34.7,34.97,1472433.0,0.0,1.0,34.76,35.2,34.7,34.97,1472433.0
2018-01-09,35.39,35.77,34.82,34.97,1193431.0,0.0,1.0,35.39,35.77,34.82,34.97,1193431.0
2018-01-08,34.47,35.6,34.3,35.48,1333088.0,0.0,1.0,34.47,35.6,34.3,35.48,1333088.0
2018-01-05,34.16,34.67,34.07,34.5,1147316.0,0.0,1.0,34.16,34.67,34.07,34.5,1147316.0
2018-01-04,35.24,35.29,34.02,34.08,1933175.0,0.0,1.0,35.24,35.29,34.02,34.08,1933175.0
