Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,59.16,59.49,56.89,57.46,2400291.0,0.0,1.0,59.16,59.49,56.89,57.46,2400291.0
2018-03-26,57.94,58.96,57.48,58.8,1858569.0,0.0,1.0,57.94,58.96,57.48,58.8,1858569.0
2018-03-23,58.46,58.78,56.6,56.77,2881771.0,0.0,1.0,58.46,58.78,56.6,56.77,2881771.0
2018-03-22,60.44,60.62,58.21,58.42,2827784.0,0.0,1.0,60.44,60.62,58.21,58.42,2827784.0
2018-03-21,61.12,62.12,61.0105,61.3,1690099.0,0.0,1.0,61.12,62.12,61.0105,61.3,1690099.0
2018-03-20,60.63,61.4,60.17,61.22,1951211.0,0.0,1.0,60.63,61.4,60.17,61.22,1951211.0
2018-03-19,60.83,60.96,59.6,60.56,2620722.0,0.0,1.0,60.83,60.96,59.6,60.56,2620722.0
2018-03-16,60.62,61.38,60.36,61.12,3837064.0,0.0,1.0,60.62,61.38,60.36,61.12,3837064.0
2018-03-15,61.4,61.59,59.84,60.38,2128466.0,0.0,1.0,61.4,61.59,59.84,60.38,2128466.0
2018-03-14,60.35,61.9,59.66,61.02,4313527.0,0.0,1.0,60.35,61.9,59.66,61.02,4313527.0
2018-03-13,62.82,63.0099,61.56,61.73,2059597.0,0.0,1.0,62.82,63.0099,61.56,61.73,2059597.0
2018-03-12,62.78,62.93,62.27,62.66,1754540.0,0.0,1.0,62.78,62.93,62.27,62.66,1754540.0
2018-03-09,60.68,62.7,60.67,62.59,3549583.0,0.0,1.0,60.68,62.7,60.67,62.59,3549583.0
2018-03-08,60.28,60.825,59.04,60.07,2240583.0,0.0,1.0,60.28,60.825,59.04,60.07,2240583.0
2018-03-07,58.39,59.83,58.22,59.63,2148802.0,0.0,1.0,58.39,59.83,58.22,59.63,2148802.0
2018-03-06,58.79,59.12,57.97,59.03,4250123.0,0.0,1.0,58.79,59.12,57.97,59.03,4250123.0
2018-03-05,56.98,58.48,56.67,58.15,1761478.0,0.0,1.0,56.98,58.48,56.67,58.15,1761478.0
2018-03-02,56.97,57.53,56.11,57.42,2634336.0,0.0,1.0,56.97,57.53,56.11,57.42,2634336.0
2018-03-01,57.56,58.32,56.84,57.45,3185439.0,0.0,1.0,57.56,58.32,56.84,57.45,3185439.0
2018-02-28,58.65,59.05,57.49,57.5,4586667.0,0.0,1.0,58.65,59.05,57.49,57.5,4586667.0
2018-02-27,57.03,59.87,57.03,58.24,7198562.0,0.0,1.0,57.03,59.87,57.03,58.24,7198562.0
2018-02-26,55.52,57.195,55.32,56.85,3268731.0,0.0,1.0,55.52,57.195,55.32,56.85,3268731.0
2018-02-23,55.39,55.5,54.61,55.48,2057943.0,0.0,1.0,55.39,55.5,54.61,55.48,2057943.0
2018-02-22,55.88,56.25,54.59,54.71,2948340.0,0.0,1.0,55.88,56.25,54.59,54.71,2948340.0
2018-02-21,56.07,56.56,55.34,55.36,3439513.0,0.0,1.0,56.07,56.56,55.34,55.36,3439513.0
2018-02-20,55.91,56.86,55.22,56.04,2976596.0,0.0,1.0,55.91,56.86,55.22,56.04,2976596.0
2018-02-16,55.89,56.73,55.89,56.29,1987709.0,0.0,1.0,55.89,56.73,55.89,56.29,1987709.0
2018-02-15,56.7,56.98,55.72,56.29,3491728.0,0.0,1.0,56.7,56.98,55.72,56.29,3491728.0
2018-02-14,55.24,56.56,55.0,56.45,2508060.0,0.0,1.0,55.24,56.56,55.0,56.45,2508060.0
2018-02-13,55.48,55.57,54.86,55.38,2802889.0,0.0,1.0,55.48,55.57,54.86,55.38,2802889.0
2018-02-12,55.12,55.71,54.57,55.43,3465643.0,0.0,1.0,55.12,55.71,54.57,55.43,3465643.0
2018-02-09,55.98,55.99,52.0,54.62,5002439.0,0.0,1.0,55.98,55.99,52.0,54.62,5002439.0
2018-02-08,57.66,57.91,54.37,54.4,4118305.0,0.0,1.0,57.66,57.91,54.37,54.4,4118305.0
2018-02-07,57.32,58.83,56.93,57.34,5320205.0,0.0,1.0,57.32,58.83,56.93,57.34,5320205.0
2018-02-06,52.9,57.93,51.62,57.72,9549361.0,0.0,1.0,52.9,57.93,51.62,57.72,9549361.0
2018-02-05,55.34,57.02,53.35,54.37,4143798.0,0.0,1.0,55.34,57.02,53.35,54.37,4143798.0
2018-02-02,57.35,58.49,56.1,56.28,4456395.0,0.0,1.0,57.35,58.49,56.1,56.28,4456395.0
2018-02-01,55.44,57.59,55.41,57.57,4163145.0,0.0,1.0,55.44,57.59,55.41,57.57,4163145.0
2018-01-31,55.77,56.07,55.39,55.79,2855732.0,0.0,1.0,55.77,56.07,55.39,55.79,2855732.0
2018-01-30,55.0,56.05,54.93,55.5,2948025.0,0.0,1.0,55.0,56.05,54.93,55.5,2948025.0
2018-01-29,55.0,55.69,54.82,55.59,4259075.0,0.0,1.0,55.0,55.69,54.82,55.59,4259075.0
2018-01-26,54.43,55.12,54.065,54.97,3846160.0,0.0,1.0,54.43,55.12,54.065,54.97,3846160.0
2018-01-25,56.11,56.269,53.95,54.45,4215567.0,0.0,1.0,56.11,56.269,53.95,54.45,4215567.0
2018-01-24,56.86,57.24,55.51,55.77,4075766.0,0.0,1.0,56.86,57.24,55.51,55.77,4075766.0
2018-01-23,57.23,57.85,55.22,56.59,8170559.0,0.0,1.0,57.23,57.85,55.22,56.59,8170559.0
2018-01-22,55.25,56.04,54.91,55.88,4486171.0,0.0,1.0,55.25,56.04,54.91,55.88,4486171.0
2018-01-19,55.1,55.35,54.88,55.17,2873799.0,0.0,1.0,55.1,55.35,54.88,55.17,2873799.0
2018-01-18,55.1,55.21,54.84,54.96,1940288.0,0.0,1.0,55.1,55.21,54.84,54.96,1940288.0
2018-01-17,54.79,55.09,54.125,55.01,2711998.0,0.0,1.0,54.79,55.09,54.125,55.01,2711998.0
2018-01-16,54.8,55.29,54.12,54.65,2412532.0,0.0,1.0,54.8,55.29,54.12,54.65,2412532.0
2018-01-12,54.1,54.59,54.02,54.51,1833667.0,0.0,1.0,54.1,54.59,54.02,54.51,1833667.0
2018-01-11,53.9,54.1599,53.19,53.72,1906978.0,0.0,1.0,53.9,54.1599,53.19,53.72,1906978.0
2018-01-10,53.76,54.5,53.45,53.72,4051681.0,0.0,1.0,53.76,54.5,53.45,53.72,4051681.0
2018-01-09,52.43,53.84,52.34,53.67,3668454.0,0.0,1.0,52.43,53.84,52.34,53.67,3668454.0
2018-01-08,52.37,52.48,52.1,52.33,2520600.0,0.0,1.0,52.37,52.48,52.1,52.33,2520600.0
2018-01-05,52.4,52.44,51.62,51.83,2474765.0,0.0,1.0,52.4,52.44,51.62,51.83,2474765.0
2018-01-04,52.58,53.21,52.22,52.29,2396226.0,0.0,1.0,52.58,53.21,52.22,52.29,2396226.0
2018-01-03,51.71,52.8,51.48,52.12,2466026.0,0.0,1.0,51.71,52.8,51.48,52.12,2466026.0
2018-01-02,51.22,51.83,50.66,51.705,3131801.0,0.0,1.0,51.22,51.83,50.66,51.705,3131801.0
