Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,331.51,334.88,319.0,321.12,5296793.0,0.0,1.0,331.51,334.88,319.0,321.12,5296793.0
2018-03-26,330.48,331.9399,323.59,328.97,5161206.0,0.0,1.0,330.48,331.9399,323.59,328.97,5161206.0
2018-03-23,320.15,331.14,318.3216,321.0,7140310.0,0.0,1.0,320.15,331.14,318.3216,321.0,7140310.0
2018-03-22,330.11,332.68,319.01,319.61,7143279.0,0.0,1.0,330.11,332.68,319.01,319.61,7143279.0
2018-03-21,337.07,341.91,335.17,337.1,4046779.0,0.0,1.0,337.07,341.91,335.17,337.1,4046779.0
2018-03-20,331.84,339.7,331.0,337.63,6328835.0,0.0,1.0,331.84,339.7,331.0,337.63,6328835.0
2018-03-19,327.45,333.33,326.78,331.76,5748501.0,0.0,1.0,327.45,333.33,326.78,331.76,5748501.0
2018-03-16,329.82,330.83,325.63,330.47,9167315.0,0.0,1.0,329.82,330.83,325.63,330.47,9167315.0
2018-03-15,332.3,332.92,322.91,329.98,8445126.0,0.0,1.0,332.3,332.92,322.91,329.98,8445126.0
2018-03-14,339.7917,340.524,322.3,330.26,13034422.0,0.0,1.0,339.7917,340.524,322.3,330.26,13034422.0
2018-03-13,345.32,347.88,337.61,338.67,5409969.0,0.0,1.0,345.32,347.88,337.61,338.67,5409969.0
2018-03-12,355.2,355.23,343.26,344.19,6035101.0,0.0,1.0,355.2,355.23,343.26,344.19,6035101.0
2018-03-09,352.65,354.89,350.23,354.52,3446524.0,0.0,1.0,352.65,354.89,350.23,354.52,3446524.0
2018-03-08,349.51,352.5,343.95,348.73,4131914.0,0.0,1.0,349.51,352.5,343.95,348.73,4131914.0
2018-03-07,341.52,348.4093,339.5,347.04,4575690.0,0.0,1.0,341.52,348.4093,339.5,347.04,4575690.0
2018-03-06,354.24,355.21,346.0219,348.92,4866471.0,0.0,1.0,354.24,355.21,346.0219,348.92,4866471.0
2018-03-05,338.0,354.77,336.61,352.75,8140161.0,0.0,1.0,338.0,354.77,336.61,352.75,8140161.0
2018-03-02,341.82,346.09,335.3,344.67,10021332.0,0.0,1.0,341.82,346.09,335.3,344.67,10021332.0
2018-03-01,362.33,362.74,346.4,349.69,8977971.0,0.0,1.0,362.33,362.74,346.4,349.69,8977971.0
2018-02-28,366.8,371.6,362.21,362.21,5376929.0,0.0,1.0,366.8,371.6,362.21,362.21,5376929.0
2018-02-27,364.6,369.89,363.3,364.64,4705949.0,0.0,1.0,364.6,369.89,363.3,364.64,4705949.0
2018-02-26,359.5,364.05,358.2123,363.48,4011405.0,0.0,1.0,359.5,364.05,358.2123,363.48,4011405.0
2018-02-23,358.18,358.77,353.0668,356.66,3314255.0,0.0,1.0,358.18,358.77,353.0668,356.66,3314255.0
2018-02-22,354.65,358.07,352.64,355.92,3339918.0,0.0,1.0,354.65,358.07,352.64,355.92,3339918.0
2018-02-21,352.56,360.81,351.75,352.37,5236531.0,0.0,1.0,352.56,360.81,351.75,352.37,5236531.0
2018-02-20,352.0,357.79,351.4,353.35,4187459.0,0.0,1.0,352.0,357.79,351.4,353.35,4187459.0
2018-02-16,356.59,359.5,353.5101,355.04,5205510.0,0.0,1.0,356.59,359.5,353.5101,355.04,5205510.0
2018-02-15,348.47,356.55,348.05,356.46,5808306.0,0.0,1.0,348.47,356.55,348.05,356.46,5808306.0
2018-02-14,341.34,347.43,341.17,344.85,4329442.0,0.0,1.0,341.34,347.43,341.17,344.85,4329442.0
2018-02-13,340.45,347.8799,340.29,343.16,4021151.0,0.0,1.0,340.45,347.8799,340.29,343.16,4021151.0
2018-02-12,336.57,347.75,335.13,343.8,6804880.0,0.0,1.0,336.57,347.75,335.13,343.8,6804880.0
2018-02-09,333.55,337.81,319.25,332.83,8812106.0,0.0,1.0,333.55,337.81,319.25,332.83,8812106.0
2018-02-08,348.0,349.0,329.4,329.66,8262322.0,0.0,1.0,348.0,349.0,329.4,329.66,8262322.0
2018-02-07,340.52,353.59,339.87,348.12,7880944.0,0.0,1.0,340.52,353.59,339.87,348.12,7880944.0
2018-02-06,320.0,341.67,317.65,340.91,11866673.0,0.0,1.0,320.0,341.67,317.65,340.91,11866673.0
2018-02-05,342.67,350.0,317.39,328.88,10352051.0,0.0,1.0,342.67,350.0,317.39,328.88,10352051.0
2018-02-02,354.0,355.199,348.7,348.91,5375809.0,0.0,1.0,354.0,355.199,348.7,348.91,5375809.0
2018-02-01,352.95,361.45,352.04,356.94,6045074.0,0.0,1.0,352.95,361.45,352.04,356.94,6045074.0
2018-01-31,360.5,360.97,351.62,354.37,10858051.0,0.0,1.0,360.5,360.97,351.62,354.37,10858051.0
2018-01-30,339.17,339.98,334.16,337.71,4944713.0,0.0,1.0,339.17,339.98,334.16,337.71,4944713.0
2018-01-29,341.23,344.48,340.1,340.82,3270253.0,0.0,1.0,341.23,344.48,340.1,340.82,3270253.0
2018-01-26,344.33,345.98,341.25,343.22,5010995.0,0.0,1.0,344.33,345.98,341.25,343.22,5010995.0
2018-01-25,336.21,343.615,335.3,343.11,4590959.0,0.0,1.0,336.21,343.615,335.3,343.11,4590959.0
2018-01-24,336.2,338.99,334.14,334.69,4184181.0,0.0,1.0,336.2,338.99,334.14,334.69,4184181.0
2018-01-23,338.34,338.94,334.81,335.59,4509416.0,0.0,1.0,338.34,338.94,334.81,335.59,4509416.0
2018-01-22,335.29,341.3812,332.04,338.0,6782420.0,0.0,1.0,335.29,341.3812,332.04,338.0,6782420.0
2018-01-19,341.67,344.0,335.75,337.73,7246898.0,0.0,1.0,341.67,344.0,335.75,337.73,7246898.0
2018-01-18,350.7,350.83,339.15,340.16,9334400.0,0.0,1.0,350.7,350.83,339.15,340.16,9334400.0
2018-01-17,337.73,352.23,336.41,351.01,9611675.0,0.0,1.0,337.73,352.23,336.41,351.01,9611675.0
2018-01-16,339.9,347.73,331.33,335.16,11811999.0,0.0,1.0,339.9,347.73,331.33,335.16,11811999.0
2018-01-12,330.38,336.88,330.38,336.21,6519424.0,0.0,1.0,330.38,336.88,330.38,336.21,6519424.0
2018-01-11,322.13,328.4,321.19,328.12,4625973.0,0.0,1.0,322.13,328.4,321.19,328.12,4625973.0
2018-01-10,317.49,322.15,315.5,320.26,4464683.0,0.0,1.0,317.49,322.15,315.5,320.26,4464683.0
2018-01-09,310.59,319.91,310.49,318.43,5546203.0,0.0,1.0,310.59,319.91,310.49,318.43,5546203.0
2018-01-08,308.66,310.86,305.75,310.15,3970351.0,0.0,1.0,308.66,310.86,305.75,310.15,3970351.0
2018-01-05,296.77,308.89,296.72,308.84,6034693.0,0.0,1.0,296.77,308.89,296.72,308.84,6034693.0
2018-01-04,297.94,298.42,295.47,296.67,4037238.0,0.0,1.0,297.94,298.42,295.47,296.67,4037238.0
2018-01-03,295.94,298.5,295.47,297.8,3194965.0,0.0,1.0,295.94,298.5,295.47,297.8,3194965.0
2018-01-02,295.75,296.99,295.39599999999996,296.84,2868711.0,0.0,1.0,295.75,296.99,295.39599999999996,296.84,2868711.0
2017-12-29,296.94,297.3,294.83,294.91,1813317.0,0.0,1.0,296.94,297.3,294.83,294.91,1813317.0
2017-12-28,295.81,296.99,294.74,296.35,1432444.0,0.0,1.0,295.81,296.99,294.74,296.35,1432444.0
2017-12-27,296.41,296.8,294.8,295.62,1300956.0,0.0,1.0,296.41,296.8,294.8,295.62,1300956.0
2017-12-26,295.54,297.44,294.65,295.36,1392455.0,0.0,1.0,295.54,297.44,294.65,295.36,1392455.0
2017-12-22,295.135,296.52,293.01,295.1,2247179.0,0.0,1.0,295.135,296.52,293.01,295.1,2247179.0
