Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,102.19,104.92,101.95,103.81,707262.0,0.0,1.0,102.19,104.92,101.95,103.81,707262.0
2018-03-26,101.41,102.44,101.34,102.12,497073.0,0.0,1.0,101.41,102.44,101.34,102.12,497073.0
2018-03-23,102.71,103.57,100.98,101.09,741985.0,0.0,1.0,102.71,103.57,100.98,101.09,741985.0
2018-03-22,102.43,104.73,102.43,102.55,1837938.0,0.0,1.0,102.43,104.73,102.43,102.55,1837938.0
2018-03-21,102.5,103.73,102.07,102.53,1136513.0,0.0,1.0,102.5,103.73,102.07,102.53,1136513.0
2018-03-20,102.29,102.81,101.24,102.15,1813827.0,0.0,1.0,102.29,102.81,101.24,102.15,1813827.0
2018-03-19,102.11,102.91,101.55,102.19,1607591.0,0.0,1.0,102.11,102.91,101.55,102.19,1607591.0
2018-03-16,101.15,102.53,100.95,102.27,3293010.0,0.0,1.0,101.15,102.53,100.95,102.27,3293010.0
2018-03-15,102.0,102.47,101.17,101.72,1678734.0,0.0,1.0,102.0,102.47,101.17,101.72,1678734.0
2018-03-14,101.06,101.93,100.88,101.77,940309.0,0.0,1.0,101.06,101.93,100.88,101.77,940309.0
2018-03-13,101.31,101.51,100.33,100.93,1261503.0,0.0,1.0,101.31,101.51,100.33,100.93,1261503.0
2018-03-12,100.36,101.76,100.28,100.91,1537124.0,0.0,1.0,100.36,101.76,100.28,100.91,1537124.0
2018-03-09,100.37,100.59,99.59,100.53,1466817.0,0.0,1.0,100.37,100.59,99.59,100.53,1466817.0
2018-03-08,100.16,100.81,99.86,100.4,839152.0,0.0,1.0,100.16,100.81,99.86,100.4,839152.0
2018-03-07,100.88,101.455,99.52,99.92,1125535.0,0.0,1.0,100.88,101.455,99.52,99.92,1125535.0
2018-03-06,102.43,102.5,100.68,101.2,824643.0,0.0,1.0,102.43,102.5,100.68,101.2,824643.0
2018-03-05,100.67,102.72,100.22,102.57,1063160.0,0.0,1.0,100.67,102.72,100.22,102.57,1063160.0
2018-03-02,100.71,101.91,99.82,100.79,876094.0,0.0,1.0,100.71,101.91,99.82,100.79,876094.0
2018-03-01,100.85,102.06,100.06,100.73,1039571.0,0.0,1.0,100.85,102.06,100.06,100.73,1039571.0
2018-02-28,102.2,102.36,100.72,100.78,2166514.0,0.0,1.0,102.2,102.36,100.72,100.78,2166514.0
2018-02-27,104.02,104.69,102.01,102.03,2119620.0,0.0,1.0,104.02,104.69,102.01,102.03,2119620.0
2018-02-26,104.95,105.065,103.58,103.76,921953.0,0.0,1.0,104.95,105.065,103.58,103.76,921953.0
2018-02-23,101.94,104.7,101.87,104.7,1033990.0,0.0,1.0,101.94,104.7,101.87,104.7,1033990.0
2018-02-22,102.32,102.93,101.49,101.86,1026840.0,0.0,1.0,102.32,102.93,101.49,101.86,1026840.0
2018-02-21,103.2,104.12,101.88,101.9,959891.0,0.0,1.0,103.2,104.12,101.88,101.9,959891.0
2018-02-20,105.05,105.7,102.89,103.2,1393432.0,0.0,1.0,105.05,105.7,102.89,103.2,1393432.0
2018-02-16,102.73,105.56,102.53,105.22,1716137.0,0.0,1.0,102.73,105.56,102.53,105.22,1716137.0
2018-02-15,101.53,103.23,101.4,103.15,971896.0,0.0,1.0,101.53,103.23,101.4,103.15,971896.0
2018-02-14,101.58,101.99,100.62,101.23,947784.0,0.0,1.0,101.58,101.99,100.62,101.23,947784.0
2018-02-13,101.06,102.395,100.4,102.21,952783.0,0.0,1.0,101.06,102.395,100.4,102.21,952783.0
2018-02-12,101.23,101.56,100.06,101.25,1558526.0,0.0,1.0,101.23,101.56,100.06,101.25,1558526.0
2018-02-09,98.77,101.86,98.65,101.06,1459548.0,0.0,1.0,98.77,101.86,98.65,101.06,1459548.0
2018-02-08,99.04,100.4399,98.48,98.49,1941585.0,0.0,1.0,99.04,100.4399,98.48,98.49,1941585.0
2018-02-07,99.29,100.55,99.04,99.27,1146352.0,0.0,1.0,99.29,100.55,99.04,99.27,1146352.0
2018-02-06,100.84,100.87,97.66,99.36,3111186.0,0.0,1.0,100.84,100.87,97.66,99.36,3111186.0
2018-02-05,103.02,104.1,101.72,102.0,1842474.0,0.0,1.0,103.02,104.1,101.72,102.0,1842474.0
2018-02-02,103.71,104.11,102.93,103.28,2008639.0,0.0,1.0,103.71,104.11,102.93,103.28,2008639.0
2018-02-01,105.76,106.35,103.65,104.22,2827492.0,0.0,1.0,105.76,106.35,103.65,104.22,2827492.0
2018-01-31,104.33,105.75,103.85,105.64,1331012.0,0.0,1.0,104.33,105.75,103.85,105.64,1331012.0
2018-01-30,104.07,104.86,103.81,104.24,1201215.0,0.0,1.0,104.07,104.86,103.81,104.24,1201215.0
2018-01-29,104.99,105.06,104.04,104.39,2593300.0,0.0,1.0,104.99,105.06,104.04,104.39,2593300.0
2018-01-26,106.03,106.24,104.51,105.5,1065530.0,0.0,1.0,106.03,106.24,104.51,105.5,1065530.0
2018-01-25,104.31,106.0,104.2201,105.96,1058900.0,0.0,1.0,104.31,106.0,104.2201,105.96,1058900.0
2018-01-24,104.58,105.02,104.0,104.43,1545981.0,0.0,1.0,104.58,105.02,104.0,104.43,1545981.0
2018-01-23,103.42,105.0,103.37,104.67,1171338.0,0.0,1.0,103.42,105.0,103.37,104.67,1171338.0
2018-01-22,103.58,104.17,103.14,103.36,1074935.0,0.0,1.0,103.58,104.17,103.14,103.36,1074935.0
2018-01-19,103.37,103.89,102.84,103.15,1226718.0,0.0,1.0,103.37,103.89,102.84,103.15,1226718.0
2018-01-18,104.32,104.32,102.86,103.47,1114421.0,0.0,1.0,104.32,104.32,102.86,103.47,1114421.0
2018-01-17,104.45,104.52,103.52,104.09,1296580.0,0.0,1.0,104.45,104.52,103.52,104.09,1296580.0
2018-01-16,104.15,104.66,102.97,104.14,2154654.0,0.0,1.0,104.15,104.66,102.97,104.14,2154654.0
2018-01-12,104.92,104.92,103.22,103.92,1292415.0,0.0,1.0,104.92,104.92,103.22,103.92,1292415.0
2018-01-11,104.71,105.11,103.68,103.93,941300.0,0.0,1.0,104.71,105.11,103.68,103.93,941300.0
2018-01-10,105.39,105.56,103.84,104.64,2093863.0,0.0,1.0,105.39,105.56,103.84,104.64,2093863.0
2018-01-09,106.55,106.97,105.52,105.68,867065.0,0.0,1.0,106.55,106.97,105.52,105.68,867065.0
2018-01-08,106.36,107.04,106.15,106.98,681640.0,0.0,1.0,106.36,107.04,106.15,106.98,681640.0
2018-01-05,106.71,106.88,105.59,106.2,1230022.0,0.0,1.0,106.71,106.88,105.59,106.2,1230022.0
2018-01-04,107.61,108.495,106.22,106.3,923205.0,0.0,1.0,107.61,108.495,106.22,106.3,923205.0
2018-01-03,108.27,109.1,107.34,108.1,1146518.0,0.0,1.0,108.27,109.1,107.34,108.1,1146518.0
2018-01-02,109.68,110.49,108.35,108.45,988672.0,0.0,1.0,109.68,110.49,108.35,108.45,988672.0
2017-12-29,109.76,110.1,109.18,109.46,632548.0,0.0,1.0,109.76,110.1,109.18,109.46,632548.0
2017-12-28,108.95,109.68,108.79,109.61,805861.0,0.0,1.0,108.95,109.68,108.79,109.61,805861.0
2017-12-27,108.33,108.75,108.14,108.74,457325.0,0.0,1.0,108.33,108.75,108.14,108.74,457325.0
2017-12-26,108.51,109.26,108.08,108.13,602879.0,0.0,1.0,108.51,109.26,108.08,108.13,602879.0
2017-12-22,108.41,108.89,108.15,108.72,692504.0,0.0,1.0,108.41,108.89,108.15,108.72,692504.0
2017-12-21,107.72,108.62,107.58,108.25,706546.0,0.0,1.0,107.72,108.62,107.58,108.25,706546.0
2017-12-20,109.01,109.64,108.2,108.25,791140.0,0.0,1.0,109.01,109.64,108.2,108.25,791140.0
2017-12-19,111.16,111.31,108.95,109.01,928239.0,0.0,1.0,111.16,111.31,108.95,109.01,928239.0
2017-12-18,113.29,113.69,110.81,111.16,931724.0,0.0,1.0,113.29,113.69,110.81,111.16,931724.0
2017-12-15,113.61,114.0,112.7,113.23,1636719.0,0.0,1.0,113.61,114.0,112.7,113.23,1636719.0
2017-12-14,113.28,114.17,112.76,113.62,754801.0,0.0,1.0,113.28,114.17,112.76,113.62,754801.0
2017-12-13,114.14,114.48299999999999,113.64,113.82,793557.0,0.0,1.0,114.14,114.48299999999999,113.64,113.82,793557.0
2017-12-12,116.0,116.29,113.93,114.01,1051787.0,0.0,1.0,116.0,116.29,113.93,114.01,1051787.0
2017-12-11,115.28,116.0596,114.8,115.99,674918.0,0.0,1.0,115.28,116.0596,114.8,115.99,674918.0
2017-12-08,114.82,115.55,114.52,115.49,1304192.0,0.0,1.0,114.82,115.55,114.52,115.49,1304192.0
2017-12-07,114.95,115.09,114.46,115.07,884596.0,0.0,1.0,114.95,115.09,114.46,115.07,884596.0
2017-12-06,114.68,115.15,114.12,115.0,1065428.0,0.0,1.0,114.68,115.15,114.12,115.0,1065428.0
2017-12-05,115.44,115.595,113.24,114.35,891566.0,0.0,1.0,115.44,115.595,113.24,114.35,891566.0
2017-12-04,115.52,116.74,114.94,115.53,1269153.0,0.0,1.0,115.52,116.74,114.94,115.53,1269153.0
2017-12-01,116.0,116.4,114.62,115.21,670703.0,0.0,1.0,116.0,116.4,114.62,115.21,670703.0
2017-11-30,114.68,115.85,114.16,115.57,1070599.0,0.0,1.0,114.68,115.85,114.16,115.57,1070599.0
2017-11-29,114.11,115.44,113.75,114.56,1044724.0,0.0,1.0,114.11,115.44,113.75,114.56,1044724.0
2017-11-28,113.87,114.36,113.6,114.34,652538.0,0.0,1.0,113.87,114.36,113.6,114.34,652538.0
2017-11-27,112.5,113.87,112.5,113.64,1483941.0,0.0,1.0,112.5,113.87,112.5,113.64,1483941.0
2017-11-24,112.83,113.405,112.61,112.65,181970.0,0.0,1.0,112.83,113.405,112.61,112.65,181970.0
2017-11-22,112.62,112.945,112.2,112.62,1040007.0,0.0,1.0,112.62,112.945,112.2,112.62,1040007.0
2017-11-21,112.64,112.78,112.29,112.64,717418.0,0.0,1.0,112.64,112.78,112.29,112.64,717418.0
2017-11-20,112.98,113.35,112.0,112.23,739178.0,0.0,1.0,112.98,113.35,112.0,112.23,739178.0
2017-11-17,113.64,114.08,112.55,112.92,968891.0,0.0,1.0,113.64,114.08,112.55,112.92,968891.0
2017-11-16,114.49,114.67,113.85,113.99,811525.0,0.0,1.0,114.49,114.67,113.85,113.99,811525.0
2017-11-15,115.83,116.21,114.39,114.47,720248.0,0.0,1.0,115.83,116.21,114.39,114.47,720248.0
