Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,84.93,85.205,83.38,84.01,1438764.0,0.0,1.0,84.93,85.205,83.38,84.01,1438764.0
2018-03-26,84.89,85.08,82.88,84.95,1647364.0,0.0,1.0,84.89,85.08,82.88,84.95,1647364.0
2018-03-23,85.34,86.46,83.81,84.03,1607013.0,0.0,1.0,85.34,86.46,83.81,84.03,1607013.0
2018-03-22,88.4,88.4,84.66,85.0,4612992.0,0.0,1.0,88.4,88.4,84.66,85.0,4612992.0
2018-03-21,89.45,91.46,89.27,89.5,1714450.0,0.0,1.0,89.45,91.46,89.27,89.5,1714450.0
2018-03-20,92.96,93.19,88.152,89.19,2598425.0,0.0,1.0,92.96,93.19,88.152,89.19,2598425.0
2018-03-19,96.34,96.34,92.82,93.0,1121037.0,0.0,1.0,96.34,96.34,92.82,93.0,1121037.0
2018-03-16,97.43,98.23,96.46,96.61,1575851.0,0.0,1.0,97.43,98.23,96.46,96.61,1575851.0
2018-03-15,99.05,99.25,97.33,97.36,1251230.0,0.0,1.0,99.05,99.25,97.33,97.36,1251230.0
2018-03-14,100.88,101.12,98.15100000000001,98.58,1287897.0,0.0,1.0,100.88,101.12,98.15100000000001,98.58,1287897.0
2018-03-13,100.44,101.39,100.34,100.6,1498040.0,0.0,1.0,100.44,101.39,100.34,100.6,1498040.0
2018-03-12,99.21,101.02,98.9698,100.29,1586177.0,0.0,1.0,99.21,101.02,98.9698,100.29,1586177.0
2018-03-09,96.89,99.05,96.76,99.0,963099.0,0.0,1.0,96.89,99.05,96.76,99.0,963099.0
2018-03-08,96.26,98.03,95.21,96.24,1025902.0,0.0,1.0,96.26,98.03,95.21,96.24,1025902.0
2018-03-07,93.78,95.89,93.12,95.6,1025425.0,0.0,1.0,93.78,95.89,93.12,95.6,1025425.0
2018-03-06,95.49,95.53,94.0763,94.7,1338205.0,0.0,1.0,95.49,95.53,94.0763,94.7,1338205.0
2018-03-05,93.01,95.26,92.84,94.9,1317605.0,0.0,1.0,93.01,95.26,92.84,94.9,1317605.0
2018-03-02,92.7,94.58,92.56,93.96,1489868.0,0.0,1.0,92.7,94.58,92.56,93.96,1489868.0
2018-03-01,94.84,95.34,92.51,93.3,2178479.0,0.0,1.0,94.84,95.34,92.51,93.3,2178479.0
2018-02-28,97.94,99.75,95.15,95.16,1424957.0,0.0,1.0,97.94,99.75,95.15,95.16,1424957.0
2018-02-27,101.01,101.56,93.16,97.64,4738328.0,0.0,1.0,101.01,101.56,93.16,97.64,4738328.0
2018-02-26,98.59,100.9586,98.1,100.58,1538952.0,0.0,1.0,98.59,100.9586,98.1,100.58,1538952.0
2018-02-23,97.57,98.49,96.67,98.42,1111956.0,0.0,1.0,97.57,98.49,96.67,98.42,1111956.0
2018-02-22,98.75,99.19,96.65,97.12,3416724.0,0.0,1.0,98.75,99.19,96.65,97.12,3416724.0
2018-02-21,99.82,99.96,98.34,98.57,2811680.0,0.0,1.0,99.82,99.96,98.34,98.57,2811680.0
2018-02-20,98.98,100.05,98.52,99.94,1681955.0,0.0,1.0,98.98,100.05,98.52,99.94,1681955.0
2018-02-16,96.73,100.055,96.55,99.4,2786233.0,0.0,1.0,96.73,100.055,96.55,99.4,2786233.0
