Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,31.81,32.59,31.67,32.26,1320821.0,0.0,1.0,31.81,32.59,31.67,32.26,1320821.0
2018-03-26,31.59,31.87,31.43,31.81,808969.0,0.0,1.0,31.59,31.87,31.43,31.81,808969.0
2018-03-23,31.85,32.08,31.38,31.43,1076188.0,0.0,1.0,31.85,32.08,31.38,31.43,1076188.0
2018-03-22,31.74,32.39,31.71,31.81,1425920.0,0.0,1.0,31.74,32.39,31.71,31.81,1425920.0
2018-03-21,31.86,32.16,31.7267,31.79,920064.0,0.0,1.0,31.86,32.16,31.7267,31.79,920064.0
2018-03-20,31.9,32.07,31.62,31.78,1532100.0,0.0,1.0,31.9,32.07,31.62,31.78,1532100.0
2018-03-19,31.93,32.13,31.68,31.89,1321867.0,0.0,1.0,31.93,32.13,31.68,31.89,1321867.0
2018-03-16,31.74,32.175,31.61,32.0,4220233.0,0.0,1.0,31.74,32.175,31.61,32.0,4220233.0
2018-03-15,31.75,32.09,31.135,31.62,2396782.0,0.0,1.0,31.75,32.09,31.135,31.62,2396782.0
2018-03-14,31.66,32.045,31.57,31.79,1264565.0,0.0,1.0,31.66,32.045,31.57,31.79,1264565.0
2018-03-13,31.6,31.65,31.32,31.52,2491352.0,0.0,1.0,31.6,31.65,31.32,31.52,2491352.0
2018-03-12,31.38,31.58,31.24,31.45,1443009.0,0.0,1.0,31.38,31.58,31.24,31.45,1443009.0
2018-03-09,31.26,31.48,31.06,31.35,1503934.0,0.0,1.0,31.26,31.48,31.06,31.35,1503934.0
2018-03-08,30.89,31.44,30.76,31.22,1356170.0,0.0,1.0,30.89,31.44,30.76,31.22,1356170.0
2018-03-07,31.05,31.31,30.845,30.88,1462547.0,0.0,1.0,31.05,31.31,30.845,30.88,1462547.0
2018-03-06,31.9,31.9,31.15,31.2,1536229.0,0.0,1.0,31.9,31.9,31.15,31.2,1536229.0
2018-03-05,31.09,32.08,31.05,31.92,1623267.0,0.0,1.0,31.09,32.08,31.05,31.92,1623267.0
2018-03-02,31.51,31.8,30.85,31.19,1468155.0,0.0,1.0,31.51,31.8,30.85,31.19,1468155.0
2018-03-01,31.54,31.99,31.32,31.54,1265574.0,0.0,1.0,31.54,31.99,31.32,31.54,1265574.0
2018-02-28,31.66,31.77,31.33,31.34,1656503.0,0.0,1.0,31.66,31.77,31.33,31.34,1656503.0
2018-02-27,32.38,32.49,31.57,31.58,1684510.0,0.0,1.0,32.38,32.49,31.57,31.58,1684510.0
2018-02-26,33.0,33.0,32.23,32.28,1763061.0,0.0,1.0,33.0,33.0,32.23,32.28,1763061.0
2018-02-23,31.9,33.0599,31.8562,32.95,3444671.0,0.0,1.0,31.9,33.0599,31.8562,32.95,3444671.0
2018-02-22,31.56,31.95,30.74,31.47,2420422.0,0.0,1.0,31.56,31.95,30.74,31.47,2420422.0
2018-02-21,31.21,31.48,30.82,30.82,2167260.0,0.0,1.0,31.21,31.48,30.82,30.82,2167260.0
2018-02-20,31.39,31.589000000000002,31.02,31.21,1411878.0,0.0,1.0,31.39,31.589000000000002,31.02,31.21,1411878.0
2018-02-16,31.3,31.66,31.25,31.56,833435.0,0.0,1.0,31.3,31.66,31.25,31.56,833435.0
2018-02-15,30.89,31.35,30.81,31.34,804636.0,0.0,1.0,30.89,31.35,30.81,31.34,804636.0
2018-02-14,30.77,30.98,30.505,30.78,1134344.0,0.0,1.0,30.77,30.98,30.505,30.78,1134344.0
2018-02-13,30.75,31.09,30.34,30.96,2818089.0,0.0,1.0,30.75,31.09,30.34,30.96,2818089.0
2018-02-12,30.7,31.2,30.36,30.87,1813286.0,0.0,1.0,30.7,31.2,30.36,30.87,1813286.0
2018-02-09,29.73,30.6,29.66,30.39,1738884.0,0.0,1.0,29.73,30.6,29.66,30.39,1738884.0
2018-02-08,30.24,30.34,29.59,29.6,1596840.0,0.0,1.0,30.24,30.34,29.59,29.6,1596840.0
2018-02-07,30.23,30.65,30.08,30.28,1505246.0,0.0,1.0,30.23,30.65,30.08,30.28,1505246.0
2018-02-06,30.54,30.71,29.81,30.28,1993079.0,0.0,1.0,30.54,30.71,29.81,30.28,1993079.0
2018-02-05,31.18,31.54,30.67,30.69,1504536.0,0.0,1.0,31.18,31.54,30.67,30.69,1504536.0
2018-02-02,31.71,31.75,31.31,31.35,1524681.0,0.0,1.0,31.71,31.75,31.31,31.35,1524681.0
2018-02-01,32.21,32.36,31.82,31.93,1190552.0,0.0,1.0,32.21,32.36,31.82,31.93,1190552.0
2018-01-31,31.86,32.23,31.53,32.2,2403623.0,0.0,1.0,31.86,32.23,31.53,32.2,2403623.0
2018-01-30,31.55,32.14,31.52,31.71,1356441.0,0.0,1.0,31.55,32.14,31.52,31.71,1356441.0
2018-01-29,32.02,32.02,31.62,31.71,1155765.0,0.0,1.0,32.02,32.02,31.62,31.71,1155765.0
2018-01-26,32.48,32.54,31.79,32.14,994356.0,0.0,1.0,32.48,32.54,31.79,32.14,994356.0
2018-01-25,32.17,32.32,32.01,32.3,1273601.0,0.0,1.0,32.17,32.32,32.01,32.3,1273601.0
2018-01-24,31.92,32.33,31.7664,32.13,2047376.0,0.0,1.0,31.92,32.33,31.7664,32.13,2047376.0
2018-01-23,31.58,31.97,31.52,31.86,1346781.0,0.0,1.0,31.58,31.97,31.52,31.86,1346781.0
2018-01-22,31.52,31.8,31.47,31.57,1242080.0,0.0,1.0,31.52,31.8,31.47,31.57,1242080.0
2018-01-19,31.38,31.65,31.23,31.42,1168067.0,0.0,1.0,31.38,31.65,31.23,31.42,1168067.0
2018-01-18,31.78,31.78,31.18,31.33,2410420.0,0.0,1.0,31.78,31.78,31.18,31.33,2410420.0
2018-01-17,31.07,31.46,31.05,31.4,1304778.0,0.0,1.0,31.07,31.46,31.05,31.4,1304778.0
2018-01-16,30.76,31.05,30.76,30.98,1585073.0,0.0,1.0,30.76,31.05,30.76,30.98,1585073.0
2018-01-12,31.22,31.375,30.7,30.74,1424660.0,0.0,1.0,31.22,31.375,30.7,30.74,1424660.0
2018-01-11,31.5,31.825,31.19,31.25,1883223.0,0.0,1.0,31.5,31.825,31.19,31.25,1883223.0
2018-01-10,31.92,31.99,30.88,30.89,1896301.0,0.0,1.0,31.92,31.99,30.88,30.89,1896301.0
2018-01-09,32.39,32.4128,32.035,32.1,1039768.0,0.0,1.0,32.39,32.4128,32.035,32.1,1039768.0
2018-01-08,32.58,32.84,32.36,32.75,1229855.0,0.0,1.0,32.58,32.84,32.36,32.75,1229855.0
2018-01-05,32.7,32.83,32.47,32.5,1364760.0,0.0,1.0,32.7,32.83,32.47,32.5,1364760.0
2018-01-04,32.68,32.89,32.48,32.6,1459311.0,0.0,1.0,32.68,32.89,32.48,32.6,1459311.0
2018-01-03,32.66,32.97,32.58,32.66,1307335.0,0.0,1.0,32.66,32.97,32.58,32.66,1307335.0
2018-01-02,33.0,33.07,32.54,32.67,1170638.0,0.0,1.0,33.0,33.07,32.54,32.67,1170638.0
2017-12-29,33.08,33.15,32.8807,32.91,1049049.0,0.0,1.0,33.08,33.15,32.8807,32.91,1049049.0
2017-12-28,32.83,33.02,32.77,33.0,1186812.0,0.0,1.0,32.83,33.02,32.77,33.0,1186812.0
2017-12-27,32.84,32.97,32.6,32.75,1127674.0,0.0,1.0,32.84,32.97,32.6,32.75,1127674.0
2017-12-26,33.06,33.2,32.83,32.83,935269.0,0.0,1.0,33.06,33.2,32.83,32.83,935269.0
2017-12-22,32.9,33.1,32.7,33.01,754642.0,0.0,1.0,32.9,33.1,32.7,33.01,754642.0
2017-12-21,32.81,33.02,32.65,32.66,655701.0,0.0,1.0,32.81,33.02,32.65,32.66,655701.0
2017-12-20,33.4,33.48,32.87,32.97,828960.0,0.0,1.0,33.4,33.48,32.87,32.97,828960.0
2017-12-19,33.73,33.93,33.31,33.34,1160421.0,0.0,1.0,33.73,33.93,33.31,33.34,1160421.0
2017-12-18,34.26,34.4,33.78,33.81,875195.0,0.0,1.0,34.26,34.4,33.78,33.81,875195.0
2017-12-15,33.96,34.34,33.795,34.15,1818889.0,0.0,1.0,33.96,34.34,33.795,34.15,1818889.0
