Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,30.65,30.67,29.21,29.52,85188716.0,0.0,1.0,30.65,30.67,29.21,29.52,85188716.0
2018-03-26,29.89,30.555,29.65,30.44,81989080.0,0.0,1.0,29.89,30.555,29.65,30.44,81989080.0
2018-03-23,30.69,30.82,29.05,29.17,114544472.0,0.0,1.0,30.69,30.82,29.05,29.17,114544472.0
2018-03-22,31.44,31.49,30.42,30.55,109386636.0,0.0,1.0,31.44,31.49,30.42,30.55,109386636.0
2018-03-21,32.0,32.45,31.68,31.87,64135559.0,0.0,1.0,32.0,32.45,31.68,31.87,64135559.0
2018-03-20,32.06,32.2,31.88,31.98,44455976.0,0.0,1.0,32.06,32.2,31.88,31.98,44455976.0
2018-03-19,32.13,32.22,31.68,31.98,57068585.0,0.0,1.0,32.13,32.22,31.68,31.98,57068585.0
2018-03-16,32.11,32.57,32.08,32.17,82176070.0,0.0,1.0,32.11,32.57,32.08,32.17,82176070.0
2018-03-15,32.29,32.34,31.93,32.1,41825422.0,0.0,1.0,32.29,32.34,31.93,32.1,41825422.0
2018-03-14,32.55,32.55,31.93,32.14,57889408.0,0.0,1.0,32.55,32.55,31.93,32.14,57889408.0
2018-03-13,32.97,32.99,32.3,32.36,62823477.0,0.0,1.0,32.97,32.99,32.3,32.36,62823477.0
2018-03-12,32.69,33.05,32.64,32.84,59301639.0,0.0,1.0,32.69,33.05,32.64,32.84,59301639.0
2018-03-09,32.47,32.73,32.4,32.72,73075006.0,0.0,1.0,32.47,32.73,32.4,32.72,73075006.0
2018-03-08,32.19,32.27,31.81,32.2,51206287.0,0.0,1.0,32.19,32.27,31.81,32.2,51206287.0
2018-03-07,31.7,32.23,31.58,32.18,52763869.0,0.0,1.0,31.7,32.23,31.58,32.18,52763869.0
2018-03-06,32.3,32.32,31.95,32.11,50621256.0,0.0,1.0,32.3,32.32,31.95,32.11,50621256.0
2018-03-05,31.35,32.355,31.165,32.13,70543121.0,0.0,1.0,31.35,32.355,31.165,32.13,70543121.0
2018-03-02,31.12,31.69,30.63,31.63,82739099.0,0.0,1.0,31.12,31.69,30.63,31.63,82739099.0
2018-03-01,32.07,32.345,31.36,31.48,90547117.0,0.12,1.0,32.07,32.345,31.36,31.48,90547117.0
2018-02-28,32.49,32.77,32.09,32.1,70351619.0,0.0,1.0,32.49,32.77,32.09,32.1,70351619.0
2018-02-27,32.32,32.85,32.32,32.33,68943159.0,0.0,1.0,32.32,32.85,32.32,32.33,68943159.0
2018-02-26,32.17,32.44,32.05,32.42,60441481.0,0.0,1.0,32.17,32.44,32.05,32.42,60441481.0
2018-02-23,31.8,32.06,31.76,32.03,50959564.0,0.0,1.0,31.8,32.06,31.76,32.03,50959564.0
2018-02-22,31.99,32.14,31.59,31.69,64394876.0,0.0,1.0,31.99,32.14,31.59,31.69,64394876.0
2018-02-21,31.8,32.365,31.77,31.87,71980440.0,0.0,1.0,31.8,32.365,31.77,31.87,71980440.0
2018-02-20,31.96,32.16,31.75,31.93,58356720.0,0.0,1.0,31.96,32.16,31.75,31.93,58356720.0
2018-02-16,32.0,32.26,31.92,31.97,61805677.0,0.0,1.0,32.0,32.26,31.92,31.97,61805677.0
2018-02-15,32.39,32.47,31.87,32.21,67806215.0,0.0,1.0,32.39,32.47,31.87,32.21,67806215.0
2018-02-14,31.17,32.03,31.055,32.0,92773022.0,0.0,1.0,31.17,32.03,31.055,32.0,92773022.0
2018-02-13,31.04,31.4,30.76,31.18,76559902.0,0.0,1.0,31.04,31.4,30.76,31.18,76559902.0
2018-02-12,30.62,31.44,30.54,31.12,94696662.0,0.0,1.0,30.62,31.44,30.54,31.12,94696662.0
2018-02-09,30.17,30.61,29.13,30.33,142693575.0,0.0,1.0,30.17,30.61,29.13,30.33,142693575.0
2018-02-08,31.31,31.38,29.73,29.74,128282047.0,0.0,1.0,31.31,31.38,29.73,29.74,128282047.0
2018-02-07,31.12,31.74,30.86,31.25,99831300.0,0.0,1.0,31.12,31.74,30.86,31.25,99831300.0
2018-02-06,29.41,31.29,29.3,31.2,161141551.0,0.0,1.0,29.41,31.29,29.3,31.2,161141551.0
2018-02-05,31.12,31.98,29.15,30.26,153479504.0,0.0,1.0,31.12,31.98,29.15,30.26,153479504.0
2018-02-02,32.44,32.67,31.86,31.95,96387301.0,0.0,1.0,32.44,32.67,31.86,31.95,96387301.0
2018-02-01,32.0,32.5,31.96,32.5,62054274.0,0.0,1.0,32.0,32.5,31.96,32.5,62054274.0
2018-01-31,32.05,32.29,31.95,32.0,65150630.0,0.0,1.0,32.05,32.29,31.95,32.0,65150630.0
2018-01-30,31.95,32.2,31.85,31.88,58917317.0,0.0,1.0,31.95,32.2,31.85,31.88,58917317.0
2018-01-29,32.25,32.45,32.18,32.28,58205136.0,0.0,1.0,32.25,32.45,32.18,32.28,58205136.0
2018-01-26,32.11,32.2,31.95,32.2,50334774.0,0.0,1.0,32.11,32.2,31.95,32.2,50334774.0
2018-01-25,32.24,32.25,31.93,32.09,60230741.0,0.0,1.0,32.24,32.25,31.93,32.09,60230741.0
2018-01-24,32.01,32.21,31.82,32.09,80706611.0,0.0,1.0,32.01,32.21,31.82,32.09,80706611.0
2018-01-23,31.86,32.13,31.785,31.92,56124675.0,0.0,1.0,31.86,32.13,31.785,31.92,56124675.0
2018-01-22,31.67,31.94,31.58,31.94,52627095.0,0.0,1.0,31.67,31.94,31.58,31.94,52627095.0
2018-01-19,31.58,31.74,31.46,31.72,66236420.0,0.0,1.0,31.58,31.74,31.46,31.72,66236420.0
2018-01-18,31.33,31.71,31.21,31.48,76276795.0,0.0,1.0,31.33,31.71,31.21,31.48,76276795.0
2018-01-17,31.0,31.29,30.34,31.18,122797447.0,0.0,1.0,31.0,31.29,30.34,31.18,122797447.0
2018-01-16,31.74,31.79,31.03,31.24,104217423.0,0.0,1.0,31.74,31.79,31.03,31.24,104217423.0
2018-01-12,30.88,31.2,30.77,31.19,66034385.0,0.0,1.0,30.88,31.2,30.77,31.19,66034385.0
2018-01-11,30.66,30.69,30.45,30.66,59015496.0,0.0,1.0,30.66,30.69,30.45,30.66,59015496.0
2018-01-10,30.37,30.73,30.31,30.55,62272175.0,0.0,1.0,30.37,30.73,30.31,30.55,62272175.0
2018-01-09,30.2,30.54,30.13,30.27,69281639.0,0.0,1.0,30.2,30.54,30.13,30.27,69281639.0
2018-01-08,30.23,30.27,30.05,30.12,42109249.0,0.0,1.0,30.23,30.27,30.05,30.12,42109249.0
2018-01-05,30.37,30.42,30.05,30.33,56124567.0,0.0,1.0,30.37,30.42,30.05,30.33,56124567.0
2018-01-04,29.97,30.44,29.88,30.19,75653541.0,0.0,1.0,29.97,30.44,29.88,30.19,75653541.0
2018-01-03,29.9,29.94,29.69,29.8,57770689.0,0.0,1.0,29.9,29.94,29.69,29.8,57770689.0
2018-01-02,29.75,29.9,29.61,29.9,56984205.0,0.0,1.0,29.75,29.9,29.61,29.9,56984205.0
2017-12-29,29.85,29.88,29.52,29.52,40133412.0,0.0,1.0,29.85,29.88,29.52,29.52,40133412.0
2017-12-28,29.73,29.82,29.66,29.8,35842803.0,0.0,1.0,29.73,29.82,29.66,29.8,35842803.0
2017-12-27,29.66,29.73,29.601,29.73,31827793.0,0.0,1.0,29.66,29.73,29.601,29.73,31827793.0
2017-12-26,29.74,29.94,29.58,29.78,42254735.0,0.0,1.0,29.74,29.94,29.58,29.78,42254735.0
2017-12-22,29.965,30.03,29.62,29.88,54073301.0,0.0,1.0,29.965,30.03,29.62,29.88,54073301.0
2017-12-21,29.595,29.98,29.58,29.82,72441696.0,0.0,1.0,29.595,29.98,29.58,29.82,72441696.0
