Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,160.87,163.52,158.81,160.32,2249138.0,0.0,1.0,160.87,163.52,158.81,160.32,2249138.0
2018-03-26,161.5,162.05,155.7,160.2,3200680.0,0.0,1.0,161.5,162.05,155.7,160.2,3200680.0
2018-03-23,163.44,164.675,159.26,159.48,2354600.0,0.0,1.0,163.44,164.675,159.26,159.48,2354600.0
2018-03-22,162.52,164.93,162.0,162.58,2455333.0,0.0,1.0,162.52,164.93,162.0,162.58,2455333.0
2018-03-21,163.8,165.87,163.14,163.7,2075524.0,0.0,1.0,163.8,165.87,163.14,163.7,2075524.0
2018-03-20,166.37,167.23,162.5,163.62,3914393.0,0.0,1.0,166.37,167.23,162.5,163.62,3914393.0
2018-03-19,167.99,169.6863,164.65,166.27,2834296.0,0.0,1.0,167.99,169.6863,164.65,166.27,2834296.0
2018-03-16,166.8,170.81,166.74,168.96,3681367.0,0.0,1.0,166.8,170.81,166.74,168.96,3681367.0
2018-03-15,167.22,168.5799,164.98,166.12,3641273.0,0.0,1.0,167.22,168.5799,164.98,166.12,3641273.0
2018-03-14,163.24,168.85,163.24,167.06,5032757.0,0.0,1.0,163.24,168.85,163.24,167.06,5032757.0
2018-03-13,159.19,164.6,158.74,163.19,4250323.0,0.0,1.0,159.19,164.6,158.74,163.19,4250323.0
2018-03-12,157.59,160.04,157.52,158.41,2733848.0,0.0,1.0,157.59,160.04,157.52,158.41,2733848.0
2018-03-09,154.96,157.43,153.79,157.28,3291115.0,0.0,1.0,154.96,157.43,153.79,157.28,3291115.0
2018-03-08,153.96,154.4655,151.51,153.5,3242909.0,0.0,1.0,153.96,154.4655,151.51,153.5,3242909.0
2018-03-07,149.28,153.28,148.89,153.22,2927674.0,0.0,1.0,149.28,153.28,148.89,153.22,2927674.0
2018-03-06,149.25,151.7,148.21,150.71,3304358.0,0.0,1.0,149.25,151.7,148.21,150.71,3304358.0
2018-03-05,143.42,149.65,142.81,148.73,4028970.0,0.0,1.0,143.42,149.65,142.81,148.73,4028970.0
2018-03-02,147.18,147.27,143.1,144.02,8464754.0,0.0,1.0,147.18,147.27,143.1,144.02,8464754.0
2018-03-01,150.76,151.8,144.75,148.19,9340223.0,0.0,1.0,150.76,151.8,144.75,148.19,9340223.0
2018-02-28,160.9,161.09,153.26,154.22,5928651.0,0.0,1.0,160.9,161.09,153.26,154.22,5928651.0
2018-02-27,164.7,165.89,159.86,159.91,3250935.0,0.0,1.0,164.7,165.89,159.86,159.91,3250935.0
2018-02-26,162.11,166.17,161.51,165.76,2694742.0,0.0,1.0,162.11,166.17,161.51,165.76,2694742.0
2018-02-23,161.53,162.56,160.05,162.09,2566425.0,0.0,1.0,161.53,162.56,160.05,162.09,2566425.0
2018-02-22,159.7,161.66,158.99,159.4,2761197.0,0.0,1.0,159.7,161.66,158.99,159.4,2761197.0
