Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,78.14,78.55,75.96,76.32,789110.0,0.0,1.0,78.14,78.55,75.96,76.32,789110.0
2018-03-26,76.74,77.95,76.235,77.88,925151.0,0.0,1.0,76.74,77.95,76.235,77.88,925151.0
2018-03-23,77.57,78.03,75.53,75.69,965618.0,0.0,1.0,77.57,78.03,75.53,75.69,965618.0
2018-03-22,78.62,79.3,77.29,77.38,833488.0,0.0,1.0,78.62,79.3,77.29,77.38,833488.0
2018-03-21,79.04,79.83,78.72,79.34,844318.0,0.0,1.0,79.04,79.83,78.72,79.34,844318.0
2018-03-20,78.31,79.45,78.19,79.02,645026.0,0.0,1.0,78.31,79.45,78.19,79.02,645026.0
2018-03-19,78.02,78.5,77.41,78.17,870450.0,0.0,1.0,78.02,78.5,77.41,78.17,870450.0
2018-03-16,77.93,78.69,77.671,78.45,1034036.0,0.0,1.0,77.93,78.69,77.671,78.45,1034036.0
2018-03-15,77.43,78.08,77.06,77.64,555282.0,0.0,1.0,77.43,78.08,77.06,77.64,555282.0
2018-03-14,78.43,78.43,76.98,77.11,831773.0,0.0,1.0,78.43,78.43,76.98,77.11,831773.0
2018-03-13,78.35,79.03,77.69,77.98,697911.0,0.0,1.0,78.35,79.03,77.69,77.98,697911.0
2018-03-12,79.5,79.67,77.81,78.09,882915.0,0.0,1.0,79.5,79.67,77.81,78.09,882915.0
2018-03-09,77.7,79.52,77.59,79.48,1202285.0,0.0,1.0,77.7,79.52,77.59,79.48,1202285.0
2018-03-08,76.79,77.26,75.82,77.19,948126.0,0.0,1.0,76.79,77.26,75.82,77.19,948126.0
2018-03-07,74.45,76.54,74.36,76.38,1229483.0,0.0,1.0,74.45,76.54,74.36,76.38,1229483.0
2018-03-06,74.24,75.36,74.23,75.28,903907.0,0.0,1.0,74.24,75.36,74.23,75.28,903907.0
2018-03-05,73.21,74.09,72.55,73.86,1023115.0,0.0,1.0,73.21,74.09,72.55,73.86,1023115.0
2018-03-02,72.75,73.75,72.28,73.51,910076.0,0.0,1.0,72.75,73.75,72.28,73.51,910076.0
2018-03-01,74.5,74.705,72.44,73.27,1520149.0,0.0,1.0,74.5,74.705,72.44,73.27,1520149.0
2018-02-28,75.78,76.68,74.56,74.58,998775.0,0.0,1.0,75.78,76.68,74.56,74.58,998775.0
2018-02-27,76.37,76.62,75.73,75.75,813698.0,0.0,1.0,76.37,76.62,75.73,75.75,813698.0
2018-02-26,76.25,76.61,75.55,76.26,1014143.0,0.0,1.0,76.25,76.61,75.55,76.26,1014143.0
2018-02-23,75.13,75.96,74.8,75.93,434983.0,0.0,1.0,75.13,75.96,74.8,75.93,434983.0
2018-02-22,75.57,76.035,74.87,75.05,704636.0,0.0,1.0,75.57,76.035,74.87,75.05,704636.0
2018-02-21,75.02,76.35,74.9003,75.18,1011449.0,0.0,1.0,75.02,76.35,74.9003,75.18,1011449.0
2018-02-20,75.03,75.91,74.51,74.73,1165542.0,0.0,1.0,75.03,75.91,74.51,74.73,1165542.0
2018-02-16,74.54,75.9,74.37,75.23,955520.0,0.0,1.0,74.54,75.9,74.37,75.23,955520.0
2018-02-15,73.89,74.83,73.18,74.73,1217705.0,0.0,1.0,73.89,74.83,73.18,74.73,1217705.0
2018-02-14,72.17,73.51,71.96,73.31,1367705.0,0.0,1.0,72.17,73.51,71.96,73.31,1367705.0
2018-02-13,71.45,72.95,71.43,72.77,987150.0,0.0,1.0,71.45,72.95,71.43,72.77,987150.0
2018-02-12,71.27,72.6,71.0,71.93,1039161.0,0.0,1.0,71.27,72.6,71.0,71.93,1039161.0
2018-02-09,70.98,71.3,68.38,70.82,1722690.0,0.0,1.0,70.98,71.3,68.38,70.82,1722690.0
2018-02-08,71.74,72.15,70.21,70.24,1493232.0,0.0,1.0,71.74,72.15,70.21,70.24,1493232.0
2018-02-07,71.27,72.86,71.12,71.79,1748814.0,0.0,1.0,71.27,72.86,71.12,71.79,1748814.0
2018-02-06,71.65,71.85,69.69,71.33,2293591.0,0.0,1.0,71.65,71.85,69.69,71.33,2293591.0
2018-02-05,75.22,76.17,72.61,72.66,2191304.0,0.0,1.0,75.22,76.17,72.61,72.66,2191304.0
2018-02-02,74.95,76.81,74.65,75.66,2138393.0,0.0,1.0,74.95,76.81,74.65,75.66,2138393.0
2018-02-01,72.5,75.68,72.5,74.84,1815883.0,0.0,1.0,72.5,75.68,72.5,74.84,1815883.0
2018-01-31,73.26,73.99,72.09,72.26,1615675.0,0.0,1.0,73.26,73.99,72.09,72.26,1615675.0
