Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,37.92,38.07,36.645,36.92,2627716.0,0.0,1.0,37.92,38.07,36.645,36.92,2627716.0
2018-03-26,37.67,37.96,36.82,37.9,1804946.0,0.0,1.0,37.67,37.96,36.82,37.9,1804946.0
2018-03-23,37.46,38.12,37.15,37.18,2803279.0,0.0,1.0,37.46,38.12,37.15,37.18,2803279.0
2018-03-22,37.51,37.93,37.13,37.18,2518227.0,0.0,1.0,37.51,37.93,37.13,37.18,2518227.0
2018-03-21,37.03,38.3267,36.84,38.04,2561758.0,0.0,1.0,37.03,38.3267,36.84,38.04,2561758.0
2018-03-20,36.63,37.14,36.57,36.79,1863892.0,0.0,1.0,36.63,37.14,36.57,36.79,1863892.0
2018-03-19,36.79,36.92,36.04,36.37,2790093.0,0.0,1.0,36.79,36.92,36.04,36.37,2790093.0
2018-03-16,36.35,37.13,36.19,36.89,4367921.0,0.0,1.0,36.35,37.13,36.19,36.89,4367921.0
2018-03-15,37.46,37.5,36.07,36.26,2564921.0,0.0,1.0,37.46,37.5,36.07,36.26,2564921.0
2018-03-14,37.45,37.675,37.25,37.39,2647628.0,0.0,1.0,37.45,37.675,37.25,37.39,2647628.0
2018-03-13,37.74,37.9,37.07,37.31,2288752.0,0.0,1.0,37.74,37.9,37.07,37.31,2288752.0
2018-03-12,37.7,37.89,37.2338,37.6,2538360.0,0.0,1.0,37.7,37.89,37.2338,37.6,2538360.0
2018-03-09,36.98,37.97,36.87,37.72,2950149.0,0.0,1.0,36.98,37.97,36.87,37.72,2950149.0
2018-03-08,36.55,36.7,36.01,36.64,2234509.0,0.0,1.0,36.55,36.7,36.01,36.64,2234509.0
2018-03-07,36.24,36.66,35.83,36.51,2354047.0,0.0,1.0,36.24,36.66,35.83,36.51,2354047.0
2018-03-06,36.61,36.97,36.24,36.7,2590615.0,0.0,1.0,36.61,36.97,36.24,36.7,2590615.0
2018-03-05,35.76,36.77,35.59,36.37,3450678.0,0.0,1.0,35.76,36.77,35.59,36.37,3450678.0
2018-03-02,35.15,36.14,34.84,36.08,2944844.0,0.0,1.0,35.15,36.14,34.84,36.08,2944844.0
2018-03-01,34.94,35.9,34.78,35.41,3145035.0,0.0,1.0,34.94,35.9,34.78,35.41,3145035.0
2018-02-28,36.5,36.93,35.08,35.09,4931450.0,0.0,1.0,36.5,36.93,35.08,35.09,4931450.0
2018-02-27,36.16,36.78,35.83,36.26,4690131.0,0.0,1.0,36.16,36.78,35.83,36.26,4690131.0
2018-02-26,36.18,36.37,35.72,36.18,2268827.0,0.0,1.0,36.18,36.37,35.72,36.18,2268827.0
2018-02-23,35.33,36.075,35.0,36.07,2311934.0,0.0,1.0,35.33,36.075,35.0,36.07,2311934.0
2018-02-22,35.44,35.99,34.91,35.1,3453213.0,0.0,1.0,35.44,35.99,34.91,35.1,3453213.0
2018-02-21,35.18,36.07,34.93,34.96,2843330.0,0.0,1.0,35.18,36.07,34.93,34.96,2843330.0
2018-02-20,35.69,36.03,35.13,35.38,3801984.0,0.0,1.0,35.69,36.03,35.13,35.38,3801984.0
2018-02-16,34.9,35.98,34.89,35.61,3184942.0,0.0,1.0,34.9,35.98,34.89,35.61,3184942.0
2018-02-15,35.31,35.31,34.12,35.13,3511755.0,0.0,1.0,35.31,35.31,34.12,35.13,3511755.0
2018-02-14,33.24,35.29,33.06,35.14,4610031.0,0.0,1.0,33.24,35.29,33.06,35.14,4610031.0
2018-02-13,33.3,33.8,33.115,33.66,3267689.0,0.0,1.0,33.3,33.8,33.115,33.66,3267689.0
