Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-07,25.75,25.93,25.025,25.17,2098511.0,0.0,1.0,25.75,25.93,25.025,25.17,2098511.0
2018-03-06,26.63,26.67,25.97,26.03,1381265.0,0.0,1.0,26.63,26.67,25.97,26.03,1381265.0
2018-03-05,26.21,26.81,26.13,26.42,1723675.0,0.0,1.0,26.21,26.81,26.13,26.42,1723675.0
2018-03-02,25.75,26.43,25.36,26.38,2034262.0,0.0,1.0,25.75,26.43,25.36,26.38,2034262.0
2018-03-01,25.37,26.1,25.27,25.82,2162792.0,0.0,1.0,25.37,26.1,25.27,25.82,2162792.0
2017-07-25,25.6,26.11,25.49,25.72,39130986.0,0.0,1.0,25.6,26.11,25.49,25.72,39130986.0
2017-07-24,25.52,25.6,24.8,24.96,3276015.0,0.0,1.0,25.52,25.6,24.8,24.96,3276015.0
2017-07-21,25.86,25.91,25.28,25.36,3300330.0,0.0,1.0,25.86,25.91,25.28,25.36,3300330.0
2017-07-20,26.53,26.56,25.7,25.84,3926025.0,0.0,1.0,26.53,26.56,25.7,25.84,3926025.0
2017-07-19,24.57,26.35,24.48,26.33,3641755.0,0.0,1.0,24.57,26.35,24.48,26.33,3641755.0
2017-07-18,25.37,25.47,24.495,24.67,2158261.0,0.0,1.0,25.37,25.47,24.495,24.67,2158261.0
2017-07-17,25.17,25.565,25.05,25.14,2871518.0,0.0,1.0,25.17,25.565,25.05,25.14,2871518.0
2017-07-14,25.07,25.49,25.0,25.42,2276731.0,0.0,1.0,25.07,25.49,25.0,25.42,2276731.0
2017-07-13,24.69,25.02,24.36,24.99,2417137.0,0.0,1.0,24.69,25.02,24.36,24.99,2417137.0
2017-07-12,25.03,25.37,24.57,24.72,1877199.0,0.0,1.0,25.03,25.37,24.57,24.72,1877199.0
2017-07-11,24.44,24.865,23.91,24.58,2798550.0,0.0,1.0,24.44,24.865,23.91,24.58,2798550.0
2017-07-10,24.27,24.78,24.22,24.6,2337482.0,0.0,1.0,24.27,24.78,24.22,24.6,2337482.0
2017-07-07,24.63,24.78,24.0522,24.47,2766200.0,0.0,1.0,24.63,24.78,24.0522,24.47,2766200.0
2017-07-06,25.47,25.68,24.725,24.8,2869162.0,0.0,1.0,25.47,25.68,24.725,24.8,2869162.0
2017-07-05,25.94,26.09,24.93,25.29,3595328.0,0.0,1.0,25.94,26.09,24.93,25.29,3595328.0
2017-07-03,25.8,26.47,25.8,26.25,1200296.0,0.0,1.0,25.8,26.47,25.8,26.25,1200296.0
2017-06-30,25.89,26.15,25.27,25.63,4150552.0,0.0,1.0,25.89,26.15,25.27,25.63,4150552.0
2017-06-29,24.94,26.13,24.94,25.65,5149409.0,0.0,1.0,24.94,26.13,24.94,25.65,5149409.0
2017-06-28,24.36,25.32,24.2953,24.78,3420575.0,0.0,1.0,24.36,25.32,24.2953,24.78,3420575.0
2017-06-27,24.52,24.81,24.21,24.25,2800128.0,0.0,1.0,24.52,24.81,24.21,24.25,2800128.0
2017-06-26,24.86,24.97,24.33,24.4,4528690.0,0.0,1.0,24.86,24.97,24.33,24.4,4528690.0
2017-06-23,24.59,25.05,24.51,24.85,3129513.0,0.0,1.0,24.59,25.05,24.51,24.85,3129513.0
2017-06-22,24.82,25.31,24.451,24.52,2693745.0,0.0,1.0,24.82,25.31,24.451,24.52,2693745.0
2017-06-21,24.76,25.14,23.98,24.65,3761683.0,0.0,1.0,24.76,25.14,23.98,24.65,3761683.0
2017-06-20,24.95,25.15,24.32,24.85,2867678.0,0.0,1.0,24.95,25.15,24.32,24.85,2867678.0
2017-06-19,25.36,25.83,25.26,25.42,2525112.0,0.0,1.0,25.36,25.83,25.26,25.42,2525112.0
2017-06-16,24.51,25.37,23.95,25.36,5630015.0,0.0,1.0,24.51,25.37,23.95,25.36,5630015.0
2017-06-15,24.76,25.24,24.1,24.33,3980425.0,0.0,1.0,24.76,25.24,24.1,24.33,3980425.0
2017-06-14,26.06,26.06,24.73,24.89,3586964.0,0.0,1.0,26.06,26.06,24.73,24.89,3586964.0
2017-06-13,25.61,26.39,25.52,26.31,3353959.0,0.0,1.0,25.61,26.39,25.52,26.31,3353959.0
2017-06-12,25.59,26.0,25.0,25.59,3519303.0,0.0,1.0,25.59,26.0,25.0,25.59,3519303.0
2017-06-09,24.16,25.37,24.11,25.21,2467154.0,0.0,1.0,24.16,25.37,24.11,25.21,2467154.0
2017-06-08,23.89,24.545,23.89,24.07,3288997.0,0.0,1.0,23.89,24.545,23.89,24.07,3288997.0
2017-06-07,24.57,24.84,23.61,24.12,3817027.0,0.0,1.0,24.57,24.84,23.61,24.12,3817027.0
2017-06-06,24.13,24.97,23.95,24.82,2794268.0,0.0,1.0,24.13,24.97,23.95,24.82,2794268.0
2017-06-05,23.93,24.46,23.76,24.22,2117643.0,0.0,1.0,23.93,24.46,23.76,24.22,2117643.0
2017-06-02,24.51,24.58,23.89,24.06,2084392.0,0.0,1.0,24.51,24.58,23.89,24.06,2084392.0
2017-06-01,24.48,25.07,24.13,24.77,2333149.0,0.0,1.0,24.48,25.07,24.13,24.77,2333149.0
2017-05-31,24.19,24.425,23.8,24.41,4192022.0,0.0,1.0,24.19,24.425,23.8,24.41,4192022.0
2017-05-30,24.98,25.13,24.63,24.67,2221182.0,0.0,1.0,24.98,25.13,24.63,24.67,2221182.0
2017-05-26,25.2,25.47,24.94,25.31,2190932.0,0.0,1.0,25.2,25.47,24.94,25.31,2190932.0
2017-05-25,26.17,26.72,24.98,25.15,2934990.0,0.0,1.0,26.17,26.72,24.98,25.15,2934990.0
2017-05-24,26.3,26.8432,26.005,26.24,2955345.0,0.0,1.0,26.3,26.8432,26.005,26.24,2955345.0
2017-05-23,26.77,26.81,26.365,26.46,2477660.0,0.0,1.0,26.77,26.81,26.365,26.46,2477660.0
2017-05-22,27.04,27.1199,26.6,26.77,2416746.0,0.0,1.0,27.04,27.1199,26.6,26.77,2416746.0
2017-05-19,26.14,26.88,26.06,26.82,1835993.0,0.0,1.0,26.14,26.88,26.06,26.82,1835993.0
2017-05-18,25.84,26.17,25.47,25.91,2423087.0,0.0,1.0,25.84,26.17,25.47,25.91,2423087.0
2017-05-17,25.78,26.5,25.7,25.98,2178414.0,0.0,1.0,25.78,26.5,25.7,25.98,2178414.0
2017-05-16,26.86,26.9,26.09,26.18,2426363.0,0.0,1.0,26.86,26.9,26.09,26.18,2426363.0
2017-05-15,27.35,27.53,26.35,26.62,2748301.0,0.0,1.0,27.35,27.53,26.35,26.62,2748301.0
2017-05-12,26.92,26.98,26.4,26.58,2356928.0,0.0,1.0,26.92,26.98,26.4,26.58,2356928.0
2017-05-11,27.42,27.54,26.78,26.93,2086277.0,0.25,1.0,27.42,27.54,26.78,26.93,2086277.0
2017-05-10,26.98,27.83,26.735,27.4,2871086.0,0.0,1.0,26.731839587932,27.57402133922,26.489093083148997,27.147976453274,2871086.0
2017-05-09,26.87,26.89,26.32,26.63,2204624.0,0.0,1.0,26.622851361294998,26.642667402502,26.077910228109,26.385058866814,2204624.0
2017-05-08,26.11,26.98,25.98,26.8,3568698.0,0.0,1.0,25.869841795438,26.731839587932,25.741037527594,26.553495217071,3568698.0
2017-05-05,25.38,26.25,25.217,26.18,4437220.0,0.0,1.0,25.146556291391,26.008554083885002,24.985055555556002,25.939197939661998,4437220.0
2017-05-04,25.44,25.53,24.03,25.3,7249032.0,0.0,1.0,25.206004415011,25.295176600441998,23.808973509934003,25.067292126564002,7249032.0
2017-05-03,25.64,26.12,25.34,25.7,3050992.0,0.0,1.0,25.404164827079,25.879749816041002,25.106924208977,25.463612950699,3050992.0
2017-05-02,26.14,26.48,25.645,25.91,2620084.0,0.0,1.0,25.899565857248,26.236438557762998,25.40911883738,25.67168138337,2620084.0
2017-05-01,26.16,26.39,26.0,26.09,2658516.0,0.0,1.0,25.919381898455,26.147266372333004,25.760853568800997,25.850025754231,2658516.0
2017-04-28,26.75,26.78,26.15,26.18,2449329.0,0.0,1.0,26.503955114053998,26.533679175865,25.909473877851,25.939197939661998,2449329.0
2017-04-27,26.89,26.95,25.885,26.45,4863131.0,0.0,1.0,26.642667402502,26.702115526121997,25.646911331862,26.206714495953,4863131.0
2017-04-26,27.12,28.195,27.03,27.21,2987965.0,0.0,1.0,26.87055187638,27.935664091244,26.781379690949002,26.959724061810004,2987965.0
2017-04-25,26.78,27.41,26.56,27.36,2031284.0,0.0,1.0,26.533679175865,27.157884473878003,26.315702722589997,27.108344370861,2031284.0
2017-04-24,27.27,27.35,26.69,26.74,3737531.0,0.0,1.0,27.019172185429998,27.098436350258,26.444506990433997,26.494047093450998,3737531.0
2017-04-21,26.61,27.265,26.46,26.97,3986913.0,0.0,1.0,26.365242825606998,27.014218175129,26.216622516556,26.721931567329,3986913.0
2017-04-20,27.0,27.38,26.75,26.77,2163408.0,0.0,1.0,26.751655629138998,27.128160412068,26.503955114053998,26.523771155261002,2163408.0
2017-04-19,27.84,28.02,26.8,26.88,2269399.0,0.0,1.0,27.583929359823,27.762273730683997,26.553495217071,26.632759381897998,2269399.0
2017-04-18,27.67,28.3,27.48,27.74,1986401.0,0.0,1.0,27.415493009566003,28.039698307579002,27.227240618102,27.484849153789998,1986401.0
2017-04-17,27.53,27.97,27.53,27.93,2019816.0,0.0,1.0,27.276780721118,27.712733627667,27.276780721118,27.673101545254003,2019816.0
2017-04-13,27.95,28.37,27.46,27.56,2396690.0,0.0,1.0,27.692917586461,28.109054451803,27.207424576894997,27.306504782929,2396690.0
2017-04-12,28.43,29.09,27.96,28.1,3050384.0,0.0,1.0,28.168502575423002,28.822431935247003,27.702825607064,27.841537895511,3050384.0
2017-04-11,28.25,28.52,27.88,28.38,2272933.0,0.0,1.0,27.990158204562,28.257674760854,27.623561442237,28.118962472406,2272933.0
2017-04-10,28.15,28.485,28.07,28.36,2184271.0,0.0,1.0,27.891077998527997,28.222996688741997,27.811813833701,28.099146431199003,2184271.0
2017-04-07,28.15,28.28,27.795,27.85,1741184.0,0.0,1.0,27.891077998527997,28.019882266371997,27.539343267108002,27.593837380426997,1741184.0
2017-04-06,28.09,28.441,27.9,28.23,1545665.0,0.0,1.0,27.831629874908,28.179401398087002,27.643377483444,27.970342163355,1545665.0
2017-04-05,29.1,29.39,27.85,27.88,3314171.0,0.0,1.0,28.83233995585,29.119672553347996,27.593837380426997,27.623561442237,3314171.0
2017-04-04,28.29,28.78,27.99,28.71,1956939.0,0.0,1.0,28.029790286976,28.515283296542002,27.732549668874,28.445927152318,1956939.0
2017-04-03,28.66,28.74,27.91,28.26,2186268.0,0.0,1.0,28.396387049301,28.475651214128,27.653285504047,28.000066225166,2186268.0
2017-03-31,28.19,28.79,28.03,28.59,2290192.0,0.0,1.0,27.930710080942003,28.525191317144998,27.772181751288,28.327030905077,2290192.0
2017-03-30,28.54,29.14,28.21,28.28,3837557.0,0.0,1.0,28.277490802059997,28.871972038263003,27.950526122149,28.019882266371997,3837557.0
2017-03-29,26.93,28.52,26.93,28.25,2316815.0,0.0,1.0,26.682299484915,28.257674760854,26.682299484915,27.990158204562,2316815.0
2017-03-28,26.24,27.36,26.05,27.26,2859434.0,0.0,1.0,25.998646063282,27.108344370861,25.810393671817998,27.009264164826998,2859434.0
2017-03-27,25.35,26.345,25.22,26.25,1988360.0,0.0,1.0,25.116832229581,26.102680279617,24.988027961737,26.008554083885002,1988360.0
2017-03-24,26.18,26.35,25.730999999999998,25.76,2229604.0,0.0,1.0,25.939197939661998,26.107634289918998,25.494327814570003,25.523061074319,2229604.0
2017-03-23,26.2,26.44,25.975,26.04,2167290.0,0.0,1.0,25.959013980868,26.196806475349998,25.736083517292,25.800485651214,2167290.0
2017-03-22,26.3,26.63,26.11,26.41,1997984.0,0.0,1.0,26.058094186902,26.385058866814,25.869841795438,26.167082413539,1997984.0
2017-03-21,27.5,27.5,26.45,26.49,2173093.0,0.0,1.0,27.247056659308,27.247056659308,26.206714495953,26.246346578365998,2173093.0
2017-03-20,26.87,27.4,26.71,27.33,2358768.0,0.0,1.0,26.622851361294998,27.147976453274,26.464323031641,27.078620309050997,2358768.0
2017-03-17,27.22,27.525,27.16,27.23,3948210.0,0.0,1.0,26.969632082413998,27.271826710817,26.910183958793002,26.979540103017,3948210.0
2017-03-16,27.27,27.27,26.58,27.1,2614330.0,0.0,1.0,27.019172185429998,27.019172185429998,26.335518763797,26.850735835173,2614330.0
2017-03-15,26.75,27.285,26.34,27.14,2980333.0,0.0,1.0,26.503955114053998,27.034034216336003,26.097726269316002,26.890367917586,2980333.0
2017-03-14,25.93,26.38,25.23,26.27,3149994.0,0.0,1.0,25.691497424576998,26.137358351729002,24.997935982339996,26.028370125092,3149994.0
2017-03-13,26.51,26.91,26.2,26.4,3451532.0,0.0,1.0,26.266162619573002,26.662483443709,25.959013980868,26.157174392936,3451532.0
2017-03-10,26.98,27.02,26.11,26.57,2828681.0,0.0,1.0,26.731839587932,26.771471670346,25.869841795438,26.325610743193998,2828681.0
2017-03-09,25.75,26.72,25.32,26.65,4815064.0,0.0,1.0,25.513153053716003,26.474231052244,25.08710816777,26.404874908021,4815064.0
2017-03-08,27.65,27.69,25.78,25.87,3540522.0,0.0,1.0,27.395676968359,27.435309050773,25.542877115526,25.632049300956997,3540522.0
2017-03-07,28.42,28.51,27.62,27.74,2044602.0,0.0,1.0,28.158594554820002,28.24776674025,27.365952906549,27.484849153789998,2044602.0
2017-03-06,28.0,28.25,27.65,28.23,1710167.0,0.0,1.0,27.742457689478,27.990158204562,27.395676968359,27.970342163355,1710167.0
2017-03-03,28.27,28.505,27.98,28.04,2069830.0,0.0,1.0,28.009974245769,28.242812729948,27.722641648270997,27.782089771891,2069830.0
2017-03-02,28.83,29.22,28.16,28.16,2922853.0,0.0,1.0,28.564823399558,28.951236203091,27.900986019132,27.900986019132,2922853.0
2017-03-01,28.73,29.4,28.455,29.31,3232133.0,0.0,1.0,28.465743193525,29.129580573951,28.193272626932,29.040408388520998,3232133.0
2017-02-28,28.43,28.59,28.24,28.29,4061277.0,0.0,1.0,28.168502575423002,28.327030905077,27.980250183958997,28.029790286976,4061277.0
2017-02-27,28.25,28.87,28.02,28.77,2748072.0,0.0,1.0,27.990158204562,28.604455481972,27.762273730683997,28.505375275938,2748072.0
2017-02-24,27.98,28.535,27.92,28.15,3260364.0,0.0,1.0,27.722641648270997,28.272536791759,27.66319352465,27.891077998527997,3260364.0
2017-02-23,28.38,28.53,27.8,28.4,3537838.0,0.0,1.0,28.118962472406,28.267582781457,27.544297277409996,28.138778513613,3537838.0
2017-02-22,28.23,28.32,27.59,27.75,2350743.0,0.0,1.0,27.970342163355,28.059514348786003,27.336228844738997,27.494757174393,2350743.0
2017-02-21,28.51,28.8416,28.45,28.57,2151054.0,0.0,1.0,28.24776674025,28.576316703457998,28.188318616630003,28.30721486387,2151054.0
2017-02-17,27.79,28.235,27.6,28.09,2380984.0,0.0,1.0,27.534389256806,27.975296173656997,27.346136865342,27.831629874908,2380984.0
2017-02-16,28.26,28.49,27.66,27.99,2548945.0,0.0,1.0,28.000066225166,28.227950699043003,27.405584988962,27.732549668874,2548945.0
2017-02-15,28.25,28.52,28.01,28.19,1674802.0,0.0,1.0,27.990158204562,28.257674760854,27.752365710081,27.930710080942003,1674802.0
2017-02-14,28.47,28.57,28.01,28.44,2245954.0,0.0,1.0,28.208134657837,28.30721486387,27.752365710081,28.178410596026,2245954.0
2017-02-13,28.35,28.57,27.87,28.42,2311930.0,0.0,1.0,28.089238410596,28.30721486387,27.613653421634,28.158594554820002,2311930.0
2017-02-10,28.69,28.93,28.3145,28.48,2607951.0,0.0,1.0,28.426111111111002,28.663903605591997,28.054064937454,28.218042678440003,2607951.0
2017-02-09,28.29,28.6199,28.06,28.24,2475868.0,0.25,1.0,28.029790286976,28.356655886681,27.801905813098003,27.980250183958997,2475868.0
2017-02-08,27.62,28.47,27.1501,28.27,2864215.0,0.0,1.0,27.125816429657,27.960608028687002,26.664323991558,27.764186475975,2864215.0
2017-02-07,28.39,28.73,27.57,27.95,3687488.0,0.0,1.0,27.882039407602,28.215956047213997,27.076711041479,27.449911991634,3687488.0
2017-02-06,29.66,29.84,28.92,29.09,2043594.0,0.0,1.0,29.129316267329997,29.306095664771,28.402556522292,28.569514842098,2043594.0
2017-02-03,29.39,29.92,29.05,29.7,2307093.0,0.0,1.0,28.864147171167,29.384664285855997,28.530230531555,29.168600577872,2307093.0
2017-02-02,28.92,29.54,28.38,29.28,3185919.0,0.0,1.0,28.402556522292,29.011463335702,27.872218329966998,28.756115317175002,3185919.0
2017-02-01,29.44,29.56,28.44,28.84,5341215.0,0.0,1.0,28.913252559345,29.031105490973,27.931144795781,28.323987901206003,5341215.0
2017-01-31,28.55,28.93,28.08,28.91,5888071.0,0.0,1.0,28.039176649773,28.412377599927,27.577586000897004,28.392735444656,5888071.0
2017-01-30,29.81,29.84,27.94,28.41,5876996.0,0.0,1.0,29.276632431863998,29.306095664771,27.440090913998,27.901681562873996,5876996.0
2017-01-27,30.9,30.9645,29.615,29.98,4769817.0,0.0,1.0,30.34712989415,30.4104758449,29.085121417969,29.44359075167,4769817.0
2017-01-26,30.59,32.25,30.5,31.1,6815584.0,0.0,1.0,30.042676487445,31.672975374962,29.954286788723998,30.543551446863,6815584.0
2017-01-25,31.8,32.39,31.57,32.18,3369999.0,0.0,1.0,31.231026881357998,31.810470461861,31.005142095738,31.604227831513,3369999.0
2017-01-24,31.57,32.2,31.53,31.96,2723447.0,0.0,1.0,31.005142095738,31.623869986784,30.965857785196,31.388164123528,2723447.0
2017-01-23,31.43,31.71,31.12,31.3,1990328.0,0.0,1.0,30.867647008839,31.142637182637,30.563193602134,30.739972999576,1990328.0
2017-01-20,31.89,32.339,31.57,31.82,3524351.0,0.0,1.0,31.319416580079004,31.760382965919,31.005142095738,31.250669036629,3524351.0
2017-01-19,31.14,32.01,31.14,31.6,3272261.0,0.0,1.0,30.582835757405,31.437269511707,30.582835757405,31.034605328645,3272261.0
2017-01-18,30.75,31.34,30.5,31.24,2249596.0,0.0,1.0,30.199813729615002,30.779257310118,29.954286788723998,30.681046533762004,2249596.0
2017-01-17,31.5,31.93,31.0,31.15,1674578.0,0.0,1.0,30.936394552289,31.358700890620998,30.445340670506,30.592656835040998,1674578.0
2017-01-13,30.73,31.25,30.37,31.13,1541872.0,0.0,1.0,30.180171574344,30.690867611397,29.826612779459996,30.57301467977,1541872.0
2017-01-12,31.47,31.5,30.49,30.92,1535013.0,0.0,1.0,30.906931319382,30.936394552289,29.944465711088,30.366772049421,1535013.0
2017-01-11,31.04,31.44,30.45,31.06,1909632.0,0.0,1.0,30.484624981049,30.877468086475,29.905181400546,30.50426713632,1909632.0
2017-01-10,30.75,31.075,30.475,30.8,2254615.0,0.0,1.0,30.199813729615002,30.518998752774,29.929734094635002,30.248919117793,2254615.0
