Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,162.88,164.58,159.44,160.35,1215011.0,0.0,1.0,162.88,164.58,159.44,160.35,1215011.0
2018-03-26,158.83,162.37,158.83,162.07,1013489.0,0.0,1.0,158.83,162.37,158.83,162.07,1013489.0
2018-03-23,154.63,159.71,154.63,157.19,842897.0,0.0,1.0,154.63,159.71,154.63,157.19,842897.0
2018-03-22,158.42,160.89,154.26,154.57,748372.0,0.0,1.0,158.42,160.89,154.26,154.57,748372.0
2018-03-21,159.14,161.035,158.725,159.81,605035.0,0.0,1.0,159.14,161.035,158.725,159.81,605035.0
2018-03-20,156.95,158.9,156.38,158.82,770527.0,0.0,1.0,156.95,158.9,156.38,158.82,770527.0
2018-03-19,156.05,156.66,154.7571,156.43,892626.0,0.0,1.0,156.05,156.66,154.7571,156.43,892626.0
2018-03-16,158.13,158.41,155.24,156.51,2272567.0,0.0,1.0,158.13,158.41,155.24,156.51,2272567.0
2018-03-15,157.75,158.4599,156.79,158.18,592324.0,0.0,1.0,157.75,158.4599,156.79,158.18,592324.0
2018-03-14,159.06,159.68,156.62,157.58,636901.0,0.0,1.0,159.06,159.68,156.62,157.58,636901.0
2018-03-13,158.52,159.5,157.6,158.1,632824.0,0.0,1.0,158.52,159.5,157.6,158.1,632824.0
2018-03-12,158.14,159.58,157.55,158.02,836222.0,0.0,1.0,158.14,159.58,157.55,158.02,836222.0
2018-03-09,156.5,157.78,155.565,157.72,434218.0,0.0,1.0,156.5,157.78,155.565,157.72,434218.0
2018-03-08,156.21,156.29,153.74,155.74,423355.0,0.0,1.0,156.21,156.29,153.74,155.74,423355.0
2018-03-07,152.97,156.26,152.51,155.76,765420.0,0.0,1.0,152.97,156.26,152.51,155.76,765420.0
2018-03-06,154.64,154.96,153.78,154.67,527464.0,0.0,1.0,154.64,154.96,153.78,154.67,527464.0
2018-03-05,153.0,154.34,151.2,154.26,748718.0,0.0,1.0,153.0,154.34,151.2,154.26,748718.0
2018-03-02,151.59,154.36,150.05,153.86,629391.0,0.0,1.0,151.59,154.36,150.05,153.86,629391.0
2018-03-01,156.4,156.4,150.74,152.87,1140623.0,0.0,1.0,156.4,156.4,150.74,152.87,1140623.0
2018-02-28,159.88,159.91,156.11,156.15,791281.0,0.0,1.0,159.88,159.91,156.11,156.15,791281.0
2018-02-27,159.27,161.0,159.0,159.02,543092.0,0.0,1.0,159.27,161.0,159.0,159.02,543092.0
2018-02-26,159.46,160.83,158.62,159.54,494397.0,0.0,1.0,159.46,160.83,158.62,159.54,494397.0
2018-02-23,158.36,158.81,157.17,158.8,417929.0,0.0,1.0,158.36,158.81,157.17,158.8,417929.0
2018-02-22,158.39,159.9199,157.64,157.99,521102.0,0.0,1.0,158.39,159.9199,157.64,157.99,521102.0
2018-02-21,157.21,161.04,156.61,158.17,899275.0,0.0,1.0,157.21,161.04,156.61,158.17,899275.0
2018-02-20,156.31,158.5,155.75,157.01,581364.0,0.0,1.0,156.31,158.5,155.75,157.01,581364.0
2018-02-16,155.79,157.23,154.51,156.66,624279.0,0.0,1.0,155.79,157.23,154.51,156.66,624279.0
2018-02-15,155.98,156.93,153.9,156.23,629027.0,0.0,1.0,155.98,156.93,153.9,156.23,629027.0
2018-02-14,152.26,155.28,151.73,154.97,649669.0,0.0,1.0,152.26,155.28,151.73,154.97,649669.0
2018-02-13,151.88,153.28,151.07,153.02,680514.0,0.0,1.0,151.88,153.28,151.07,153.02,680514.0
2018-02-12,153.78,154.5,150.61,152.79,811898.0,0.0,1.0,153.78,154.5,150.61,152.79,811898.0
2018-02-09,151.01,154.72,148.82,153.02,1288258.0,0.0,1.0,151.01,154.72,148.82,153.02,1288258.0
2018-02-08,154.44,155.3,149.8,149.84,1356275.0,0.0,1.0,154.44,155.3,149.8,149.84,1356275.0
2018-02-07,148.44,153.88,147.37,152.79,1153576.0,0.0,1.0,148.44,153.88,147.37,152.79,1153576.0
2018-02-06,144.68,149.3,143.03,148.64,1202727.0,0.0,1.0,144.68,149.3,143.03,148.64,1202727.0
2018-02-05,154.27,156.15,146.24,148.2,1221123.0,0.0,1.0,154.27,156.15,146.24,148.2,1221123.0
2018-02-02,157.18,158.74,155.77,155.9,782106.0,0.0,1.0,157.18,158.74,155.77,155.9,782106.0
2018-02-01,158.87,160.67,157.07,157.68,997145.0,0.0,1.0,158.87,160.67,157.07,157.68,997145.0
2018-01-31,157.36,160.23,157.02,159.38,1189872.0,0.0,1.0,157.36,160.23,157.02,159.38,1189872.0
2018-01-30,148.95,157.7,148.33,156.31,1628585.0,0.0,1.0,148.95,157.7,148.33,156.31,1628585.0
2018-01-29,146.37,147.86,146.32,147.19,801476.0,0.0,1.0,146.37,147.86,146.32,147.19,801476.0
