Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,60.35,60.35,58.75,59.05,239281.0,0.0,1.0,60.35,60.35,58.75,59.05,239281.0
2018-03-26,59.3,61.0,58.9,60.0,194538.0,0.0,1.0,59.3,61.0,58.9,60.0,194538.0
2018-03-23,61.6,61.714,58.65,58.95,468144.0,0.0,1.0,61.6,61.714,58.65,58.95,468144.0
2018-03-22,62.75,63.05,60.95,61.65,338881.0,0.0,1.0,62.75,63.05,60.95,61.65,338881.0
2018-03-21,64.05,64.75,63.5,63.5,181676.0,0.0,1.0,64.05,64.75,63.5,63.5,181676.0
2018-03-20,63.9,64.45,63.5,64.0,133269.0,0.0,1.0,63.9,64.45,63.5,64.0,133269.0
2018-03-19,64.05,64.35,62.7,63.65,195354.0,0.0,1.0,64.05,64.35,62.7,63.65,195354.0
2018-03-16,62.75,64.45,62.5,64.2,347316.0,0.0,1.0,62.75,64.45,62.5,64.2,347316.0
2018-03-15,62.7,63.25,62.163000000000004,62.8,198885.0,0.0,1.0,62.7,63.25,62.163000000000004,62.8,198885.0
2018-03-14,62.4,62.95,61.8,62.85,179002.0,0.0,1.0,62.4,62.95,61.8,62.85,179002.0
2018-03-13,61.8,62.6,61.7,62.35,186695.0,0.0,1.0,61.8,62.6,61.7,62.35,186695.0
2018-03-12,60.85,62.55,60.7,61.3,201427.0,0.0,1.0,60.85,62.55,60.7,61.3,201427.0
2018-03-09,60.9,62.05,60.55,61.55,187726.0,0.0,1.0,60.9,62.05,60.55,61.55,187726.0
2018-03-08,61.0,61.25,59.7,60.55,232951.0,0.0,1.0,61.0,61.25,59.7,60.55,232951.0
2018-03-07,60.4,61.05,60.0,60.6,157884.0,0.0,1.0,60.4,61.05,60.0,60.6,157884.0
2018-03-06,60.45,61.4356,60.0,61.0,172635.0,0.0,1.0,60.45,61.4356,60.0,61.0,172635.0
2018-03-05,60.05,60.6,59.575,60.3,142978.0,0.0,1.0,60.05,60.6,59.575,60.3,142978.0
2018-03-02,59.45,60.65,59.0,60.25,203348.0,0.0,1.0,59.45,60.65,59.0,60.25,203348.0
2018-03-01,60.8,61.6,59.0,60.05,377907.0,0.0,1.0,60.8,61.6,59.0,60.05,377907.0
2018-02-28,61.5,62.35,60.75,60.85,320263.0,0.0,1.0,61.5,62.35,60.75,60.85,320263.0
2018-02-27,63.2,63.75,61.425,61.75,290513.0,0.0,1.0,63.2,63.75,61.425,61.75,290513.0
2018-02-26,64.5,64.5,62.7,62.95,300506.0,0.0,1.0,64.5,64.5,62.7,62.95,300506.0
2018-02-23,64.4,66.9,63.5,63.95,412487.0,0.0,1.0,64.4,66.9,63.5,63.95,412487.0
