Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,64.91,66.09,63.97,64.48,6028269.0,0.0,1.0,64.91,66.09,63.97,64.48,6028269.0
2018-03-26,64.85,65.22,63.56,64.46,7339584.0,0.0,1.0,64.85,65.22,63.56,64.46,7339584.0
2018-03-23,65.54,66.7,64.0,64.14,8442034.0,0.0,1.0,65.54,66.7,64.0,64.14,8442034.0
2018-03-22,66.75,66.97,65.1881,65.52,7343581.0,0.0,1.0,66.75,66.97,65.1881,65.52,7343581.0
2018-03-21,65.92,68.267,65.78,67.74,7210430.0,0.0,1.0,65.92,68.267,65.78,67.74,7210430.0
2018-03-20,65.13,66.1,65.13,65.56,5317461.0,0.0,1.0,65.13,66.1,65.13,65.56,5317461.0
2018-03-19,66.09,66.12,64.135,64.7,6029188.0,0.0,1.0,66.09,66.12,64.135,64.7,6029188.0
2018-03-16,65.37,66.64,65.32,66.1,9121431.0,0.0,1.0,65.37,66.64,65.32,66.1,9121431.0
2018-03-15,66.6,66.9,65.01,65.35,6226057.0,0.0,1.0,66.6,66.9,65.01,65.35,6226057.0
2018-03-14,67.28,67.65,66.26,66.43,5828242.0,0.0,1.0,67.28,67.65,66.26,66.43,5828242.0
2018-03-13,68.34,68.46,66.76,67.14,6714412.0,0.0,1.0,68.34,68.46,66.76,67.14,6714412.0
2018-03-12,68.73,69.21,67.845,68.09,5219972.0,0.0,1.0,68.73,69.21,67.845,68.09,5219972.0
2018-03-09,67.29,69.07,67.245,68.78,8027738.0,0.0,1.0,67.29,69.07,67.245,68.78,8027738.0
2018-03-08,66.34,66.78,65.78,66.74,5300920.0,0.0,1.0,66.34,66.78,65.78,66.74,5300920.0
2018-03-07,65.87,66.5,65.22,66.23,5851897.0,0.0,1.0,65.87,66.5,65.22,66.23,5851897.0
2018-03-06,66.84,67.12,66.0919,66.63,5129291.0,0.0,1.0,66.84,67.12,66.0919,66.63,5129291.0
2018-03-05,64.93,66.59,64.91,66.16,5274293.0,0.0,1.0,64.93,66.59,64.91,66.16,5274293.0
