Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,73.0,73.57,71.3,71.8,3082451.0,0.0,1.0,73.0,73.57,71.3,71.8,3082451.0
2018-03-26,71.18,73.15,70.94,73.0,2880854.0,0.0,1.0,71.18,73.15,70.94,73.0,2880854.0
2018-03-23,71.93,72.13,70.29,70.32,2414647.0,0.0,1.0,71.93,72.13,70.29,70.32,2414647.0
2018-03-22,73.27,73.75,71.67,71.73,2612833.0,0.0,1.0,73.27,73.75,71.67,71.73,2612833.0
2018-03-21,74.63,74.71,73.53,74.02,2104088.0,0.0,1.0,74.63,74.71,73.53,74.02,2104088.0
2018-03-20,74.18,74.73,73.98,74.41,2934680.0,0.0,1.0,74.18,74.73,73.98,74.41,2934680.0
2018-03-19,74.36,74.85,73.69,74.06,3346108.0,0.0,1.0,74.36,74.85,73.69,74.06,3346108.0
2018-03-16,74.32,74.9,73.8693,74.53,6090718.0,0.0,1.0,74.32,74.9,73.8693,74.53,6090718.0
2018-03-15,74.46,74.57,73.85,74.26,3026619.0,0.0,1.0,74.46,74.57,73.85,74.26,3026619.0
2018-03-14,75.12,75.27,74.01,74.31,2805638.0,0.0,1.0,75.12,75.27,74.01,74.31,2805638.0
2018-03-13,75.96,76.275,74.81,75.06,2982143.0,0.0,1.0,75.96,76.275,74.81,75.06,2982143.0
2018-03-12,76.02,76.3,75.43,75.67,2228409.0,0.0,1.0,76.02,76.3,75.43,75.67,2228409.0
2018-03-09,74.59,75.81,74.5,75.73,1767219.0,0.0,1.0,74.59,75.81,74.5,75.73,1767219.0
2018-03-08,73.6,74.48,73.08,74.3,2751963.0,0.0,1.0,73.6,74.48,73.08,74.3,2751963.0
2018-03-07,72.62,73.46,72.196,73.24,1615013.0,0.0,1.0,72.62,73.46,72.196,73.24,1615013.0
2018-03-06,72.87,73.35,72.1201,73.34,2789419.0,0.0,1.0,72.87,73.35,72.1201,73.34,2789419.0
2018-03-05,71.83,72.99,71.32,72.68,4089711.0,0.0,1.0,71.83,72.99,71.32,72.68,4089711.0
2018-03-02,71.72,72.64,71.34,72.54,2632204.0,0.0,1.0,71.72,72.64,71.34,72.54,2632204.0
2018-03-01,73.04,73.51,71.6252,72.06,2035637.0,0.0,1.0,73.04,73.51,71.6252,72.06,2035637.0
2018-02-28,73.69,74.34,73.05,73.08,2078544.0,0.0,1.0,73.69,74.34,73.05,73.08,2078544.0
2018-02-27,73.5,74.48,73.38,73.43,2518851.0,0.0,1.0,73.5,74.48,73.38,73.43,2518851.0
2018-02-26,72.71,73.57,72.32,73.54,1717054.0,0.0,1.0,72.71,73.57,72.32,73.54,1717054.0
2018-02-23,71.89,72.64,71.84,72.48,1878933.0,0.0,1.0,71.89,72.64,71.84,72.48,1878933.0
2018-02-22,73.08,73.5,71.19,71.55,2585642.0,0.0,1.0,73.08,73.5,71.19,71.55,2585642.0
2018-02-21,72.82,74.15,72.61,72.86,2636329.0,0.0,1.0,72.82,74.15,72.61,72.86,2636329.0
2018-02-20,72.25,74.5,72.16,72.86,4172342.0,0.0,1.0,72.25,74.5,72.16,72.86,4172342.0
2018-02-16,72.15,72.36,71.13,71.73,3374066.0,0.0,1.0,72.15,72.36,71.13,71.73,3374066.0
2018-02-15,71.63,72.56,71.11,72.55,3223868.0,0.0,1.0,71.63,72.56,71.11,72.55,3223868.0
2018-02-13,68.25,69.19,68.04,69.12,2523903.0,0.0,1.0,68.25,69.19,68.04,69.12,2523903.0
2018-02-12,68.82,69.59,68.17,68.6,4146820.0,0.0,1.0,68.82,69.59,68.17,68.6,4146820.0
2018-02-09,67.61,69.0,66.92,68.45,5324528.0,0.0,1.0,67.61,69.0,66.92,68.45,5324528.0
