Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,88.52,89.13,87.62,88.08,253228.0,0.0,1.0,88.52,89.13,87.62,88.08,253228.0
2018-03-26,87.66,88.55,87.07,88.21,278919.0,0.0,1.0,87.66,88.55,87.07,88.21,278919.0
2018-03-23,87.94,88.565,86.69,86.77,213189.0,0.0,1.0,87.94,88.565,86.69,86.77,213189.0
2018-03-22,89.22,89.91,87.9301,87.96,251302.0,0.0,1.0,89.22,89.91,87.9301,87.96,251302.0
2018-03-21,89.71,90.335,89.39,89.59,266346.0,0.0,1.0,89.71,90.335,89.39,89.59,266346.0
2018-03-20,90.02,90.49,89.67,89.78,247714.0,0.0,1.0,90.02,90.49,89.67,89.78,247714.0
2018-03-19,90.06,90.36,89.45,89.96,155016.0,0.0,1.0,90.06,90.36,89.45,89.96,155016.0
2018-03-16,90.35,91.13,89.755,90.15,412663.0,0.0,1.0,90.35,91.13,89.755,90.15,412663.0
2018-03-15,90.14,90.565,89.8,90.28,239635.0,0.0,1.0,90.14,90.565,89.8,90.28,239635.0
2018-03-14,90.96,91.265,89.43,90.07,266856.0,0.0,1.0,90.96,91.265,89.43,90.07,266856.0
2018-03-13,91.27,92.1,90.27,90.5,257518.0,0.0,1.0,91.27,92.1,90.27,90.5,257518.0
2018-03-12,90.7,90.985,90.4,90.78,181057.0,0.0,1.0,90.7,90.985,90.4,90.78,181057.0
2018-03-09,89.94,90.95,89.56,90.87,283053.0,0.0,1.0,89.94,90.95,89.56,90.87,283053.0
2018-03-08,90.4,90.83,89.45,89.95,249272.0,0.0,1.0,90.4,90.83,89.45,89.95,249272.0
2018-03-07,89.98,91.14,89.71,90.14,317500.0,0.0,1.0,89.98,91.14,89.71,90.14,317500.0
2018-03-06,90.37,91.05,89.28,90.77,295821.0,0.0,1.0,90.37,91.05,89.28,90.77,295821.0
2018-03-05,89.31,90.7,89.31,90.4,231224.0,0.0,1.0,89.31,90.7,89.31,90.4,231224.0
2018-03-02,88.74,89.89,88.3,89.68,270841.0,0.0,1.0,88.74,89.89,88.3,89.68,270841.0
2018-03-01,89.24,90.49,88.31,89.0,242020.0,0.0,1.0,89.24,90.49,88.31,89.0,242020.0
2018-02-28,89.73,90.41,89.2101,89.42,304710.0,0.0,1.0,89.73,90.41,89.2101,89.42,304710.0
2018-02-27,90.73,90.73,89.44,89.5,286483.0,0.0,1.0,90.73,90.73,89.44,89.5,286483.0
2018-02-26,91.28,91.48,90.391,90.78,250258.0,0.0,1.0,91.28,91.48,90.391,90.78,250258.0
2018-02-23,90.74,91.07,89.93,90.99,249360.0,0.0,1.0,90.74,91.07,89.93,90.99,249360.0
2018-02-22,90.44,91.46,90.31,90.61,254839.0,0.0,1.0,90.44,91.46,90.31,90.61,254839.0
2018-02-21,91.34,92.28,90.11,90.16,283183.0,0.0,1.0,91.34,92.28,90.11,90.16,283183.0
2018-02-20,91.24,92.19,90.715,91.06,371976.0,0.0,1.0,91.24,92.19,90.715,91.06,371976.0
2018-02-16,91.04,92.14,90.49,91.83,335546.0,0.0,1.0,91.04,92.14,90.49,91.83,335546.0
2018-02-15,90.18,91.97,90.18,91.17,333252.0,0.0,1.0,90.18,91.97,90.18,91.17,333252.0
2018-02-14,89.58,90.87,88.74,90.66,511077.0,0.0,1.0,89.58,90.87,88.74,90.66,511077.0
2018-02-13,86.75,92.32,86.3,89.72,1087634.0,0.0,1.0,86.75,92.32,86.3,89.72,1087634.0
2018-02-12,82.56,83.445,81.59,82.6,303002.0,0.0,1.0,82.56,83.445,81.59,82.6,303002.0
2018-02-09,82.09,82.59,79.97,82.16,361208.0,0.0,1.0,82.09,82.59,79.97,82.16,361208.0
2018-02-08,83.86,84.82,81.36,81.38,278266.0,0.0,1.0,83.86,84.82,81.36,81.38,278266.0
2018-02-07,83.81,84.91,83.73,83.85,304139.0,0.0,1.0,83.81,84.91,83.73,83.85,304139.0
2018-02-06,82.38,83.89,81.41,83.79,352302.0,0.0,1.0,82.38,83.89,81.41,83.79,352302.0
2018-02-05,85.1,86.0,83.38,83.38,429971.0,0.0,1.0,85.1,86.0,83.38,83.38,429971.0
2018-02-02,86.53,86.91,85.54,85.8,217035.0,0.0,1.0,86.53,86.91,85.54,85.8,217035.0
2018-02-01,87.24,87.63,85.81,86.84,218672.0,0.0,1.0,87.24,87.63,85.81,86.84,218672.0
2018-01-31,88.09,88.1,86.76,87.42,501374.0,0.0,1.0,88.09,88.1,86.76,87.42,501374.0
2018-01-30,87.45,87.96,87.05,87.69,343577.0,0.0,1.0,87.45,87.96,87.05,87.69,343577.0
2018-01-29,88.73,89.23,87.54,87.73,254253.0,0.0,1.0,88.73,89.23,87.54,87.73,254253.0
2018-01-26,89.48,89.5,88.46,89.14,206334.0,0.0,1.0,89.48,89.5,88.46,89.14,206334.0
2018-01-25,88.4,89.43,88.12899999999999,89.43,337704.0,0.0,1.0,88.4,89.43,88.12899999999999,89.43,337704.0
2018-01-24,87.81,88.6,86.3501,88.2,255014.0,0.0,1.0,87.81,88.6,86.3501,88.2,255014.0
2018-01-23,87.44,87.75,86.91,87.6,158839.0,0.0,1.0,87.44,87.75,86.91,87.6,158839.0
2018-01-22,88.61,88.61,86.6,87.46,369867.0,0.0,1.0,88.61,88.61,86.6,87.46,369867.0
2018-01-19,87.3,88.7,87.3,88.61,177463.0,0.0,1.0,87.3,88.7,87.3,88.61,177463.0
2018-01-18,86.85,87.32,86.35,87.24,220848.0,0.0,1.0,86.85,87.32,86.35,87.24,220848.0
