Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,94.07,94.815,93.56,94.2,6141927.0,0.0,1.0,94.07,94.815,93.56,94.2,6141927.0
2018-03-26,93.6,94.17,93.26,93.99,6783830.0,0.0,1.0,93.6,94.17,93.26,93.99,6783830.0
2018-03-23,94.38,94.53,92.395,92.57,6460067.0,0.0,1.0,94.38,94.53,92.395,92.57,6460067.0
2018-03-22,95.04,95.33,93.84,94.26,6538237.0,0.0,1.0,95.04,95.33,93.84,94.26,6538237.0
2018-03-21,95.16,95.77,95.01,95.29,4152525.0,0.0,1.0,95.16,95.77,95.01,95.29,4152525.0
2018-03-20,95.36,95.99,94.55,95.18,4208025.0,0.0,1.0,95.36,95.99,94.55,95.18,4208025.0
2018-03-19,96.25,96.37,94.62,95.05,4433181.0,0.0,1.0,96.25,96.37,94.62,95.05,4433181.0
2018-03-16,96.99,97.08,95.95,96.28,6262119.0,0.0,1.0,96.99,97.08,95.95,96.28,6262119.0
2018-03-15,96.38,97.57,96.24,96.88,6973062.0,0.0,1.0,96.38,97.57,96.24,96.88,6973062.0
2018-03-14,96.53,96.87,96.02,96.4,3728024.0,0.0,1.0,96.53,96.87,96.02,96.4,3728024.0
2018-03-13,97.0,97.09,96.12,96.16,3757617.0,0.0,1.0,97.0,97.09,96.12,96.16,3757617.0
2018-03-12,95.69,97.02,95.59,96.75,6249734.0,0.0,1.0,95.69,97.02,95.59,96.75,6249734.0
2018-03-09,94.96,95.29,94.41,95.26,4099552.0,0.0,1.0,94.96,95.29,94.41,95.26,4099552.0
2018-03-08,95.25,95.26,94.58,94.79,3394653.0,0.0,1.0,95.25,95.26,94.58,94.79,3394653.0
2018-03-07,94.5,95.15,94.45,95.0,4320827.0,0.0,1.0,94.5,95.15,94.45,95.0,4320827.0
2018-03-06,94.78,95.21,94.59,95.12,3554016.0,0.0,1.0,94.78,95.21,94.59,95.12,3554016.0
2018-03-05,93.35,94.93,93.18,94.59,5725186.0,0.0,1.0,93.35,94.93,93.18,94.59,5725186.0
2018-03-02,92.92,93.78,92.7,93.58,5291364.0,0.0,1.0,92.92,93.78,92.7,93.58,5291364.0
2018-03-01,93.17,94.01,92.455,93.16,4106728.0,0.0,1.0,93.17,94.01,92.455,93.16,4106728.0
2018-02-28,94.4,94.56,92.96,92.96,5265390.0,0.0,1.0,94.4,94.56,92.96,92.96,5265390.0
2018-02-27,95.19,95.5,94.26,94.32,3616769.0,0.0,1.0,95.19,95.5,94.26,94.32,3616769.0
2018-02-26,95.2,95.5599,94.93,95.28,4651732.0,0.0,1.0,95.2,95.5599,94.93,95.28,4651732.0
2018-02-23,94.58,95.0,94.12,94.7,3122448.0,0.0,1.0,94.58,95.0,94.12,94.7,3122448.0
2018-02-22,95.0,95.29,93.95,94.37,3862225.0,0.0,1.0,95.0,95.29,93.95,94.37,3862225.0
2018-02-21,95.0,95.79,94.77,94.8,3725483.0,0.0,1.0,95.0,95.79,94.77,94.8,3725483.0
2018-02-20,95.31,96.15,94.76,95.07,5068249.0,0.0,1.0,95.31,96.15,94.76,95.07,5068249.0
2018-02-16,94.82,95.93,94.73,95.37,6292630.0,0.0,1.0,94.82,95.93,94.73,95.37,6292630.0
2018-02-15,94.75,95.0,94.16,94.99,3146853.0,0.0,1.0,94.75,95.0,94.16,94.99,3146853.0
2018-02-14,94.09,95.08,93.79,94.52,3090100.0,0.0,1.0,94.09,95.08,93.79,94.52,3090100.0
2018-02-13,93.31,94.69,93.05,94.31,3595452.0,0.0,1.0,93.31,94.69,93.05,94.31,3595452.0
2018-02-12,92.76,93.92,92.02,93.61,5594895.0,0.0,1.0,92.76,93.92,92.02,93.61,5594895.0
2018-02-09,93.54,93.77,91.17,92.4,8005322.0,0.0,1.0,93.54,93.77,91.17,92.4,8005322.0
2018-02-08,95.17,95.34,92.93,93.02,4936979.0,0.0,1.0,95.17,95.34,92.93,93.02,4936979.0
2018-02-07,95.17,96.47,94.96,95.11,4713142.0,0.0,1.0,95.17,96.47,94.96,95.11,4713142.0
2018-02-06,94.48,95.99,93.62,95.16,11382617.0,0.0,1.0,94.48,95.99,93.62,95.16,11382617.0
2018-02-05,96.83,97.5,94.71,95.39,7962259.0,0.0,1.0,96.83,97.5,94.71,95.39,7962259.0
2018-02-02,97.0,97.55,96.29,96.75,6024721.0,0.0,1.0,97.0,97.55,96.29,96.75,6024721.0
2018-02-01,96.45,97.81,95.98,97.0,8910570.0,0.0,1.0,96.45,97.81,95.98,97.0,8910570.0
2018-01-31,94.96,95.4,94.55,95.35,5675291.0,0.0,1.0,94.96,95.4,94.55,95.35,5675291.0
2018-01-30,94.39,94.84,93.99,94.45,5628955.0,0.0,1.0,94.39,94.84,93.99,94.45,5628955.0
2018-01-29,94.41,94.85,94.0,94.5,3576236.0,0.0,1.0,94.41,94.85,94.0,94.5,3576236.0
2018-01-26,94.3,94.9,94.04,94.83,3560972.0,0.0,1.0,94.3,94.9,94.04,94.83,3560972.0
2018-01-25,94.06,94.3,93.66,94.08,3702203.0,0.0,1.0,94.06,94.3,93.66,94.08,3702203.0
2018-01-24,93.89,94.07,93.36,93.83,3348083.0,0.0,1.0,93.89,94.07,93.36,93.83,3348083.0
2018-01-23,94.02,94.12,93.28,93.66,4105568.0,0.0,1.0,94.02,94.12,93.28,93.66,4105568.0
2018-01-22,93.36,94.03,93.11,94.0,4930945.0,0.0,1.0,93.36,94.03,93.11,94.0,4930945.0
2018-01-19,93.07,93.8,92.54,93.36,5316748.0,0.0,1.0,93.07,93.8,92.54,93.36,5316748.0
2018-01-18,92.33,93.02,92.02,92.97,3790837.0,0.0,1.0,92.33,93.02,92.02,92.97,3790837.0
2018-01-17,92.25,92.26,91.59,92.17,2882544.0,0.0,1.0,92.25,92.26,91.59,92.17,2882544.0
2018-01-16,92.4,92.42,91.61,91.91,3960070.0,0.0,1.0,92.4,92.42,91.61,91.91,3960070.0
2018-01-12,91.81,92.1552,91.35,92.05,3062858.0,0.0,1.0,91.81,92.1552,91.35,92.05,3062858.0
2018-01-11,91.9,92.2,91.55,91.89,2735072.0,0.0,1.0,91.9,92.2,91.55,91.89,2735072.0
2018-01-10,92.08,92.28,91.32,92.09,3980594.0,0.0,1.0,92.08,92.28,91.32,92.09,3980594.0
2018-01-09,92.45,92.97,92.06,92.28,4616055.0,0.0,1.0,92.45,92.97,92.06,92.28,4616055.0
2018-01-08,93.27,93.4997,92.48,93.06,11103521.0,0.0,1.0,93.27,93.4997,92.48,93.06,11103521.0
2018-01-05,92.75,94.0,92.24,93.6,5414831.0,0.0,1.0,92.75,94.0,92.24,93.6,5414831.0
2018-01-04,91.5,92.63,91.37,92.63,3519493.0,0.0,1.0,91.5,92.63,91.37,92.63,3519493.0
2018-01-03,92.2,92.3,91.26,91.5,3695310.0,0.0,1.0,92.2,92.3,91.26,91.5,3695310.0
2018-01-02,91.74,92.255,91.64,91.91,4865309.0,0.0,1.0,91.74,92.255,91.64,91.91,4865309.0
2017-12-29,91.53,91.74,91.34,91.47,2641634.0,0.0,1.0,91.53,91.74,91.34,91.47,2641634.0
2017-12-28,91.46,91.65,91.2,91.61,1537785.0,0.0,1.0,91.46,91.65,91.2,91.61,1537785.0
2017-12-27,91.85,91.89,90.9,91.37,3424617.0,0.0,1.0,91.85,91.89,90.9,91.37,3424617.0
2017-12-26,92.44,92.59,91.53,91.65,2018933.0,0.0,1.0,92.44,92.59,91.53,91.65,2018933.0
2017-12-22,92.75,93.17,92.26,92.38,6305438.0,0.0,1.0,92.75,93.17,92.26,92.38,6305438.0
2017-12-21,90.885,92.96,90.71,92.95,9634015.0,0.0,1.0,90.885,92.96,90.71,92.95,9634015.0
2017-12-20,89.97,90.78,89.91,90.58,5158369.0,0.0,1.0,89.97,90.78,89.91,90.58,5158369.0
2017-12-19,89.95,90.24,89.76,89.88,3710913.0,0.0,1.0,89.95,90.24,89.76,89.88,3710913.0
2017-12-18,90.26,90.99,89.78,89.79,4950813.0,0.0,1.0,90.26,90.99,89.78,89.79,4950813.0
2017-12-15,90.18,90.45,89.68,90.25,9453652.0,0.0,1.0,90.18,90.45,89.68,90.25,9453652.0
2017-12-14,90.095,90.38,89.65,89.65,5992347.0,0.0,1.0,90.095,90.38,89.65,89.65,5992347.0
2017-12-13,90.5,90.86,89.9,90.06,8244703.0,0.0,1.0,90.5,90.86,89.9,90.06,8244703.0
2017-12-12,91.2,91.28,90.19,90.65,6181829.0,0.0,1.0,91.2,91.28,90.19,90.65,6181829.0
2017-12-11,90.77,91.14,90.38,90.82,2187512.0,0.0,1.0,90.77,91.14,90.38,90.82,2187512.0
2017-12-08,90.28,90.765,89.9,90.71,2977455.0,0.0,1.0,90.28,90.765,89.9,90.71,2977455.0
2017-12-07,90.56,91.18,89.84,90.37,7195276.0,0.0,1.0,90.56,91.18,89.84,90.37,7195276.0
2017-12-06,91.12,91.17,90.2,90.38,4087110.0,0.0,1.0,91.12,91.17,90.2,90.38,4087110.0
2017-12-05,92.65,92.77,90.75,91.08,4537060.0,0.0,1.0,92.65,92.77,90.75,91.08,4537060.0
2017-12-04,91.87,93.075,91.84,92.71,5962998.0,0.0,1.0,91.87,93.075,91.84,92.71,5962998.0
2017-12-01,91.34,91.9,90.72,91.3,4291161.0,0.0,1.0,91.34,91.9,90.72,91.3,4291161.0
2017-11-30,91.26,91.77,90.85,91.51,8398484.0,0.0,1.0,91.26,91.77,90.85,91.51,8398484.0
2017-11-29,90.12,91.0,89.8,90.92,7980161.0,0.0,1.0,90.12,91.0,89.8,90.92,7980161.0
2017-11-28,89.39,89.95,89.0,89.62,4395921.0,0.0,1.0,89.39,89.95,89.0,89.62,4395921.0
2017-11-27,89.58,89.61,89.02,89.07,3354530.0,0.0,1.0,89.58,89.61,89.02,89.07,3354530.0
2017-11-24,90.02,90.2,89.5,89.5,1768431.0,0.0,1.0,90.02,90.2,89.5,89.5,1768431.0
2017-11-22,89.62,90.26,89.57,90.01,5497264.0,0.0,1.0,89.62,90.26,89.57,90.01,5497264.0
2017-11-21,88.2,89.93,88.2,89.56,13932890.0,0.0,1.0,88.2,89.93,88.2,89.56,13932890.0
2017-11-20,88.75,88.85,87.03,87.71,12465500.0,0.0,1.0,88.75,88.85,87.03,87.71,12465500.0
2017-11-17,88.2,89.105,87.81,88.72,8317526.0,0.0,1.0,88.2,89.105,87.81,88.72,8317526.0
2017-11-16,87.7,88.7,86.75,88.01,13236411.0,0.0,1.0,87.7,88.7,86.75,88.01,13236411.0
2017-11-15,85.94,87.57,85.88,87.37,13389452.0,0.0,1.0,85.94,87.57,85.88,87.37,13389452.0
2017-11-14,88.64,88.64,87.24,87.51,10342402.0,0.0,1.0,88.64,88.64,87.24,87.51,10342402.0
2017-11-13,88.6,89.5,88.42,88.49,12466171.0,0.0,1.0,88.6,89.5,88.42,88.49,12466171.0
2017-11-10,88.39,91.49,88.17,90.6,26729826.0,0.0,1.0,88.39,91.49,88.17,90.6,26729826.0
2017-11-09,87.75,89.4,86.38,87.05,31454270.0,0.0,1.0,87.75,89.4,86.38,87.05,31454270.0
2017-11-07,94.39,95.12,94.2,94.66,5281678.0,0.0,1.0,94.39,95.12,94.2,94.66,5281678.0
