Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,55.12,55.34,52.97,53.33,1315077.0,0.0,1.0,55.12,55.34,52.97,53.33,1315077.0
2018-03-26,53.86,54.6,53.45,54.58,935164.0,0.0,1.0,53.86,54.6,53.45,54.58,935164.0
2018-03-23,53.58,53.8601,52.92,52.95,1168064.0,0.0,1.0,53.58,53.8601,52.92,52.95,1168064.0
2018-03-22,53.96,54.635,53.5,53.61,896957.0,0.0,1.0,53.96,54.635,53.5,53.61,896957.0
2018-03-21,54.13,55.18,53.81,54.57,1521267.0,0.0,1.0,54.13,55.18,53.81,54.57,1521267.0
2018-03-20,53.22,54.14,52.82,53.78,710180.0,0.0,1.0,53.22,54.14,52.82,53.78,710180.0
2018-03-19,52.68,53.47,52.2187,53.35,1363681.0,0.0,1.0,52.68,53.47,52.2187,53.35,1363681.0
2018-03-16,54.09,54.73,54.0,54.0,2146430.0,0.0,1.0,54.09,54.73,54.0,54.0,2146430.0
2018-03-15,54.62,54.97,54.04,54.18,905259.0,0.0,1.0,54.62,54.97,54.04,54.18,905259.0
2018-03-14,54.23,54.6299,53.9,54.54,748656.0,0.0,1.0,54.23,54.6299,53.9,54.54,748656.0
2018-03-13,54.69,54.95,54.0,54.25,1229576.0,0.0,1.0,54.69,54.95,54.0,54.25,1229576.0
2018-03-12,54.44,54.82,54.14,54.68,1253412.0,0.0,1.0,54.44,54.82,54.14,54.68,1253412.0
2018-03-09,54.47,54.68,53.96,54.44,1743415.0,0.0,1.0,54.47,54.68,53.96,54.44,1743415.0
2018-03-08,52.85,54.125,52.63,54.09,2544977.0,0.0,1.0,52.85,54.125,52.63,54.09,2544977.0
2018-03-07,51.33,52.55,51.21,52.47,1755314.0,0.0,1.0,51.33,52.55,51.21,52.47,1755314.0
2018-03-06,50.89,51.93,50.47,51.85,1949850.0,0.0,1.0,50.89,51.93,50.47,51.85,1949850.0
2018-03-05,50.23,51.23,49.88,50.65,1568408.0,0.0,1.0,50.23,51.23,49.88,50.65,1568408.0
2018-03-02,49.39,50.56,49.251000000000005,50.46,1982489.0,0.0,1.0,49.39,50.56,49.251000000000005,50.46,1982489.0
2018-03-01,50.72,50.92,49.27,49.51,1899883.0,0.0,1.0,50.72,50.92,49.27,49.51,1899883.0
2018-02-28,49.82,51.0,49.58,50.47,1692279.0,0.0,1.0,49.82,51.0,49.58,50.47,1692279.0
2018-02-27,50.42,50.87,49.95,49.95,856066.0,0.0,1.0,50.42,50.87,49.95,49.95,856066.0
2018-02-26,49.99,50.39,49.79,50.32,1103234.0,0.0,1.0,49.99,50.39,49.79,50.32,1103234.0
2018-02-23,49.65,49.94,49.08,49.87,1240937.0,0.0,1.0,49.65,49.94,49.08,49.87,1240937.0
2018-02-22,49.25,49.825,49.02,49.2,1694033.0,0.0,1.0,49.25,49.825,49.02,49.2,1694033.0
2018-02-21,49.4,49.97,49.11,49.11,1591335.0,0.0,1.0,49.4,49.97,49.11,49.11,1591335.0
2018-02-20,48.43,49.62,48.42,49.06,1124606.0,0.0,1.0,48.43,49.62,48.42,49.06,1124606.0
2018-02-16,49.03,49.58,48.94,48.95,1294453.0,0.0,1.0,49.03,49.58,48.94,48.95,1294453.0
2018-02-15,48.5,49.56,48.2,49.28,1688125.0,0.0,1.0,48.5,49.56,48.2,49.28,1688125.0
2018-02-14,47.93,48.51,47.68,48.38,1543955.0,0.0,1.0,47.93,48.51,47.68,48.38,1543955.0
2018-02-13,46.43,48.16,46.3,48.12,2471958.0,0.0,1.0,46.43,48.16,46.3,48.12,2471958.0
2018-02-12,46.87,47.2,46.39,46.48,2661071.0,0.0,1.0,46.87,47.2,46.39,46.48,2661071.0
2018-02-09,45.23,46.87,44.54,46.53,4078160.0,0.0,1.0,45.23,46.87,44.54,46.53,4078160.0
2018-02-08,45.5,45.85,44.47,44.51,2757778.0,0.0,1.0,45.5,45.85,44.47,44.51,2757778.0
2018-02-07,46.68,46.8,45.5,45.51,2502765.0,0.0,1.0,46.68,46.8,45.5,45.51,2502765.0
2018-02-06,45.27,47.0,44.6,46.54,6649393.0,0.0,1.0,45.27,47.0,44.6,46.54,6649393.0
2018-02-05,44.27,45.7,43.67,43.97,2364366.0,0.0,1.0,44.27,45.7,43.67,43.97,2364366.0
2018-02-02,45.71,45.73,44.84,44.94,1475281.0,0.0,1.0,45.71,45.73,44.84,44.94,1475281.0
2018-02-01,45.75,46.27,45.47,45.87,1434407.0,0.0,1.0,45.75,46.27,45.47,45.87,1434407.0
2018-01-31,45.39,46.4,45.36,46.04,1426773.0,0.0,1.0,45.39,46.4,45.36,46.04,1426773.0
2018-01-30,45.65,46.0,45.63,45.74,1220132.0,0.0,1.0,45.65,46.0,45.63,45.74,1220132.0
2018-01-29,45.76,46.24,45.69,45.96,1659735.0,0.0,1.0,45.76,46.24,45.69,45.96,1659735.0
2018-01-26,45.11,46.04,45.09,45.86,1198571.0,0.0,1.0,45.11,46.04,45.09,45.86,1198571.0
2018-01-25,45.55,45.81,45.12,45.41,680860.0,0.0,1.0,45.55,45.81,45.12,45.41,680860.0
2018-01-24,45.95,46.23,45.05,45.25,1275773.0,0.0,1.0,45.95,46.23,45.05,45.25,1275773.0
2018-01-23,44.29,45.91,43.55,45.75,2694631.0,0.0,1.0,44.29,45.91,43.55,45.75,2694631.0
2018-01-22,45.8,45.91,45.21,45.85,1348142.0,0.0,1.0,45.8,45.91,45.21,45.85,1348142.0
2018-01-19,45.9,46.43,45.65,46.01,2291875.0,0.0,1.0,45.9,46.43,45.65,46.01,2291875.0
2018-01-18,44.88,45.9,44.8468,45.71,1917748.0,0.0,1.0,44.88,45.9,44.8468,45.71,1917748.0
2018-01-17,44.77,45.27,44.64,45.09,1096350.0,0.0,1.0,44.77,45.27,44.64,45.09,1096350.0
2018-01-16,45.03,45.79,44.15,44.34,1464924.0,0.0,1.0,45.03,45.79,44.15,44.34,1464924.0
2018-01-12,44.44,45.13,44.3,44.94,1456722.0,0.0,1.0,44.44,45.13,44.3,44.94,1456722.0
2018-01-11,44.09,44.61,43.9,44.26,1200373.0,0.0,1.0,44.09,44.61,43.9,44.26,1200373.0
2018-01-10,44.06,44.22,43.48,44.1,1178592.0,0.0,1.0,44.06,44.22,43.48,44.1,1178592.0
2018-01-09,44.69,44.84,43.97,44.32,1381022.0,0.0,1.0,44.69,44.84,43.97,44.32,1381022.0
2018-01-08,44.29,45.04,44.01,45.0,1110846.0,0.0,1.0,44.29,45.04,44.01,45.0,1110846.0
2018-01-05,44.32,44.54,43.92,44.1,1426163.0,0.0,1.0,44.32,44.54,43.92,44.1,1426163.0
2018-01-04,45.11,45.23,43.96,44.0,2529707.0,0.0,1.0,45.11,45.23,43.96,44.0,2529707.0
2018-01-03,44.3,45.14,44.17,45.03,1512020.0,0.0,1.0,44.3,45.14,44.17,45.03,1512020.0
2018-01-02,43.76,44.46,43.555,44.35,1281162.0,0.0,1.0,43.76,44.46,43.555,44.35,1281162.0
2017-12-29,44.11,44.19,43.69,43.69,882735.0,0.0,1.0,44.11,44.19,43.69,43.69,882735.0
2017-12-28,44.09,44.12,43.83,44.01,1392295.0,0.0,1.0,44.09,44.12,43.83,44.01,1392295.0
2017-12-27,44.2,44.288000000000004,43.92,44.06,553106.0,0.0,1.0,44.2,44.288000000000004,43.92,44.06,553106.0
2017-12-26,43.61,44.31,43.61,44.16,1298249.0,0.0,1.0,43.61,44.31,43.61,44.16,1298249.0
2017-12-22,44.05,44.24,43.61,43.92,1435102.0,0.0,1.0,44.05,44.24,43.61,43.92,1435102.0
2017-12-21,45.0,45.0,43.91,43.99,1555530.0,0.0,1.0,45.0,45.0,43.91,43.99,1555530.0
2017-12-20,45.5,45.5,43.701,44.87,1728941.0,0.0,1.0,45.5,45.5,43.701,44.87,1728941.0
2017-12-19,44.25,45.64,44.09,45.09,2166858.0,0.0,1.0,44.25,45.64,44.09,45.09,2166858.0
2017-12-18,43.89,44.7,43.69,44.27,1793333.0,0.0,1.0,43.89,44.7,43.69,44.27,1793333.0
2017-12-15,42.84,43.8,42.84,43.64,2382846.0,0.0,1.0,42.84,43.8,42.84,43.64,2382846.0
2017-12-14,42.8,43.05,42.56,42.71,1425696.0,0.0,1.0,42.8,43.05,42.56,42.71,1425696.0
2017-12-13,42.34,43.08,42.21,42.65,1191379.0,0.0,1.0,42.34,43.08,42.21,42.65,1191379.0
2017-12-12,41.53,42.59,41.46,42.18,1331080.0,0.0,1.0,41.53,42.59,41.46,42.18,1331080.0
2017-12-11,41.94,42.38,41.795,42.22,1166386.0,0.0,1.0,41.94,42.38,41.795,42.22,1166386.0
2017-12-08,41.62,42.03,41.57,41.95,949415.0,0.0,1.0,41.62,42.03,41.57,41.95,949415.0
2017-12-07,41.38,41.64,41.04,41.42,1490372.0,0.0,1.0,41.38,41.64,41.04,41.42,1490372.0
2017-12-06,40.95,41.42,40.5,41.29,1235723.0,0.0,1.0,40.95,41.42,40.5,41.29,1235723.0
2017-12-05,41.26,41.9733,41.07,41.1,1556358.0,0.0,1.0,41.26,41.9733,41.07,41.1,1556358.0
2017-12-04,42.42,42.49,41.505,41.54,1326729.0,0.0,1.0,42.42,42.49,41.505,41.54,1326729.0
2017-12-01,41.98,42.28,41.201,42.19,1169494.0,0.0,1.0,41.98,42.28,41.201,42.19,1169494.0
2017-11-30,41.77,42.175,41.33,42.06,1345060.0,0.0,1.0,41.77,42.175,41.33,42.06,1345060.0
2017-11-29,42.11,42.17,41.02,41.44,1134953.0,0.0,1.0,42.11,42.17,41.02,41.44,1134953.0
2017-11-28,42.08,42.31,41.63,42.16,1103400.0,0.0,1.0,42.08,42.31,41.63,42.16,1103400.0
2017-11-27,41.91,42.24,41.78,41.83,2840664.0,0.0,1.0,41.91,42.24,41.78,41.83,2840664.0
2017-11-24,41.84,42.08,41.65,41.91,564816.0,0.0,1.0,41.84,42.08,41.65,41.91,564816.0
2017-11-22,41.5,42.0001,41.33,41.77,1640509.0,0.0,1.0,41.5,42.0001,41.33,41.77,1640509.0
2017-11-21,41.0,41.52,40.84,41.32,1813973.0,0.0,1.0,41.0,41.52,40.84,41.32,1813973.0
2017-11-20,40.41,40.985,40.2113,40.77,1360928.0,0.0,1.0,40.41,40.985,40.2113,40.77,1360928.0
2017-11-17,40.26,40.51,39.98,40.31,1264588.0,0.0,1.0,40.26,40.51,39.98,40.31,1264588.0
2017-11-16,40.1,40.725,39.925,40.26,2132266.0,0.0,1.0,40.1,40.725,39.925,40.26,2132266.0
2017-11-15,39.63,40.24,39.4,39.9,1428857.0,0.0,1.0,39.63,40.24,39.4,39.9,1428857.0
2017-11-14,39.95,40.41,39.43,40.02,1437737.0,0.0,1.0,39.95,40.41,39.43,40.02,1437737.0
2017-11-13,39.84,40.38,39.68,40.35,1748874.0,0.0,1.0,39.84,40.38,39.68,40.35,1748874.0
2017-11-10,39.49,40.09,39.22,39.94,1601659.0,0.0,1.0,39.49,40.09,39.22,39.94,1601659.0
2017-11-09,39.67,40.04,39.13,39.49,1582495.0,0.0,1.0,39.67,40.04,39.13,39.49,1582495.0
