Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2017-04-07,15.56,15.6,15.01,15.06,2596505.0,0.0,1.0,15.56,15.6,15.01,15.06,2596505.0
2017-04-06,15.18,15.58,15.11,15.53,2493365.0,0.0,1.0,15.18,15.58,15.11,15.53,2493365.0
2017-04-05,15.67,15.96,15.02,15.07,4132938.0,0.0,1.0,15.67,15.96,15.02,15.07,4132938.0
2017-04-04,15.41,15.49,15.13,15.42,2212178.0,0.0,1.0,15.41,15.49,15.13,15.42,2212178.0
2017-04-03,15.59,15.71,15.245,15.33,3846118.0,0.0,1.0,15.59,15.71,15.245,15.33,3846118.0
2017-03-31,15.29,15.715,15.27,15.58,2842979.0,0.0,1.0,15.29,15.715,15.27,15.58,2842979.0
2017-03-30,15.34,15.58,15.19,15.42,2904238.0,0.0,1.0,15.34,15.58,15.19,15.42,2904238.0
2017-03-29,15.0,15.33,14.95,15.2,2154882.0,0.0,1.0,15.0,15.33,14.95,15.2,2154882.0
2017-03-28,14.64,15.16,14.55,15.02,2327011.0,0.0,1.0,14.64,15.16,14.55,15.02,2327011.0
2017-03-27,14.26,14.71,14.12,14.52,2488213.0,0.0,1.0,14.26,14.71,14.12,14.52,2488213.0
2017-03-24,14.53,14.745,14.43,14.53,3232278.0,0.0,1.0,14.53,14.745,14.43,14.53,3232278.0
2017-03-23,14.33,14.755,14.2,14.5,3170104.0,0.0,1.0,14.33,14.755,14.2,14.5,3170104.0
2017-03-22,14.15,14.54,14.05,14.45,3565366.0,0.0,1.0,14.15,14.54,14.05,14.45,3565366.0
2017-03-21,14.7,14.75,14.06,14.32,5617232.0,0.0,1.0,14.7,14.75,14.06,14.32,5617232.0
2017-03-20,14.77,14.79,14.49,14.62,3117650.0,0.0,1.0,14.77,14.79,14.49,14.62,3117650.0
2017-03-17,15.27,15.36,14.98,15.0,3075666.0,0.0,1.0,15.27,15.36,14.98,15.0,3075666.0
2017-03-16,15.76,15.88,15.07,15.21,2909178.0,0.0,1.0,15.76,15.88,15.07,15.21,2909178.0
2017-03-15,15.62,15.79,15.3,15.75,3612938.0,0.0,1.0,15.62,15.79,15.3,15.75,3612938.0
2017-03-14,15.48,15.53,14.98,15.35,2864333.0,0.0,1.0,15.48,15.53,14.98,15.35,2864333.0
2017-03-13,15.56,15.89,15.56,15.75,2631073.0,0.0,1.0,15.56,15.89,15.56,15.75,2631073.0
2017-03-10,15.61,15.96,15.42,15.64,3061826.0,0.0,1.0,15.61,15.96,15.42,15.64,3061826.0
2017-03-09,15.7,16.0346,15.355,15.69,5516292.0,0.0,1.0,15.7,16.0346,15.355,15.69,5516292.0
2017-03-08,16.62,16.845,16.13,16.24,3843421.0,0.0,1.0,16.62,16.845,16.13,16.24,3843421.0
2017-03-07,17.5,17.59,16.71,16.76,3227159.0,0.0,1.0,17.5,17.59,16.71,16.76,3227159.0
2017-03-06,17.64,17.64,17.17,17.43,3276885.0,0.0,1.0,17.64,17.64,17.17,17.43,3276885.0
2017-03-03,18.1,18.3,17.58,17.6,4594477.0,0.0,1.0,18.1,18.3,17.58,17.6,4594477.0
2017-03-02,18.1,18.57,18.07,18.11,2585676.0,0.0,1.0,18.1,18.57,18.07,18.11,2585676.0
2017-03-01,18.37,18.97,18.37,18.54,2435723.0,0.0,1.0,18.37,18.97,18.37,18.54,2435723.0
2017-02-28,18.11,18.47,18.07,18.12,3840225.0,0.0,1.0,18.11,18.47,18.07,18.12,3840225.0
2017-02-27,18.02,18.6,17.73,18.33,2934883.0,0.0,1.0,18.02,18.6,17.73,18.33,2934883.0
2017-02-24,18.63,18.8,17.91,18.02,4517183.0,0.0,1.0,18.63,18.8,17.91,18.02,4517183.0
2017-02-23,18.4,18.85,18.02,18.62,4739669.0,0.0,1.0,18.4,18.85,18.02,18.62,4739669.0
2017-02-22,17.63,17.83,17.34,17.75,3109696.0,0.0,1.0,17.63,17.83,17.34,17.75,3109696.0
2017-02-21,17.66,17.97,17.6,17.85,2756326.0,0.0,1.0,17.66,17.97,17.6,17.85,2756326.0
2017-02-17,17.6,17.89,17.31,17.44,2509071.0,0.0,1.0,17.6,17.89,17.31,17.44,2509071.0
2017-02-16,18.18,18.45,17.83,17.86,2266144.0,0.0,1.0,18.18,18.45,17.83,17.86,2266144.0
2017-02-15,18.72,18.96,18.27,18.31,2952644.0,0.0,1.0,18.72,18.96,18.27,18.31,2952644.0
2017-02-14,18.54,19.01,18.32,18.96,1677270.0,0.0,1.0,18.54,19.01,18.32,18.96,1677270.0
2017-02-13,18.03,18.51,18.02,18.45,1353117.0,0.0,1.0,18.03,18.51,18.02,18.45,1353117.0
2017-02-10,18.02,18.275,17.8,18.2,2282726.0,0.0,1.0,18.02,18.275,17.8,18.2,2282726.0
2017-02-09,17.96,18.0781,17.59,17.69,2498052.0,0.0,1.0,17.96,18.0781,17.59,17.69,2498052.0
2017-02-08,17.34,17.79,17.09,17.73,2117603.0,0.0,1.0,17.34,17.79,17.09,17.73,2117603.0
2017-02-07,17.77,18.05,17.47,17.6,2146459.0,0.0,1.0,17.77,18.05,17.47,17.6,2146459.0
2017-02-06,18.54,18.75,17.925,17.96,1613815.0,0.0,1.0,18.54,18.75,17.925,17.96,1613815.0
2017-02-03,18.05,18.95,18.03,18.6,3531715.0,0.0,1.0,18.05,18.95,18.03,18.6,3531715.0
2017-02-02,18.3,18.38,17.58,17.91,3045156.0,0.0,1.0,18.3,18.38,17.58,17.91,3045156.0
2017-02-01,18.05,18.26,17.59,18.0,2553901.0,0.0,1.0,18.05,18.26,17.59,18.0,2553901.0
2017-01-31,17.87,18.05,17.21,17.92,3450620.0,0.0,1.0,17.87,18.05,17.21,17.92,3450620.0
2017-01-30,18.7,18.9599,17.65,17.79,3855144.0,0.0,1.0,18.7,18.9599,17.65,17.79,3855144.0
2017-01-27,19.55,19.75,18.82,19.27,3460325.0,0.0,1.0,19.55,19.75,18.82,19.27,3460325.0
2017-01-26,20.06,20.25,19.52,19.76,2593878.0,0.0,1.0,20.06,20.25,19.52,19.76,2593878.0
2017-01-25,19.46,20.12,19.42,19.93,2045382.0,0.0,1.0,19.46,20.12,19.42,19.93,2045382.0
2017-01-24,19.5,19.67,19.03,19.4,2581591.0,0.0,1.0,19.5,19.67,19.03,19.4,2581591.0
2017-01-23,19.33,19.62,18.89,19.28,3563663.0,0.0,1.0,19.33,19.62,18.89,19.28,3563663.0
2017-01-20,19.33,19.79,19.24,19.54,3816955.0,0.0,1.0,19.33,19.79,19.24,19.54,3816955.0
2017-01-19,19.06,19.47,18.805,18.91,1588161.0,0.0,1.0,19.06,19.47,18.805,18.91,1588161.0
2017-01-18,19.23,19.28,18.87,19.16,2303935.0,0.0,1.0,19.23,19.28,18.87,19.16,2303935.0
2017-01-17,19.65,19.81,19.33,19.37,1962958.0,0.0,1.0,19.65,19.81,19.33,19.37,1962958.0
2017-01-13,20.09,20.34,19.48,19.51,1792363.0,0.0,1.0,20.09,20.34,19.48,19.51,1792363.0
2017-01-12,20.4,20.5,19.74,20.19,2485046.0,0.0,1.0,20.4,20.5,19.74,20.19,2485046.0
2017-01-11,19.41,20.27,19.23,20.08,2853671.0,0.0,1.0,19.41,20.27,19.23,20.08,2853671.0
2017-01-10,19.25,19.41,18.765,19.23,3646056.0,0.0,1.0,19.25,19.41,18.765,19.23,3646056.0
2017-01-09,19.54,19.645,19.05,19.15,2545399.0,0.0,1.0,19.54,19.645,19.05,19.15,2545399.0
2017-01-06,19.88,19.93,19.32,19.81,2374004.0,0.0,1.0,19.88,19.93,19.32,19.81,2374004.0
2017-01-05,19.82,20.06,19.08,19.8,3605285.0,0.0,1.0,19.82,20.06,19.08,19.8,3605285.0
2017-01-04,19.55,19.86,19.29,19.64,2423203.0,0.0,1.0,19.55,19.86,19.29,19.64,2423203.0
2017-01-03,19.3,20.11,19.07,19.55,2595625.0,0.0,1.0,19.3,20.11,19.07,19.55,2595625.0
