Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,59.01,60.09,58.49,59.35,2557594.0,0.0,1.0,59.01,60.09,58.49,59.35,2557594.0
2018-03-26,58.74,59.05,58.06,58.98,2307924.0,0.0,1.0,58.74,59.05,58.06,58.98,2307924.0
2018-03-23,59.19,59.255,57.96,58.36,4524038.0,0.0,1.0,59.19,59.255,57.96,58.36,4524038.0
2018-03-22,59.88,60.62,59.48,59.75,4779848.0,0.0,1.0,59.88,60.62,59.48,59.75,4779848.0
2018-03-21,60.21,60.5304,59.64,60.13,2921558.0,0.0,1.0,60.21,60.5304,59.64,60.13,2921558.0
2018-03-20,60.3,60.68,59.92,60.27,3493168.0,0.0,1.0,60.3,60.68,59.92,60.27,3493168.0
2018-03-19,60.71,60.78,59.8,60.32,2757641.0,0.0,1.0,60.71,60.78,59.8,60.32,2757641.0
2018-03-16,59.76,60.47,59.685,60.23,2732714.0,0.0,1.0,59.76,60.47,59.685,60.23,2732714.0
2018-03-15,59.66,59.92,59.33,59.72,1923621.0,0.0,1.0,59.66,59.92,59.33,59.72,1923621.0
2018-03-14,59.58,59.83,59.21,59.54,2081740.0,0.0,1.0,59.58,59.83,59.21,59.54,2081740.0
2018-03-13,59.77,60.05,59.18,59.37,1571618.0,0.0,1.0,59.77,60.05,59.18,59.37,1571618.0
2018-03-12,59.33,59.74,58.85,59.5,2933103.0,0.0,1.0,59.33,59.74,58.85,59.5,2933103.0
2018-03-09,58.31,59.52,58.04,59.51,2826725.0,0.0,1.0,58.31,59.52,58.04,59.51,2826725.0
2018-03-08,57.9,58.29,57.61,58.27,2122018.0,0.0,1.0,57.9,58.29,57.61,58.27,2122018.0
2018-03-07,56.65,58.04,56.65,57.83,3176358.0,0.0,1.0,56.65,58.04,56.65,57.83,3176358.0
2018-03-06,56.43,56.98,56.0,56.89,2268078.0,0.0,1.0,56.43,56.98,56.0,56.89,2268078.0
2018-03-05,55.81,56.595,55.6001,56.47,2832934.0,0.0,1.0,55.81,56.595,55.6001,56.47,2832934.0
2018-03-02,56.19,56.43,55.5,55.96,2085312.0,0.0,1.0,56.19,56.43,55.5,55.96,2085312.0
2018-03-01,56.08,57.03,55.81,56.32,2380414.0,0.0,1.0,56.08,57.03,55.81,56.32,2380414.0
2018-02-28,56.09,56.96,56.02,56.23,2721150.0,0.0,1.0,56.09,56.96,56.02,56.23,2721150.0
2018-02-27,57.12,57.24,55.61,55.83,2214821.0,0.0,1.0,57.12,57.24,55.61,55.83,2214821.0
2018-02-26,57.13,57.37,56.71,57.13,1862376.0,0.0,1.0,57.13,57.37,56.71,57.13,1862376.0
2018-02-23,56.37,56.99,56.1,56.99,1879442.0,0.0,1.0,56.37,56.99,56.1,56.99,1879442.0
2018-02-22,56.06,56.63,55.88,56.17,2014959.0,0.0,1.0,56.06,56.63,55.88,56.17,2014959.0
2018-02-21,57.7,57.78,55.85,55.87,2784988.0,0.0,1.0,57.7,57.78,55.85,55.87,2784988.0
2018-02-20,57.76,58.34,57.55,57.64,3016983.0,0.0,1.0,57.76,58.34,57.55,57.64,3016983.0
2018-02-16,57.9,58.59,57.62,57.97,2183335.0,0.0,1.0,57.9,58.59,57.62,57.97,2183335.0
2018-02-15,56.95,58.0,56.92,57.91,2033456.0,0.0,1.0,56.95,58.0,56.92,57.91,2033456.0
2018-02-14,56.4,56.875,55.84,56.67,2661002.0,0.0,1.0,56.4,56.875,55.84,56.67,2661002.0
2018-02-13,56.55,57.33,56.21,56.99,1913994.0,0.0,1.0,56.55,57.33,56.21,56.99,1913994.0
2018-02-12,56.83,57.119,54.97,56.61,2841237.0,0.0,1.0,56.83,57.119,54.97,56.61,2841237.0
2018-02-09,55.56,57.0,55.21,56.65,3046067.0,0.0,1.0,55.56,57.0,55.21,56.65,3046067.0
2018-02-08,56.9,57.78,55.25,55.26,3296617.0,0.0,1.0,56.9,57.78,55.25,55.26,3296617.0
2018-02-07,57.66,58.57,56.85,56.86,2593297.0,0.0,1.0,57.66,58.57,56.85,56.86,2593297.0
2018-02-06,56.92,58.18,56.07,57.71,3345544.0,0.0,1.0,56.92,58.18,56.07,57.71,3345544.0
2018-02-05,59.74,60.4,57.92,58.05,3418102.0,0.0,1.0,59.74,60.4,57.92,58.05,3418102.0
2018-02-02,59.67,60.36,58.9635,59.95,2454305.0,0.0,1.0,59.67,60.36,58.9635,59.95,2454305.0
2018-02-01,61.46,61.74,60.035,60.33,2124240.0,0.0,1.0,61.46,61.74,60.035,60.33,2124240.0
2018-01-31,59.95,61.67,59.51,61.61,5561725.0,0.0,1.0,59.95,61.67,59.51,61.61,5561725.0
2018-01-30,61.06,61.38,60.57,60.57,2603815.0,0.0,1.0,61.06,61.38,60.57,60.57,2603815.0
2018-01-29,61.62,61.6771,60.76,61.21,1993687.0,0.0,1.0,61.62,61.6771,60.76,61.21,1993687.0
2018-01-26,61.39,61.545,60.92,61.54,1504791.0,0.0,1.0,61.39,61.545,60.92,61.54,1504791.0
2018-01-25,61.39,61.57,60.63,61.21,1571793.0,0.0,1.0,61.39,61.57,60.63,61.21,1571793.0
2018-01-24,61.73,61.86,61.29,61.44,1120595.0,0.0,1.0,61.73,61.86,61.29,61.44,1120595.0
2018-01-23,61.32,61.85,61.28,61.79,1804927.0,0.0,1.0,61.32,61.85,61.28,61.79,1804927.0
2018-01-22,60.53,61.22,60.4,61.18,1670939.0,0.0,1.0,60.53,61.22,60.4,61.18,1670939.0
2018-01-19,60.44,60.69,60.18,60.47,1877215.0,0.0,1.0,60.44,60.69,60.18,60.47,1877215.0
2018-01-18,60.59,60.78,59.88,60.45,1964062.0,0.0,1.0,60.59,60.78,59.88,60.45,1964062.0
2018-01-17,61.02,61.065,60.52,60.85,1736965.0,0.0,1.0,61.02,61.065,60.52,60.85,1736965.0
