Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,81.15,82.59,80.3,80.71,732050.0,0.0,1.0,81.15,82.59,80.3,80.71,732050.0
2018-03-26,78.74,80.74,78.03,80.61,939623.0,0.0,1.0,78.74,80.74,78.03,80.61,939623.0
2018-03-23,78.75,79.495,77.45,77.49,630172.0,0.0,1.0,78.75,79.495,77.45,77.49,630172.0
2018-03-22,80.66,81.17,78.3,78.36,533989.0,0.0,1.0,80.66,81.17,78.3,78.36,533989.0
2018-03-21,81.05,82.19,80.585,81.51,561218.0,0.0,1.0,81.05,82.19,80.585,81.51,561218.0
2018-03-20,81.85,82.47,80.88,81.03,737903.0,0.0,1.0,81.85,82.47,80.88,81.03,737903.0
2018-03-19,81.88,82.4999,81.07,81.89,345123.0,0.0,1.0,81.88,82.4999,81.07,81.89,345123.0
2018-03-16,82.0,82.8075,81.31,82.44,706444.0,0.0,1.0,82.0,82.8075,81.31,82.44,706444.0
2018-03-15,82.85,83.54,81.6601,81.88,462892.0,0.0,1.0,82.85,83.54,81.6601,81.88,462892.0
2018-03-14,83.16,84.1,82.76,82.86,464471.0,0.0,1.0,83.16,84.1,82.76,82.86,464471.0
2018-03-13,83.19,83.86,82.2863,82.58,589453.0,0.0,1.0,83.19,83.86,82.2863,82.58,589453.0
2018-03-12,83.92,84.285,82.79,82.89,694745.0,0.0,1.0,83.92,84.285,82.79,82.89,694745.0
2018-03-09,83.12,84.04,82.68,83.59,529388.0,0.0,1.0,83.12,84.04,82.68,83.59,529388.0
2018-03-08,83.19,83.39,82.19,82.4,593010.0,0.0,1.0,83.19,83.39,82.19,82.4,593010.0
2018-03-07,82.7,83.48,82.36,83.03,675167.0,0.0,1.0,82.7,83.48,82.36,83.03,675167.0
2018-03-06,83.69,84.33,82.88,83.44,843507.0,0.0,1.0,83.69,84.33,82.88,83.44,843507.0
2018-03-05,80.97,83.48,80.44,83.18,554671.0,0.0,1.0,80.97,83.48,80.44,83.18,554671.0
2018-03-02,79.09,81.44,78.84,81.2,732557.0,0.0,1.0,79.09,81.44,78.84,81.2,732557.0
2018-03-01,81.34,81.45,79.42,79.89,911486.0,0.0,1.0,81.34,81.45,79.42,79.89,911486.0
2018-02-28,82.39,82.78,81.315,81.34,919390.0,0.0,1.0,82.39,82.78,81.315,81.34,919390.0
2018-02-27,83.51,84.48,82.05,82.06,1238076.0,0.0,1.0,83.51,84.48,82.05,82.06,1238076.0
2018-02-26,83.98,84.32,82.895,83.84,597235.0,0.0,1.0,83.98,84.32,82.895,83.84,597235.0
2018-02-23,82.35,83.41,82.35,83.4,543849.0,0.0,1.0,82.35,83.41,82.35,83.4,543849.0
2018-02-22,82.25,84.14,82.035,82.3,1188416.0,0.0,1.0,82.25,84.14,82.035,82.3,1188416.0
2018-02-21,79.9,83.16,79.9,81.74,1030763.0,0.0,1.0,79.9,83.16,79.9,81.74,1030763.0
2018-02-20,76.73,81.5,74.76,80.0,1888049.0,0.0,1.0,76.73,81.5,74.76,80.0,1888049.0
2018-02-16,75.12,78.3799,74.825,77.27,1422267.0,0.0,1.0,75.12,78.3799,74.825,77.27,1422267.0
2018-02-15,73.73,74.87,73.205,74.61,571121.0,0.0,1.0,73.73,74.87,73.205,74.61,571121.0
2018-02-14,71.3,73.495,71.24,73.2,1547400.0,0.0,1.0,71.3,73.495,71.24,73.2,1547400.0
2018-02-13,71.66,72.7,71.06,71.98,479272.0,0.0,1.0,71.66,72.7,71.06,71.98,479272.0
2018-02-12,71.78,72.87,70.85,72.0,780897.0,0.0,1.0,71.78,72.87,70.85,72.0,780897.0
2018-02-09,71.52,72.37,69.75,71.76,1122468.0,0.0,1.0,71.52,72.37,69.75,71.76,1122468.0
2018-02-08,72.56,73.04,71.11,71.15,1333349.0,0.0,1.0,72.56,73.04,71.11,71.15,1333349.0
2018-02-07,72.43,73.66,72.16,72.83,942791.0,0.0,1.0,72.43,73.66,72.16,72.83,942791.0
2018-02-06,70.95,73.48,70.1,72.84,1825646.0,0.0,1.0,70.95,73.48,70.1,72.84,1825646.0
2018-02-05,72.72,74.51,71.85,71.97,1790729.0,0.0,1.0,72.72,74.51,71.85,71.97,1790729.0
2018-02-02,79.35,80.0,72.89,73.4,3373710.0,0.0,1.0,79.35,80.0,72.89,73.4,3373710.0
2018-02-01,80.61,82.06,80.01,81.26,532577.0,0.0,1.0,80.61,82.06,80.01,81.26,532577.0
2018-01-31,82.8,83.48,80.8,81.04,634271.0,0.0,1.0,82.8,83.48,80.8,81.04,634271.0
2018-01-30,83.03,83.5,81.57,82.41,401462.0,0.0,1.0,83.03,83.5,81.57,82.41,401462.0
2018-01-29,82.32,84.79,82.32,83.84,768002.0,0.0,1.0,82.32,84.79,82.32,83.84,768002.0
2018-01-26,82.35,82.71,81.52,82.25,814775.0,0.0,1.0,82.35,82.71,81.52,82.25,814775.0
2018-01-25,83.39,83.54,81.83,82.32,545792.0,0.0,1.0,83.39,83.54,81.83,82.32,545792.0
2018-01-24,83.13,83.43,82.29,82.73,583976.0,0.0,1.0,83.13,83.43,82.29,82.73,583976.0
2018-01-23,82.73,82.96,82.165,82.71,558574.0,0.0,1.0,82.73,82.96,82.165,82.71,558574.0
2018-01-22,82.7,82.88,82.1,82.5,449106.0,0.0,1.0,82.7,82.88,82.1,82.5,449106.0
2018-01-19,81.99,82.83,81.55,82.8,527781.0,0.0,1.0,81.99,82.83,81.55,82.8,527781.0
2018-01-18,82.82,82.99,81.61,81.84,682439.0,0.0,1.0,82.82,82.99,81.61,81.84,682439.0
2018-01-17,84.51,84.85,82.45,82.72,611011.0,0.0,1.0,84.51,84.85,82.45,82.72,611011.0
2018-01-16,85.2,86.24,84.04,84.2,557452.0,0.0,1.0,85.2,86.24,84.04,84.2,557452.0
2018-01-12,84.27,85.365,84.17,85.2,421100.0,0.0,1.0,84.27,85.365,84.17,85.2,421100.0
2018-01-11,82.82,84.15,82.82,84.02,347639.0,0.0,1.0,82.82,84.15,82.82,84.02,347639.0
2018-01-10,83.3,83.36,82.15,82.38,376591.0,0.0,1.0,83.3,83.36,82.15,82.38,376591.0
2018-01-09,82.76,83.67,82.34,83.09,371406.0,0.0,1.0,82.76,83.67,82.34,83.09,371406.0
2018-01-08,81.83,82.47,81.67,82.37,311592.0,0.0,1.0,81.83,82.47,81.67,82.37,311592.0
2018-01-05,83.68,83.96,80.69,81.83,985561.0,0.0,1.0,83.68,83.96,80.69,81.83,985561.0
2018-01-04,83.04,84.01,82.81,83.37,672427.0,0.0,1.0,83.04,84.01,82.81,83.37,672427.0
2018-01-03,82.62,83.045,81.65,82.26,1030058.0,0.0,1.0,82.62,83.045,81.65,82.26,1030058.0
2018-01-02,81.72,83.11,80.44,82.93,753496.0,0.0,1.0,81.72,83.11,80.44,82.93,753496.0
2017-12-29,81.51,82.12,81.15,81.43,457047.0,0.0,1.0,81.51,82.12,81.15,81.43,457047.0
2017-12-28,81.61,81.6999,80.6,81.51,351563.0,0.0,1.0,81.61,81.6999,80.6,81.51,351563.0
2017-12-27,81.11,81.99,81.03,81.37,430812.0,0.0,1.0,81.11,81.99,81.03,81.37,430812.0
2017-12-26,79.77,81.02,79.77,80.79,284858.0,0.0,1.0,79.77,81.02,79.77,80.79,284858.0
2017-12-22,78.97,79.815,78.89,79.63,381161.0,0.0,1.0,78.97,79.815,78.89,79.63,381161.0
2017-12-21,80.125,80.81,79.67,79.86,384096.0,0.0,1.0,80.125,80.81,79.67,79.86,384096.0
2017-12-20,79.44,81.12,79.0,80.39,874609.0,0.0,1.0,79.44,81.12,79.0,80.39,874609.0
2017-12-19,78.25,79.23,77.81,78.91,492761.0,0.0,1.0,78.25,79.23,77.81,78.91,492761.0
2017-12-18,78.0,79.2,77.17,78.05,533502.0,0.0,1.0,78.0,79.2,77.17,78.05,533502.0
2017-12-15,77.4,78.21,76.57,76.67,924031.0,0.0,1.0,77.4,78.21,76.57,76.67,924031.0
2017-12-14,78.58,78.71,76.77,76.87,356247.0,0.0,1.0,78.58,78.71,76.77,76.87,356247.0
2017-12-13,77.56,78.25,76.71,78.05,694500.0,0.0,1.0,77.56,78.25,76.71,78.05,694500.0
2017-12-12,77.27,77.56,76.535,76.73,554303.0,0.0,1.0,77.27,77.56,76.535,76.73,554303.0
2017-12-11,76.51,77.53,76.33,77.3,928547.0,0.0,1.0,76.51,77.53,76.33,77.3,928547.0
2017-12-08,76.14,76.98,76.0,76.23,459990.0,0.0,1.0,76.14,76.98,76.0,76.23,459990.0
2017-12-07,74.66,76.29,74.66,75.47,448959.0,0.0,1.0,74.66,76.29,74.66,75.47,448959.0
2017-12-06,76.68,77.08,74.84,74.86,578306.0,0.0,1.0,76.68,77.08,74.84,74.86,578306.0
2017-12-05,77.66,77.88,76.665,76.93,666893.0,0.0,1.0,77.66,77.88,76.665,76.93,666893.0
2017-12-04,77.01,77.74,76.61,77.6,581564.0,0.0,1.0,77.01,77.74,76.61,77.6,581564.0
2017-12-01,76.87,76.96,74.93,76.3,571789.0,0.0,1.0,76.87,76.96,74.93,76.3,571789.0
2017-11-30,77.02,77.98,76.55,76.9,917926.0,0.0,1.0,77.02,77.98,76.55,76.9,917926.0
2017-11-29,74.55,77.32,74.4,77.0,1081339.0,0.0,1.0,74.55,77.32,74.4,77.0,1081339.0
2017-11-28,72.79,74.91,72.21,74.86,794271.0,0.0,1.0,72.79,74.91,72.21,74.86,794271.0
2017-11-27,73.03,73.56,72.56,72.71,573340.0,0.0,1.0,73.03,73.56,72.56,72.71,573340.0
2017-11-24,73.44,73.94,72.81,73.15,244721.0,0.0,1.0,73.44,73.94,72.81,73.15,244721.0
2017-11-22,73.51,73.86,73.03,73.08,367939.0,0.0,1.0,73.51,73.86,73.03,73.08,367939.0
2017-11-21,74.14,74.26,73.26,73.33,677784.0,0.0,1.0,74.14,74.26,73.26,73.33,677784.0
2017-11-20,74.04,74.27,73.25,74.06,476593.0,0.0,1.0,74.04,74.27,73.25,74.06,476593.0
2017-11-17,73.39,74.19,73.02,73.97,642666.0,0.0,1.0,73.39,74.19,73.02,73.97,642666.0
2017-11-16,73.0,74.38,72.74,73.67,524440.0,0.0,1.0,73.0,74.38,72.74,73.67,524440.0
2017-11-15,72.77,73.53,71.96,72.89,682516.0,0.0,1.0,72.77,73.53,71.96,72.89,682516.0
2017-11-14,74.79,75.095,73.05,73.53,563149.0,0.0,1.0,74.79,75.095,73.05,73.53,563149.0
2017-11-13,75.95,76.48,74.8701,75.26,730433.0,0.0,1.0,75.95,76.48,74.8701,75.26,730433.0
2017-11-10,75.31,76.58,74.97,76.51,704607.0,0.0,1.0,75.31,76.58,74.97,76.51,704607.0
2017-11-09,76.29,77.0,75.05,75.38,1055444.0,0.0,1.0,76.29,77.0,75.05,75.38,1055444.0
2017-11-07,77.0,77.11,75.68,76.2,497991.0,0.0,1.0,77.0,77.11,75.68,76.2,497991.0
2017-11-06,76.84,77.78,76.46,77.05,541399.0,0.0,1.0,76.84,77.78,76.46,77.05,541399.0
2017-11-03,76.43,77.69,76.26,77.03,635933.0,0.0,1.0,76.43,77.69,76.26,77.03,635933.0
2017-11-02,76.34,76.83,75.08,76.43,648807.0,0.0,1.0,76.34,76.83,75.08,76.43,648807.0
2017-11-01,77.0,77.11,75.57,76.64,923247.0,0.0,1.0,77.0,77.11,75.57,76.64,923247.0
2017-10-31,76.69,76.815,75.93,76.5,892835.0,0.0,1.0,76.69,76.815,75.93,76.5,892835.0
2017-10-30,76.1,76.88,75.77,76.56,678101.0,0.0,1.0,76.1,76.88,75.77,76.56,678101.0
2017-10-27,74.85,76.37,74.7,76.27,1121320.0,0.0,1.0,74.85,76.37,74.7,76.27,1121320.0
2017-10-26,77.84,77.9875,75.68,76.02,1040733.0,0.0,1.0,77.84,77.9875,75.68,76.02,1040733.0
2017-10-25,79.96,81.81,77.25,77.57,1242792.0,0.0,1.0,79.96,81.81,77.25,77.57,1242792.0
2017-10-24,76.05,82.13,72.75,80.74,2536222.0,0.0,1.0,76.05,82.13,72.75,80.74,2536222.0
2017-10-23,76.94,77.33,75.68,76.39,859748.0,0.0,1.0,76.94,77.33,75.68,76.39,859748.0
2017-10-20,75.86,77.0,75.755,76.87,911730.0,0.0,1.0,75.86,77.0,75.755,76.87,911730.0
