Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,91.47,91.62,90.01,90.42,472522.0,0.0,1.0,91.47,91.62,90.01,90.42,472522.0
2018-03-26,90.98,91.68,89.87,91.53,469583.0,0.0,1.0,90.98,91.68,89.87,91.53,469583.0
2018-03-23,92.23,92.58,89.67,89.69,408889.0,0.0,1.0,92.23,92.58,89.67,89.69,408889.0
2018-03-22,93.44,93.8,91.92,92.06,563454.0,0.0,1.0,93.44,93.8,91.92,92.06,563454.0
2018-03-21,94.65,95.13,93.81,93.81,276594.0,0.0,1.0,94.65,95.13,93.81,93.81,276594.0
2018-03-20,94.63,95.37,94.21,94.64,175179.0,0.0,1.0,94.63,95.37,94.21,94.64,175179.0
2018-03-19,95.03,95.1,94.01,94.7,270223.0,0.0,1.0,95.03,95.1,94.01,94.7,270223.0
2018-03-16,95.27,95.72,95.0,95.28,378959.0,0.0,1.0,95.27,95.72,95.0,95.28,378959.0
2018-03-15,95.11,95.44,94.845,95.08,183119.0,0.0,1.0,95.11,95.44,94.845,95.08,183119.0
2018-03-14,95.26,95.58,94.48,94.91,222097.0,0.0,1.0,95.26,95.58,94.48,94.91,222097.0
2018-03-13,96.03,96.43,94.695,95.02,360306.0,0.0,1.0,96.03,96.43,94.695,95.02,360306.0
2018-03-12,95.45,96.34,95.22,95.85,335511.0,0.0,1.0,95.45,96.34,95.22,95.85,335511.0
2018-03-09,94.09,95.41,93.81,95.2,412619.0,0.0,1.0,94.09,95.41,93.81,95.2,412619.0
2018-03-08,93.37,93.885,92.55,93.45,284448.0,0.0,1.0,93.37,93.885,92.55,93.45,284448.0
2018-03-07,92.49,93.53,92.46,92.76,518051.0,0.0,1.0,92.49,93.53,92.46,92.76,518051.0
2018-03-06,91.11,93.23,90.45,93.15,507064.0,0.0,1.0,91.11,93.23,90.45,93.15,507064.0
2018-03-05,89.37,91.09,89.13,90.92,332643.0,0.0,1.0,89.37,91.09,89.13,90.92,332643.0
2018-03-02,89.4,90.445,88.92,89.76,281248.0,0.0,1.0,89.4,90.445,88.92,89.76,281248.0
2018-03-01,91.1,91.43,89.03,90.12,407004.0,0.0,1.0,91.1,91.43,89.03,90.12,407004.0
2018-02-28,92.0,92.77,91.21,91.3,234548.0,0.0,1.0,92.0,92.77,91.21,91.3,234548.0
2018-02-27,92.21,92.69,91.802,92.03,250624.0,0.0,1.0,92.21,92.69,91.802,92.03,250624.0
2018-02-26,92.45,92.87,91.09,92.55,232115.0,0.0,1.0,92.45,92.87,91.09,92.55,232115.0
2018-02-23,90.88,91.9,90.69,91.78,228734.0,0.0,1.0,90.88,91.9,90.69,91.78,228734.0
2018-02-22,90.45,91.91,90.22,90.64,389164.0,0.0,1.0,90.45,91.91,90.22,90.64,389164.0
2018-02-21,89.65,91.42,89.4686,90.12,385078.0,0.0,1.0,89.65,91.42,89.4686,90.12,385078.0
2018-02-20,90.06,90.06,88.81,89.51,343479.0,0.0,1.0,90.06,90.06,88.81,89.51,343479.0
2018-02-16,89.49,90.91,89.245,90.11,268263.0,0.0,1.0,89.49,90.91,89.245,90.11,268263.0
2018-02-15,88.66,89.63,87.77,89.49,355904.0,0.0,1.0,88.66,89.63,87.77,89.49,355904.0
2018-02-14,85.67,88.47,85.4,88.33,468835.0,0.0,1.0,85.67,88.47,85.4,88.33,468835.0
2018-02-13,85.59,86.05,83.44,85.65,484391.0,0.0,1.0,85.59,86.05,83.44,85.65,484391.0
2018-02-12,85.8,86.57,84.86,85.86,298723.0,0.0,1.0,85.8,86.57,84.86,85.86,298723.0
2018-02-09,84.63,86.24,82.88,85.57,597520.0,0.0,1.0,84.63,86.24,82.88,85.57,597520.0
2018-02-08,86.81,87.69,84.17,84.19,600941.0,0.0,1.0,86.81,87.69,84.17,84.19,600941.0
2018-02-07,87.6,88.77,83.92,86.17,974475.0,0.0,1.0,87.6,88.77,83.92,86.17,974475.0
2018-02-06,86.81,88.65,85.52,88.33,460303.0,0.0,1.0,86.81,88.65,85.52,88.33,460303.0
2018-02-05,89.95,90.51,87.63,88.08,433364.0,0.0,1.0,89.95,90.51,87.63,88.08,433364.0
2018-02-02,91.11,91.6,90.51,90.6,266134.0,0.0,1.0,91.11,91.6,90.51,90.6,266134.0
2018-02-01,90.62,91.59,89.66,91.39,216858.0,0.0,1.0,90.62,91.59,89.66,91.39,216858.0
2018-01-31,92.58,92.91,90.89,90.92,346037.0,0.0,1.0,92.58,92.91,90.89,90.92,346037.0
2018-01-30,92.17,92.79,91.92,92.31,229948.0,0.0,1.0,92.17,92.79,91.92,92.31,229948.0
2018-01-29,92.09,93.155,92.09,92.72,213786.0,0.0,1.0,92.09,93.155,92.09,92.72,213786.0
2018-01-26,92.19,92.42,91.44,92.1,225840.0,0.0,1.0,92.19,92.42,91.44,92.1,225840.0
2018-01-25,92.38,92.98,91.435,91.85,864323.0,0.0,1.0,92.38,92.98,91.435,91.85,864323.0
2018-01-24,91.99,92.35,91.35,91.7,324235.0,0.0,1.0,91.99,92.35,91.35,91.7,324235.0
2018-01-23,91.91,92.48,91.5,91.61,186809.0,0.0,1.0,91.91,92.48,91.5,91.61,186809.0
2018-01-22,91.51,92.61,91.42,91.85,311179.0,0.0,1.0,91.51,92.61,91.42,91.85,311179.0
2018-01-19,91.93,92.22,91.2,91.96,268987.0,0.0,1.0,91.93,92.22,91.2,91.96,268987.0
2018-01-18,91.89,92.07,91.01,91.43,296676.0,0.0,1.0,91.89,92.07,91.01,91.43,296676.0
2018-01-17,92.27,92.89,91.84,91.9,193580.0,0.0,1.0,92.27,92.89,91.84,91.9,193580.0
2018-01-16,91.68,93.71,91.23,91.71,400959.0,0.0,1.0,91.68,93.71,91.23,91.71,400959.0
2018-01-12,90.75,91.81,90.46,91.67,263298.0,0.0,1.0,90.75,91.81,90.46,91.67,263298.0
2018-01-11,89.98,90.66,89.875,90.43,264491.0,0.0,1.0,89.98,90.66,89.875,90.43,264491.0
2018-01-10,89.82,90.12,89.1,90.06,311818.0,0.0,1.0,89.82,90.12,89.1,90.06,311818.0
2018-01-09,89.3,90.43799999999999,88.72,89.96,505371.0,0.0,1.0,89.3,90.43799999999999,88.72,89.96,505371.0
2018-01-08,87.38,89.1,86.87,88.81,379948.0,0.0,1.0,87.38,89.1,86.87,88.81,379948.0
2018-01-05,86.59,87.18,86.44,86.95,508960.0,0.0,1.0,86.59,87.18,86.44,86.95,508960.0
2018-01-04,87.61,87.79,86.5,86.59,400641.0,0.0,1.0,87.61,87.79,86.5,86.59,400641.0
2018-01-03,87.0,88.09,86.2574,87.14,498388.0,0.0,1.0,87.0,88.09,86.2574,87.14,498388.0
2018-01-02,88.23,88.55,87.71,88.31,377801.0,0.0,1.0,88.23,88.55,87.71,88.31,377801.0
2017-12-29,88.23,88.8,87.425,87.47,204691.0,0.0,1.0,88.23,88.8,87.425,87.47,204691.0
2017-12-28,88.63,88.63,87.58,88.27,193688.0,0.0,1.0,88.63,88.63,87.58,88.27,193688.0
