Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,49.59,49.74,48.44,48.51,248618.0,0.0,1.0,49.59,49.74,48.44,48.51,248618.0
2018-03-26,49.38,49.45,48.2,49.33,369610.0,0.0,1.0,49.38,49.45,48.2,49.33,369610.0
2018-03-23,49.66,50.18,48.66,48.71,170140.0,0.0,1.0,49.66,50.18,48.66,48.71,170140.0
2018-03-22,50.9,51.245,49.59,49.63,192023.0,0.0,1.0,50.9,51.245,49.59,49.63,192023.0
2018-03-21,51.61,52.13,51.22,51.23,264900.0,0.0,1.0,51.61,52.13,51.22,51.23,264900.0
2018-03-20,51.38,52.06,51.15,51.7,269341.0,0.0,1.0,51.38,52.06,51.15,51.7,269341.0
2018-03-19,50.87,51.5,50.65,51.41,280344.0,0.0,1.0,50.87,51.5,50.65,51.41,280344.0
2018-03-16,49.95,51.1,49.84,50.91,419084.0,0.0,1.0,49.95,51.1,49.84,50.91,419084.0
2018-03-15,51.25,51.5,49.49,49.98,476023.0,0.0,1.0,51.25,51.5,49.49,49.98,476023.0
2018-03-14,52.54,52.7,51.55,51.96,251428.0,0.0,1.0,52.54,52.7,51.55,51.96,251428.0
2018-03-13,53.27,53.62,52.07,52.25,241136.0,0.0,1.0,53.27,53.62,52.07,52.25,241136.0
2018-03-12,52.92,53.46,52.2,53.15,215918.0,0.0,1.0,52.92,53.46,52.2,53.15,215918.0
2018-03-09,52.62,53.05,52.02,52.92,254749.0,0.0,1.0,52.62,53.05,52.02,52.92,254749.0
2018-03-08,51.78,52.32,51.52,52.1,351766.0,0.0,1.0,51.78,52.32,51.52,52.1,351766.0
2018-03-07,50.75,51.69,50.75,51.57,550956.0,0.0,1.0,50.75,51.69,50.75,51.57,550956.0
2018-03-06,50.55,51.22,50.37,51.07,343087.0,0.0,1.0,50.55,51.22,50.37,51.07,343087.0
2018-03-05,49.05,50.585,49.05,50.37,235608.0,0.0,1.0,49.05,50.585,49.05,50.37,235608.0
2018-03-02,47.62,49.45,47.56,49.36,303437.0,0.0,1.0,47.62,49.45,47.56,49.36,303437.0
2018-03-01,47.7,49.13,46.62,48.06,628980.0,0.0,1.0,47.7,49.13,46.62,48.06,628980.0
2018-02-28,47.3,52.22,47.3,49.93,725824.0,0.0,1.0,47.3,52.22,47.3,49.93,725824.0
2018-02-27,50.96,51.415,50.02,50.04,303664.0,0.0,1.0,50.96,51.415,50.02,50.04,303664.0
2018-02-26,51.42,51.98,50.76,51.06,298280.0,0.0,1.0,51.42,51.98,50.76,51.06,298280.0
2018-02-23,51.25,51.39,50.41,51.13,245148.0,0.0,1.0,51.25,51.39,50.41,51.13,245148.0
2018-02-22,52.25,52.27,50.84,50.94,275828.0,0.0,1.0,52.25,52.27,50.84,50.94,275828.0
2018-02-21,52.44,53.33,52.1,52.13,215185.0,0.0,1.0,52.44,53.33,52.1,52.13,215185.0
2018-02-20,52.21,53.02,52.21,52.5,263425.0,0.0,1.0,52.21,53.02,52.21,52.5,263425.0
2018-02-16,51.32,52.68,51.28,52.4,170904.0,0.0,1.0,51.32,52.68,51.28,52.4,170904.0
2018-02-15,52.12,52.3,51.2,51.43,191441.0,0.0,1.0,52.12,52.3,51.2,51.43,191441.0
2018-02-14,49.57,51.79,49.57,51.7,277616.0,0.0,1.0,49.57,51.79,49.57,51.7,277616.0
2018-02-13,49.57,49.93,49.3,49.81,234890.0,0.0,1.0,49.57,49.93,49.3,49.81,234890.0
2018-02-12,49.39,50.15,48.97,49.79,641794.0,0.0,1.0,49.39,50.15,48.97,49.79,641794.0
2018-02-09,50.17,50.24,47.95,49.0,689227.0,0.0,1.0,50.17,50.24,47.95,49.0,689227.0
2018-02-08,50.93,51.19,49.62,49.62,383544.0,0.0,1.0,50.93,51.19,49.62,49.62,383544.0
2018-02-07,51.13,51.86,50.87,50.87,292550.0,0.0,1.0,51.13,51.86,50.87,50.87,292550.0
2018-02-06,49.72,51.76,49.29,51.25,684529.0,0.0,1.0,49.72,51.76,49.29,51.25,684529.0
2018-02-05,53.23,53.64,50.77,50.78,417426.0,0.0,1.0,53.23,53.64,50.77,50.78,417426.0
2018-02-02,54.66,54.66,53.58,53.69,273440.0,0.0,1.0,54.66,54.66,53.58,53.69,273440.0
2018-02-01,55.3,55.685,54.71,54.93,529920.0,0.0,1.0,55.3,55.685,54.71,54.93,529920.0
2018-01-31,56.0,56.27,55.15,55.34,178224.0,0.0,1.0,56.0,56.27,55.15,55.34,178224.0
2018-01-30,56.03,56.62,55.38,55.39,205481.0,0.0,1.0,56.03,56.62,55.38,55.39,205481.0
2018-01-29,56.31,56.72,55.98,56.48,159373.0,0.0,1.0,56.31,56.72,55.98,56.48,159373.0
2018-01-26,55.9,56.59,55.69,56.53,160239.0,0.0,1.0,55.9,56.59,55.69,56.53,160239.0
2018-01-25,56.48,56.48,55.53,55.82,153503.0,0.0,1.0,56.48,56.48,55.53,55.82,153503.0
2018-01-24,57.41,57.61,56.15,56.22,225497.0,0.0,1.0,57.41,57.61,56.15,56.22,225497.0
2018-01-23,55.31,57.97,55.31,57.35,551882.0,0.0,1.0,55.31,57.97,55.31,57.35,551882.0
2018-01-22,55.16,55.22,54.61,55.21,190609.0,0.0,1.0,55.16,55.22,54.61,55.21,190609.0
2018-01-19,54.54,55.23,54.54,55.17,321893.0,0.0,1.0,54.54,55.23,54.54,55.17,321893.0
2018-01-18,55.94,56.19,54.49,54.62,220654.0,0.0,1.0,55.94,56.19,54.49,54.62,220654.0
2018-01-17,56.59,56.67,55.88,56.34,362848.0,0.0,1.0,56.59,56.67,55.88,56.34,362848.0
2018-01-16,55.61,56.62,55.31,56.2,329187.0,0.0,1.0,55.61,56.62,55.31,56.2,329187.0
2018-01-12,55.48,55.715,55.05,55.55,234857.0,0.0,1.0,55.48,55.715,55.05,55.55,234857.0
2018-01-11,54.6,55.43,54.49,55.33,353138.0,0.0,1.0,54.6,55.43,54.49,55.33,353138.0
2018-01-10,54.46,54.95,54.43,54.67,262761.0,0.0,1.0,54.46,54.95,54.43,54.67,262761.0
2018-01-09,54.73,55.35,54.445,54.52,218692.0,0.0,1.0,54.73,55.35,54.445,54.52,218692.0
2018-01-08,54.55,54.65,54.19,54.6,265289.0,0.0,1.0,54.55,54.65,54.19,54.6,265289.0
2018-01-05,55.45,55.77,53.69,54.58,353998.0,0.0,1.0,55.45,55.77,53.69,54.58,353998.0
2018-01-04,53.99,55.88,53.45,55.48,415304.0,0.0,1.0,53.99,55.88,53.45,55.48,415304.0
2018-01-03,53.3,53.9197,53.16,53.62,271609.0,0.0,1.0,53.3,53.9197,53.16,53.62,271609.0
2018-01-02,54.43,54.43,53.0925,53.36,252378.0,0.0,1.0,54.43,54.43,53.0925,53.36,252378.0
2017-12-29,53.66,55.0,53.66,54.2,314750.0,0.0,1.0,53.66,55.0,53.66,54.2,314750.0
2017-12-28,53.3,53.76,52.92,53.61,708626.0,0.0,1.0,53.3,53.76,52.92,53.61,708626.0
2017-12-27,52.75,53.38,52.39,53.2,276043.0,0.0,1.0,52.75,53.38,52.39,53.2,276043.0
2017-12-26,53.75,53.97,52.75,52.84,199945.0,0.0,1.0,53.75,53.97,52.75,52.84,199945.0
2017-12-22,53.95,54.18,53.63,53.8,148785.0,0.0,1.0,53.95,54.18,53.63,53.8,148785.0
2017-12-21,53.75,54.2,52.8,54.04,380292.0,0.0,1.0,53.75,54.2,52.8,54.04,380292.0
2017-12-20,52.7,53.15,52.52,53.07,247497.0,0.0,1.0,52.7,53.15,52.52,53.07,247497.0
2017-12-19,53.63,53.77,52.54,52.63,213793.0,0.0,1.0,53.63,53.77,52.54,52.63,213793.0
2017-12-18,52.93,53.93,52.55,53.17,377746.0,0.0,1.0,52.93,53.93,52.55,53.17,377746.0
2017-12-15,52.67,52.84,52.09,52.17,504510.0,0.0,1.0,52.67,52.84,52.09,52.17,504510.0
2017-12-14,53.16,53.22,51.87,51.91,299326.0,0.0,1.0,53.16,53.22,51.87,51.91,299326.0
2017-12-13,53.06,53.52,52.835,52.87,242683.0,0.0,1.0,53.06,53.52,52.835,52.87,242683.0
2017-12-12,53.34,53.5,52.96,53.0,241263.0,0.0,1.0,53.34,53.5,52.96,53.0,241263.0
