Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,71.82,72.07,70.79,71.22,399634.0,0.0,1.0,71.82,72.07,70.79,71.22,399634.0
2018-03-26,70.99,71.81,70.3,71.73,431485.0,0.0,1.0,70.99,71.81,70.3,71.73,431485.0
2018-03-23,71.23,71.72,69.98,70.22,1043250.0,0.0,1.0,71.23,71.72,69.98,70.22,1043250.0
2018-03-22,70.96,72.19,70.8,71.2,839758.0,0.0,1.0,70.96,72.19,70.8,71.2,839758.0
2018-03-21,71.86,72.36,71.44,71.44,249027.0,0.0,1.0,71.86,72.36,71.44,71.44,249027.0
2018-03-20,71.6,72.44,71.5,72.06,226015.0,0.0,1.0,71.6,72.44,71.5,72.06,226015.0
2018-03-19,71.31,71.94,71.11,71.58,395628.0,0.0,1.0,71.31,71.94,71.11,71.58,395628.0
2018-03-16,71.33,71.86,70.99,71.34,807286.0,0.0,1.0,71.33,71.86,70.99,71.34,807286.0
2018-03-15,71.47,71.71,71.01,71.19,281594.0,0.0,1.0,71.47,71.71,71.01,71.19,281594.0
2018-03-14,72.39,72.39,71.06,71.33,396617.0,0.0,1.0,72.39,72.39,71.06,71.33,396617.0
2018-03-13,72.62,72.62,71.53,72.08,338223.0,0.0,1.0,72.62,72.62,71.53,72.08,338223.0
2018-03-12,71.98,72.9,71.83,72.62,533621.0,0.0,1.0,71.98,72.9,71.83,72.62,533621.0
2018-03-09,70.94,71.99,70.56,71.99,339605.0,0.0,1.0,70.94,71.99,70.56,71.99,339605.0
2018-03-08,70.83,70.83,70.2,70.5,391849.0,0.0,1.0,70.83,70.83,70.2,70.5,391849.0
2018-03-07,70.27,70.73,69.72,70.63,456612.0,0.0,1.0,70.27,70.73,69.72,70.63,456612.0
2018-03-06,70.29,70.73,69.01,70.52,373159.0,0.0,1.0,70.29,70.73,69.01,70.52,373159.0
2018-03-05,68.22,70.34,68.22,70.18,287675.0,0.0,1.0,68.22,70.34,68.22,70.18,287675.0
2018-03-02,67.56,68.36,67.3851,68.22,233553.0,0.0,1.0,67.56,68.36,67.3851,68.22,233553.0
2018-03-01,68.5,68.91,67.57,67.9,219070.0,0.0,1.0,68.5,68.91,67.57,67.9,219070.0
2018-02-28,69.75,70.29,68.37,68.38,357772.0,0.0,1.0,69.75,70.29,68.37,68.38,357772.0
2018-02-27,70.03,70.31,69.5,69.5,283555.0,0.0,1.0,70.03,70.31,69.5,69.5,283555.0
2018-02-26,69.28,70.16,69.14,70.08,241545.0,0.0,1.0,69.28,70.16,69.14,70.08,241545.0
2018-02-23,68.93,69.27,68.18,69.04,296068.0,0.0,1.0,68.93,69.27,68.18,69.04,296068.0
2018-02-22,69.37,69.88,68.65,68.77,388029.0,0.0,1.0,69.37,69.88,68.65,68.77,388029.0
2018-02-21,68.75,69.98,68.75,69.14,362633.0,0.0,1.0,68.75,69.98,68.75,69.14,362633.0
2018-02-20,69.6,69.6,68.16,68.73,315936.0,0.0,1.0,69.6,69.6,68.16,68.73,315936.0
2018-02-16,69.54,70.0,69.43,69.83,472515.0,0.0,1.0,69.54,70.0,69.43,69.83,472515.0
2018-02-15,69.75,69.88,69.12,69.74,253030.0,0.0,1.0,69.75,69.88,69.12,69.74,253030.0
2018-02-14,68.16,69.49,67.615,69.43,314381.0,0.0,1.0,68.16,69.49,67.615,69.43,314381.0
2018-02-13,67.78,68.34,67.17,68.22,338152.0,0.0,1.0,67.78,68.34,67.17,68.22,338152.0
2018-02-12,68.21,68.74,67.31,68.02,506982.0,0.0,1.0,68.21,68.74,67.31,68.02,506982.0
2018-02-09,68.18,68.54,67.12,68.02,663635.0,0.0,1.0,68.18,68.54,67.12,68.02,663635.0
