Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,65.61,65.61,62.08,62.5,1296241.0,0.0,1.0,65.61,65.61,62.08,62.5,1296241.0
2018-03-26,63.86,65.5775,63.6,65.45,884716.0,0.0,1.0,63.86,65.5775,63.6,65.45,884716.0
2018-03-23,65.35,66.2,62.13,63.06,1462079.0,0.0,1.0,65.35,66.2,62.13,63.06,1462079.0
2018-03-22,65.07,66.23,64.58,64.68,1864164.0,0.0,1.0,65.07,66.23,64.58,64.68,1864164.0
2018-03-21,67.8,68.3754,65.54,65.7,1251191.0,0.0,1.0,67.8,68.3754,65.54,65.7,1251191.0
2018-03-20,66.32,69.09,66.3,67.88,1396245.0,0.0,1.0,66.32,69.09,66.3,67.88,1396245.0
2018-03-19,66.64,67.68,65.67,66.31,1471477.0,0.0,1.0,66.64,67.68,65.67,66.31,1471477.0
2018-03-16,64.74,68.63,64.7,66.99,2567490.0,0.0,1.0,64.74,68.63,64.7,66.99,2567490.0
2018-03-15,64.89,65.4638,63.53,64.74,962699.0,0.0,1.0,64.89,65.4638,63.53,64.74,962699.0
2018-03-14,65.44,66.0587,63.815,64.42,909718.0,0.0,1.0,65.44,66.0587,63.815,64.42,909718.0
2018-03-13,65.03,66.359,64.19,65.4,1416695.0,0.0,1.0,65.03,66.359,64.19,65.4,1416695.0
2018-03-12,63.95,65.77,63.73,64.86,1721005.0,0.0,1.0,63.95,65.77,63.73,64.86,1721005.0
2018-03-09,63.0,64.25,61.5,63.58,2048256.0,0.0,1.0,63.0,64.25,61.5,63.58,2048256.0
2018-03-08,61.53,63.0,59.64,62.87,2278262.0,0.0,1.0,61.53,63.0,59.64,62.87,2278262.0
2018-03-07,58.25,62.99,58.03,61.13,3620892.0,0.0,1.0,58.25,62.99,58.03,61.13,3620892.0
2018-03-06,61.05,61.58,57.57,58.42,4566993.0,0.0,1.0,61.05,61.58,57.57,58.42,4566993.0
2018-03-05,61.58,63.5,60.8,61.02,3183929.0,0.0,1.0,61.58,63.5,60.8,61.02,3183929.0
2018-03-02,64.1,64.31,61.72,62.21,2627538.0,0.0,1.0,64.1,64.31,61.72,62.21,2627538.0
2018-03-01,68.66,68.74,63.66,64.79,2961257.0,0.0,1.0,68.66,68.74,63.66,64.79,2961257.0
2018-02-28,76.38,77.0,67.58,67.62,5872633.0,0.0,1.0,76.38,77.0,67.58,67.62,5872633.0
2018-02-27,71.03,71.74,68.61,69.83,2145676.0,0.0,1.0,71.03,71.74,68.61,69.83,2145676.0
2018-02-26,74.32,75.75,71.03,71.66,1860391.0,0.0,1.0,74.32,75.75,71.03,71.66,1860391.0
2018-02-23,71.94,73.82,71.9021,73.47,862894.0,0.0,1.0,71.94,73.82,71.9021,73.47,862894.0
2018-02-22,72.02,72.8912,70.78,71.68,885150.0,0.0,1.0,72.02,72.8912,70.78,71.68,885150.0
2018-02-21,72.84,74.18,71.62,71.7,1291185.0,0.0,1.0,72.84,74.18,71.62,71.7,1291185.0
2018-02-20,74.66,77.19,72.12,72.43,1788940.0,0.0,1.0,74.66,77.19,72.12,72.43,1788940.0
2018-02-16,73.8,75.16,73.41,74.78,802386.0,0.0,1.0,73.8,75.16,73.41,74.78,802386.0
2018-02-15,74.5,74.68,72.5,73.94,879862.0,0.0,1.0,74.5,74.68,72.5,73.94,879862.0
2018-02-14,70.92,74.49,70.85,74.08,1020249.0,0.0,1.0,70.92,74.49,70.85,74.08,1020249.0
2018-02-13,70.58,72.38,69.9978,71.69,937192.0,0.0,1.0,70.58,72.38,69.9978,71.69,937192.0
2018-02-12,69.86,72.25,68.91,70.62,1547167.0,0.0,1.0,69.86,72.25,68.91,70.62,1547167.0
2018-02-09,69.12,70.7638,66.21,69.17,1805706.0,0.0,1.0,69.12,70.7638,66.21,69.17,1805706.0
2018-02-08,74.42,76.09,67.74,67.91,2995745.0,0.0,1.0,74.42,76.09,67.74,67.91,2995745.0
2018-02-07,63.06,76.0,62.73,73.97,5766389.0,0.0,1.0,63.06,76.0,62.73,73.97,5766389.0
2018-02-06,61.5,63.87,61.0,63.06,1714524.0,0.0,1.0,61.5,63.87,61.0,63.06,1714524.0
2018-02-05,61.71,65.0,61.35,62.47,1622932.0,0.0,1.0,61.71,65.0,61.35,62.47,1622932.0
2018-02-02,63.82,64.61,62.73,62.73,1136322.0,0.0,1.0,63.82,64.61,62.73,62.73,1136322.0
2018-02-01,64.04,65.22,62.5,64.32,1404951.0,0.0,1.0,64.04,65.22,62.5,64.32,1404951.0
2018-01-31,64.38,65.43,63.88,64.29,874106.0,0.0,1.0,64.38,65.43,63.88,64.29,874106.0
2018-01-30,61.78,64.47,61.35,63.97,1362287.0,0.0,1.0,61.78,64.47,61.35,63.97,1362287.0
2018-01-29,65.17,65.49,62.62,62.92,1342435.0,0.0,1.0,65.17,65.49,62.62,62.92,1342435.0
2018-01-26,66.05,66.56,63.79,65.44,1557944.0,0.0,1.0,66.05,66.56,63.79,65.44,1557944.0
2018-01-25,63.81,66.06,62.4,65.89,2554203.0,0.0,1.0,63.81,66.06,62.4,65.89,2554203.0
2018-01-24,68.15,68.88,66.08,67.34,1603737.0,0.0,1.0,68.15,68.88,66.08,67.34,1603737.0
2018-01-23,65.0,68.09,64.52,67.7,1880435.0,0.0,1.0,65.0,68.09,64.52,67.7,1880435.0
2018-01-22,63.25,64.98,62.73,64.86,1310948.0,0.0,1.0,63.25,64.98,62.73,64.86,1310948.0
2018-01-19,61.47,63.66,61.4,63.5,2062515.0,0.0,1.0,61.47,63.66,61.4,63.5,2062515.0
2018-01-18,61.945,61.95,60.25,61.19,1057928.0,0.0,1.0,61.945,61.95,60.25,61.19,1057928.0
2018-01-17,59.33,63.1,59.191,61.84,2340275.0,0.0,1.0,59.33,63.1,59.191,61.84,2340275.0
2018-01-16,60.0,60.5,58.47,59.21,2325496.0,0.0,1.0,60.0,60.5,58.47,59.21,2325496.0
2018-01-12,57.12,59.7,57.01,59.44,2171142.0,0.0,1.0,57.12,59.7,57.01,59.44,2171142.0
2018-01-11,57.0,57.54,56.2201,56.98,1951180.0,0.0,1.0,57.0,57.54,56.2201,56.98,1951180.0
2018-01-10,56.69,57.96,55.45,56.89,2566876.0,0.0,1.0,56.69,57.96,55.45,56.89,2566876.0
2018-01-09,52.62,57.92,52.12,57.37,5691459.0,0.0,1.0,52.62,57.92,52.12,57.37,5691459.0
2018-01-08,47.09,53.7217,47.09,52.62,5508339.0,0.0,1.0,47.09,53.7217,47.09,52.62,5508339.0
2018-01-05,46.78,46.94,46.03,46.91,641890.0,0.0,1.0,46.78,46.94,46.03,46.91,641890.0
2018-01-04,47.18,47.62,46.03,46.7,945420.0,0.0,1.0,47.18,47.62,46.03,46.7,945420.0
2018-01-03,48.0,48.34,45.94,47.18,1798517.0,0.0,1.0,48.0,48.34,45.94,47.18,1798517.0
2018-01-02,46.0,47.9,45.31,47.83,3053586.0,0.0,1.0,46.0,47.9,45.31,47.83,3053586.0
2017-12-29,47.44,47.52,43.88,44.28,2742213.0,0.0,1.0,47.44,47.52,43.88,44.28,2742213.0
2017-12-28,49.59,49.86,47.31,47.38,1197937.0,0.0,1.0,49.59,49.86,47.31,47.38,1197937.0
2017-12-27,48.4,49.93,48.335,49.35,777838.0,0.0,1.0,48.4,49.93,48.335,49.35,777838.0
2017-12-26,50.33,50.52,48.4488,48.79,1461305.0,0.0,1.0,50.33,50.52,48.4488,48.79,1461305.0
2017-12-22,47.26,52.07,47.0,50.52,3121507.0,0.0,1.0,47.26,52.07,47.0,50.52,3121507.0
2017-12-21,47.12,47.67,46.0,47.45,917837.0,0.0,1.0,47.12,47.67,46.0,47.45,917837.0
2017-12-20,46.86,46.905,45.85,46.77,755224.0,0.0,1.0,46.86,46.905,45.85,46.77,755224.0
2017-12-19,47.28,47.4,45.65,45.85,861903.0,0.0,1.0,47.28,47.4,45.65,45.85,861903.0
2017-12-18,45.95,47.68,45.34,47.02,1205085.0,0.0,1.0,45.95,47.68,45.34,47.02,1205085.0
2017-12-15,45.65,46.0,45.2601,45.34,949656.0,0.0,1.0,45.65,46.0,45.2601,45.34,949656.0
2017-12-14,46.03,46.08,45.03,45.33,489442.0,0.0,1.0,46.03,46.08,45.03,45.33,489442.0
2017-12-13,46.02,46.71,45.34,45.98,529608.0,0.0,1.0,46.02,46.71,45.34,45.98,529608.0
2017-12-12,47.01,47.78,45.9,45.95,996895.0,0.0,1.0,47.01,47.78,45.9,45.95,996895.0
2017-12-11,47.11,47.96,46.35,46.85,680016.0,0.0,1.0,47.11,47.96,46.35,46.85,680016.0
2017-12-08,47.28,48.56,46.55,47.11,1091588.0,0.0,1.0,47.28,48.56,46.55,47.11,1091588.0
2017-12-07,45.89,47.76,44.86,47.04,1039985.0,0.0,1.0,45.89,47.76,44.86,47.04,1039985.0
2017-12-06,44.44,46.08,43.9225,45.72,1048217.0,0.0,1.0,44.44,46.08,43.9225,45.72,1048217.0
2017-12-05,42.94,44.52,42.69,44.44,789983.0,0.0,1.0,42.94,44.52,42.69,44.44,789983.0
2017-12-04,43.77,43.9,42.54,42.8,567482.0,0.0,1.0,43.77,43.9,42.54,42.8,567482.0
2017-12-01,43.84,43.9812,41.52,43.15,1353559.0,0.0,1.0,43.84,43.9812,41.52,43.15,1353559.0
2017-11-30,42.97,44.3,42.55,44.07,802513.0,0.0,1.0,42.97,44.3,42.55,44.07,802513.0
2017-11-29,43.25,43.7,41.95,42.95,742430.0,0.0,1.0,43.25,43.7,41.95,42.95,742430.0
2017-11-28,41.97,43.44,41.7,43.08,1003148.0,0.0,1.0,41.97,43.44,41.7,43.08,1003148.0
2017-11-27,43.25,43.33,41.15,41.69,1482539.0,0.0,1.0,43.25,43.33,41.15,41.69,1482539.0
2017-11-24,43.9,44.47,43.2,43.63,520756.0,0.0,1.0,43.9,44.47,43.2,43.63,520756.0
2017-11-22,44.93,45.55,43.71,43.96,1117267.0,0.0,1.0,44.93,45.55,43.71,43.96,1117267.0
2017-11-21,46.51,46.7925,44.75,45.0,1044235.0,0.0,1.0,46.51,46.7925,44.75,45.0,1044235.0
2017-11-20,45.23,46.3,45.06,46.21,1006813.0,0.0,1.0,45.23,46.3,45.06,46.21,1006813.0
2017-11-17,44.17,45.19,43.96,45.18,917821.0,0.0,1.0,44.17,45.19,43.96,45.18,917821.0
2017-11-16,44.5,45.32,44.36,44.38,865526.0,0.0,1.0,44.5,45.32,44.36,44.38,865526.0
2017-11-15,43.91,44.49,42.8983,44.34,674294.0,0.0,1.0,43.91,44.49,42.8983,44.34,674294.0
2017-11-14,43.67,44.55,43.25,44.26,1005185.0,0.0,1.0,43.67,44.55,43.25,44.26,1005185.0
