Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,56.84,56.87,54.9,55.79,681926.0,0.0,1.0,56.84,56.87,54.9,55.79,681926.0
2018-03-26,56.67,57.33,55.975,57.22,486647.0,0.0,1.0,56.67,57.33,55.975,57.22,486647.0
2018-03-23,56.34,56.91,55.97,56.03,328522.0,0.0,1.0,56.34,56.91,55.97,56.03,328522.0
2018-03-22,55.98,57.16,55.98,56.25,506153.0,0.0,1.0,55.98,57.16,55.98,56.25,506153.0
2018-03-21,56.4,56.855,55.9,56.28,431575.0,0.0,1.0,56.4,56.855,55.9,56.28,431575.0
2018-03-20,56.95,57.62,56.07,56.42,261923.0,0.0,1.0,56.95,57.62,56.07,56.42,261923.0
2018-03-19,57.28,57.28,56.56,56.91,359595.0,0.0,1.0,57.28,57.28,56.56,56.91,359595.0
2018-03-16,57.0,57.61,56.855,57.38,600897.0,0.0,1.0,57.0,57.61,56.855,57.38,600897.0
2018-03-15,57.69,58.02,56.87,57.07,363110.0,0.0,1.0,57.69,58.02,56.87,57.07,363110.0
2018-03-14,57.61,58.05,57.28,57.77,682388.0,0.0,1.0,57.61,58.05,57.28,57.77,682388.0
2018-03-13,57.95,58.58,57.28,58.28,689424.0,0.0,1.0,57.95,58.58,57.28,58.28,689424.0
2018-03-12,57.09,57.91,57.09,57.7,1061574.0,0.0,1.0,57.09,57.91,57.09,57.7,1061574.0
2018-03-09,57.78,57.78,56.58,57.2,530773.0,0.0,1.0,57.78,57.78,56.58,57.2,530773.0
2018-03-08,58.44,58.57,57.32,57.65,599939.0,0.0,1.0,58.44,58.57,57.32,57.65,599939.0
2018-03-07,59.64,60.39,58.12,58.28,751558.0,0.0,1.0,59.64,60.39,58.12,58.28,751558.0
2018-03-06,59.46,60.195,58.9,59.9,570997.0,0.0,1.0,59.46,60.195,58.9,59.9,570997.0
2018-03-05,59.36,60.52,59.28,59.41,482894.0,0.0,1.0,59.36,60.52,59.28,59.41,482894.0
2018-03-02,59.18,60.34,58.31,59.87,570876.0,0.0,1.0,59.18,60.34,58.31,59.87,570876.0
2018-03-01,58.39,59.61,58.16,59.19,980194.0,0.0,1.0,58.39,59.61,58.16,59.19,980194.0
2018-02-28,58.94,59.84,58.17,58.46,1216101.0,0.0,1.0,58.94,59.84,58.17,58.46,1216101.0
2018-02-27,62.02,62.8,58.3,58.57,1139716.0,0.0,1.0,62.02,62.8,58.3,58.57,1139716.0
2018-02-26,61.2,61.83,60.45,61.81,483445.0,0.0,1.0,61.2,61.83,60.45,61.81,483445.0
2018-02-23,60.55,61.17,59.92,60.82,470610.0,0.0,1.0,60.55,61.17,59.92,60.82,470610.0
