Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,59.38,59.38,58.34,58.49,805509.0,0.0,1.0,59.38,59.38,58.34,58.49,805509.0
2018-03-26,59.71,60.17,58.38,59.13,763922.0,0.0,1.0,59.71,60.17,58.38,59.13,763922.0
2018-03-23,60.01,60.05,58.73,58.82,631658.0,0.0,1.0,60.01,60.05,58.73,58.82,631658.0
2018-03-22,60.64,61.27,59.73,59.78,495410.0,0.0,1.0,60.64,61.27,59.73,59.78,495410.0
2018-03-21,61.08,61.84,60.75,61.24,714791.0,0.0,1.0,61.08,61.84,60.75,61.24,714791.0
2018-03-20,61.35,61.85,60.76,61.28,516016.0,0.0,1.0,61.35,61.85,60.76,61.28,516016.0
2018-03-19,61.41,61.43,60.5,61.36,521363.0,0.0,1.0,61.41,61.43,60.5,61.36,521363.0
2018-03-16,60.66,61.82,60.57,61.61,755153.0,0.0,1.0,60.66,61.82,60.57,61.61,755153.0
2018-03-15,60.99,61.27,60.5,60.56,409884.0,0.0,1.0,60.99,61.27,60.5,60.56,409884.0
2018-03-14,61.61,61.76,60.62,60.77,505900.0,0.0,1.0,61.61,61.76,60.62,60.77,505900.0
2018-03-13,62.06,62.528999999999996,61.095,61.2,2250781.0,0.0,1.0,62.06,62.528999999999996,61.095,61.2,2250781.0
2018-03-12,62.48,62.92,61.87,61.88,471481.0,0.0,1.0,62.48,62.92,61.87,61.88,471481.0
2018-03-09,62.1,62.8,61.55,62.46,860635.0,0.0,1.0,62.1,62.8,61.55,62.46,860635.0
2018-03-08,62.1,62.1,60.475,61.63,819554.0,0.0,1.0,62.1,62.1,60.475,61.63,819554.0
2018-03-07,61.29,61.93,60.99,61.75,771170.0,0.0,1.0,61.29,61.93,60.99,61.75,771170.0
2018-03-06,61.14,62.16,60.63,61.61,1145651.0,0.0,1.0,61.14,62.16,60.63,61.61,1145651.0
2018-03-05,61.6,62.67,61.0,61.18,1368043.0,0.0,1.0,61.6,62.67,61.0,61.18,1368043.0
2018-03-02,60.43,61.32,59.09,61.18,1188859.0,0.0,1.0,60.43,61.32,59.09,61.18,1188859.0
2018-03-01,60.0,62.49,60.0,60.91,2938761.0,0.0,1.0,60.0,62.49,60.0,60.91,2938761.0
2018-02-28,57.61,57.99,56.985,57.2,506893.0,0.0,1.0,57.61,57.99,56.985,57.2,506893.0
2018-02-27,58.87,59.11,57.23,57.24,517518.0,0.0,1.0,58.87,59.11,57.23,57.24,517518.0
2018-02-26,58.84,59.205,58.0,58.88,525331.0,0.0,1.0,58.84,59.205,58.0,58.88,525331.0
2018-02-23,58.39,59.07,58.0,59.02,479639.0,0.0,1.0,58.39,59.07,58.0,59.02,479639.0
2018-02-22,58.7,59.1,57.97,57.97,465005.0,0.0,1.0,58.7,59.1,57.97,57.97,465005.0
2018-02-21,57.79,59.49,57.71,58.68,676476.0,0.0,1.0,57.79,59.49,57.71,58.68,676476.0
2018-02-20,58.62,58.91,57.54,57.72,652351.0,0.0,1.0,58.62,58.91,57.54,57.72,652351.0
2018-02-16,58.77,59.22,58.53,59.04,635375.0,0.0,1.0,58.77,59.22,58.53,59.04,635375.0
2018-02-15,59.61,60.0,58.4,59.03,568670.0,0.0,1.0,59.61,60.0,58.4,59.03,568670.0
2018-02-14,58.07,59.745,57.67,59.38,1250538.0,0.0,1.0,58.07,59.745,57.67,59.38,1250538.0
2018-02-13,57.32,58.06,56.93,57.39,543506.0,0.0,1.0,57.32,58.06,56.93,57.39,543506.0
2018-02-12,57.61,58.0,56.87,57.54,807050.0,0.0,1.0,57.61,58.0,56.87,57.54,807050.0
2018-02-09,57.13,57.77,56.235,57.21,1461474.0,0.0,1.0,57.13,57.77,56.235,57.21,1461474.0
2018-02-08,58.33,58.43,56.4207,56.72,720026.0,0.0,1.0,58.33,58.43,56.4207,56.72,720026.0
2018-02-07,58.72,59.11,58.11,58.3,770332.0,0.0,1.0,58.72,59.11,58.11,58.3,770332.0
2018-02-06,57.05,59.15,56.4,58.93,1149758.0,0.0,1.0,57.05,59.15,56.4,58.93,1149758.0
2018-02-05,59.49,60.14,58.16,58.17,1263450.0,0.0,1.0,59.49,60.14,58.16,58.17,1263450.0
2018-02-02,59.21,60.59,58.0,59.82,1430351.0,0.0,1.0,59.21,60.59,58.0,59.82,1430351.0
2018-02-01,62.06,62.06,59.17,60.19,2705521.0,0.0,1.0,62.06,62.06,59.17,60.19,2705521.0
2018-01-31,63.32,63.93,62.63,62.78,1512042.0,0.0,1.0,63.32,63.93,62.63,62.78,1512042.0
2018-01-30,60.54,64.45,60.28,63.24,2989727.0,0.0,1.0,60.54,64.45,60.28,63.24,2989727.0
2018-01-29,60.0,60.87,59.63,59.87,693400.0,0.0,1.0,60.0,60.87,59.63,59.87,693400.0
2018-01-26,60.38,60.38,59.4812,60.0,469374.0,0.0,1.0,60.38,60.38,59.4812,60.0,469374.0
2018-01-25,60.32,60.32,59.14,59.93,804899.0,0.0,1.0,60.32,60.32,59.14,59.93,804899.0
2018-01-24,59.71,60.62,59.27,60.0,1031733.0,0.0,1.0,59.71,60.62,59.27,60.0,1031733.0
2018-01-23,58.45,59.415,58.36,59.14,917340.0,0.0,1.0,58.45,59.415,58.36,59.14,917340.0
2018-01-22,58.61,58.61,57.81,58.26,632122.0,0.0,1.0,58.61,58.61,57.81,58.26,632122.0
2018-01-19,57.79,58.5,57.465,58.41,630228.0,0.0,1.0,57.79,58.5,57.465,58.41,630228.0
2018-01-18,58.1,58.19,57.13,57.83,755261.0,0.0,1.0,58.1,58.19,57.13,57.83,755261.0
2018-01-17,57.84,58.36,57.59,58.17,650232.0,0.0,1.0,57.84,58.36,57.59,58.17,650232.0
2018-01-16,57.92,58.27,56.688,57.0,532982.0,0.0,1.0,57.92,58.27,56.688,57.0,532982.0
2018-01-12,57.14,57.73,57.0,57.63,530790.0,0.0,1.0,57.14,57.73,57.0,57.63,530790.0
2018-01-11,55.77,57.31,55.64,57.07,659430.0,0.0,1.0,55.77,57.31,55.64,57.07,659430.0
2018-01-10,55.91,56.29,55.415,55.49,582665.0,0.0,1.0,55.91,56.29,55.415,55.49,582665.0
2018-01-09,56.98,57.05,55.49,56.2,1026096.0,0.0,1.0,56.98,57.05,55.49,56.2,1026096.0
2018-01-08,56.71,57.09,56.21,56.95,618444.0,0.0,1.0,56.71,57.09,56.21,56.95,618444.0
2018-01-05,56.19,56.88,55.44,56.76,834915.0,0.0,1.0,56.19,56.88,55.44,56.76,834915.0
2018-01-04,56.53,56.805,55.61,55.77,872182.0,0.0,1.0,56.53,56.805,55.61,55.77,872182.0
