Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,1063.0,1064.84,996.92,1005.1,3029471.0,0.0,1.0,1063.0,1064.84,996.92,1005.1,3029471.0
2018-03-26,1046.0,1055.63,1008.4,1053.21,2558385.0,0.0,1.0,1046.0,1055.63,1008.4,1053.21,2558385.0
2018-03-23,1047.03,1063.36,1021.22,1021.57,2113497.0,0.0,1.0,1047.03,1063.36,1021.22,1021.57,2113497.0
2018-03-22,1081.88,1082.9,1045.91,1049.08,2580374.0,0.0,1.0,1081.88,1082.9,1045.91,1049.08,2580374.0
2018-03-21,1092.74,1106.3,1085.15,1090.88,1640709.0,0.0,1.0,1092.74,1106.3,1085.15,1090.88,1640709.0
2018-03-20,1099.0,1105.2,1083.46,1097.71,1783872.0,0.0,1.0,1099.0,1105.2,1083.46,1097.71,1783872.0
2018-03-19,1120.01,1121.99,1089.01,1099.82,2339506.0,0.0,1.0,1120.01,1121.99,1089.01,1099.82,2339506.0
2018-03-16,1154.14,1155.88,1131.96,1135.73,2560277.0,0.0,1.0,1154.14,1155.88,1131.96,1135.73,2560277.0
2018-03-15,1149.96,1161.08,1134.54,1149.58,1392521.0,0.0,1.0,1149.96,1161.08,1134.54,1149.58,1392521.0
2018-03-14,1145.21,1158.59,1141.44,1149.49,1192615.0,0.0,1.0,1145.21,1158.59,1141.44,1149.49,1192615.0
2018-03-13,1170.0,1176.76,1133.33,1138.17,1808098.0,0.0,1.0,1170.0,1176.76,1133.33,1138.17,1808098.0
2018-03-12,1163.85,1177.05,1157.42,1164.5,2076306.0,0.0,1.0,1163.85,1177.05,1157.42,1164.5,2076306.0
2018-03-09,1136.0,1160.8,1132.46,1160.04,2074952.0,0.0,1.0,1136.0,1160.8,1132.46,1160.04,2074952.0
2018-03-08,1115.32,1127.6,1112.8,1126.0,1240299.0,0.0,1.0,1115.32,1127.6,1112.8,1126.0,1240299.0
2018-03-07,1089.19,1112.22,1085.48,1109.64,1292537.0,0.0,1.0,1089.19,1112.22,1085.48,1109.64,1292537.0
2018-03-06,1099.22,1101.85,1089.78,1095.06,1532783.0,0.0,1.0,1099.22,1101.85,1089.78,1095.06,1532783.0
2018-03-05,1075.14,1097.1,1069.0,1090.93,1202174.0,0.0,1.0,1075.14,1097.1,1069.0,1090.93,1202174.0
2018-03-02,1053.08,1082.0,1048.12,1078.92,2271551.0,0.0,1.0,1053.08,1082.0,1048.12,1078.92,2271551.0
2018-03-01,1107.87,1110.12,1067.0,1069.52,2515910.0,0.0,1.0,1107.87,1110.12,1067.0,1069.52,2515910.0
2018-02-28,1123.03,1127.53,1103.24,1104.73,1858051.0,0.0,1.0,1123.03,1127.53,1103.24,1104.73,1858051.0
2018-02-27,1141.24,1144.04,1118.0,1118.29,1741578.0,0.0,1.0,1141.24,1144.04,1118.0,1118.29,1741578.0
2018-02-26,1127.8,1143.96,1126.69,1143.75,1492380.0,0.0,1.0,1127.8,1143.96,1126.69,1143.75,1492380.0
2018-02-23,1112.64,1127.28,1104.71,1126.79,1158377.0,0.0,1.0,1112.64,1127.28,1104.71,1126.79,1158377.0
2018-02-22,1116.19,1122.82,1102.59,1106.63,1306276.0,0.0,1.0,1116.19,1122.82,1102.59,1106.63,1306276.0
2018-02-21,1106.47,1133.97,1106.33,1111.34,1493162.0,0.0,1.0,1106.47,1133.97,1106.33,1111.34,1493162.0
2018-02-20,1090.57,1113.95,1088.52,1102.46,1381603.0,0.0,1.0,1090.57,1113.95,1088.52,1102.46,1381603.0
2018-02-16,1088.41,1104.67,1088.31,1094.8,1664969.0,0.0,1.0,1088.41,1104.67,1088.31,1094.8,1664969.0
2018-02-15,1079.07,1091.48,1064.34,1089.52,1777694.0,0.0,1.0,1079.07,1091.48,1064.34,1089.52,1777694.0
2018-02-14,1048.95,1071.72,1046.75,1069.7,1515444.0,0.0,1.0,1048.95,1071.72,1046.75,1069.7,1515444.0
2018-02-13,1045.0,1058.37,1044.09,1052.1,1209341.0,0.0,1.0,1045.0,1058.37,1044.09,1052.1,1209341.0
2018-02-12,1048.0,1061.5,1040.93,1051.94,2038875.0,0.0,1.0,1048.0,1061.5,1040.93,1051.94,2038875.0
2018-02-09,1017.25,1043.97,992.56,1035.88,3267883.0,0.0,1.0,1017.25,1043.97,992.56,1035.88,3267883.0
2018-02-08,1055.41,1058.62,1001.0,1001.0,2720942.0,0.0,1.0,1055.41,1058.62,1001.0,1001.0,2720942.0
2018-02-07,1081.54,1081.78,1048.26,1048.58,2331374.0,0.0,1.0,1081.54,1081.78,1048.26,1048.58,2331374.0
2018-02-06,1027.18,1081.71,1023.14,1080.6,3360727.0,0.0,1.0,1027.18,1081.71,1023.14,1080.6,3360727.0
2018-02-05,1090.6,1110.0,1052.03,1064.35,3336352.0,0.0,1.0,1090.6,1110.0,1052.03,1064.35,3336352.0
2018-02-02,1122.0,1123.07,1107.28,1111.9,4758496.0,0.0,1.0,1122.0,1123.07,1107.28,1111.9,4758496.0
2018-02-01,1162.61,1174.0,1157.52,1167.7,1974700.0,0.0,1.0,1162.61,1174.0,1157.52,1167.7,1974700.0
2018-01-31,1170.57,1173.0,1159.13,1169.94,1486793.0,0.0,1.0,1170.57,1173.0,1159.13,1169.94,1486793.0
2018-01-30,1167.83,1176.52,1163.52,1163.69,1400132.0,0.0,1.0,1167.83,1176.52,1163.52,1163.69,1400132.0
2018-01-29,1176.48,1186.89,1171.98,1175.58,1299218.0,0.0,1.0,1176.48,1186.89,1171.98,1175.58,1299218.0
2018-01-26,1175.08,1175.84,1158.11,1175.84,1825680.0,0.0,1.0,1175.08,1175.84,1158.11,1175.84,1825680.0
2018-01-25,1172.53,1175.94,1162.76,1170.37,1326436.0,0.0,1.0,1172.53,1175.94,1162.76,1170.37,1326436.0
2018-01-24,1177.33,1179.86,1161.05,1164.24,1351237.0,0.0,1.0,1177.33,1179.86,1161.05,1164.24,1351237.0
2018-01-23,1159.85,1171.63,1158.75,1169.97,1199326.0,0.0,1.0,1159.85,1171.63,1158.75,1169.97,1199326.0
2018-01-22,1137.49,1159.88,1135.11,1155.81,1582504.0,0.0,1.0,1137.49,1159.88,1135.11,1155.81,1582504.0
