Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,37.45,37.58,36.73,37.48,6915891.0,0.0,1.0,37.45,37.58,36.73,37.48,6915891.0
2018-03-26,37.68,37.68,36.15,37.28,3665137.0,0.0,1.0,37.68,37.68,36.15,37.28,3665137.0
2018-03-23,37.51,37.99,36.88,37.01,5894930.0,0.0,1.0,37.51,37.99,36.88,37.01,5894930.0
2018-03-22,37.65,38.01,37.1,37.28,5501343.0,0.0,1.0,37.65,38.01,37.1,37.28,5501343.0
2018-03-21,36.46,38.36,36.33,38.1,4371274.0,0.0,1.0,36.46,38.36,36.33,38.1,4371274.0
2018-03-20,35.88,36.435,35.53,36.27,4849297.0,0.0,1.0,35.88,36.435,35.53,36.27,4849297.0
2018-03-19,35.66,35.99,35.275,35.57,7502931.0,0.0,1.0,35.66,35.99,35.275,35.57,7502931.0
2018-03-16,35.43,36.305,35.21,36.14,7785917.0,0.0,1.0,35.43,36.305,35.21,36.14,7785917.0
2018-03-15,35.88,36.49,35.11,35.34,5260164.0,0.0,1.0,35.88,36.49,35.11,35.34,5260164.0
2018-03-14,35.6,36.13,35.5,35.65,4359250.0,0.0,1.0,35.6,36.13,35.5,35.65,4359250.0
2018-03-13,35.54,35.95,35.14,35.46,3445718.0,0.0,1.0,35.54,35.95,35.14,35.46,3445718.0
2018-03-12,35.41,35.88,35.22,35.41,3033470.0,0.0,1.0,35.41,35.88,35.22,35.41,3033470.0
2018-03-09,35.29,35.69,35.135,35.32,3407732.0,0.0,1.0,35.29,35.69,35.135,35.32,3407732.0
2018-03-08,34.75,35.09,34.54,34.97,3866511.0,0.0,1.0,34.75,35.09,34.54,34.97,3866511.0
2018-03-07,34.8,35.45,34.45,34.65,5018704.0,0.0,1.0,34.8,35.45,34.45,34.65,5018704.0
2018-03-06,35.58,35.68,35.02,35.36,4725569.0,0.0,1.0,35.58,35.68,35.02,35.36,4725569.0
2018-03-05,34.44,35.565,34.44,35.21,3579761.0,0.0,1.0,34.44,35.565,34.44,35.21,3579761.0
2018-03-02,33.92,34.84,33.6,34.78,4532539.0,0.0,1.0,33.92,34.84,33.6,34.78,4532539.0
2018-03-01,34.24,34.75,33.9,34.27,5861904.0,0.0,1.0,34.24,34.75,33.9,34.27,5861904.0
2018-02-28,35.0,35.26,34.04,34.15,8266818.0,0.0,1.0,35.0,35.26,34.04,34.15,8266818.0
2018-02-27,35.89,36.47,34.79,34.8,5586812.0,0.0,1.0,35.89,36.47,34.79,34.8,5586812.0
2018-02-26,36.39,36.71,35.65,35.98,5457404.0,0.0,1.0,36.39,36.71,35.65,35.98,5457404.0
2018-02-23,35.0,36.285,34.8,36.13,8018689.0,0.0,1.0,35.0,36.285,34.8,36.13,8018689.0
2018-02-22,38.25,38.4399,34.5,34.85,13478823.0,0.0,1.0,38.25,38.4399,34.5,34.85,13478823.0
2018-02-21,38.02,38.19,37.05,37.2,6883367.0,0.0,1.0,38.02,38.19,37.05,37.2,6883367.0
2018-02-20,38.29,38.74,38.04,38.3,3063900.0,0.0,1.0,38.29,38.74,38.04,38.3,3063900.0
2018-02-16,37.76,38.74,37.42,38.11,4085080.0,0.0,1.0,37.76,38.74,37.42,38.11,4085080.0
2018-02-15,38.44,38.45,37.09,38.1,4015456.0,0.0,1.0,38.44,38.45,37.09,38.1,4015456.0
2018-02-14,37.0,38.4,36.88,38.2,4463593.0,0.0,1.0,37.0,38.4,36.88,38.2,4463593.0
2018-02-13,37.7,37.95,37.3,37.7,4331447.0,0.0,1.0,37.7,37.95,37.3,37.7,4331447.0
2018-02-12,37.7,38.45,36.68,38.11,5498634.0,0.0,1.0,37.7,38.45,36.68,38.11,5498634.0
2018-02-09,38.16,38.5,35.7,37.23,5886440.0,0.0,1.0,38.16,38.5,35.7,37.23,5886440.0
2018-02-08,39.68,40.074,37.72,37.73,5179325.0,0.0,1.0,39.68,40.074,37.72,37.73,5179325.0
