Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,67.31,68.98,67.05,68.43,3384254.0,0.0,1.0,67.31,68.98,67.05,68.43,3384254.0
2018-03-26,66.82,67.51,66.56,67.31,2911694.0,0.0,1.0,66.82,67.51,66.56,67.31,2911694.0
2018-03-23,67.43,67.97,66.25,66.39,3103516.0,0.0,1.0,67.43,67.97,66.25,66.39,3103516.0
2018-03-22,67.03,68.34,66.86,67.36,3137520.0,0.0,1.0,67.03,68.34,66.86,67.36,3137520.0
2018-03-21,67.45,67.93,66.72,66.91,2805257.0,0.0,1.0,67.45,67.93,66.72,66.91,2805257.0
2018-03-20,67.21,67.86,67.18,67.45,2477476.0,0.0,1.0,67.21,67.86,67.18,67.45,2477476.0
2018-03-19,67.69,68.16,67.105,67.45,2584954.0,0.0,1.0,67.69,68.16,67.105,67.45,2584954.0
2018-03-16,67.09,67.92,67.071,67.81,6320653.0,0.0,1.0,67.09,67.92,67.071,67.81,6320653.0
2018-03-15,66.59,67.58,66.495,66.99,4150292.0,0.0,1.0,66.59,67.58,66.495,66.99,4150292.0
2018-03-14,66.23,66.93,66.11,66.59,2910262.0,0.0,1.0,66.23,66.93,66.11,66.59,2910262.0
2018-03-13,66.01,66.35,65.57,66.04,2979636.0,0.0,1.0,66.01,66.35,65.57,66.04,2979636.0
2018-03-12,65.74,65.99,65.58,65.87,3175783.0,0.0,1.0,65.74,65.99,65.58,65.87,3175783.0
2018-03-09,65.35,65.68,65.08,65.65,3307269.0,0.0,1.0,65.35,65.68,65.08,65.65,3307269.0
2018-03-08,65.04,65.58,65.0,65.3,2288062.0,0.0,1.0,65.04,65.58,65.0,65.3,2288062.0
2018-03-07,65.35,65.52,64.645,64.92,3071030.0,0.0,1.0,65.35,65.52,64.645,64.92,3071030.0
2018-03-06,66.35,66.385,65.18,65.5,3421747.0,0.0,1.0,66.35,66.385,65.18,65.5,3421747.0
2018-03-05,65.09,66.72,64.831,66.49,2720225.0,0.0,1.0,65.09,66.72,64.831,66.49,2720225.0
2018-03-02,65.74,66.35,64.6,65.18,4418660.0,0.0,1.0,65.74,66.35,64.6,65.18,4418660.0
2018-03-01,65.65,66.73,65.2391,65.62,3568049.0,0.0,1.0,65.65,66.73,65.2391,65.62,3568049.0
2018-02-28,66.24,66.56,65.56,65.58,2826392.0,0.0,1.0,66.24,66.56,65.56,65.58,2826392.0
2018-02-27,67.04,67.5,65.88,65.95,3605081.0,0.0,1.0,67.04,67.5,65.88,65.95,3605081.0
2018-02-26,67.69,67.76,66.81,66.97,1886730.0,0.0,1.0,67.69,67.76,66.81,66.97,1886730.0
2018-02-23,65.72,67.5,65.65,67.37,2380536.0,0.0,1.0,65.72,67.5,65.65,67.37,2380536.0
2018-02-22,65.74,66.21,65.43,65.68,2527677.0,0.0,1.0,65.74,66.21,65.43,65.68,2527677.0
2018-02-21,66.5,67.21,65.56,65.58,3569241.0,0.0,1.0,66.5,67.21,65.56,65.58,3569241.0
2018-02-20,67.01,67.41,65.96,66.37,2700303.0,0.0,1.0,67.01,67.41,65.96,66.37,2700303.0
2018-02-16,66.62,67.52,66.53,67.26,3358933.0,0.0,1.0,66.62,67.52,66.53,67.26,3358933.0
2018-02-15,65.43,66.68,65.31,66.68,3816472.0,0.0,1.0,65.43,66.68,65.31,66.68,3816472.0
