Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,75.63,75.63,73.02,73.39,501170.0,0.0,1.0,75.63,75.63,73.02,73.39,501170.0
2018-03-26,73.62,75.26,73.41,75.12,410736.0,0.0,1.0,73.62,75.26,73.41,75.12,410736.0
2018-03-23,74.94,75.15,72.55,72.61,634083.0,0.0,1.0,74.94,75.15,72.55,72.61,634083.0
2018-03-22,76.96,77.32,74.93,74.99,1006835.0,0.0,1.0,76.96,77.32,74.93,74.99,1006835.0
2018-03-21,77.22,78.35,77.0,77.7,545619.0,0.0,1.0,77.22,78.35,77.0,77.7,545619.0
2018-03-20,76.6,77.36,76.41,77.11,459948.0,0.0,1.0,76.6,77.36,76.41,77.11,459948.0
2018-03-19,76.19,76.83,75.66,76.39,476073.0,0.0,1.0,76.19,76.83,75.66,76.39,476073.0
2018-03-16,75.85,76.88,75.58,76.62,1202597.0,0.0,1.0,75.85,76.88,75.58,76.62,1202597.0
2018-03-15,76.13,76.13,75.23,75.53,478436.0,0.0,1.0,76.13,76.13,75.23,75.53,478436.0
2018-03-14,77.07,77.07,75.68,75.92,488109.0,0.0,1.0,77.07,77.07,75.68,75.92,488109.0
2018-03-13,77.86,77.86,76.37,76.59,592717.0,0.0,1.0,77.86,77.86,76.37,76.59,592717.0
2018-03-12,76.97,78.0,76.54,77.33,608168.0,0.0,1.0,76.97,78.0,76.54,77.33,608168.0
2018-03-09,75.06,77.03,75.06,76.97,603149.0,0.0,1.0,75.06,77.03,75.06,76.97,603149.0
2018-03-08,75.04,75.46,74.55,75.36,459981.0,0.0,1.0,75.04,75.46,74.55,75.36,459981.0
2018-03-07,73.88,75.23,73.6881,74.91,647411.0,0.0,1.0,73.88,75.23,73.6881,74.91,647411.0
2018-03-06,73.77,74.96,73.465,74.76,761779.0,0.0,1.0,73.77,74.96,73.465,74.76,761779.0
2018-03-05,72.62,74.05,72.02,73.29,1066347.0,0.0,1.0,72.62,74.05,72.02,73.29,1066347.0
