Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,47.08,48.47,46.91,47.37,1867452.0,0.0,1.0,47.08,48.47,46.91,47.37,1867452.0
2018-03-26,46.89,47.48,46.6435,47.13,1383603.0,0.0,1.0,46.89,47.48,46.6435,47.13,1383603.0
2018-03-23,46.99,47.56,46.25,46.36,1894224.0,0.0,1.0,46.99,47.56,46.25,46.36,1894224.0
2018-03-22,47.36,48.12,46.83,46.87,1354121.0,0.0,1.0,47.36,48.12,46.83,46.87,1354121.0
2018-03-21,48.2,48.4,47.32,47.7,3536031.0,0.0,1.0,48.2,48.4,47.32,47.7,3536031.0
2018-03-20,49.59,49.68,48.84,49.35,1100052.0,0.0,1.0,49.59,49.68,48.84,49.35,1100052.0
2018-03-19,49.34,49.77,49.0,49.36,1065121.0,0.0,1.0,49.34,49.77,49.0,49.36,1065121.0
2018-03-16,48.81,49.84,48.77,49.32,1908683.0,0.0,1.0,48.81,49.84,48.77,49.32,1908683.0
2018-03-15,49.46,49.56,48.725,48.92,2145653.0,0.0,1.0,49.46,49.56,48.725,48.92,2145653.0
2018-03-14,50.35,50.61,49.35,49.48,1401131.0,0.0,1.0,50.35,50.61,49.35,49.48,1401131.0
2018-03-13,50.0,50.97,49.89,50.33,1201875.0,0.0,1.0,50.0,50.97,49.89,50.33,1201875.0
2018-03-12,49.91,50.31,49.38,49.85,1401100.0,0.0,1.0,49.91,50.31,49.38,49.85,1401100.0
2018-03-09,50.43,50.75899999999999,49.38,49.99,1966949.0,0.0,1.0,50.43,50.75899999999999,49.38,49.99,1966949.0
2018-03-08,51.42,51.52,49.95,50.13,2345759.0,0.0,1.0,51.42,51.52,49.95,50.13,2345759.0
2018-03-07,52.19,52.33,50.64,51.05,2268846.0,0.0,1.0,52.19,52.33,50.64,51.05,2268846.0
2018-03-06,50.99,52.51,50.81,52.49,3278190.0,0.0,1.0,50.99,52.51,50.81,52.49,3278190.0
2018-03-05,52.9,53.18,51.74,51.9,2988274.0,0.0,1.0,52.9,53.18,51.74,51.9,2988274.0
2018-03-02,47.85,53.23,47.46,53.04,4985294.0,0.0,1.0,47.85,53.23,47.46,53.04,4985294.0
2018-03-01,50.65,50.87,49.15,50.48,3405552.0,0.0,1.0,50.65,50.87,49.15,50.48,3405552.0
2018-02-28,51.51,51.95,50.89,51.31,2161674.0,0.0,1.0,51.51,51.95,50.89,51.31,2161674.0
2018-02-27,53.14,53.53,51.01,51.03,2746940.0,0.0,1.0,53.14,53.53,51.01,51.03,2746940.0
2018-02-26,53.63,53.8,52.21,52.4,2236207.0,0.0,1.0,53.63,53.8,52.21,52.4,2236207.0
2018-02-23,50.69,54.0,50.23,53.56,7092994.0,0.0,1.0,50.69,54.0,50.23,53.56,7092994.0
2018-02-22,50.16,50.7368,50.0,50.27,1007360.0,0.0,1.0,50.16,50.7368,50.0,50.27,1007360.0
