Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,87.39,88.16,85.8,86.27,375579.0,0.0,1.0,87.39,88.16,85.8,86.27,375579.0
2018-03-26,86.91,87.4,85.28,87.4,401432.0,0.0,1.0,86.91,87.4,85.28,87.4,401432.0
2018-03-23,88.53,88.87,86.0201,86.13,423106.0,0.0,1.0,88.53,88.87,86.0201,86.13,423106.0
2018-03-22,89.41,90.53,88.84,88.88,212560.0,0.0,1.0,89.41,90.53,88.84,88.88,212560.0
2018-03-21,90.93,91.2,89.6,90.0,242229.0,0.0,1.0,90.93,91.2,89.6,90.0,242229.0
2018-03-20,90.02,91.48,87.68,90.91,285485.0,0.0,1.0,90.02,91.48,87.68,90.91,285485.0
2018-03-19,90.98,91.07,89.35,90.04,332432.0,0.0,1.0,90.98,91.07,89.35,90.04,332432.0
2018-03-16,91.29,91.44,90.12,90.98,495355.0,0.0,1.0,91.29,91.44,90.12,90.98,495355.0
2018-03-15,92.06,92.37,90.93,91.31,358475.0,0.0,1.0,92.06,92.37,90.93,91.31,358475.0
2018-03-14,92.39,92.57,91.49,92.17,335164.0,0.0,1.0,92.39,92.57,91.49,92.17,335164.0
2018-03-13,92.36,92.68,91.04,92.07,583510.0,0.0,1.0,92.36,92.68,91.04,92.07,583510.0
2018-03-12,92.27,92.67,91.23,92.01,282157.0,0.0,1.0,92.27,92.67,91.23,92.01,282157.0
2018-03-09,90.0,92.9,90.0,92.04,530052.0,0.0,1.0,90.0,92.9,90.0,92.04,530052.0
2018-03-08,89.42,89.83,88.76,89.66,252857.0,0.0,1.0,89.42,89.83,88.76,89.66,252857.0
2018-03-07,89.1,89.85,88.69,88.93,497217.0,0.0,1.0,89.1,89.85,88.69,88.93,497217.0
2018-03-06,87.31,89.94,87.17,89.68,675264.0,0.0,1.0,87.31,89.94,87.17,89.68,675264.0
2018-03-05,85.45,87.49,85.36,87.2,226997.0,0.0,1.0,85.45,87.49,85.36,87.2,226997.0
2018-03-02,85.0,85.9099,84.73,85.74,301810.0,0.0,1.0,85.0,85.9099,84.73,85.74,301810.0
2018-03-01,87.04,87.125,85.09,85.56,249002.0,0.0,1.0,87.04,87.125,85.09,85.56,249002.0
2018-02-28,87.49,88.36,87.16,87.22,535445.0,0.0,1.0,87.49,88.36,87.16,87.22,535445.0
2018-02-27,86.47,87.51,85.65,87.27,455400.0,0.0,1.0,86.47,87.51,85.65,87.27,455400.0
2018-02-26,87.1,87.3,86.04,86.24,375665.0,0.0,1.0,87.1,87.3,86.04,86.24,375665.0
2018-02-23,87.22,87.22,85.86,86.58,527157.0,0.0,1.0,87.22,87.22,85.86,86.58,527157.0
2018-02-22,87.42,87.83,86.39,86.76,520864.0,0.0,1.0,87.42,87.83,86.39,86.76,520864.0
2018-02-21,89.56,90.48,87.06,87.1,501298.0,0.0,1.0,89.56,90.48,87.06,87.1,501298.0
2018-02-20,87.18,90.115,86.663,89.64,760874.0,0.0,1.0,87.18,90.115,86.663,89.64,760874.0
2018-02-16,86.61,87.61,85.69,87.45,667051.0,0.0,1.0,86.61,87.61,85.69,87.45,667051.0
2018-02-15,94.08,94.08,87.07,88.34,1038614.0,0.0,1.0,94.08,94.08,87.07,88.34,1038614.0
2018-02-14,92.77,95.33,92.2,95.04,571027.0,0.0,1.0,92.77,95.33,92.2,95.04,571027.0
2018-02-13,91.86,93.08,91.04,93.0,482853.0,0.0,1.0,91.86,93.08,91.04,93.0,482853.0
2018-02-12,91.52,92.63,90.62,91.96,635751.0,0.0,1.0,91.52,92.63,90.62,91.96,635751.0
2018-02-09,91.39,92.49,89.26,91.25,376212.0,0.0,1.0,91.39,92.49,89.26,91.25,376212.0
2018-02-08,94.31,94.355,90.11,90.42,395792.0,0.0,1.0,94.31,94.355,90.11,90.42,395792.0
2018-02-07,94.0,94.96,93.4497,94.21,330403.0,0.0,1.0,94.0,94.96,93.4497,94.21,330403.0
2018-02-06,93.99,95.05,93.16,94.27,386709.0,0.0,1.0,93.99,95.05,93.16,94.27,386709.0
2018-02-05,98.53,98.75,95.06,95.27,347446.0,0.0,1.0,98.53,98.75,95.06,95.27,347446.0
