Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-07,6.99,7.17,6.85,6.97,5855892.0,0.0,1.0,6.99,7.17,6.85,6.97,5855892.0
2018-03-06,7.14,7.22,6.99,7.08,5846635.0,0.0,1.0,7.14,7.22,6.99,7.08,5846635.0
2018-03-05,6.68,7.13,6.66,7.06,7481505.0,0.0,1.0,6.68,7.13,6.66,7.06,7481505.0
2018-03-02,6.53,6.77,6.41,6.75,5608483.0,0.0,1.0,6.53,6.77,6.41,6.75,5608483.0
2018-03-01,6.49,6.74,6.42,6.65,7783344.0,0.0,1.0,6.49,6.74,6.42,6.65,7783344.0
2017-04-25,11.79,11.84,11.61,11.77,8611161.0,0.0,1.0,11.79,11.84,11.61,11.77,8611161.0
2017-04-24,11.92,11.92,11.64,11.76,4899223.0,0.0,1.0,11.92,11.92,11.64,11.76,4899223.0
2017-04-21,11.75,11.81,11.56,11.79,8763844.0,0.0,1.0,11.75,11.81,11.56,11.79,8763844.0
2017-04-20,12.01,12.05,11.77,11.77,7768283.0,0.0,1.0,12.01,12.05,11.77,11.77,7768283.0
2017-04-19,12.58,12.64,11.94,11.96,8152287.0,0.0,1.0,12.58,12.64,11.94,11.96,8152287.0
2017-04-18,12.63,12.94,12.5,12.54,5209012.0,0.0,1.0,12.63,12.94,12.5,12.54,5209012.0
2017-04-17,12.83,12.94,12.62,12.73,5975393.0,0.0,1.0,12.83,12.94,12.62,12.73,5975393.0
2017-04-13,13.53,13.66,12.82,12.83,4883957.0,0.0,1.0,13.53,13.66,12.82,12.83,4883957.0
2017-04-12,14.08,14.28,13.42,13.56,8082157.0,0.0,1.0,14.08,14.28,13.42,13.56,8082157.0
2017-04-11,13.94,14.18,13.73,14.18,5887316.0,0.0,1.0,13.94,14.18,13.73,14.18,5887316.0
2017-04-10,13.85,13.96,13.71,13.95,4625300.0,0.0,1.0,13.85,13.96,13.71,13.95,4625300.0
2017-04-07,13.79,13.975,13.63,13.67,4663439.0,0.0,1.0,13.79,13.975,13.63,13.67,4663439.0
2017-04-06,13.6,13.79,13.37,13.77,5638225.0,0.0,1.0,13.6,13.79,13.37,13.77,5638225.0
2017-04-05,13.9,14.175,13.425,13.46,12668873.0,0.0,1.0,13.9,14.175,13.425,13.46,12668873.0
2017-04-04,12.77,13.285,12.56,13.28,7707190.0,0.0,1.0,12.77,13.285,12.56,13.28,7707190.0
2017-04-03,13.16,13.24,12.57,12.72,5669316.0,0.0,1.0,13.16,13.24,12.57,12.72,5669316.0
2017-03-31,13.0,13.18,12.89,13.07,5972225.0,0.0,1.0,13.0,13.18,12.89,13.07,5972225.0
2017-03-30,13.07,13.18,12.86,13.04,5430420.0,0.0,1.0,13.07,13.18,12.86,13.04,5430420.0
2017-03-29,12.47,13.05,12.38,12.95,6271323.0,0.0,1.0,12.47,13.05,12.38,12.95,6271323.0
2017-03-28,12.05,12.54,12.05,12.49,7695664.0,0.0,1.0,12.05,12.54,12.05,12.49,7695664.0
2017-03-27,12.17,12.17,11.89,12.03,7975058.0,0.0,1.0,12.17,12.17,11.89,12.03,7975058.0
2017-03-24,12.66,12.88,12.35,12.41,6596908.0,0.0,1.0,12.66,12.88,12.35,12.41,6596908.0
2017-03-23,12.69,12.84,12.45,12.66,6319236.0,0.0,1.0,12.69,12.84,12.45,12.66,6319236.0
2017-03-22,12.89,13.07,12.55,12.75,6835150.0,0.0,1.0,12.89,13.07,12.55,12.75,6835150.0
