Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,74.0,74.0,71.91,72.31,497874.0,0.0,1.0,74.0,74.0,71.91,72.31,497874.0
2018-03-26,72.49,73.99,72.18,73.88,407678.0,0.0,1.0,72.49,73.99,72.18,73.88,407678.0
2018-03-23,73.09,73.42,71.69,71.84,403049.0,0.0,1.0,73.09,73.42,71.69,71.84,403049.0
2018-03-22,73.88,74.45,73.05,73.12,446945.0,0.0,1.0,73.88,74.45,73.05,73.12,446945.0
2018-03-21,73.18,74.75,72.74,74.35,485274.0,0.0,1.0,73.18,74.75,72.74,74.35,485274.0
2018-03-20,72.38,73.33,72.14,73.21,509046.0,0.0,1.0,72.38,73.33,72.14,73.21,509046.0
2018-03-19,74.13,74.48,71.905,72.08,502696.0,0.0,1.0,74.13,74.48,71.905,72.08,502696.0
2018-03-16,72.73,74.43,72.54,74.25,2883656.0,0.0,1.0,72.73,74.43,72.54,74.25,2883656.0
2018-03-15,73.12,73.46,72.47,72.65,963760.0,0.0,1.0,73.12,73.46,72.47,72.65,963760.0
2018-03-14,74.32,74.62,72.97,73.24,502836.0,0.0,1.0,74.32,74.62,72.97,73.24,502836.0
2018-03-13,74.1,75.0,73.72,74.33,544151.0,0.0,1.0,74.1,75.0,73.72,74.33,544151.0
2018-03-12,72.65,74.29,72.5,74.07,581428.0,0.0,1.0,72.65,74.29,72.5,74.07,581428.0
2018-03-09,72.35,73.0,71.74,72.37,672377.0,0.0,1.0,72.35,73.0,71.74,72.37,672377.0
2018-03-08,72.24,72.6,71.48,71.99,447369.0,0.0,1.0,72.24,72.6,71.48,71.99,447369.0
2018-03-07,71.45,72.67,71.32,71.85,715263.0,0.0,1.0,71.45,72.67,71.32,71.85,715263.0
2018-03-06,72.5,73.1,71.79,72.13,656995.0,0.0,1.0,72.5,73.1,71.79,72.13,656995.0
2018-03-05,72.07,73.18,71.54,72.37,497040.0,0.0,1.0,72.07,73.18,71.54,72.37,497040.0
2018-03-02,70.05,72.58,69.71,72.35,465673.0,0.0,1.0,70.05,72.58,69.71,72.35,465673.0
2018-03-01,70.8,71.35,69.711,70.61,469054.0,0.0,1.0,70.8,71.35,69.711,70.61,469054.0
2018-02-28,71.17,71.62,70.06,70.4,787015.0,0.0,1.0,71.17,71.62,70.06,70.4,787015.0
2018-02-27,72.14,72.2,70.8875,71.1,267326.0,0.0,1.0,72.14,72.2,70.8875,71.1,267326.0
2018-02-26,72.04,72.88,71.7937,72.37,347897.0,0.0,1.0,72.04,72.88,71.7937,72.37,347897.0
2018-02-23,71.43,72.12,70.4126,71.81,331817.0,0.0,1.0,71.43,72.12,70.4126,71.81,331817.0
2018-02-22,72.03,72.97,71.1,71.36,467795.0,0.0,1.0,72.03,72.97,71.1,71.36,467795.0
2018-02-21,71.33,72.99,71.11,71.66,774186.0,0.0,1.0,71.33,72.99,71.11,71.66,774186.0
2018-02-20,69.0,71.98,68.84,71.36,703297.0,0.0,1.0,69.0,71.98,68.84,71.36,703297.0
2018-02-16,72.67,72.74,67.725,69.07,1010927.0,0.0,1.0,72.67,72.74,67.725,69.07,1010927.0
2018-02-15,70.58,72.88,70.01,72.77,663033.0,0.0,1.0,70.58,72.88,70.01,72.77,663033.0
2018-02-14,68.19,70.53,68.12,70.19,255576.0,0.0,1.0,68.19,70.53,68.12,70.19,255576.0
2018-02-13,67.86,68.79,67.71,68.41,191869.0,0.0,1.0,67.86,68.79,67.71,68.41,191869.0
2018-02-12,68.17,68.995,68.01,68.25,239499.0,0.0,1.0,68.17,68.995,68.01,68.25,239499.0
2018-02-09,67.09,67.89,64.94,67.6,444199.0,0.0,1.0,67.09,67.89,64.94,67.6,444199.0
2018-02-08,68.85,69.2,66.64,66.66,342798.0,0.0,1.0,68.85,69.2,66.64,66.66,342798.0
2018-02-07,68.0,69.58,67.6863,68.59,247649.0,0.0,1.0,68.0,69.58,67.6863,68.59,247649.0
2018-02-06,66.18,68.85,65.62,68.36,428430.0,0.0,1.0,66.18,68.85,65.62,68.36,428430.0
