Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,21.72,22.2,21.55,21.68,4137548.0,0.0,1.0,21.72,22.2,21.55,21.68,4137548.0
2018-03-26,21.37,21.81,20.98,21.74,9725491.0,0.0,1.0,21.37,21.81,20.98,21.74,9725491.0
2018-03-23,21.54,21.72,21.03,21.08,5014322.0,0.0,1.0,21.54,21.72,21.03,21.08,5014322.0
2018-03-22,22.21,22.35,21.39,21.52,11831514.0,0.0,1.0,22.21,22.35,21.39,21.52,11831514.0
2018-03-21,22.0,22.48,21.93,22.16,7383529.0,0.0,1.0,22.0,22.48,21.93,22.16,7383529.0
2018-03-20,22.96,23.09,21.76,21.99,7730969.0,0.0,1.0,22.96,23.09,21.76,21.99,7730969.0
2018-03-19,23.15,23.225,22.615,22.95,3852854.0,0.0,1.0,23.15,23.225,22.615,22.95,3852854.0
2018-03-16,23.53,23.7,23.21,23.21,5104046.0,0.0,1.0,23.53,23.7,23.21,23.21,5104046.0
2018-03-15,24.03,24.03,23.265,23.4,5125102.0,0.0,1.0,24.03,24.03,23.265,23.4,5125102.0
2018-03-14,24.13,24.305,23.83,24.07,3084069.0,0.0,1.0,24.13,24.305,23.83,24.07,3084069.0
2018-03-13,24.44,24.83,24.17,24.25,4507815.0,0.0,1.0,24.44,24.83,24.17,24.25,4507815.0
2018-03-12,24.45,24.61,24.23,24.42,3819777.0,0.0,1.0,24.45,24.61,24.23,24.42,3819777.0
2018-03-09,24.18,24.5,23.91,24.19,5037932.0,0.0,1.0,24.18,24.5,23.91,24.19,5037932.0
2018-03-08,24.03,24.16,23.6,23.96,5147401.0,0.0,1.0,24.03,24.16,23.6,23.96,5147401.0
2018-03-07,24.22,24.23,22.96,23.935,9295134.0,0.0,1.0,24.22,24.23,22.96,23.935,9295134.0
2018-03-06,24.69,24.8,24.12,24.42,5445399.0,0.0,1.0,24.69,24.8,24.12,24.42,5445399.0
