Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,97.39,97.89,96.13,96.54,1874386.0,0.0,1.0,97.39,97.89,96.13,96.54,1874386.0
2018-03-26,96.67,97.83,96.27,97.79,2363801.0,0.0,1.0,96.67,97.83,96.27,97.79,2363801.0
2018-03-23,95.78,96.85,95.25,95.94,2538912.0,0.0,1.0,95.78,96.85,95.25,95.94,2538912.0
2018-03-22,96.57,97.485,95.11,95.16,1266315.0,0.0,1.0,96.57,97.485,95.11,95.16,1266315.0
2018-03-21,97.92,98.92,97.02,97.04,1248058.0,0.0,1.0,97.92,98.92,97.02,97.04,1248058.0
2018-03-20,97.53,98.5,97.37,97.77,1548370.0,0.0,1.0,97.53,98.5,97.37,97.77,1548370.0
2018-03-19,97.28,98.06,96.46,97.62,2636821.0,0.0,1.0,97.28,98.06,96.46,97.62,2636821.0
2018-03-16,98.18,100.1499,95.0,97.51,8236567.0,0.0,1.0,98.18,100.1499,95.0,97.51,8236567.0
2018-03-15,101.45,103.35,101.19,102.71,1988313.0,0.0,1.0,101.45,103.35,101.19,102.71,1988313.0
2018-03-14,101.42,102.17,100.57,101.02,1230769.0,0.0,1.0,101.42,102.17,100.57,101.02,1230769.0
2018-03-13,100.71,102.51,100.71,101.29,1332547.0,0.0,1.0,100.71,102.51,100.71,101.29,1332547.0
2018-03-12,101.75,102.75,99.78,100.42,1329498.0,0.0,1.0,101.75,102.75,99.78,100.42,1329498.0
2018-03-09,102.24,102.55,100.56,101.76,971186.0,0.0,1.0,102.24,102.55,100.56,101.76,971186.0
2018-03-08,100.76,102.13,100.42,102.09,1069772.0,0.0,1.0,100.76,102.13,100.42,102.09,1069772.0
2018-03-07,100.6,100.99,99.41,100.58,993886.0,0.0,1.0,100.6,100.99,99.41,100.58,993886.0
2018-03-06,101.0,101.37,99.8,101.35,960564.0,0.0,1.0,101.0,101.37,99.8,101.35,960564.0
2018-03-05,100.97,101.62,100.11,101.03,979661.0,0.0,1.0,100.97,101.62,100.11,101.03,979661.0
2018-03-02,100.58,101.96,100.04,101.7,1195094.0,0.0,1.0,100.58,101.96,100.04,101.7,1195094.0
2018-03-01,101.02,102.05,100.18,101.44,931537.0,0.0,1.0,101.02,102.05,100.18,101.44,931537.0
2018-02-28,102.65,103.58,101.01,101.04,998282.0,0.0,1.0,102.65,103.58,101.01,101.04,998282.0
2018-02-27,103.99,105.24,102.4,102.4,651702.0,0.0,1.0,103.99,105.24,102.4,102.4,651702.0
2018-02-26,104.37,104.48,103.18,103.71,958308.0,0.0,1.0,104.37,104.48,103.18,103.71,958308.0
2018-02-23,102.2,104.46,102.1,104.17,1233610.0,0.0,1.0,102.2,104.46,102.1,104.17,1233610.0
2018-02-22,101.61,102.97,101.5,101.79,933133.0,0.0,1.0,101.61,102.97,101.5,101.79,933133.0
2018-02-21,101.05,103.13,101.05,101.5,753482.0,0.0,1.0,101.05,103.13,101.05,101.5,753482.0
2018-02-20,101.09,101.91,100.26,100.7,1260363.0,0.0,1.0,101.09,101.91,100.26,100.7,1260363.0
2018-02-16,101.21,102.6,101.06,101.47,1306896.0,0.0,1.0,101.21,102.6,101.06,101.47,1306896.0
2018-02-15,103.35,103.39,101.1,101.69,1192499.0,0.0,1.0,103.35,103.39,101.1,101.69,1192499.0
2018-02-14,100.67,104.26,100.35,103.11,1254853.0,0.0,1.0,100.67,104.26,100.35,103.11,1254853.0
2018-02-13,100.63,101.32,100.39,100.96,888470.0,0.0,1.0,100.63,101.32,100.39,100.96,888470.0
2018-02-12,102.17,102.59,99.87,100.73,1252223.0,0.0,1.0,102.17,102.59,99.87,100.73,1252223.0
2018-02-09,99.99,102.54,98.3,101.88,1769143.0,0.0,1.0,99.99,102.54,98.3,101.88,1769143.0
2018-02-08,103.22,103.79,99.61,99.62,1200309.0,0.0,1.0,103.22,103.79,99.61,99.62,1200309.0
2018-02-07,102.92,105.4,102.175,103.08,974004.0,0.0,1.0,102.92,105.4,102.175,103.08,974004.0
2018-02-06,98.78,103.38,98.11,103.05,2583677.0,0.0,1.0,98.78,103.38,98.11,103.05,2583677.0
2018-02-05,104.54,105.9,100.67,100.74,1533214.0,0.0,1.0,104.54,105.9,100.67,100.74,1533214.0
2018-02-02,106.0,107.16,104.87,105.51,1580213.0,0.0,1.0,106.0,107.16,104.87,105.51,1580213.0
2018-02-01,106.09,107.21,105.3,106.85,2130833.0,0.0,1.0,106.09,107.21,105.3,106.85,2130833.0
2018-01-31,108.84,109.26,106.28,106.65,1050183.0,0.0,1.0,108.84,109.26,106.28,106.65,1050183.0
2018-01-30,108.73,109.09,107.68,108.52,789114.0,0.0,1.0,108.73,109.09,107.68,108.52,789114.0
2018-01-29,109.11,109.65,108.6489,109.3,515586.0,0.0,1.0,109.11,109.65,108.6489,109.3,515586.0
2018-01-26,110.0,110.0,108.07,109.71,732628.0,0.0,1.0,110.0,110.0,108.07,109.71,732628.0
2018-01-25,109.08,109.48,108.42,109.13,856195.0,0.0,1.0,109.08,109.48,108.42,109.13,856195.0
2018-01-24,108.87,111.44,108.56,109.12,1143549.0,0.0,1.0,108.87,111.44,108.56,109.12,1143549.0
2018-01-23,109.0,109.765,108.25,108.86,1152628.0,0.0,1.0,109.0,109.765,108.25,108.86,1152628.0
2018-01-22,108.02,109.96,107.85,109.88,1282129.0,0.0,1.0,108.02,109.96,107.85,109.88,1282129.0
2018-01-19,107.65,108.5,107.18,107.77,2529570.0,0.0,1.0,107.65,108.5,107.18,107.77,2529570.0
2018-01-18,108.83,110.12,107.67,108.05,1911559.0,0.0,1.0,108.83,110.12,107.67,108.05,1911559.0
