Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,146.18,147.15,143.15,144.11,856533.0,0.0,1.0,146.18,147.15,143.15,144.11,856533.0
2018-03-26,145.0,146.46,143.67,146.11,1063911.0,0.0,1.0,145.0,146.46,143.67,146.11,1063911.0
2018-03-23,146.85,147.81,142.1411,142.55,1209973.0,0.0,1.0,146.85,147.81,142.1411,142.55,1209973.0
2018-03-22,150.06,150.67,145.9,146.09,1335673.0,0.0,1.0,150.06,150.67,145.9,146.09,1335673.0
2018-03-21,150.6,152.8751,149.99,151.71,818712.0,0.0,1.0,150.6,152.8751,149.99,151.71,818712.0
2018-03-20,150.58,151.14,149.87,150.22,830953.0,0.0,1.0,150.58,151.14,149.87,150.22,830953.0
2018-03-19,150.26,152.31,148.55,149.58,2051147.0,0.0,1.0,150.26,152.31,148.55,149.58,2051147.0
2018-03-16,154.65,155.34,153.15,154.32,2257065.0,0.0,1.0,154.65,155.34,153.15,154.32,2257065.0
2018-03-15,157.59,158.43,155.55,155.67,1351339.0,0.0,1.0,157.59,158.43,155.55,155.67,1351339.0
2018-03-14,160.94,161.24,157.48,157.54,1605146.0,0.0,1.0,160.94,161.24,157.48,157.54,1605146.0
2018-03-13,161.88,161.99,159.07,160.37,1670796.0,0.0,1.0,161.88,161.99,159.07,160.37,1670796.0
2018-03-12,162.65,163.47,160.12,161.11,1781392.0,0.0,1.0,162.65,163.47,160.12,161.11,1781392.0
2018-03-09,157.95,160.18,157.15,160.09,1261090.0,0.0,1.0,157.95,160.18,157.15,160.09,1261090.0
2018-03-08,155.74,158.09,155.44,157.88,2032879.0,0.0,1.0,155.74,158.09,155.44,157.88,2032879.0
2018-03-07,152.55,155.8,152.31,155.1,1821740.0,0.0,1.0,152.55,155.8,152.31,155.1,1821740.0
2018-03-06,153.06,154.67,151.77,153.65,1470049.0,0.825,1.0,153.06,154.67,151.77,153.65,1470049.0
2018-03-05,148.81,153.42,148.51,152.74,1852851.0,0.0,1.0,148.01525489600002,152.600634407,147.716857097,151.92426606200002,1852851.0
2018-03-02,147.24,149.98,146.65,149.43,1420550.0,0.0,1.0,146.453639748,149.179006312,145.866790743,148.63194368,1420550.0
2018-03-01,149.21,150.08,146.59,147.92,1918018.0,0.0,1.0,148.413118628,149.278472245,145.807111183,147.130008092,1918018.0
2018-02-28,154.15,154.5,149.66,149.75,1535635.0,0.0,1.0,154.15,154.5,149.66,149.75,1535635.0
2018-02-27,154.9,155.32,153.55,154.0,1229731.0,0.0,1.0,154.9,155.32,153.55,154.0,1229731.0
2018-02-26,155.44,155.98,153.66,155.83,1014851.0,0.0,1.0,155.44,155.98,153.66,155.83,1014851.0
2018-02-23,154.31,155.74,152.55,155.62,1577690.0,0.0,1.0,154.31,155.74,152.55,155.62,1577690.0
2018-02-22,153.87,154.955,153.14,153.67,1627109.0,0.0,1.0,153.87,154.955,153.14,153.67,1627109.0
2018-02-21,153.47,155.74,152.74,152.74,1834073.0,0.0,1.0,153.47,155.74,152.74,152.74,1834073.0
2018-02-20,152.25,154.26,151.64,153.6,2580892.0,0.0,1.0,152.25,154.26,151.64,153.6,2580892.0
2018-02-16,154.55,155.13,153.2,153.61,1581485.0,0.0,1.0,154.55,155.13,153.2,153.61,1581485.0
2018-02-15,156.27,156.31,153.12,155.8,1629572.0,0.0,1.0,156.27,156.31,153.12,155.8,1629572.0
2018-02-14,152.25,156.2399,152.0,155.07,1619248.0,0.0,1.0,152.25,156.2399,152.0,155.07,1619248.0
2018-02-13,152.73,154.45,152.08,153.83,1392873.0,0.0,1.0,152.73,154.45,152.08,153.83,1392873.0
2018-02-12,150.87,154.98,150.5,153.75,3089172.0,0.0,1.0,150.87,154.98,150.5,153.75,3089172.0
2018-02-09,145.29,150.63,144.702,149.48,3111476.0,0.0,1.0,145.29,150.63,144.702,149.48,3111476.0
2018-02-08,149.88,150.62,144.05,144.07,2039316.0,0.0,1.0,149.88,150.62,144.05,144.07,2039316.0
2018-02-07,154.56,154.78,150.0,150.01,2214801.0,0.0,1.0,154.56,154.78,150.0,150.01,2214801.0
2018-02-06,150.15,156.39,148.02,155.31,3693768.0,0.0,1.0,150.15,156.39,148.02,155.31,3693768.0
2018-02-05,154.02,156.84,150.03,150.32,2508602.0,0.0,1.0,154.02,156.84,150.03,150.32,2508602.0
2018-02-02,156.72,157.35,154.95,155.05,2041097.0,0.0,1.0,156.72,157.35,154.95,155.05,2041097.0
2018-02-01,159.84,160.9,158.93,159.83,1504611.0,0.0,1.0,159.84,160.9,158.93,159.83,1504611.0
2018-01-31,161.43,162.33,160.04,161.49,3108601.0,0.0,1.0,161.43,162.33,160.04,161.49,3108601.0
2018-01-30,162.7,162.935,160.66,160.72,1973718.0,0.0,1.0,162.7,162.935,160.66,160.72,1973718.0
2018-01-29,165.2,166.13,160.71,162.83,2944841.0,0.0,1.0,165.2,166.13,160.71,162.83,2944841.0
2018-01-26,163.69,166.24,162.18,165.69,1842971.0,0.0,1.0,163.69,166.24,162.18,165.69,1842971.0
2018-01-25,166.26,166.95,161.8,163.35,3391804.0,0.0,1.0,166.26,166.95,161.8,163.35,3391804.0
2018-01-24,159.1,162.04,158.98,160.87,3690903.0,0.0,1.0,159.1,162.04,158.98,160.87,3690903.0
2018-01-23,159.66,160.81,158.51,159.23,1764775.0,0.0,1.0,159.66,160.81,158.51,159.23,1764775.0
2018-01-22,161.57,161.7,159.61,160.62,1461450.0,0.0,1.0,161.57,161.7,159.61,160.62,1461450.0
2018-01-19,162.2,162.35,161.29,161.88,1678832.0,0.0,1.0,162.2,162.35,161.29,161.88,1678832.0
2018-01-18,162.98,164.51,161.4,161.5,1709964.0,0.0,1.0,162.98,164.51,161.4,161.5,1709964.0
2018-01-17,163.55,164.23,161.46,163.46,1692072.0,0.0,1.0,163.55,164.23,161.46,163.46,1692072.0
2018-01-16,164.5,165.23,160.2187,162.1,2428624.0,0.0,1.0,164.5,165.23,160.2187,162.1,2428624.0
2018-01-12,164.06,165.12,163.25,164.15,2639631.0,0.0,1.0,164.06,165.12,163.25,164.15,2639631.0
2018-01-11,164.11,166.08,163.31,163.81,2007115.0,0.0,1.0,164.11,166.08,163.31,163.81,2007115.0
2018-01-10,162.7,163.17,161.5,162.62,2409000.0,0.0,1.0,162.7,163.17,161.5,162.62,2409000.0
2018-01-09,162.34,164.49,161.96,162.88,3366350.0,0.0,1.0,162.34,164.49,161.96,162.88,3366350.0
2018-01-08,161.11,161.65,160.46,161.31,934584.0,0.0,1.0,161.11,161.65,160.46,161.31,934584.0
2018-01-05,161.77,162.34,160.56,161.37,1699506.0,0.0,1.0,161.77,162.34,160.56,161.37,1699506.0
