Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,149.8,149.8,146.0,146.79,149917.0,0.0,1.0,149.8,149.8,146.0,146.79,149917.0
2018-03-26,146.47,149.37,144.44,149.2,153786.0,0.0,1.0,146.47,149.37,144.44,149.2,153786.0
2018-03-23,147.47,149.03,144.64,144.76,139852.0,0.0,1.0,147.47,149.03,144.64,144.76,139852.0
2018-03-22,147.22,149.5,147.05,147.56,260428.0,0.0,1.0,147.22,149.5,147.05,147.56,260428.0
2018-03-21,148.95,149.68,147.94,148.36,92070.0,0.0,1.0,148.95,149.68,147.94,148.36,92070.0
2018-03-20,148.2,149.05,147.4201,148.68,126829.0,0.0,1.0,148.2,149.05,147.4201,148.68,126829.0
2018-03-19,147.6,148.5,146.33,147.98,144498.0,0.0,1.0,147.6,148.5,146.33,147.98,144498.0
2018-03-16,146.73,148.87,146.73,148.18,298398.0,0.0,1.0,146.73,148.87,146.73,148.18,298398.0
2018-03-15,146.86,147.85,146.17,146.54,109235.0,0.0,1.0,146.86,147.85,146.17,146.54,109235.0
2018-03-14,146.89,147.49,145.53,146.82,110686.0,0.0,1.0,146.89,147.49,145.53,146.82,110686.0
2018-03-13,146.99,148.26,145.88,146.56,111911.0,0.0,1.0,146.99,148.26,145.88,146.56,111911.0
2018-03-12,146.31,147.32,145.32,146.69,153325.0,0.0,1.0,146.31,147.32,145.32,146.69,153325.0
2018-03-09,144.21,147.05,144.21,146.36,138808.0,0.0,1.0,144.21,147.05,144.21,146.36,138808.0
2018-03-08,144.48,146.339,142.15,143.94,159048.0,0.0,1.0,144.48,146.339,142.15,143.94,159048.0
2018-03-07,144.28,147.05,142.2125,144.29,418422.0,0.0,1.0,144.28,147.05,142.2125,144.29,418422.0
2018-03-06,141.97,144.94,140.875,144.79,236774.0,0.0,1.0,141.97,144.94,140.875,144.79,236774.0
2018-03-05,139.79,142.53,139.55,141.47,160770.0,0.0,1.0,139.79,142.53,139.55,141.47,160770.0
